depth (m),age (BP),temperature (degC),planktic.d18O (permil),planktic.d18O (permil),planktic.MgCa (mmol_mol)
0.02,1335,28,-2.11,-1.34,5.29
0.04,1374,26.4,-1.9,-1.12,4.49
0.06,1413,26,-1.82,-1.09,4.29
0.08,1451,26.5,-1.92,-1.26,4.52
0.1,1490,27.4,-1.94,-1.42,4.97
0.12,1529,26.8,-1.97,-1.35,4.67
0.14,1567,26.1,-1.95,-1.29,4.35
0.16,1606,26.6,-2.07,-1.62,4.59
0.18,1644,26.6,-1.83,-1.23,4.6
0.2,1683,26.6,-2.07,-1.32,4.57
0.22,1722,26.1,-2.09,-1.23,4.36
0.24,1760,26.9,-1.91,NA,4.72
0.26,1799,27.7,-2.03,-0.96,5.13
0.28,1837,26.9,-1.96,-1.16,4.73
0.3,1876,26.8,-2.18,-1.43,4.69
0.32,1915,28.7,-2.01,-1.36,5.68
0.34,1953,27,-2.16,-1.33,4.79
0.36,1992,25.2,-1.85,-1.41,3.96
0.38,2030,27.2,-2.05,-1.13,4.88
0.4,2069,27.1,-1.97,-1.05,4.82
0.42,2108,27,-2.05,-1.27,4.76
0.44,2146,26.6,-2.14,-0.9,4.58
0.46,2185,26.9,-1.85,-1.21,4.7
0.48,2223,27,-2.07,-1.09,4.79
0.5,2262,26.3,-2.03,-1.33,4.46
0.52,2301,27.7,-1.9,-1.06,5.14
0.54,2339,28.3,-2.09,-1.01,5.47
0.56,2378,26.1,-1.92,-1.24,4.34
0.58,2416,28.6,-1.88,-1.25,5.64
0.6,2455,27,-2.02,-1.26,4.78
0.62,2482,27.4,-1.91,-1.09,4.97
0.64,2510,27.2,-1.99,-1.29,4.89
0.66,2537,26.3,-1.9,-1.12,4.42
0.68,2565,28,-1.89,-1.08,5.3
0.7,2592,26.9,-1.93,-1.28,4.72
0.72,2620,26.7,-1.95,-1.17,4.62
0.74,2647,26.8,-2.09,-1.03,4.7
0.76,2674,27.1,-2.03,-1.37,4.82
0.78,2702,26,-1.93,-1.08,4.33
0.8,2729,27,-1.91,-1.09,4.78
0.82,2757,26.1,-1.92,-1.24,4.37
0.84,2784,26.5,-1.95,-1.07,4.54
0.86,2811,27.1,-1.83,-1.29,4.81
0.88,2839,25.6,-1.76,-1.6,4.15
0.9,2866,27.6,-2.07,-1.27,5.07
0.92,2894,26.6,-1.86,-1.23,4.57
0.94,2921,26.5,-1.82,-1.21,4.54
0.96,2949,26.7,-1.99,-0.83,4.65
0.98,2976,27.1,-2.06,NA,4.8
1,3003,27.3,-1.89,-1.25,4.91
1.02,3031,26.7,-1.94,NA,4.61
1.04,3058,27.4,-1.98,-1.17,4.95
1.06,3086,25.9,-2.11,-1.26,4.27
1.08,3113,26.2,-1.8,-1.21,4.39
1.1,3140,27,-2.11,-1.49,4.79
1.12,3168,26.1,-1.93,-0.91,4.38
1.14,3195,27.2,-1.63,-1.25,4.86
1.16,3223,27.1,-1.88,-1.21,4.82
1.18,3250,26,-1.9,-1.09,4.33
1.2,3278,26.9,-2.13,-1.49,4.73
1.22,3305,27,NA,-1.18,4.79
