depth (cm),age (BP),temperature (degC),temperature (degC),temperature (degC),precipitation (mm/yr)
1,-239.8,14.5,-8.529,2.295,452.429
5,-46.7,14.1,-9.386,1.665,454.429
10,194.6,14.443,-8.614,2.173,446.286
15,435.9,14.786,-9.686,2.102,454
20,677.3,15.271,-8.657,2.739,421.143
25,918.6,16.957,-8.514,4.03,380.571
30,1159.9,14.9,-9.671,2.399,411.714
35,1401.2,14.386,-8.543,2.142,433.714
40,1642.6,17.014,-8.5,4.049,393.571
45,1883.9,16.957,-8.514,4.03,380.571
50,2125.2,14.457,-9.9,2.004,471.286
53,2270,14.557,-9.786,2.062,498.714
55,2366.6,15.586,-9.2,2.682,415.143
58,2571.5,15.857,-9.214,2.929,436.857
60,2908.4,13.657,-10.314,1.425,464.286
63,3413.9,14.643,-10.043,1.937,454.714
65,3750.9,14.671,-9.843,1.968,449.143
68,4256.3,14.571,-9.9,2.073,465
70,4459.1,13.857,-9.3,1.781,491.429
75,4630.2,15.786,-8.943,3.06,453.857
80,4801.3,14.243,-8.9,2.044,479.143
85,5060.8,14.157,-9.286,1.723,438.286
90,5358.2,14.314,-8.986,2.105,490.857
95,5621.9,12.5,-9.986,0.802,589.286
100,5751,12.671,-9.814,1.032,559
105,5880,12.2,-10.343,0.646,505.286
110,5941.6,14.929,-9.043,2.795,518.429
115,5974.2,13.186,-9.629,1.243,496.143
120,6191.8,14.457,-9.157,2.077,491
125,6840.9,16.386,-8.343,3.858,454.571
130,7490,16.057,-8.7,3.295,443.571
135,7986.3,14.714,-9.471,2.499,490.143
140,8417.1,12.143,-10.2,0.635,594
145,8847.9,10.729,-11.243,-0.58,596
150,9278.8,12.514,-10.343,0.38,521.286
155,9698.5,12.486,-10.086,0.779,604
160,10107.1,12.543,-10.286,0.708,563.429
165,10515.7,12.543,-10.3,0.807,561.571
169.5,10883.4,14.643,-8.043,2.565,447.286
175,11332.9,NA,NA,NA,NA
179,11659.8,NA,NA,NA,NA
