year (AD),age (yr BP),lakeLevel (cm),lakeLevelHi (cm),lakeLevelLo (cm)
1900,50,35.2010228161643,-47.3682272666284,117.770272898957
1850,100,43.1689134880579,-35.1176530199378,121.455479996054
1800,150,70.9756667285704,-14.4254899173868,156.376823374528
1750,200,77.2389969533227,-1.63022576374351,156.108219670389
1700,250,75.2257197875197,-1.30341181954941,151.754851394589
1650,300,46.2718319048088,-21.3419470340532,113.885610843671
1600,350,35.8837320208391,-33.4835832995636,105.251047341242
1550,400,33.7231318638453,-33.1567693555874,100.603033083278
1500,450,24.9577463217112,-45.8430955276522,95.7585881710746
1450,500,16.1133379569442,-58.638359681115,90.8650355950033
1400,550,7.18990676934578,-71.5425618159758,85.9223753546673
1350,600,7.84353465729822,-71.5425618159758,87.2296311305722
1300,650,12.8274654351794,-71.5425618159758,97.1974926863347
1250,700,13.4810933235676,-71.5425618159758,98.5047484631111
1200,750,14.1347212119558,-71.5425618159758,99.8120042398874
1150,800,10.4580462101634,-71.5425618159758,92.4586542363027
1100,850,15.5729307576987,-71.5425618159758,102.688423331373
1050,900,25.214548849575,-71.5425618159758,121.971659515126
1000,950,25.8681767382902,-71.5425618159758,123.278915292556
950,1000,22.0605479688387,-71.5425618159758,115.663657753653
900,1050,27.7746992442355,-57.2221659225048,112.771564410976
850,1100,33.053276004316,-57.2221659225048,123.328717931137
800,1150,33.7069038883467,-57.2221659225048,124.635973699198
750,1200,31.1534424191039,-56.8953519804895,119.202236818697
700,1250,31.9052856325648,-56.8953519804895,120.705923245619
650,1300,42.0707188046513,-56.8953519804895,141.036789589792
600,1350,31.8829224571233,-71.5425618159758,135.308406730222
550,1400,27.8133861458049,-71.5425618159758,127.169334107586
500,1450,18.9552087504946,-71.5425618159758,109.452979316965
450,1500,19.6088366388828,-71.5425618159758,110.760235093741
400,1550,20.262464527271,-71.5425618159758,112.067490870518
350,1600,30.8207590085568,-71.5425618159758,133.184079833089
300,1650,31.474386896945,-71.5425618159758,134.491335609866
250,1700,42.163635146801,-71.5425618159758,155.869832109578
200,1750,37.9631450669123,-71.5425618159758,147.4688519498
150,1800,38.6167729553005,-71.5425618159758,148.776107726577
100,1850,34.3508059911265,-71.5425618159758,140.244173798229
50,1900,35.1026492059424,-71.5425618159758,141.747860227861
0,1950,35.7562770943306,-71.5425618159758,143.055116004637
-50,2000,31.293879473813,-71.5425618159758,134.130320763602
-100,2050,26.7987434111528,-71.5425618159758,125.140048638281
-150,2100,27.452371299541,-71.5425618159758,126.447304415058
-200,2150,40.4488570515825,-54.825530333927,135.723244437092
-250,2200,53.5243656259302,-37.9995608704801,145.048292122341
-300,2250,95.7141538249575,12.8051614640547,178.62314618586
-350,2300,139.755300661911,64.2635116869776,215.247089636844
-400,2350,184.066254414901,116.048675854095,252.083832975707
-450,2400,210.292178158165,144.988266856622,275.596089459708
-500,2450,222.467513357277,156.755011856902,288.180014857652
-550,2500,266.878899098789,190.88649132146,342.871306876119
-600,2550,314.580133673728,225.364504430046,403.79576291741
-650,2600,361.99752819921,259.800031911977,464.195024486443
-700,2650,376.68983035192,271.590400745573,481.789259958268
-750,2700,376.922821964222,272.056383970177,481.789259958268
-800,2750,377.155813576524,272.522367194781,481.789259958268
-850,2800,377.388805188826,272.988350419385,481.789259958268
-900,2850,377.621796801128,273.454333643989,481.789259958268
-950,2900,377.85478841343,273.920316868593,481.789259958268
-1000,2950,378.087780025732,274.386300093197,481.789259958268
-1050,3000,378.320771638034,274.852283317801,481.789259958268
-1100,3050,378.553763250336,275.318266542405,481.789259958268
-1150,3100,378.786754862638,275.784249767008,481.789259958268
-1200,3150,379.01974647494,276.250232991612,481.789259958268
-1250,3200,379.252738087242,276.716216216216,481.789259958268
-1300,3250,379.485729699544,277.18219944082,481.789259958268
