depth (cm),age (yr BP),temperatureWarmest (degC),temperatureColdest (degC),temperatureAnnual (degC),precipitation (mm/yr)
0,-32,13.61428571,-11.08571429,1.782142857,670.2857143
10,339.2,14.55714286,-9.285714286,2.941671429,705.5714286
20,710.4,13.14285714,-10.91428571,1.446428571,730
30,1081.6,14.11428571,-10.07142857,2.396428571,709.1428571
40,1452.8,13.62857143,-9.514285714,2.295228571,922
50,1824,13.42857143,-10.75714286,1.727385714,685.8571429
60,2292.7,14.18571429,-8.714285714,2.922614286,927.7142857
70,2794,14.2,-9.557142857,2.608328571,679.4285714
80,3295.2,13.62857143,-9.514285714,2.295228571,922
90,3796.5,14.42857143,-9.514285714,2.734514286,651
100,4297.7,14.41428571,-7.771428571,3.3619,947.4285714
110,4668,14.32857143,-7.028571429,3.517857143,861.2857143
120,4994.7,12.62857143,-10.01428571,1.4107,932.8571429
130,5321.3,13.35714286,-9.514285714,2.009514286,745.7142857
140,5648,12.34285714,-10.17142857,1.129742857,977
150,5974.6,11.85714286,-11.51428571,0.378571429,684.8571429
160,6301.3,13.25714286,-8.985714286,2.117842857,946
170,6627.9,13.52857143,-10.7,1.771428571,671.5714286
180,6954.5,14.15714286,-8.928571429,2.853571429,899.8571429
190,7281.2,14.21428571,-9.571428571,2.615485714,704.8571429
200,7607.8,13.32857143,-9.428571429,2.045242857,812.7142857
210,7854,12.57142857,-10.87142857,1.079757143,651.8571429
220,8073.3,12.24285714,-9.985714286,1.124985714,890
230,8292.6,12.18571429,-10.67142857,0.933328571,870.1428571
240,8512,11.32857143,-10.38571429,0.2988,797.7142857
250,8731.3,11.25714286,-9.914285714,0.401185714,743.2857143
260,8950.6,10.78571429,-10.68571429,-0.210714286,779.8571429
270,9170,10.47142857,-17.61428571,-4.170257143,731.2857143
280,9389.3,10.55714286,-18.17142857,-4.320257143,511.8571429
290,9608.6,11.51428571,-8.971428571,0.967842857,984.8571429
300,9827.9,11.51428571,-8.971428571,0.967842857,984.8571429
310,10150.4,11.27142857,-9.685714286,0.501185714,743.2857143
320,10507.2,11.3,-10.05714286,0.3726,852.4285714
330,10864.1,10.28571429,-16.35714286,-3.523814286,529.7142857
340,11220.9,NA,NA,NA,NA
350,11812.4,NA,NA,NA,NA
360,12638.4,NA,NA,NA,NA
