year (AD) [1-1],age (yr BP) [1-1],LOI550C (mass) [1-1],MassMagSus (m3kg1) [1-1],LOI950C (mass) [1-1],year (AD) [2-1],age (yr BP) [2-1],Ostracods (unitless) [2-1],Gastropods (unitless) [2-1],year (AD) [3-1],age (yr BP) [3-1],MolarCN (unitless) [3-1]
1474.49,475.51,44.34,0.9,6.43,1474.49,475.51,0,0,1474.49,475.51,10.16
1466.15,483.85,60,0.1,6.06,1466.15,483.85,NA,NA,1466.15,483.85,NA
1457.77,492.23,57.69,0,11.66,1457.77,492.23,8.74,NA,1457.77,492.23,NA
1449.36,500.64,60.53,0,11.96,1449.36,500.64,NA,NA,1449.36,500.64,NA
1440.92,509.08,55.84,0,14.76,1440.92,509.08,8.8,NA,1440.92,509.08,NA
1432.44,517.56,50,0,19.76,1432.44,517.56,NA,NA,1432.44,517.56,NA
1423.93,526.07,41.18,-0.1,31.19,1423.93,526.07,6.74,NA,1423.93,526.07,NA
1415.38,534.62,38.26,0,35.57,1415.38,534.62,NA,NA,1415.38,534.62,NA
1406.8,543.2,36.07,0.1,35.39,1406.8,543.2,6.82,NA,1406.8,543.2,NA
1398.18,551.82,39.05,0.3,25.97,1398.18,551.82,NA,NA,1398.18,551.82,NA
1389.53,560.47,41.76,0.2,22.48,1389.53,560.47,100,35,1389.53,560.47,6.89
1380.85,569.15,40.45,0,30.64,1380.85,569.15,NA,NA,1380.85,569.15,NA
1372.13,577.87,37.86,0,33.1,1372.13,577.87,6.99,NA,1372.13,577.87,NA
1363.38,586.62,39.05,0.1,32.47,1363.38,586.62,NA,NA,1363.38,586.62,NA
1354.6,595.4,34.86,0.1,43.79,1354.6,595.4,6.91,NA,1354.6,595.4,NA
1345.78,604.22,44.83,0.1,23.51,1345.78,604.22,NA,NA,1345.78,604.22,NA
1336.93,613.07,47.2,0,25.45,1336.93,613.07,6.58,NA,1336.93,613.07,NA
1328.04,621.96,53.98,-0.1,22.12,1328.04,621.96,NA,NA,1328.04,621.96,NA
1319.12,630.88,58.93,-0.1,16.23,1319.12,630.88,7.66,NA,1319.12,630.88,NA
1310.17,639.83,60.42,-0.1,16.57,1310.17,639.83,NA,NA,1310.17,639.83,NA
1301.18,648.82,60,-0.1,17.68,1301.18,648.82,34.38,2,1301.18,648.82,8.5
1292.16,657.84,60.67,-0.1,17.88,1292.16,657.84,NA,NA,1292.16,657.84,NA
1283.1,666.9,58.95,-0.1,16.75,1283.1,666.9,8.04,NA,1283.1,666.9,NA
1274.01,675.99,59.55,-0.1,20.43,1274.01,675.99,NA,NA,1274.01,675.99,NA
1264.89,685.11,61.29,-0.1,17.11,1264.89,685.11,8.78,NA,1264.89,685.11,NA
1255.73,694.27,67.42,-0.1,15.32,1255.73,694.27,NA,NA,1255.73,694.27,NA
1246.54,703.46,67.74,-0.1,14.66,1246.54,703.46,8.8,NA,1246.54,703.46,NA
1237.31,712.69,71.11,-0.1,7.58,1237.31,712.69,NA,NA,1237.31,712.69,NA
1228.05,721.95,72.5,-0.1,5.68,1228.05,721.95,9.46,NA,1228.05,721.95,NA
1218.76,731.24,72.86,-0.2,6.49,1218.76,731.24,NA,NA,1218.76,731.24,NA
1209.43,740.57,69.86,-0.1,9.34,1209.43,740.57,0,0,1209.43,740.57,9.48
1200.07,749.93,69.44,-0.1,9.47,1200.07,749.93,NA,NA,1200.07,749.93,NA
1190.67,759.33,73.61,-0.1,6.31,1190.67,759.33,9.15,NA,1190.67,759.33,NA
1181.25,768.75,75,-0.1,3.55,1181.25,768.75,NA,NA,1181.25,768.75,NA
1171.78,778.22,76.12,-0.1,3.39,1171.78,778.22,9.65,NA,1171.78,778.22,NA
1162.29,787.71,70.67,-0.1,12.12,1162.29,787.71,NA,NA,1162.29,787.71,NA
1152.75,797.25,70.83,-0.1,9.47,1152.75,797.25,9.89,NA,1152.75,797.25,NA
1143.19,806.81,71.83,-0.1,6.4,1143.19,806.81,NA,NA,1143.19,806.81,NA
1133.59,816.41,72.37,-0.1,5.98,1133.59,816.41,9.77,NA,1133.59,816.41,NA
1123.96,826.04,70,-0.1,5.68,1123.96,826.04,NA,NA,1123.96,826.04,NA
1114.29,835.71,69.88,-0.1,5.48,1114.29,835.71,0,0,1114.29,835.71,9.81
1104.59,845.41,73.13,-0.1,3.39,1104.59,845.41,NA,NA,1104.59,845.41,NA
1094.85,855.15,62.65,-0.1,13.69,1094.85,855.15,9.53,NA,1094.85,855.15,NA
1085.09,864.91,61.22,-0.1,11.6,1085.09,864.91,NA,NA,1085.09,864.91,NA
1075.28,874.72,52.53,-0.1,18.37,1075.28,874.72,8,NA,1075.28,874.72,NA
1065.45,884.55,45.71,-0.1,21.65,1065.45,884.55,NA,NA,1065.45,884.55,NA
1055.58,894.42,42.16,-0.1,24.51,1055.58,894.42,7.44,NA,1055.58,894.42,NA
1045.67,904.33,43.36,-0.1,24.14,1045.67,904.33,NA,NA,1045.67,904.33,NA
1035.73,914.27,42.99,-0.1,25.49,1035.73,914.27,6.94,NA,1035.73,914.27,NA
1025.76,924.24,41.28,-0.1,22.94,1025.76,924.24,NA,NA,1025.76,924.24,NA
1015.75,934.25,39.84,-0.1,29.56,1015.75,934.25,1045.45,48,1015.75,934.25,7.15
1005.71,944.29,44,-0.1,25.45,1005.71,944.29,NA,NA,1005.71,944.29,NA
995.64,954.36,53.85,-0.1,21.85,995.64,954.36,7.2,NA,995.64,954.36,NA
985.53,964.47,55.88,-0.1,22.28,985.53,964.47,NA,NA,985.53,964.47,NA
