depth (cm) [1-1],age (yr BP) [1-1],Picea (percent) [1-1],Sequoia (percent) [1-1],Quercus (percent) [1-1],Alnus (percent) [1-1],depthRange (cm) [1-1],Calibrated (unitless) [1-1],depth (cm) [1-2],age (yr BP) [1-2],depthRange (cm) [1-2],Calibrated (unitless) [1-2],Fragilariopsis (percent) [1-2],depth (cm) [1-3],age (yr BP) [1-3],Dc_stapedia (percent) [1-3],Dc_stapedia_aspinosa (percent) [1-3],Dc_stapedia_spinosa (percent) [1-3],total_Dc_stapedia (percent) [1-3],S_speculum_var_minutus (percent) [1-3],depthRange (cm) [1-3],Calibrated (unitless) [1-3]
6.5,284.48,1.319261214,29.0237467,4.485488127,24.27440633,5.5-7.5,CAL,0.5,221.64,-1,CAL,8.6,0.5,220,20,0,0,20,45,-1,CAL
13,352.68,1.315789474,30.92105263,7.894736842,21.71052632,12-14,CAL,4.5,263.6,42099,CAL,3.4,4.5,260,26.15384615,0,3.076923077,29.23076923,41.53846154,-1,CAL
17,394.64,4.07523511,41.69278997,3.761755486,14.10658307,16.5-18.5,CAL,9.5,316.05,42257,CAL,1.4,30.5,540,17.39130435,0,13.04347826,30.43478261,43.47826087,-1,CAL
22.5,452.35,1.547987616,40.24767802,4.334365325,13.3126935,21.5-23.5,CAL,14.5,368.5,-1,CAL,5.3,32,550,15,0,1,16,54,-2,CAL
27,499.56,2.017291066,43.80403458,3.170028818,15.56195965,26-28,CAL,19.5,420.95,-1,CAL,10.3,54.5,760,20,0,5,25,60,-1,CAL
32,552.02,1.78041543,42.72997033,3.857566766,15.13353116,31-33,CAL,24.5,473.4,-1,CAL,6.2,59.5,790,23.21428571,0,7.142857143,30.35714286,46.42857143,-1,CAL
37,604.48,1.935483871,47.41935484,6.451612903,15.48387097,36-38,CAL,29.5,525.85,-1,CAL,10.7,84,910,23.91304348,0,6.52173913,30.43478261,45.65217391,-1,CAL
42,656.94,1.648351648,37.63736264,6.043956044,18.95604396,41-43,CAL,34.5,578.29,-1,CAL,6.9,110.5,1140,25.92592593,0,3.703703704,29.62962963,51.85185185,-1,CAL
47,709.39,5.421686747,46.38554217,2.710843373,8.13253012,46-48,CAL,39.5,630.74,-1,CAL,5.9,120.5,1330,20.75471698,0,11.32075472,32.0754717,35.8490566,-1,CAL
52,751.06,5.263157895,42.3245614,3.289473684,10.52631579,51-53,CAL,44.5,683.19,-1,CAL,8.9,129.5,1500,23.63636364,0,7.272727273,30.90909091,43.63636364,-1,CAL
57,776.55,5.198776758,47.70642202,3.058103976,8.562691131,56-58,CAL,49.5,735.64,-1,CAL,9.1,134.5,1590,23.52941176,0,2.941176471,26.47058824,32.35294118,-1,CAL
62,802.04,5.322128852,41.17647059,3.921568627,14.00560224,61-63,CAL,54.5,763.83,-1,CAL,7.4,139.5,1680,36,0,8,44,18,-1,CAL
67,827.52,5.780346821,41.32947977,4.335260116,8.959537572,66-68,CAL,59.5,789.32,-1,CAL,14.2,149.5,1870,28,0,5,33,27,-1,CAL
72,853.01,5.866666667,39.2,5.333333333,10.93333333,71-73,CAL,64.5,814.82,-1,CAL,6.2,159.5,2060,46.66666667,0,0,46.66666667,26.66666667,-1,CAL
77,878.49,3.672316384,38.70056497,6.497175141,5.367231638,76-78,CAL,69.5,840.31,-1,CAL,9.9,179.5,2430,16,0,8,24,44,-1,CAL
