year (AD) [1-1],age (BP) [1-1],Bsi_Raw (mg/g) [1-1],year (AD) [2-1],age (BP) [2-1],Bsi_3pt (mg/g) [2-1],year (AD) [3-1],age (BP) [3-1],Bsi_detrended_smoothed (mg/g) [3-1]
-457,2407,301.6507,-457,2407,285.3284,-430,2380,21.1081
-496.7,2446.7,333.5963,-496.7,2446.7,283.4875,-500,2450,47.1667
-536.3,2486.3,215.2156,-536.3,2486.3,217.5278,-570,2520,-60.3701
-576,2526,103.7716,-576,2526,174.1189,-640,2590,-41.8683
-615.7,2565.7,203.3697,-615.7,2565.7,170.5896,-710,2660,-19.9336
-655.5,2605.5,204.6275,-655.5,2605.5,199.2938,-780,2730,20.3181
-695.4,2645.4,189.8841,-695.4,2645.4,211.45,-850,2800,37.3206
-735.5,2685.5,239.8385,-735.5,2685.5,231.3509,-920,2870,48.0334
-775.8,2725.8,264.3302,-775.8,2725.8,257.9295,-990,2940,21.8109
-816.2,2766.2,269.6199,-816.2,2766.2,269.3242,-1060,3010,-27.131
-856.8,2806.8,274.0226,-856.8,2806.8,280.6739,-1130,3080,-86.3821
-897.5,2847.5,298.3792,-897.5,2847.5,288.1677,-1200,3150,-53.3696
-938.4,2888.4,292.1013,-938.4,2888.4,288.8556,-1270,3220,32.3272
-979.4,2929.4,276.0863,-979.4,2929.4,271.1617,-1340,3290,16.8688
-1020.6,2970.6,245.2975,-1020.6,2970.6,243.594,-1410,3360,11.6893
-1061.9,3011.9,209.3982,-1061.9,3011.9,219.1481,-1480,3430,17.8702
-1103.4,3053.4,202.7485,-1103.4,3053.4,176.8377,-1550,3500,36.2907
-1145,3095,118.3663,-1145,3095,148.64,-1620,3570,-2.6283
-1186.8,3136.8,124.8054,-1186.8,3136.8,175.4485,-1690,3640,-7.9662
-1228.7,3178.7,283.174,-1228.7,3178.7,234.905,-1760,3710,24.5432
-1270.8,3220.8,296.7357,-1270.8,3220.8,279.9646,-1830,3780,26.4577
-1313,3263,259.9841,-1313,3263,271.1203,-1900,3850,29.4845
-1355.4,3305.4,256.6412,-1355.4,3305.4,258.6397,-1970,3920,29.4998
-1398,3348,259.2937,-1398,3348,255.1071,-2040,3990,7.2947
-1440.7,3390.7,249.3865,-1440.7,3390.7,255.8699,-2110,4060,-36.3272
-1483.6,3433.6,258.9295,-1483.6,3433.6,260.6031,-2180,4130,-14.7813
-1526.7,3476.7,273.4935,-1526.7,3476.7,275.2397,-2250,4200,-0.2315
-1569.9,3519.9,293.2961,-1569.9,3519.9,273.5213,-2320,4270,-19.7928
-1613.3,3563.3,253.7743,-1613.3,3563.3,237.196,-2390,4340,-30.7312
-1656.9,3606.9,164.5178,-1656.9,3606.9,223.7406,-2460,4410,-95.7472
-1700.6,3650.6,252.9297,-1700.6,3650.6,230.6975,-2530,4480,-64.4534
-1744.5,3694.5,274.645,-1744.5,3694.5,256.6326,-2600,4550,2.1081
-1788.5,3738.5,242.323,-1788.5,3738.5,260.0222,-2670,4620,8.59
-1832.7,3782.7,263.0987,-1832.7,3782.7,255.262,-2740,4690,28.8052
-1877.1,3827.1,260.3642,-1877.1,3827.1,259.0725,-2810,4760,39.8433
-1921.6,3871.6,253.7547,-1921.6,3871.6,256.7332,-2880,4830,4.3059
-1966.3,3916.3,256.0807,-1966.3,3916.3,255.4373,-2950,4900,27.2325
-2011.2,3961.2,256.4764,-2011.2,3961.2,245.1,-3020,4970,17.3308
-2056.2,4006.2,222.743,-2056.2,4006.2,216.7439,-3090,5040,15.7874
-2101.4,4051.4,171.0124,-2101.4,4051.4,189.2733,-3160,5110,4.9076
-2146.7,4096.7,174.0644,-2146.7,4096.7,185.4927,-3230,5180,10.8493
-2192.2,4142.2,211.4012,-2192.2,4142.2,214.02440000000001,-3300,5250,21.0239
-2237.8,4187.8,256.6077,-2237.8,4187.8,211.46,-3370,5320,26.0764
-2283.7,4233.7,166.3712,-2283.7,4233.7,208.1511,-3440,5390,37.4897
-2329.6,4279.6,201.4746,-2329.6,4279.6,196.1947,-3510,5460,30.1913
-2375.8,4325.8,220.7384,-2375.8,4325.8,188.6829,-3580,5530,4.1882
-2422.1,4372.1,143.8358,-2422.1,4372.1,156.2284,-3650,5600,-17.6391
-2468.5,4418.5,104.111,-2468.5,4418.5,110.4429,-3720,5670,-54.0726
-2515.1,4465.1,83.3819,-2515.1,4465.1,145.4229,-3790,5740,-99.1603
-2561.9,4511.9,248.7758,-2561.9,4511.9,181.2476,-3860,5810,-82.4589
-2608.8,4558.8,211.5851,-2608.8,4558.8,227.1665,-3930,5880,7.2903
-2655.9,4605.9,221.1386,-2655.9,4605.9,223.7111,-4000,5950,48.3751
-2703.1,4653.1,238.4098,-2703.1,4653.1,233.1289,-4070,6020,29.0042
-2750.5,4700.5,239.8385,-2750.5,4700.5,260.7167,-4140,6090,24.6038
-2798.1,4748.1,303.9018,-2798.1,4748.1,253.7014,-4210,6160,8.9064
-2845.8,4795.8,217.3641,-2845.8,4795.8,243.9356,-4280,6230,15.7336
-2893.7,4843.7,210.541,-2893.7,4843.7,235.2995,-4350,6300,7.0669
-2941.7,4891.7,277.9935,-2941.7,4891.7,241.7683,-4420,6370,-25.3146
-2989.9,4939.9,236.7703,-2989.9,4939.9,253.7137,-4490,6440,-70.1015
-3038.2,4988.2,246.3773,-3038.2,4988.2,241.0196,-4560,6510,-34.0162
-3086.7,5036.7,239.9113,-3086.7,5036.7,246.577,-4630,6580,25.4834
-3135.4,5085.4,253.4425,-3135.4,5085.4,233.2241,-4700,6650,38.3024
-3184.2,5134.2,206.3186,-3184.2,5134.2,241.7665,-4770,6720,24.3515
-3233.1,5183.1,265.5383,-3233.1,5183.1,229.2358,-4840,6790,18.3752
-3282.3,5232.3,215.8506,-3282.3,5232.3,257.9461,-4910,6860,21.2311
-3331.5,5281.5,292.4495,-3331.5,5281.5,246.6047,-4980,6930,8.518
-3381,5331,231.5141,-3381,5331,262.6651,-5050,7000,-1.4056
-3430.6,5380.6,264.0316,-3430.6,5380.6,262.5703,-5120,7070,2.7703
-3480.3,5430.3,292.1651,-3480.3,5430.3,263.6071,-5190,7140,5.2671
-3530.2,5480.2,234.6248,-3530.2,5480.2,251.8528,-5260,7210,-1.7268
-3580.2,5530.2,228.7685,-3580.2,5530.2,231.3084,-5330,7280,-7.7268
-3630.5,5580.5,230.532,-3630.5,5580.5,212.7888,-5400,7350,-32.2294
-3680.8,5630.8,179.0658,-3680.8,5630.8,195.9246,-5470,7420,-48.416
-3731.3,5681.3,178.176,-3731.3,5681.3,156.8027,-5540,7490,-37.4446
-3782,5732,113.1662,-3782,5732,132.3739,-5610,7560,-6.5869
-3832.8,5782.8,105.7796,-3832.8,5782.8,123.334,-5680,7630,2.2984
-3883.8,5833.8,151.0561,-3883.8,5833.8,168.1142,-5750,7700,11.7661
-3934.9,5884.9,247.507,-3934.9,5884.9,229.8306,-5820,7770,15.4327
-3986.2,5936.2,290.9287,-3986.2,5936.2,261.9035,-5890,7840,27.7806
-4037.6,5987.6,247.2748,-4037.6,5987.6,260.0094,-5960,7910,17.367
-4089.2,6039.2,241.8246,-4089.2,6039.2,246.5119,-6030,7980,2.2111
-4140.9,6090.9,250.4363,-4140.9,6090.9,238.7944,-6100,8050,9.4633
-4193,6143,224.1224,-4193,6143,230.7078,-6170,8120,2.3
-4246.2,6196.2,217.5647,-4246.2,6196.2,230.0928,-6240,8190,-5.6471
-4300.6,6250.6,248.5914,-4300.6,6250.6,226.2823,-6310,8260,-37.1278
-4356,6306,212.6908,-4356,6306,226.8234,-6380,8330,-27.0387
-4412.3,6362.3,219.1881,-4412.3,6362.3,184.0791,-6450,8400,13.7839
-4469.2,6419.2,120.3584,-4469.2,6419.2,164.6179,-6520,8470,13.664
-4526.6,6476.6,154.3072,-4526.6,6476.6,156.1965,-6590,8540,-24.3452
-4584.3,6534.3,193.9238,-4584.3,6534.3,203.9411,-6660,8610,-20.225
-4642.2,6592.2,263.5921,-4642.2,6592.2,236.3176,-6730,8680,1.195
-4700,6650,251.4368,-4700,6650,250.9241,-6800,8750,18.023
-4757.7,6707.7,237.7433,-4757.7,6707.7,237.7065,-6870,8820,23.2824
-4815,6765,223.9395,-4815,6765,230.3406,-6940,8890,47.7332
-4871.7,6821.7,229.3389,-4871.7,6821.7,228.652,-7010,8960,48.1581
-4927.8,6877.8,232.6778,-4927.8,6877.8,224.5509,-7080,9030,20.3375
-4982.9,6932.9,211.6361,-4982.9,6932.9,214.6657,-7150,9100,-33.3985
-5037,6987,199.6832,-5037,6987,204.8786,-7220,9170,-83.0515
-5089.9,7039.9,203.3166,-5089.9,7039.9,202.7683,-7290,9240,-42.2027
-5141.4,7091.4,205.3052,-5141.4,7091.4,207.507,-7360,9310,-38.264
-5192.7,7142.7,213.8993,-5192.7,7142.7,201.0833,-7430,9380,-4.5966
-5245.2,7195.2,184.0453,-5245.2,7195.2,202.892,-7500,9450,4.7381
-5298.8,7248.8,210.7312,-5298.8,7248.8,190.1147,-7570,9520,8.2009
-5353.3,7303.3,175.5676,-5353.3,7303.3,182.3603,-7640,9590,28.7675
-5408.5,7358.5,160.7821,-5408.5,7358.5,159.4916,-7710,9660,26.4098
-5464.4,7414.4,142.1251,-5464.4,7414.4,147.6688,-7780,9730,34.0215
-5520.9,7470.9,140.0991,-5520.9,7470.9,152.4032,-7850,9800,61.6218
-5577.7,7527.7,174.9853,-5577.7,7527.7,171.2643,-7920,9870,33.7254
-5634.9,7584.9,198.7084,-5634.9,7584.9,186.9602,-7990,9940,-4.7078
-5692.2,7642.2,187.1869,-5692.2,7642.2,198.8553,-8060,10010,-29.8189
-5749.6,7699.6,210.6706,-5749.6,7699.6,198.2822,-8130,10080,-38.8949
-5806.9,7756.9,196.989,-5806.9,7756.9,208.9396,-8200,10150,-46.2057
-5864,7814,219.1592,-5864,7814,213.5008,-8270,10220,-42.0206
-5920.7,7870.7,224.3541,-5920.7,7870.7,215.283,-8340,10290,-17.9345
-5977,7927,202.3358,-5977,7927,204.8189,-8410,10360,22.92
-6032.8,7982.8,187.7669,-6032.8,7982.8,196.9237,-8480,10430,15.0772
-6087.8,8037.8,200.6683,-6087.8,8037.8,200.7223,-8550,10500,4.5621
-6142,8092,213.7316,-6142,8092,196.7677,-8620,10570,10.3895
-6195.2,8145.2,175.9031,-6195.2,8145.2,199.0173,-8690,10640,22.3529
-6247.4,8197.4,207.4171,-6247.4,8197.4,179.2698,-8760,10710,49.0812
-6298.3,8248.3,154.4894,-6298.3,8248.3,166.372,-8830,10780,63.6794
-6348.1,8298.1,137.2097,-6348.1,8298.1,157.4286,-8900,10850,25.7229
-6397.3,8347.3,180.5867,-6397.3,8347.3,179.4787,-8970,10920,-1.8015
-6446.1,8396.1,220.6397,-6446.1,8396.1,205.4415,-9040,10990,-23.273
-6494.5,8444.5,215.098,-6494.5,8444.5,218.2457,-9110,11060,-20.0302
-6542.5,8492.5,218.9994,-6542.5,8492.5,195.1363,-9180,11130,-27.9782
-6590.1,8540.1,151.3115,-6590.1,8540.1,179.7515,-9250,11200,-13.9248
-6637.4,8587.4,168.9435,-6637.4,8587.4,168.5697,-9320,11270,-7.8978
-6684.3,8634.3,185.4541,-6684.3,8634.3,188.2193,-9390,11340,-10.5578
-6730.9,8680.9,210.2603,-6730.9,8680.9,195.7707,-9460,11410,-6.731
-6777.1,8727.1,191.5977,-6777.1,8727.1,215.5919,-9530,11480,-2.776
-6822.9,8772.9,244.9177,-6822.9,8772.9,218.0355,NA,NA,NA
-6868.5,8818.5,217.591,-6868.5,8818.5,223.953,NA,NA,NA
-6913.7,8863.7,209.3503,-6913.7,8863.7,237.2428,NA,NA,NA
-6958.7,8908.7,284.787,-6958.7,8908.7,253.269,NA,NA,NA
-7003.3,8953.3,265.6698,-7003.3,8953.3,251.1448,NA,NA,NA
-7047.7,8997.7,202.9776,-7047.7,8997.7,234.9015,NA,NA,NA
-7091.8,9041.8,236.0571,-7091.8,9041.8,218.2359,NA,NA,NA
-7135.6,9085.6,215.673,-7135.6,9085.6,182.6665,NA,NA,NA
-7179.2,9129.2,96.2695,-7179.2,9129.2,137.186,NA,NA,NA
-7222.5,9172.5,99.6154,-7222.5,9172.5,119.8231,NA,NA,NA
-7265.6,9215.6,163.5844,-7265.6,9215.6,146.5339,NA,NA,NA
-7308.5,9258.5,176.402,-7308.5,9258.5,165.1138,NA,NA,NA
-7351.1,9301.1,155.3551,-7351.1,9301.1,165.9465,NA,NA,NA
-7393.6,9343.6,166.0823,-7393.6,9343.6,179.852,NA,NA,NA
-7435.4,9385.4,218.1187,-7435.4,9385.4,202.6135,NA,NA,NA
-7476.3,9426.3,223.6394,-7476.3,9426.3,213.6932,NA,NA,NA
-7516.2,9466.2,199.3214,-7516.2,9466.2,211.0784,NA,NA,NA
-7555.4,9505.4,210.2746,-7555.4,9505.4,209.3025,NA,NA,NA
-7593.8,9543.8,218.3115,-7593.8,9543.8,225.6207,NA,NA,NA
-7631.6,9581.6,248.2761,-7631.6,9581.6,234.9168,NA,NA,NA
-7668.9,9618.9,238.1627,-7668.9,9618.9,239.2677,NA,NA,NA
-7705.8,9655.8,231.3641,-7705.8,9655.8,234.2958,NA,NA,NA
-7742.3,9692.3,233.3605,-7742.3,9692.3,236.7909,NA,NA,NA
-7778.6,9728.6,245.648,-7778.6,9728.6,237.7665,NA,NA,NA
-7814.8,9764.8,234.291,-7814.8,9764.8,261.888,NA,NA,NA
-7850.8,9800.8,305.7251,-7850.8,9800.8,267.2075,NA,NA,NA
-7886.9,9836.9,261.6064,-7886.9,9836.9,272.141,NA,NA,NA
-7923.1,9873.1,249.0915,-7923.1,9873.1,236.0763,NA,NA,NA
-7959.6,9909.6,197.5309,-7959.6,9909.6,220.9477,NA,NA,NA
-7996.3,9946.3,216.2205,-7996.3,9946.3,197.0489,NA,NA,NA
-8033.4,9983.4,177.3952,-8033.4,9983.4,189.1638,NA,NA,NA
-8071,10021,173.8757,-8071,10021,174.3547,NA,NA,NA
-8109,10059,171.7934,-8109,10059,172.4215,NA,NA,NA
-8146.5,10096.5,171.5956,-8146.5,10096.5,165.1818,NA,NA,NA
-8183.1,10133.1,152.1565,-8183.1,10133.1,161.48,NA,NA,NA
-8219.2,10169.2,160.6878,-8219.2,10169.2,162.2983,NA,NA,NA
-8254.6,10204.6,174.0507,-8254.6,10204.6,163.2423,NA,NA,NA
-8289.4,10239.4,154.9885,-8289.4,10239.4,164.2988,NA,NA,NA
-8323.8,10273.8,163.8573,-8323.8,10273.8,174.5252,NA,NA,NA
-8357.7,10307.7,204.7297,-8357.7,10307.7,201.1383,NA,NA,NA
-8391.2,10341.2,234.8278,-8391.2,10341.2,222.519,NA,NA,NA
-8424.4,10374.4,227.9996,-8424.4,10374.4,235.5159,NA,NA,NA
-8457.3,10407.3,243.7204,-8457.3,10407.3,223.0827,NA,NA,NA
-8489.9,10439.9,197.528,-8489.9,10439.9,219.8699,NA,NA,NA
-8522.4,10472.4,218.3613,-8522.4,10472.4,201.5448,NA,NA,NA
-8554.8,10504.8,188.7451,-8554.8,10504.8,211.5492,NA,NA,NA
-8587.1,10537.1,227.5411,-8587.1,10537.1,207.2108,NA,NA,NA
-8619.4,10569.4,205.3462,-8619.4,10569.4,213.4222,NA,NA,NA
-8651.7,10601.7,207.3791,-8651.7,10601.7,214.4586,NA,NA,NA
-8684.2,10634.2,230.6505,-8684.2,10634.2,221.5035,NA,NA,NA
-8716.8,10666.8,226.4808,-8716.8,10666.8,226.4926,NA,NA,NA
-8749.6,10699.6,222.3465,-8749.6,10699.6,243.7059,NA,NA,NA
-8782.7,10732.7,282.2903,-8782.7,10732.7,263.6678,NA,NA,NA
-8816,10766,286.3665,-8816,10766,272.626,NA,NA,NA
-8849.8,10799.8,249.2213,-8849.8,10799.8,252.9359,NA,NA,NA
-8884,10834,223.2199,-8884,10834,230.5262,NA,NA,NA
-8918.7,10868.7,219.1374,-8918.7,10868.7,215.9884,NA,NA,NA
-8953.9,10903.9,205.6078,-8953.9,10903.9,203.7701,NA,NA,NA
-8989.7,10939.7,186.5652,-8989.7,10939.7,186.5845,NA,NA,NA
-9026.1,10976.1,167.5804,-9026.1,10976.1,174.8798,NA,NA,NA
-9063.2,11013.2,170.4938,-9063.2,11013.2,173.7396,NA,NA,NA
-9101.1,11051.1,183.1447,-9101.1,11051.1,176.9424,NA,NA,NA
-9139.9,11089.9,177.1887,-9139.9,11089.9,175.2542,NA,NA,NA
-9179.4,11129.4,165.4292,-9179.4,11129.4,167.3158,NA,NA,NA
-9219.9,11169.9,159.3295,-9219.9,11169.9,175.167,NA,NA,NA
-9261.4,11211.4,200.7421,-9261.4,11211.4,183.7643,NA,NA,NA
-9303.9,11253.9,191.2212,-9303.9,11253.9,191.9817,NA,NA,NA
-9347.5,11297.5,183.9818,-9347.5,11297.5,187.1107,NA,NA,NA
-9392.2,11342.2,186.129,-9392.2,11342.2,186.8408,NA,NA,NA
-9438.1,11388.1,190.4117,-9438.1,11388.1,180.8597,NA,NA,NA
-9485.3,11435.3,166.0385,-9485.3,11435.3,167.4855,NA,NA,NA
-9533.8,11483.8,146.0062,-9533.8,11483.8,145.5186,NA,NA,NA
-9583.6,11533.6,124.5112,-9583.6,11533.6,144.9172,NA,NA,NA
-9634.8,11584.8,164.2341,-9634.8,11584.8,152.8127,NA,NA,NA
-9687.5,11637.5,169.6928,-9687.5,11637.5,162.803,NA,NA,NA
-9741.8,11691.8,154.482,-9741.8,11691.8,160.9817,NA,NA,NA
-9797.6,11747.6,158.7703,-9797.6,11747.6,152.7113,NA,NA,NA
-9855,11805,144.8818,-9855,11805,155.9275,NA,NA,NA
-9914.1,11864.1,164.1304,-9914.1,11864.1,159.0949,NA,NA,NA
-9951.9,11901.9,168.2725,-9951.9,11901.9,161.1765,NA,NA,NA
-9961.7,11911.7,151.1267,-9961.7,11911.7,147.7446,NA,NA,NA
-9968.4,11918.4,123.8347,-9968.4,11918.4,126.1869,NA,NA,NA
-9996.6,11946.6,103.5992,-9996.6,11946.6,121.2193,NA,NA,NA
