year (AD),age (yr BP),d18O (permil)
1994,-44,29.8
1968,-18,28.6
1943,7,28.4
1918,32,27
1843,107,25.8
1818,132,26
1794,156,27.3
1769,181,27.4
1744,206,27.3
1387,563,29.2
1364,586,29
1341,609,28.7
1298,652,28.1
1254,696,27.6
1212,738,29
983,967,26.5
933,1017,28.4
791,1159,26.1
600,1350,25.5
528,1422,28.7
450,1500,28.2
349,1601,28.6
210,1740,27.5
34,1916,28.3
-170,2120,27.1
-390,2340,25.2
-611,2561,29.1
-1005,2955,28.8
-1307,3257,28
-1542,3492,28
-1737,3687,28.4
-1919,3869,28.7
-2105,4055,29
-2380,4330,28.6
-3086,5036,28.5
-3532,5482,28.5
-3601,5551,28.4
-3967,5917,29
-4414,6364,29.6
-4803,6753,28
-5223,7173,28.6
-5632,7582,27.4
-6423,8373,28.1
-6809,8759,29.4
-7173,9123,28.3
-7554,9504,29
