depth (cm),age (yr BP),ArtAmb (ratio),ArtChenoSar (ratio)
1,-58.16220766,0.58974359,0.409090909
2,-55.65959674,0.931034483,0.435897436
3,-53.15698581,1,0.428571429
4,-50.65561073,0.466666667,0.571428571
5,-48.16168856,0.4375,0.179487179
6,-45.68133179,0.666666667,0.428571429
7,-43.21521585,0.357142857,0.52
8,-40.7572174,0.757575758,0.414634146
9,-38.2794553,0.56097561,0.454545455
10,-35.7378725,0.529411765,0.098591549
11,-33.04546615,0.644444444,0.37037037
12,-30.08936799,0.529411765,0.471698113
13,-26.69619389,0.368421053,0.368421053
14,-22.662756,0.849056604,0.38028169
15,-17.72716733,0.846153846,0.333333333
16,-11.6006431,0.777777778,0.4
17,-3.945506365,0.741935484,0.317073171
18,5.596068544,0.846153846,0.263157895
19,17.4136101,0.941176471,0.346938776
20,31.90235106,0.803921569,0.483870968
21,49.44863844,0.897435897,0.510204082
22,70.41510854,0.928571429,0.459459459
23,95.07844064,0.891891892,0.320754717
24,123.6406238,0.957446809,0.393939394
28,273.7099049,0.791666667,0.34375
32,455.9914434,0.897435897,0.345454545
36,632.4278741,0.692307692,0.333333333
40,781.3131976,0.826086957,0.448275862
44,903.7544542,0.777777778,0.5
48,1002.539079,0.75862069,0.307692308
52,1080.454507,0.818181818,0.470588235
56,1140.288173,0.538461538,0.388888889
60,1184.827513,0.684210526,0.391304348
64,1216.85996,0.573770492,0.215189873
68,1239.172952,0.744680851,0.413793103
72,1254.553922,0.696969697,0.302325581
76,1265.790305,0.574468085,0.345454545
80,1275.669537,0.5,0.304347826
84,1286.979052,0.945945946,0.263157895
88,1302.480011,0.641025641,0.361702128
92,1323.743379,0.56097561,0.084745763
96,1350.688646,0.555555556,0.244444444
100,1383.113652,0.675675676,0.169811321
104,1420.816241,0.725490196,0.205479452
108,1463.594254,0.694444444,0.232323232
112,1511.245533,0.612903226,0.351351351
116,1563.56792,0.623529412,0.408163265
120,1620.359257,0.735849057,0.260273973
124,1681.417385,0.657142857,0.45
128,1746.540148,0.639344262,0.234567901
132,1815.525386,0.627906977,0.428571429
136,1888.170942,0.869565217,0.365079365
140,1964.274657,0.545454545,0.096774194
144,2043.634374,0.373134328,0.022222222
148,2126.047934,0.612903226,0.298701299
152,2211.31318,0.559322034,0.226666667
156,2299.227953,0.402597403,0.161290323
160,2389.590096,0.59375,0.108695652
164,2482.197449,0.548387097,0.28
168,2576.847856,0.741935484,0.367088608
172,2673.339157,0.441860465,0.087719298
176,2771.469196,0.719298246,0.152941176
180,2871.035814,0.7,0.214285714
184,2971.841417,0.689655172,0.113636364
188,3073.750388,0.653846154,0.102564103
192,3176.671772,0.381818182,0.310344828
196,3280.515601,0.306122449,0.142857143
200,3385.191906,0.32,0.222222222
204,3490.61072,0.2,0.181818182
208,3596.682073,0.622641509,0.228571429
212,3703.315999,0.547169811,0.490909091
216,3810.422527,0.245283019,0.047619048
220,3917.911691,0.777777778,0.379310345
224,4025.693521,0.827586207,0.127659574
228,4133.67805,0.655172414,0.043478261
232,4241.775309,0.62962963,0.113924051
236,4349.89533,0.902439024,0.164179104
240,4457.948145,0.6,0.107692308
244,4565.843785,0.682539683,0.630769231
248,4673.492282,0.692307692,0.1
252,4780.803667,0.68,0.12
256,4887.687974,0.707317073,0.186440678
260,4994.055232,0.5,0.245283019
264,5099.815474,0.777777778,0.142857143
268,5204.878732,0.714285714,0.521126761
272,5309.155037,0.607843137,0.261538462
276,5412.554421,0.542857143,0.255813953
280,5514.986915,0.814814815,0.240506329
284,5616.362552,0.804878049,0
288,5716.591364,0.64,0.242424242
292,5815.583381,0.371428571,-0.020408163
296,5913.248635,0.783783784,0.015384615
300,6009.497159,0.733333333,0.368421053
304,6104.238984,0.789473684,0.214285714
308,6197.3841410000005,0.818181818,0.428571429
312,6288.842663,0.724137931,0.111111111
316,6378.52458,0.666666667,0.346153846
320,6466.339926,0.671232877,0.207920792
324,6552.198731,0.384615385,0.028571429
328,6636.011027,0.661538462,0.161290323
332,6717.686895,0.846153846,0.125
336,6797.1718,0.904761905,0.304347826
340,6874.508964,0.783783784,0.064516129
344,6949.758353,0.791666667,0.116883117
348,7022.979929,0.76744186,0.245901639
352,7094.233657,0.777777778,0.103448276
356,7163.579501,0.733333333,0.019607843
360,7231.077424,0.652173913,0.101449275
364,7296.787391,0.692307692,0.113924051
368,7360.769365,0.673469388,0.261538462
372,7423.08331,0.939393939,0.103448276
376,7483.78919,0.448275862,0.135135135
380,7542.94697,0.744680851,0.093333333
384,7600.616612,0.666666667,-0.027777778
388,7656.858081,0.728813559,0.243902439
392,7711.731341,0.754385965,0.149425287
400,7817.613089,0.586206897,-0.041666667
404,7868.741504,0.823529412,0.050847458
408,7918.741566,0.583333333,0.117647059
412,7967.673238,0.783783784,0.269230769
416,8015.596485,0.627906977,0.076923077
420,8062.571269,0.791666667,0.246376812
424,8108.657555,0.489361702,0.111111111
428,8153.915307,0.511111111,0.133333333
432,8198.404489,0.7,0.259259259
436,8242.185065,0.85,0.01369863
440,8285.316998,0.714285714,0.016949153
444,8327.860252,0.754385965,0.315789474
448,8369.874792,0.70212766,-0.047619048
452,8411.420581,0.593220339,0.220779221
456,8452.557583,0.384615385,-0.25
460,8493.345763,0.6875,0.2
468,8574.115508,0.652173913,0.295454545
472,8614.217002,0.885714286,0.222222222
476,8654.209529,0.75,-0.01754386
480,8674.183668,0.674418605,0.263157895
