age (yr BP),depth (cm),Tukey_bigweight_mean (degC),sample (unitless),Mean consensus (degC),WAINV (degC),WAINV_total (degC),WACLS (degC),WACLS_total (degC),WAPLS-2 (degC),PLS-1 (degC),PLS-2 (degC)
507,45,10.57,WIN 45,10.61221429,10.4036,10.5444,10.4802,10.6474,10.6554,10.589,10.9655
595,50,9.95,WIN_50,9.9316,9.8161,10.0283,9.7422,10.0104,10.0728,9.5661,10.2853
689,55,9.07,WIN 55,8.8923,9.2232,9.2661,8.9973,9.0699,9.0482,8.4883,8.1531
789,60,9.17,WIN 60,8.902928571,9.3791,9.4469,9.1932,9.293,8.6464,8.9063,7.4556
894,65,9.09,WIN 65,9.100414286,9.2928,9.5516,9.0848,9.4221,8.8507,8.7845,8.7164
1004,70,9.23,WIN 70,9.244242857,9.3668,10.0178,9.1777,9.9975,9.1244,8.4757,8.5498
1120,75,8.86,WIN 75,8.850314286,9.1123,9.0409,8.8581,8.7919,8.5957,8.997,8.5563
1241,80,8.25,WIN 80,8.052242857,8.7713,8.3815,8.4296,7.9781,8.2356,7.4746,7.095
1368,85,9.55,WIN 85,9.294957143,9.6799,9.7937,9.5711,9.7209,8.9563,9.2686,8.0742
1500,90,8.35,WIN 90,8.238357143,8.7739,9.0535,8.4329,8.8074,7.7706,7.9123,6.9179
1638,95,8.85,WIN 95,8.834442857,9.1684,9.7646,8.9285,9.685,8.3312,8.1504,7.813
1781,100,8.97,WIN_100,8.919885714,9.2778,9.7293,9.066,9.6414,8.6426,8.2085,7.8736
1929,105,9.59,WIN 105,9.311814286,9.7854,10.1232,9.7036,10.1276,8.7558,8.6692,8.0179
2083,110,10.11,WIN 110,10.24631429,10.1741,10.7047,10.1919,10.8452,10.0557,9.7197,10.0329
2242,115,9.36,WIN115,9.348085714,9.5405,10.5714,9.3959,10.6807,9.2879,8.1452,7.815
2407,120,9.27,WIN 120,9.053442857,9.466,9.8746,9.3024,9.8208,9.0902,8.3806,7.4395
2577,125,9.96,WIN_125,9.907157143,10.0815,10.5559,10.0756,10.6616,9.7188,9.2431,9.0136
2753,130,9.98,WIN 130,9.7191,10.0612,10.3208,10.05,10.3714,9.4366,9.2682,8.5255
2937,135,9.6,WIN 135,9.583585714,9.7433,10.0161,9.6507,9.9954,9.4079,9.2666,9.0051
3136,140,9.11,WIN 140,8.867342857,9.3851,9.7965,9.2007,9.7244,8.3602,8.577,7.0275
3348,145,9.22,WIN 145,9.095285714,9.4395,9.6243,9.2691,9.5119,8.9671,8.6247,8.2304
3566,150,9.82,WIN_150,9.758728571,9.9834,10.578,9.9524,10.6888,9.4896,9.1003,8.5186
3784,155,9.78,WIN 155,9.704828571,9.9371,10.1651,9.8941,10.1792,9.3252,9.1792,9.2539
3998,160,9.4,WIN 161,9.217728571,9.6586,10.0989,9.5443,10.0976,8.8036,8.6001,7.721
4201,165,8.83,WIN 165,8.779371429,9.0924,9.4763,8.833,9.3292,8.3557,8.6649,7.7041
4388,170,8.12,WIN 170,7.983528571,8.6168,8.2515,8.2356,7.8177,8.0469,7.9887,6.9275
4553,175,9.83,WIN_175,9.676385714,9.9014,10.0492,9.8494,10.0363,9.6144,8.9278,9.3562
4701,180,7.87,WIN 180,7.805942857,8.2787,8.5992,7.8108,8.2467,7.6406,7.4911,6.5745
4922,190,10.04,WIN 190,10.00957143,10.1352,10.6032,10.143,10.7199,9.7126,9.5523,9.2008
5010,195,9.75,WIN 195,9.673414286,9.8064,10.6104,9.7299,10.7288,9.3684,9.2534,8.2166
5090,200,10.85,WIN_200,10.89374286,10.7552,11.6708,10.9219,12.0375,10.7052,10.1049,10.0607
5168,205,10.02,WIN 205,9.9947,10.1199,10.7988,10.1238,10.9613,9.4578,9.5633,8.938
5248,210,9.51,WIN 210,9.318985714,9.659,9.7523,9.5448,9.6699,9.1422,9.0491,8.4156
5338,215,9.51,WIN 215,9.372642857,9.7973,10.4986,9.7185,10.5909,8.8775,8.6295,7.4962
5442,220,9.45,WIN 220,9.397342857,9.7308,10.4572,9.6351,10.5398,8.6531,8.7917,7.9737
5566,225,10.04,WIN_225,9.490728571,10.0147,10.2103,9.9917,10.2351,9.1693,8.7799,8.0341
5728,231,10.88,WIN 231,10.7913,10.9267,10.9316,11.1374,11.1252,10.6148,10.6675,10.1359
5841,235,9.75,WIN 235,9.603385714,9.9067,10.2986,9.856,10.344,9.1459,9.3725,8.3
5986,240,10.15,WIN 240,9.899657143,10.2576,10.7729,10.2968,10.9293,9.7245,8.9377,8.3788
6138,245,9.16,WIN 245,9.0576,9.415,9.5108,9.2383,9.3718,8.7437,8.822,8.3016
6295,250,11.11,WIN_250,11.08791429,11.1256,11.4554,11.3872,11.7717,10.9376,10.528,10.4099
6457,255,10.79,WIN 255,10.65617143,10.9314,11.1534,11.1433,11.3989,10.393,10.0299,9.5433
6625,260,12.51,WIN 260,12.2442,12.2654,12.6892,12.819,13.2943,12.4427,10.9328,11.266
6798,265,12.52,WIN 265,12.54881429,12.45,12.9986,13.051,13.6761,12.277,11.7981,11.5909
6984,270,12.01,WIN 270,11.61331429,12.0716,12.2013,12.5756,12.6922,11.515,10.3747,9.8628
7175,275,12.05,WIN_275,11.8507,12.1225,12.3372,12.6395,12.8599,11.6971,10.7242,10.5745
7367,280,12.05,WIN_280,11.48821429,11.8754,12.3249,12.3291,12.8446,11.4823,10.1418,9.4194
7705,375,11.4,WIN_375,11.13238571,11.4295,12.0638,11.769,12.5225,10.7573,10.4476,8.937
7889,380,12.77,WIN 380,12.67714286,12.7654,13.2231,13.4472,13.9531,12.5334,11.8096,11.0082
8073,385,11.46,WIN 385,10.90717143,11.5595,11.7659,11.9323,12.1548,10.3728,9.9352,8.6297
8258,390,10.45,WIN 390,10.06685714,10.535,10.7939,10.6453,10.9553,9.6559,9.5421,8.3405
8442,395,11.76,WIN 395,11.22597143,11.8807,12.3537,12.3358,12.8802,10.5754,10.7909,7.7651
8663,401,11.17,WIN_401,11.03414286,11.1772,11.3097,11.4521,11.5918,10.9504,10.6392,10.1186
8810,405,12.65,WIN 405,12.6481,12.5351,12.3435,13.1579,12.8676,13.1056,11.9298,12.5972
8994,410,14.71,WIN 410,14.18584286,14.1443,14.6465,15.1795,15.7098,14.6752,12.7136,12.232
9179,415,13.61,WIN 415,13.57607143,13.3997,13.6553,14.244,14.4866,13.8164,12.5056,12.9249
9363,420,12.42,WIN 420,12.37807143,12.3801,12.9983,12.9632,13.6757,12.1648,11.6368,10.8276
9547,425,12.42,WIN_425,12.03211429,12.4078,12.6741,12.998,13.2757,11.8975,11.1753,9.7964
9731,430,13.44,WIN 430,13.33247143,13.1825,13.8044,13.9712,14.6705,13.4561,11.88,12.3626
9916,435,14.54,WIN435,14.55587143,14.359,13.6249,15.4492,14.449,15.451,13.752,14.806
10100,440,13.32,WIN 440,12.48698571,13.3504,13.1839,14.1822,13.9047,12.7617,10.6044,9.4216
10284,445,13.16,WIN 445,12.88724286,13.156,13.5451,13.9379,14.3506,13.0937,11.4436,10.6838
10505,451,13.24,WIN_451,13.45071429,12.9496,13.6792,13.6787,14.516,13.1947,13.1031,13.0337
10653,455,13.88,WIN 455,13.57448571,13.7339,13.9485,14.6638,14.8483,13.3338,13.2039,11.2892
10837,460,11.78,WIN 460,11.65892857,11.7025,12.4607,12.1119,13.0123,11.473,11.0809,9.7712
11021,465,10.81,WIN 465,10.42284286,10.9039,10.6843,11.1087,10.82,10.0433,10.7308,8.6689
11389,475,11.22,WIN_475,11.25922857,11.5765,11.2032,11.9537,11.4604,10.9191,10.8106,10.8911
11574,480,7.51,WIN 480,7.518885714,8.0265,7.9641,7.494,7.463,7.2558,7.5218,6.907
11758,485,10.15,WIN485,9.525085714,10.1146,10.4755,10.1171,10.5623,8.7255,9.7501,6.9305
12126,495,9.54,WIN 495,9.460157143,9.77,10.5974,9.6842,10.7127,8.7758,9.0057,7.6753
12311,500,6.6,WIN_500,6.5706,7.1664,7.2704,6.4136,6.607,5.7635,7.2376,5.5357
12495,505,7.34,WIN 505,7.310071429,7.8212,7.8729,7.2361,7.3505,6.4695,7.8788,6.5415
12679,510,10.27,WIN 510,9.638771429,10.4068,10.2361,10.4842,10.2669,8.8396,9.9199,7.3179
12863,515,12.05,WIN 515,11.91124286,12.3758,12.2164,12.9578,12.7107,11.5293,11.2987,10.29
13048,520,7.8,WIN 520,7.740785714,8.3906,8.3279,7.9514,7.912,7.0276,7.5004,7.0756
13048,525,7.84,WIN_525,7.837314286,8.2574,8.1997,7.7841,7.7537,7.0454,8.4858,7.3351
