depth (cm),age (yr BP),thickness (cm),color (unitless),layer_type (unitless),uncorrected_depth_top (cm),uncorrected_depth_bot (cm),error_younger_age (yr BP),error_older_age (yr BP)
15.02,1912,5,Gray,1A,15.04,20.04,1822,2006
19.02,1950,6.8,Olive,1B,23.22,30.02,1858,2046
29.36,2065,1.62,Gray,2A,40.38,42,1967,2165
32.56,2105,0.5,Gray,2B,45.22,45.72,2006,2205
35,2134,1.04,Gray,2C,48.18,49.22,2031,2246
36.68,2155,0.8,Gray,2D,50.92,51.72,2055,2260
37.5,2165,3.36,Gray,2E,52.56,55.92,2063,2269
44.06,2250,0.76,Gray,2F,62.5,63.26,2136,2364
44.84,2259,1.1,Gray,2G,64.06,65.16,2147,2377
50.86,2336,2.92,Gray,2H,71.22,74.14,2223,2461
67.26,2564,1.18,Gray,2I,98.44,99.62,2431,2689
72.56,2636,0.2,Gray,2J,104.94,105.14,2499,2751
84.72,2794,8.5,Gray,2K,117.32,125.82,2680,2915
89.42,2860,0.8,Gray,2L,130.54,131.34,2737,2999
89.78,2865,0.6,Gray,2M,131.72,132.32,2745,3001
91.36,2887,4.76,Gray,2N,133.92,138.68,2768,3017
98.6,2986,4.34,Gray,2O,145.94,150.28,2859,3116
102.2,3038,7.32,Olive,3A,153.9,161.22,2912,3162
106.02,3090,1.78,Gray,3B,165.06,166.84,2960,3217
116.22,3219,1.62,Gray,3C,177.06,178.68,3088,3340
118,3242,1.02,Gray,3D,180.48,181.5,3109,3360
125.6,3353,6.82,Gray,3E,189.12,195.94,3222,3476
150.48,3698,3,Gray,3F,220.84,223.84,3555,3837
153.82,3737,1.1,Gray,3G,227.2,228.3,3586,3881
164.04,3855,0.18,Gray,3H,232.94,233.12,3702,4001
177.76,4005,1.46,Olive,4A,246.86,248.32,3860,4149
177.76,4005,6.3,Gray,4B,248.34,254.64,3860,4149
177.92,4007,3.86,Gray,4C,254.82,258.68,3861,4151
185.32,4084,7.3,Gray,4D,266.1,273.4,3943,4221
200.96,4252,2.54,Gray,4E,289.12,291.66,4125,4373
211.16,4358,9.1,Gray,4F,301.88,310.98,4231,4476
220.18,4454,4.88,Gray,4G,320.02,324.9,4324,4579
238.68,4658,6.08,Gray,4H,343.42,349.5,4521,4780
269.94,5008,0.36,Gray,5A,383.76,384.12,4878,5147
278.62,5119,0.28,Gray,5B,392.82,393.1,4975,5257
290.76,5263,2.12,Gray,5C,405.26,407.38,5107,5392
295.36,5317,2.96,Olive,5D,412,414.96,5159,5441
301.26,5376,1.88,Gray,5E,420.88,422.76,5224,5495
305.64,5416,0.26,Gray,5F,427.16,427.42,5268,5536
308.74,5444,16.68,Gray,5G,430.54,447.22,5299,5561
318.68,5537,3.06,Gray,5H,457.16,460.22,5401,5651
332.36,5673,0.24,Gray,5I,473.94,474.18,5548,5791
370.22,6079,0.88,Gray,6A,512.08,512.96,5942,6204
386,6286,0.12,Gray,6B,525.56,525.68,6169,6403
415.26,6664,2.4,Gray,6C,558.94,561.34,6537,6781
423.38,6754,0.38,Gray,6D,569.48,569.86,6641,6859
429.08,6811,3.7,Gray,6E,575.6,579.3,6704,6916
433.06,6851,0.24,Gray,6F,583.3,583.54,6751,6953
433.46,6855,1.3,Gray,6G,583.96,585.26,6753,6958
435.42,6875,5.56,Gray,6H,587.24,592.8,6772,6980
449.12,7008,0.62,Gray,7A,610.32,610.94,6888,7125
455.16,7068,1.06,Gray,7B,617,618.06,6949,7185
471.62,7222,3.56,Gray,7C,634.56,638.12,7091,7336
473.4,7238,5.7,Gray,7D,639.94,645.64,7104,7356
479.04,7286,8.04,Gray,7E,651.3,659.34,7147,7421
479.06,7287,1.34,Gray,7F,659.36,660.7,7147,7421
487.6,7361,3.44,Olive,7G,669.3,672.74,7216,7501
513.84,7587,1.5,Olive,7H,697.98,699.48,7460,7719
514.22,7590,1.04,Olive,7I,699.88,700.92,7462,7723
515.22,7600,4.82,Gray,7J,701.94,706.76,7478,7730
530.24,7770,2.88,Gray,7K,721.8,724.68,7662,7880
539.38,7867,0.82,Gray,7L,733.84,734.66,7747,7977
551.32,7988,1.38,Gray,7M,746.62,748,7881,8092
594.5,8397,1.42,Olive,8A,791.44,792.86,8291,8499
603.78,8475,1.76,Gray,8B,802.74,804.5,8384,8577
610.4,8533,0.14,Gray,8C,811.14,811.28,8432,8643
611.24,8540,1.6,Gray,8D,812.14,813.74,8440,8649
622.98,8644,0.72,Olive,8E,824.92,825.64,8532,8765
622.98,8644,1.6,Gray,8F,825.66,827.26,8532,8765
634.6,8753,1.7,Gray,8G,838.9,840.6,8618,8898
637.96,8790,0.76,Olive,8H,843.98,844.74,8651,8935
652.96,8950,3.62,Gray,8I,859.84,863.46,8785,9108
652.96,8950,1.4,Olive,8J,863.48,864.88,8785,9108
653.96,8961,0.26,Olive,8K,865.9,866.16,8791,9122
655.26,8974,0.14,Olive,8L,867.48,867.62,8804,9136
659.2,9014,2.84,Gray,9A,871.58,874.42,8835,9183
659.72,9019,0.5,Gray,9B,874.82,875.32,8839,9189
661.44,9037,0.78,Gray,9C,877.1,877.88,8854,9211
662.44,9048,0.52,Gray,9D,878.9,879.42,8861,9224
664.14,9065,11.88,Olive,9E,881.12,893,8873,9251
