year (AD) [1-1],age (yr BP) [1-1],depth (cm) [1-1],LOI (%) [1-1],P. nitidum (no/cc) [1-1],V humeralis (no/cc) [1-1],d13C (permil) [1-1],d15N (permil) [1-1],C:N (ratio) [1-1],pinus/atremisia (ratio) [1-1],year (AD) [2-1],age (yr BP) [2-1],depth (cm) [2-1],lake_depth (m) [2-1],salinity (mg/L) [2-1],year (AD) [3-1],age (yr BP) [3-1],depth (unknown) [3-1],chacoal_influx (no/cm2/yr) [3-1]
-2110,4060,146.75,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9239,11189,267.5,0.1481
-2121,4071,147.25,54.6,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9426,11376,268.5,0.191
-2131,4081,147.75,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9614,11564,269.5,0.1832
-2142,4092,148.25,56.1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2153,4103,148.75,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2164,4114,149.25,55.82,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2175,4125,149.75,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2186,4136,150.25,54.71,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2197,4147,150.75,NA,0,0.0256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2208,4158,151.25,52.72,0,0.0512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2218,4168,151.75,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2229,4179,152.25,53.11,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2240,4190,152.75,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2250,4200,153.25,51.9,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2261,4211,153.75,NA,0,0,NA,NA,NA,2.5342,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2271,4221,154.25,51.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2282,4232,154.75,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2292,4242,155.25,51.11,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2303,4253,155.75,NA,0,0,15.97,-29.59,0.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2313,4263,156.25,50.76,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2324,4274,156.75,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2335,4285,157.25,50.98,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2345,4295,157.75,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2356,4306,158.25,53.12,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2367,4317,158.75,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2377,4327,159.25,51.68,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2387,4337,159.75,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2397,4347,160.25,53.26,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2408,4358,160.75,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2419,4369,161.25,54.93,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2429,4379,161.75,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2440,4390,162.25,53.29,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2451,4401,162.75,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2462,4412,163.25,54.99,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2472,4422,163.75,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2483,4433,164.25,54.86,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2494,4444,164.75,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2504,4454,165.25,54.79,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2515,4465,165.75,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2525,4475,166.25,52.26,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2535,4485,166.75,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2545,4495,167.25,53.64,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2556,4506,167.75,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2566,4516,168.25,53.69,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2577,4527,168.75,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2587,4537,169.25,52.17,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2597,4547,169.75,NA,0,0,17.09,-32.1,1.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2607,4557,170.25,52.48,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2618,4568,170.75,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2628,4578,171.25,51.89,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2638,4588,171.75,NA,0,0,NA,NA,NA,2.2727,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2648,4598,172.25,50.75,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2659,4609,172.75,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2669,4619,173.25,51.77,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2680,4630,173.75,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2690,4640,174.25,53.03,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2700,4650,174.75,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2710,4660,175.25,51.87,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2720,4670,175.75,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2730,4680,176.25,51.08,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2740,4690,176.75,NA,0,0.0256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2750,4700,177.25,50.14,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2761,4711,177.75,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2771,4721,178.25,51.3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2780,4730,178.75,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2790,4740,179.25,51.77,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2800,4750,179.75,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2810,4760,180.25,52.1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2820,4770,180.75,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2830,4780,181.25,52.62,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2840,4790,181.75,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2850,4800,182.25,52.51,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2860,4810,182.75,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2870,4820,183.25,52.77,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2880,4830,183.75,NA,0,0,19.18,-32.65,0.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2890,4840,184.25,54.25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2903,4853,184.75,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2917,4867,185.25,53.76,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2940,4890,185.75,NA,0,0,NA,NA,NA,2.0118,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2964,4914,186.25,53.02,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2987,4937,186.75,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-3010,4960,187.25,51.64,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-3033,4983,187.75,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-3056,5006,188.25,51.89,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-3079,5029,188.75,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-3102,5052,189.25,52.42,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-3125,5075,189.75,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-3148,5098,190.25,52.54,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-3172,5122,190.75,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-3196,5146,191.25,49.98,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-3220,5170,191.75,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-3244,5194,192.25,46.88,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-3267,5217,192.75,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-3291,5241,193.25,47.26,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-3315,5265,193.75,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-3339,5289,194.25,47.26,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-3362,5312,194.75,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-3386,5336,195.25,46.35,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-3409,5359,195.75,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-3433,5383,196.25,47.38,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-3457,5407,196.75,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-3481,5431,197.25,42.64,0,0,NA,NA,NA,1.7263,NA,NA,NA,NA,NA,NA,NA,NA,NA
-3504,5454,197.75,NA,0,0,18.98,-33.02,1.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-3528,5478,198.25,47.76,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-3551,5501,198.75,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-3574,5524,199.25,49.23,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-3597,5547,199.75,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-3621,5571,200.25,43.87,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-3647,5597,200.75,NA,0,0.064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-3673,5623,201.25,43.34,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-3698,5648,201.75,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-3724,5674,202.25,39.72,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-3750,5700,202.75,NA,0,0.0768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-3776,5726,203.25,40.47,0,0.0512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-3801,5751,203.75,NA,0,0.0512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-3827,5777,204.25,44.78,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-3852,5802,204.75,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-3877,5827,205.25,43.22,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-3900,5850,205.75,NA,0,0.1408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-3923,5873,206.25,54.91,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-3946,5896,206.75,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-3970,5920,207.25,54.64,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-3992,5942,207.75,NA,0,0.0512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-4015,5965,208.25,52.05,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-4038,5988,208.75,NA,0,0,NA,NA,NA,1.1128,NA,NA,NA,NA,NA,NA,NA,NA,NA
-4061,6011,209.25,49.46,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-4084,6034,209.75,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-4107,6057,210.25,45.55,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-4129,6079,210.75,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-4152,6102,211.25,43.75,0,0,18.55,-29.54,1.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-4175,6125,211.75,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-4198,6148,212.25,41.71,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-4220,6170,212.75,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-4243,6193,213.25,44.37,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-4266,6216,213.75,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-4289,6239,214.25,43.94,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-4312,6262,214.75,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-4335,6285,215.25,42.43,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-4358,6308,215.75,NA,0,0.0512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-4382,6332,216.25,36.73,0,0.0256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-4405,6355,216.75,NA,0.128,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-4428,6378,217.25,41.67,0,0.0768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-4439,6389,217.5,NA,0,0,NA,NA,NA,1.9474,NA,NA,NA,NA,NA,NA,NA,NA,NA
-4451,6401,217.75,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-4474,6424,218.25,42.53,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-4497,6447,218.75,NA,0,0.0256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-4521,6471,219.25,46.97,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-4544,6494,219.75,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-4567,6517,220.25,48.64,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-4590,6540,220.75,NA,0,0.0256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-4613,6563,221.25,48,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-4636,6586,221.75,NA,0,0.0256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-4660,6610,222.25,44.38,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-4683,6633,222.75,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-4707,6657,223.25,49.84,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-4730,6680,223.75,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-4754,6704,224.25,54.82,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-4777,6727,224.75,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-4801,6751,225.25,57.11,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-4825,6775,225.75,NA,0,0,16.74,-28.08,1.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-4849,6799,226.25,54.29,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-4874,6824,226.75,NA,0,0.1152,NA,NA,NA,2.2987,NA,NA,NA,NA,NA,NA,NA,NA,NA
-4898,6848,227.25,44.33,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-4922,6872,227.75,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-4946,6896,228.25,45.56,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-4971,6921,228.75,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-4995,6945,229.25,49.79,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-5020,6970,229.75,NA,0,0.0768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-5044,6994,230.25,46.79,0,0.0256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-5068,7018,230.75,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-5093,7043,231.25,43.39,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-5117,7067,231.75,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-5142,7092,232.25,46.88,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-5167,7117,232.75,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-5192,7142,233.25,44.49,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-5217,7167,233.75,NA,0,0.0768,NA,NA,NA,2.8571,NA,NA,NA,NA,NA,NA,NA,NA,NA
-5242,7192,234.25,41.78,0,0.704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-5266,7216,234.75,NA,0,0.1408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-5291,7241,235.25,37.21,0,0.448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-5315,7265,235.75,NA,0.128,0.2048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-5339,7289,236.25,45.37,0,0.6144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-5362,7312,236.75,NA,0,2.304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-5386,7336,237.25,39.28,0,1.2928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-5410,7360,237.75,NA,0,0.384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-5434,7384,238.25,39.47,0,0.1536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-5458,7408,238.75,NA,0,0.256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-5482,7432,239.25,45.87,0,0.064,18,-28.4,0.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-5507,7457,239.75,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-5531,7481,240.25,56.71,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-5556,7506,240.75,NA,0,0,NA,NA,NA,2.0769,NA,NA,NA,NA,NA,NA,NA,NA,NA
-5581,7531,241.25,48.97,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-5606,7556,241.75,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-5631,7581,242.25,28.2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-5656,7606,242.75,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-5681,7631,243.25,5.62,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-5706,7656,243.75,NA,0,0.0768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-5732,7682,244.25,26.48,0,0.0768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-5757,7707,244.75,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-5782,7732,245.25,31.24,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-5805,7755,245.75,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-5829,7779,246.25,29.67,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-5853,7803,246.75,NA,0,0,NA,NA,NA,1.7476,NA,NA,NA,NA,NA,NA,NA,NA,NA
-5877,7827,247.25,15.39,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-5901,7851,247.75,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-5925,7875,248.25,18.96,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-5950,7900,248.75,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-5974,7924,249.25,17.88,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-6015,7965,249.75,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-6056,8006,250.25,17.24,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-6145,8095,250.75,NA,0,1.088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-6235,8185,251.25,20.22,0.256,1.1008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-6323,8273,251.75,NA,0,0.4608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-6412,8362,252.25,22.52,0,0.3328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-6501,8451,252.75,NA,0,0.0768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-6589,8539,253.25,20.4,0,0,13.57,-28.62,1.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-6676,8626,253.75,NA,0,0,NA,NA,NA,2.9143,NA,NA,NA,NA,NA,NA,NA,NA,NA
-6764,8714,254.25,14.7,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-6853,8803,254.75,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-6942,8892,255.25,13.18,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-7035,8985,255.75,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-7129,9079,256.25,15.8,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-7223,9173,256.75,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-7317,9267,257.25,17.78,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-7411,9361,257.75,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-7505,9455,258.25,14.77,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-7599,9549,258.75,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-7693,9643,259.25,16.61,0,0,NA,NA,NA,4.3137,NA,NA,NA,NA,NA,NA,NA,NA,NA
-7787,9737,259.75,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-7881,9831,260.25,18.22,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-7975,9925,260.75,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-8069,10019,261.25,17.63,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-8163,10113,261.75,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-8257,10207,262.25,17.19,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-8351,10301,262.75,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-8445,10395,263.25,16.56,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-8539,10489,263.75,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
