year (AD),age (yr BP),d18O_VPBD (permil)
2006,-56,-12.5314016751852
1997.67105263158,-47.671052631579,-12.9369273842306
1981.01315789474,-31.0131578947369,-13.4206438932328
1964.35526315789,-14.3552631578948,-13.0191645408266
1947.69736842105,2.30263157894728,-12.9337813368481
1931.03947368421,18.9605263157896,-12.6437231344227
1914.38157894737,35.6184210526317,-12.9574256156025
1897.72368421053,52.2763157894738,-12.9990005621574
1881.06578947368,68.9342105263158,-12.8405180244016
1864.40789473684,85.5921052631579,-12.6688546778875
1847.75,102.25,-13.6875441453471
1831.09210526316,118.907894736842,-14.0175322385695
1814.43421052632,135.565789473684,-13.8426949664093
1797.77631578947,152.223684210526,-13.470655297788
1781.11842105263,168.881578947368,-13.3080536619929
1764.46052631579,185.539473684211,-13.4657965830015
1747.80263157895,202.197368421053,-13.3788962407924
1712.1208695625,237.8791304375,-13.5231978596031
1679.0361796875,270.9638203125,-13.4887699532265
1646.1277623125,303.8722376875,-12.9713369595526
1613.3948644375,336.6051355625,-13.0034780074234
1580.8367330625,369.1632669375,-13.5437501488727
1548.4526151875,401.5473848125,-14.1703536171663
1516.2417578125,433.7582421875,-13.6817438606877
1484.2034079375,465.7965920625,-13.6650140501647
1452.3368125625,497.6631874375,-13.3798994609579
1420.6412186875,529.3587813125,-13.8207381322869
1389.1158733125,560.8841266875,-13.7407414918369
1357.7600234375,592.2399765625,-13.8055453743972
1326.5729160625,623.4270839375,-13.5874095637131
1295.5537981875,654.4462018125,-13.1750473240051
1264.7019168125,685.2980831875,-13.5240369021552
1234.0165189375,715.9834810625,-13.2462835113372
1203.4968515625,746.5031484375,-13.1808504148799
1173.1421616875,776.8578383125,-12.4456087965812
1142.9516963125,807.0483036875,-12.5565461087225
1112.9247024375,837.0752975625,-12.7840972020071
1083.0604270625,866.9395729375,-12.8184026673716
1053.3581171875,896.6418828125,-12.5802532076912
1023.8170198125,926.1829801875,-13.4808737841493
994.4363819375,955.5636180625,-13.6855087583423
965.2154505625,984.7845494375,-13.662900285087
936.1534726875,1013.8465273125,-13.6506925450349
878.5033654375,1071.4966345625,-13.311386490614
849.9137300625,1100.0862699375,-13.431307834511
821.4800361875,1128.5199638125,-13.5810204020185
793.2015308125,1156.7984691875,-14.0029981725643
751.073104,1198.926896,-13.6239458601682
723.1792755,1226.8207245,-13.4353121832377
695.438,1254.562,-13.455340659783
667.8485245,1282.1514755,-12.9311692319889
640.410096,1309.589904,-12.9873137093716
613.1219615,1336.8780385,-13.2002678906634
585.983368,1364.016632,-13.4004132354741
558.9935625,1391.0064375,-13.4174043868241
532.151792,1417.8482080000001,-13.3636195301025
505.4573035,1444.5426965,-13.8344401549899
