depth (cm),age (yr 14C yr BP),temperatureWarmest (degC),temperatureColdest (degC),temperatureAnnual (degC),precipitation (mm)
0,0,13.72857143,-8.871428571,2.145242857,634.4285714
0.5,0.2,13.5,-9.057142857,1.939285714,638.5714286
2.5,0.8,13.72857143,-8.871428571,2.145242857,634.4285714
4,1.2,13.82857143,-8.914285714,2.200014286,623.8571429
6,1.8,13.77142857,-9.071428571,2.119057143,620.2857143
8.5,2.6,13.77142857,-9.071428571,2.119057143,620.2857143
10.5,3.2,13.28571429,-9.385714286,1.614285714,621.1428571
12.5,36,13.67142857,-9.028571429,2.064285714,630.8571429
14.5,68.8,13.92857143,-8.985714286,2.248814286,616.4285714
16.5,101.6,13.72857143,-8.871428571,2.145242857,634.4285714
18,126.2,13.75714286,-9.1,2.009528571,606.4285714
20,159,14.01428571,-9.085714286,2.114285714,577.1428571
22,191.8,13.54285714,-7.985714286,2.252371429,823.8571429
24,224.6,14.42857143,-7.485714286,2.883314286,776.4285714
26,257.4,14.67142857,-8.171428571,2.733328571,762.4285714
28,290.2,14.51428571,-8.742857143,2.559528571,574.2857143
30,323,13.82857143,-8.914285714,2.200014286,623.8571429
32,355.8,13.82857143,-8.914285714,2.200014286,623.8571429
34,388.7,14.28571429,-8.4,2.5619,583.7142857
36,421.5,13.15714286,-8.8,1.732142857,823.7142857
38,454.3,13.72857143,-8.871428571,2.145242857,634.4285714
40,487.1,13.98571429,-8.828571429,2.329771429,620
42,519.9,13.72857143,-8.871428571,2.145242857,634.4285714
44,552.7,13.64285714,-8.871428571,1.995228571,598.2857143
46,585.5,13.6,-9.185714286,1.879771429,610.2857143
48,618.3,13.72857143,-8.871428571,2.145242857,634.4285714
50,651.1,13.75714286,-9.1,2.009528571,606.4285714
52,683.9,13.5,-9.142857143,1.825,620.8571429
54,707.7,14.12857143,-8.714285714,2.469042857,622.4285714
56,728.4,13.97142857,-8.8,2.329757143,622.2857143
58,749.1,13.34285714,-9.328571429,1.754771429,633.7142857
60,769.8,12.62857143,-9.685714286,1.165485714,656.5714286
62.5,795.7,13.72857143,-8.871428571,2.145242857,634.4285714
65,821.6,12.67142857,-9.028571429,1.341657143,842.2857143
67.5,847.5,13.75714286,-9.1,2.009528571,606.4285714
70,873.4,13.72857143,-8.871428571,2.145242857,634.4285714
75,925.1,14.12857143,-8.642857143,2.385714286,579.7142857
