depth (cm),age (yr BP),temperatureWarmest (degC),temperatureColdest (degC),temperatureAnnual (deg C),precipitation (mm)
1,0.7,13.97142857,-8.957142857,2.283328571,614.4285714
2,14.4,12.58571429,-9.914285714,1.049985714,637.1428571
7,82.9,14.1,-8.857142857,2.402371429,610.7142857
12,151.4,14.84285714,-8.357142857,3.053571429,595.8571429
17,219.9,13.7,-8.985714286,2.097614286,628.5714286
22,288.4,13.68571429,-9.171428571,2.016657143,616.5714286
27,356.9,14.01428571,-8.9,2.321414286,610.1428571
32,425.4,12.71428571,-9.7,1.208328571,643.5714286
37,493.8,11.55714286,-10.6,0.195228571,634
42,562.3,12.6,-9.971428571,1.080942857,605.1428571
47,630.8,13.68571429,-9.142857143,2.028557143,617.5714286
52,699.3,13.11428571,-9.571428571,1.513085714,625.7142857
57,767.8,13.15714286,-9.514285714,1.553557143,628
62,836.3,12.64285714,-9.914285714,1.121414286,607.4285714
67,904.8,13.68571429,-9.142857143,2.028557143,617.5714286
72,973.3,13.68571429,-9.142857143,2.028557143,617.5714286
77,1041.8,12.58571429,-9.914285714,1.049985714,637.1428571
82,1110.3,14.01428571,-8.928571429,2.309514286,609.1428571
87,1178.8,12.94285714,-9.671428571,1.369042857,631.7142857
92,1247.3,13.54285714,-9.1,1.955957143,631.4285714
97,1315.8,13.11428571,-9.571428571,1.513085714,625.7142857
101,1370.6,14.1,-8.857142857,2.402371429,610.7142857
105,1425.4,13.52857143,-9.257142857,1.8988,619.8571429
110,1493.8,13.67142857,-9.157142857,2.007128571,613.8571429
116,1576,14.84285714,-8.328571429,3.065471429,596.8571429
121,1644.5,13.52857143,-9.285714286,1.8869,618.8571429
126,1713,11.71428571,-10.4,0.352357143,664.2857143
129,1754.1,11.71428571,-10.4,0.355928571,663.8571429
132,1795.2,11.94285714,-10.38571429,0.473785714,647.7142857
134,1822.6,12.24285714,-10.1,0.771414286,648.5714286
137,1863.7,11.27142857,-10.71428571,-0.047642857,671.2857143
139,1891.1,13,-9.628571429,1.4238,630.2857143
142,1932.2,13.15714286,-9.514285714,1.553557143,628
147,2000.7,13,-9.628571429,1.4238,630.2857143
153,2082.9,13.68571429,-9.142857143,2.028557143,617.5714286
158,2151.4,13.11428571,-9.571428571,1.513085714,625.7142857
161,2192.5,13,-9.628571429,1.4238,630.2857143
163,2219.9,12.58571429,-9.914285714,1.049985714,637.1428571
166,2261,13.68571429,-9.171428571,2.016657143,616.5714286
168,2288.4,14.42857143,-8.642857143,2.683328571,602.2857143
190,2589.7,13.55714286,-9.085714286,1.972628571,546.8571429
195,2702.8,13.47142857,-9.228571429,1.871442857,628.8571429
200,2882.8,11.32857143,-10.6,0.0393,596.1428571
202,2954.8,12.97142857,-9.428571429,1.478585714,564.1428571
207,3134.8,13.5,-9.057142857,1.939285714,638.5714286
212,3314.8,13.5,-9.057142857,1.939285714,638.5714286
216,3458.8,13.5,-9.057142857,1.939285714,638.5714286
221,3638.7,11.84285714,-10.35714286,0.433342857,574
226,3818.7,13.5,-9.057142857,1.939285714,638.5714286
230,3962.7,13.88571429,-8.842857143,2.265485714,539.4285714
235,4142.7,11.62857143,-10.31428571,0.3131,594.8571429
240,4322.7,11.84285714,-10.35714286,0.433342857,574
247,4574.6,12.78571429,-9.571428571,1.323814286,658.1428571
249,4646.6,11.61428571,-10.28571429,0.330957143,599
258,4970.6,10.91428571,-10.88571429,-0.330942857,602.5714286
267,5294.6,12.04285714,-10.02857143,0.683342857,588.4285714
270,5402.6,10.92857143,-10.87142857,-0.317857143,602.4285714
272,5474.6,12.04285714,-10.02857143,0.683342857,588.4285714
277,5654.5,11.44285714,-10.54285714,0.132128571,677
281,5798.5,11.71428571,-10.24285714,0.400014286,595.7142857
286,5978.5,13.67142857,-9.028571429,2.064285714,630.8571429
291,6158.5,12.95714286,-9.5,1.440471429,555.2857143
293,6230.5,10.8,-10.94285714,-0.4238,607.5714286
295,6302.5,12.15714286,-9.971428571,0.775,672.4285714
298,6410.5,13.3,-9.228571429,1.7643,644.2857143
300,6482.5,12.15714286,-9.971428571,0.775,672.4285714
