year (AD),age (BP),d18O (permil (VPBD))
1963.3,-13.3,-7.95
1948.29847,1.70153000000005,-9.44791
1933.2969,16.7030999999999,-9.88156
1918.2954,31.7046,-7.96803
1903.2939,46.7061000000001,-6.47207
1888.2923,61.7076999999999,-6.44769
1873.2908,76.7092,-6.44437
1858.2893,91.7107000000001,-6.3716
1843.288,106.712,-6.34487
1828.286,121.714,-6.41627
1813.285,136.715,-6.50867
1798.283,151.717,-6.33557
1783.282,166.718,-6.06742
1768.28,181.72,-5.91515
1753.279,196.721,-5.84227
1738.277,211.723,-5.75549
1723.275,226.725,-5.78626
1708.274,241.726,-5.84256
1693.272,256.728,-5.88
1678.271,271.729,-5.88
1663.269,286.731,-5.98815
1648.268,301.732,-6.10844
1633.266,316.734,-6.14515
1618.265,331.735,-6.18809
1603.263,346.737,-6.23525
1588.262,361.738,-6.28241
1573.26,376.74,-6.32957
1558.259,391.741,-6.37673
1543.257,406.743,-6.42389
1528.255,421.745,-6.47105
1513.254,436.746,-6.51821
1498.252,451.748,-6.56537
1483.251,466.749,-6.53072
1468.249,481.751,-6.44101
1453.248,496.752,-6.30656
1438.246,511.754,-6.25295
1423.245,526.755,-6.1371
1408.243,541.757,-5.94637
1393.242,556.758,-6.1557
1378.24,571.76,-6.45254
1363.239,586.761,-6.7687
1348.237,601.763,-6.8826599999999996
1333.236,616.764,-6.99663
1318.234,631.766,-7.11059
1303.232,646.768,-7.22456
1288.231,661.769,-7.15555
1273.229,676.771,-6.97661
1258.228,691.772,-6.69053
1243.226,706.774,-6.41583
1228.225,721.775,-6.47106
1213.223,736.777,-6.68749
1198.222,751.778,-6.48228
1183.22,766.78,-6.41935
1168.219,781.781,-6.41
1153.217,796.783,-6.41
1138.216,811.784,-6.39626
1123.214,826.786,-6.24994
1108.213,841.787,-6.04718
1093.211,856.789,-6.03255
1078.209,871.791,-6.10361
1063.208,886.792,-6.13927
1048.206,901.794,-6.12
1033.205,916.795,-6.12
1018.203,931.797,-6.23144
1003.202,946.798,-6.18791
988.2,961.8,-5.99555
973.199,976.801,-5.92559
958.197,991.803,-5.92726
943.2,1006.8,-5.8622
928.19,1021.81,-5.80646
913.19,1036.81,-5.85157
898.19,1051.81,-6.04831
883.19,1066.81,-5.91967
868.19,1081.81,-5.83078
853.19,1096.81,-5.95213
838.18,1111.82,-6.22509
823.18,1126.82,-6.45356
808.18,1141.82,-6.5501
793.18,1156.82,-6.38841
778.18,1171.82,-6.22672
763.18,1186.82,-6.06502
748.18,1201.82,-5.96687
733.17,1216.83,-5.89222
718.17,1231.83,-5.81698
703.17,1246.83,-5.86261
688.17,1261.83,-5.90082
673.17,1276.83,-6.13007
658.17,1291.83,-6.44442
643.16,1306.84,-6.23509
628.16,1321.84,-6.11405
613.16,1336.84,-6.15576
598.16,1351.84,-6.11166
583.16,1366.84,-6.01709
568.16,1381.84,-5.92251
553.16,1396.84,-5.95563
538.15,1411.85,-6.0622
523.15,1426.85,-6.01999
508.15,1441.85,-5.9936
493.15,1456.85,-5.9923
478.15,1471.85,-6.01319
463.15,1486.85,-6.03476
448.14,1501.86,-6.02493
433.14,1516.86,-6.01525
418.14,1531.86,-6.10601
403.14,1546.86,-6.14683
388.14,1561.86,-6.08144
373.14,1576.86,-6.26243
358.14,1591.86,-6.55864
343.13,1606.87,-6.77098
328.13,1621.87,-6.662
313.13,1636.87,-5.9221
298.13,1651.87,-5.81479
283.13,1666.87,-5.91677
268.13,1681.87,-5.84484
253.13,1696.87,-5.81063
238.12,1711.88,-5.75767
223.12,1726.88,-5.83413
208.12,1741.88,-6.02
193.12,1756.88,-5.99868
178.12,1771.88,-5.89769
163.12,1786.88,-6.21705
148.11,1801.89,-6.09992
133.11,1816.89,-5.78177
118.11,1831.89,-5.81555
103.11,1846.89,-5.90931
88.1099999999999,1861.89,-5.96957
73.1099999999999,1876.89,-6.09908
58.1099999999999,1891.89,-5.89519
43.0999999999999,1906.9,-5.93095
28.0999999999999,1921.9,-5.98596
13.0999999999999,1936.9,-6.16374
-1.90000000000009,1951.9,-6.26741
-16.9000000000001,1966.9,-6.52085
-31.9000000000001,1981.9,-6.47128
-46.9100000000001,1996.91,-6.37063
-61.9100000000001,2011.91,-6.29443
-76.9100000000001,2026.91,-5.87808
-91.9100000000001,2041.91,-5.93638
-106.91,2056.91,-6.0682
-121.91,2071.91,-6.37648
-136.91,2086.91,-6.19308
-151.92,2101.92,-6.04389
-166.92,2116.92,-6.06729
-181.92,2131.92,-6.112
-196.92,2146.92,-6.19509
-211.92,2161.92,-6.12288
-226.92,2176.92,-6.16976
-241.93,2191.93,-6.42871
-256.93,2206.93,-6.13146
-271.93,2221.93,-6.20576
-286.93,2236.93,-6.29758
