year (AD),age (yr BP),Temp (degC),precip (mm),age14C (yr BP)
1896,54,0,757.666666666667,54
1432,518,4.06666666666667,757.666666666667,484
572,1378,4.06666666666667,757.666666666667,1480
112,1838,4.06666666666667,757.666666666667,1893
-178,2128,4.06666666666667,757.666666666667,2142
-612,2562,5.53333333333333,1076,2477
-1004,2954,5.53333333333333,1076,2848
-1260,3210,4.9,1029.66666666667,3005
-1596,3546,5.53333333333333,1076,3318
-1795,3745,4.06666666666667,757.666666666667,3475
-1997,3947,5.53333333333333,1076,3632
-2267,4217,3.4,703,3820
-2564,4514,4.06666666666667,757.666666666667,4040
-2889,4839,4.06666666666667,757.666666666667,4260
-3342,5292,5.53333333333333,1076,4574
-3766,5716,4.06666666666667,757.666666666667,4981
-4248,6198,4.06666666666667,757.666666666667,5389
-4651,6601,5.53333333333333,1076,5796
-4993,6943,5.53333333333333,1076,6083
-5232,7182,5.53333333333333,1076,6250
-5396,7346,5.53333333333333,1076,6417
-5532,7482,-9.66666666666667,-393,6583
-5656,7606,-3.33333333333333,242.333333333333,6750
-5798,7748,6.06666666666667,1027.66666666667,6917
-5930,7880,-9.1,-367,7048
-6102,8052,-9.1,-367,7242
-6203,8153,-2.66666666666667,297,7338
-6311,8261,-12.1,-562.666666666667,7435
-6401,8351,-9.1,-367,7532
-6479,8429,-15.4333333333333,-661.333333333333,7628
-6557,8507,-11.4666666666667,-537,7725
-6645,8595,-15.4333333333333,-661.333333333333,7822
-6796,8746,-15.4333333333333,-661.333333333333,7931
-7037,8987,-15.4333333333333,-661.333333333333,8054
-7169,9119,-14.3666666666667,-533.333333333333,8177
-7376,9326,-14.3666666666667,-533.333333333333,8300
-7513,9463,-14.3666666666667,-533.333333333333,8450
-7614,9564,-14.0333333333333,-461.333333333333,8599
-7765,9715,-15.5,-656,8749
-8118,10068,-10.4,-245,8899
-8272,10222,-10.4,-245,9048
-8343,10293,-14.3666666666667,-533.333333333333,9136
-8366,10316,-15.4333333333333,-661.333333333333,9162
-8392,10342,-10.4,-245,9188
-8421,10371,-13.4,-440.666666666667,9214
-8456,10406,-13.633333333333301,-285.666666666667,9240
-8498,10448,-14.2,-464,9266
-8542,10492,-14.2,-464,9292
-8578,10528,-19.4666666666667,-877.666666666667,9315
-8617,10567,-19.4666666666667,-877.666666666667,9344
-8684,10634,-18.1666666666667,-752.333333333333,9404
-8856,10806,-8.63333333333333,-423.333333333333,9552
-9202,11152,1.5,-14,9700
-9306,11256,11.0666666666667,496,9848
-9458,11408,1.5,-14,9996
-9804,11754,1.5,-14,10119
-10014,11964,11.8333333333333,577.333333333333,10218
-10161,12111,-3.96666666666667,-243.333333333333,10316
-10347,12297,-18.3333333333333,-748,10414
-10582,12532,-20.2666666666667,-848.333333333333,10513
-10697,12647,6.03333333333333,412.666666666667,10611
-10790,12740,-23.8,-841,10710
