depth (m) [1-1],age (yr BP) [1-1],Temperature (degC) [1-1],Core (unitless) [1-1],Sample interval (cm) [1-1],UK37 (unitless) [1-1],UK37_error (1sigma) [1-1],U371sigmaUncertainty- (unitless) [1-1],K37s (Âµg/g) [1-1],Temperature_uncertainty_plus (degC) [1-1],Temperature_uncertainty_minus (degC) [1-1],depth (m) [1-2],age (yr BP) [1-2],BSI (percentByWeight) [1-2],depth (m) [1-3],age (yr BP) [1-3],Al (percent) [1-3],Mn (ppm) [1-3],Co (ppm) [1-3],Cr (ppm) [1-3],U (ppm) [1-3],Mo (ppm) [1-3],Cd (ppm) [1-3],Mo_xs (ppm) [1-3],U_xs (ppm) [1-3],depth (m) [1-4],age (yr BP) [1-4],TOC (percent) [1-4],TN (percent) [1-4],d13C (permil) [1-4],dN15 (permil) [1-4],dN15_corrected (permil) [1-4],depth (m) [1-5],age (yr BP) [1-5],d13C_benthic (permil) [1-5],d18O_benthic (permil) [1-5],depth (m) [1-6],age (yr BP) [1-6],d18O_plank (permil) [1-6],d13C_plank (permil) [1-6],depth (m) [1-7],age (yr BP) [1-7],d18O_Gb (permil) [1-7],d13C_Gb (permil) [1-7]
1.135,680,11,EW0408-85TC,-1,0.413,0.039,0.044,0.16,1.15,1.3,0,940,5.85,0,940,7.8,828,23.4,115,1.7,0.83,0.14,-0.65,-1.03,0,940,0.91,0.08,-23.41,3.8,4.43,0.03,994.23,-0.89,3.21,0.03,994.23,1.5,0.95,0.03,994.230769,1.58,0.58
0.055,1040,10,EW0408-85JC,-1,0.38,0.017,0.019,0.2,0.49,0.57,0.02,980,6.34,0.09,1102.69,8.25,891,22.7,123,1.6,0.8,0.13,-0.77,-1.29,0.02,976.15,0.95,0.09,-23.41,3.98,4.66,0.11,1138.85,-0.76,3.25,0.11,1138.85,1.39,0.98,0.11,1138.84615,1.76,0.38
0.245,1380,9.9,EW0408-85JC,-1,0.375,0.016,0.018,0.25,0.46,0.53,0.07,1070,8.79,0.18,1265.38,7.77,844,23.4,122,1.7,0.79,0.13,-0.69,-1.02,0.07,1066.54,0.86,0.07,-24.02,3.58,4.81,0.16,1229.23,-0.99,3.26,0.16,1229.23,1.51,0.91,0.16,1229.23077,2.03,0.39
0.405,1670,10.7,EW0408-85JC,-1,0.403,0.016,0.018,0.23,0.48,0.54,0.12,1160,7.44,0.28,1446.15,7.79,834,22.5,116,1.6,0.77,0.09,-0.71,-1.13,0.12,1156.92,0.9,0.07,-23.96,3.39,4.47,0.21,1319.62,-0.91,3.23,0.21,1319.62,1.47,0.86,0.21,1319.61538,1.81,0.41
0.505,1850,10.1,EW0408-85JC,-1,0.382,0.014,0.016,0.35,0.42,0.46,0.17,1250,4.23,0.39,1645,7.32,821,21.3,109,1.5,0.74,0.14,-0.65,-1.06,0.17,1247.31,0.89,0.07,-23.79,3.51,4.44,0.26,1410,-0.94,3.24,0.26,1410,1.37,0.79,0.26,1410,1.6,0.29
0.645,2110,11,EW0408-85JC,-1,0.413,0.016,0.018,0.28,0.47,0.52,0.22,1340,7.28,0.48,1807.69,7.92,869,21.9,116,1.6,0.77,0.18,-0.73,-1.17,0.22,1337.69,0.96,0.08,-23.56,3.97,4.8,0.31,1500.38,-0.81,3.29,0.31,1500.38,1.54,0.98,0.31,1500.38462,1.96,0.32
0.755,2300,10.7,EW0408-85JC,-1,0.404,0.015,0.016,0.39,0.43,0.47,0.27,1430,6.11,0.59,2006.54,7.41,853,20.9,112,1.9,0.81,0.19,-0.6,-0.69,0.27,1428.08,0.95,0.09,-23.6,3.95,4.83,0.36,1590.77,-0.84,3.26,0.36,1590.77,1.54,0.87,0.36,1590.76923,1.74,0.4
0.925,2610,10.7,EW0408-85JC,-1,0.402,0.016,0.017,0.29,0.46,0.5,0.32,1520,6.3,0.69,2187.31,7.66,841,21,111,1.8,0.93,0.17,-0.53,-0.88,0.32,1518.46,0.97,0.09,-23.55,4.21,5.09,0.41,1681.15,-0.8,3.19,0.41,1681.15,1.76,0.77,0.41,1681.15385,1.72,0.56
1.005,2760,10.2,EW0408-85JC,-1,0.387,0.016,0.018,0.31,0.46,0.52,0.37,1610,5.77,0.79,2368.08,7.43,817,19.5,112,1.8,0.8,0.17,-0.61,-0.8,0.37,1608.85,0.81,0.08,-23.11,4.28,4.71,0.46,1771.54,-0.86,3.18,0.46,1771.54,1.34,0.92,0.46,1771.53846,1.56,0.43
1.255,3070,10.2,EW0408-85JC,-1,0.387,0.015,0.016,0.37,0.43,0.47,0.42,1700,5.99,0.88,2530.77,7.21,819,21.4,103,1.8,0.8,0.21,-0.57,-0.72,0.42,1699.23,0.95,0.07,-23.2,3.99,4.46,0.54,1916.15,-0.85,3.23,0.54,1916.15,1.35,0.82,0.54,1916.15385,1.59,0.5
1.515,3370,9.5,EW0408-85JC,-1,0.362,0.015,0.017,0.22,0.44,0.51,0.47,1790,4.82,0.99,2729.62,7.57,932,19.9,124,1.7,0.79,0.16,-0.65,-0.95,0.47,1789.62,0.94,0.07,-23.08,4.16,4.56,0.59,2006.54,-0.88,3.25,0.59,2006.54,1.69,0.76,0.59,2006.53846,1.97,0.46
1.765,3610,9.7,EW0408-85JC,-1,0.367,0.015,0.017,0.4,0.44,0.51,0.52,1880,5.67,1.07,2854.8,7.85,981,20.7,121,1.7,0.68,0.14,-0.81,-1.05,0.52,1880,0.89,0.08,-22.99,4.29,4.62,0.64,2096.92,-0.96,3.15,0.64,2096.92,1.41,0.9,0.64,2096.92308,1.7,0.58
1.965,3790,9.2,EW0408-85JC,-1,0.352,0.014,0.016,0.32,0.42,0.48,0.57,1970,5.39,1.19,2994,7.47,899,19.2,113,2,0.92,0.13,-0.5,-0.61,0.57,1970.38,0.94,0.08,-22.94,4.34,4.63,0.69,2187.31,-0.75,3.2,0.69,2187.31,1.51,0.9,0.69,2187.30769,1.81,0.57
2.455,4540,9.3,EW0408-85JC,-1,0.354,0.016,0.02,0.23,0.48,0.59,0.62,2060,5.39,1.27,3086.8,7.82,866,19.1,106,1.7,0.88,0.11,-0.61,-1.04,0.62,2060.77,0.99,0.09,-22.86,4.31,4.52,0.74,2277.69,-0.9,3.23,0.74,2277.69,1.24,0.76,0.74,2277.69231,1.65,0.68
2.76,5000,9.1,EW0408-85JC,-1,0.35,0.028,0.032,NA,0.84,0.93,0.67,2150,5.59,1.37,3202.8,8.57,919,22.6,123,1.5,0.73,0.16,-0.9,-1.5,0.67,2151.15,0.85,0.08,-23.08,3.96,4.33,0.79,2368.08,-0.91,3.18,0.79,2368.08,1.43,0.96,0.79,2368.07692,1.98,0.56
3.005,5350,9,EW0408-85JC,-1,0.345,0.014,0.016,0.4,0.41,0.47,0.72,2240,5.31,1.49,3342,8.2,897,22.4,121,1.7,0.76,0.11,-0.8,-1.17,0.72,2241.54,0.82,0.08,-23.03,4.4,4.77,0.84,2458.46,-0.91,3.19,0.84,2458.46,1.58,0.86,0.84,2458.46154,1.84,0.56
3.075,5470,9.6,EW0408-85JC,-1,0.365,0.016,0.019,0.22,0.47,0.56,0.77,2330,7.04,1.57,3427.69,8.71,913,20.3,124,1.7,0.73,0.15,-0.92,-1.35,0.77,2331.92,0.72,0.07,-22.98,4.01,4.3,0.93,2612.12,-0.9,3.25,0.93,2612.12,1.83,0.77,0.93,2612.11538,1.6,0.56
3.105,5530,10.2,EW0408-85JC,-1,0.391,0.016,0.018,0.21,0.47,0.53,0.82,2420,5.16,1.69,3538.46,9.08,974,24.4,126,2.1,0.88,0.16,-0.85,-1.08,0.82,2422.31,0.98,0.11,-22.48,5.01,4.91,0.98,2702.5,-0.96,3.34,0.98,2702.5,1.61,0.75,1.04,2820,1.65,0.21
