year (AD),age (yr BP),RegionalMeanAnnualTemp (degC),T.MinusSD (degC),T.PlusSD (degC)
1950,0,0.235241123,0.221492626,0.24898962
1900,50,0.223203245,0.171681,0.27472549
1850,100,0.200113431,0.096693716,0.303533146
1800,150,0.235126073,0.052340246,0.4179119
1750,200,0.281393469,0.014043308,0.54874363
1700,250,0.351494879,-0.015430508,0.718420267
1650,300,0.39880691,-0.01246761,0.810081431
1600,350,0.456482589,-0.01275119,0.925716369
1550,400,0.441044488,0.074948869,0.807140106
1500,450,0.470460884,0.109418947,0.831502822
1450,500,0.483053506,0.145874599,0.820232413
1400,550,0.502115187,0.17396161500000001,0.830268759
1350,600,0.508732288,0.196529569,0.820935008
1300,650,0.519969324,0.223039295,0.816899354
1250,700,0.522621893,0.238214935,0.807028851
1200,750,0.509938711,0.240680138,0.779197283
1150,800,0.484312872,0.20748566,0.761140085
1100,850,0.435747033,0.151190603,0.720303463
1050,900,0.382528963,0.093895934,0.671161992
1000,950,0.319378311,0.040428853,0.598327769
950,1000,0.249584708,-0.001932899,0.501102316
900,1050,0.149103281,-0.040589242,0.338795804
850,1100,0.066941181,-0.096118811,0.230001172
800,1150,-0.008191166,-0.169952726,0.153570393
750,1200,-0.073151175,-0.243573102,0.097270751
700,1250,-0.157754358,-0.31276028,-0.002748436
650,1300,-0.238350414,-0.383971253,-0.092729576
600,1350,-0.304307907,-0.467764568,-0.140851245
550,1400,-0.371929328,-0.570937184,-0.172921472
500,1450,-0.436534506,-0.650237407,-0.222831606
450,1500,-0.525642329,-0.832918348,-0.21836631
400,1550,-0.526258774,-0.773654907,-0.27886264
350,1600,-0.533741474,-0.708992883,-0.358490065
300,1650,-0.572247206,-0.785518167,-0.358976246
250,1700,-0.519638716,-0.735556378,-0.303721054
200,1750,-0.513514306,-0.686392433,-0.340636179
150,1800,-0.516528897,-0.71171182,-0.321345973
100,1850,-0.508566058,-0.66963932,-0.347492795
50,1900,-0.514076508,-0.691887948,-0.336265067
0,1950,-0.529295579,-0.691758112,-0.366833045
-50,2000,-0.524097639,-0.721054609,-0.32714067
-100,2050,-0.504251005,-0.641601641,-0.366900369
-150,2100,-0.505901133,-0.686161905,-0.32564036
-200,2150,-0.455440126,-0.630965462,-0.27991479
-250,2200,-0.442793525,-0.621145527,-0.264441522
-300,2250,-0.382432686,-0.496011935,-0.268853438
-350,2300,-0.353890254,-0.502893747,-0.204886761
-400,2350,-0.292960308,-0.432997135,-0.152923481
-450,2400,-0.209437571,-0.37061859,-0.048256551
-500,2450,-0.13023978,-0.39776064,0.13728108
-550,2500,-0.075213087,-0.374737832,0.224311658
-600,2550,-0.050439628,-0.313575719,0.212696463
-650,2600,-0.039580391,-0.244173349,0.165012567
-700,2650,-0.057828454,-0.202053255,0.086396347
-750,2700,-0.03920204,-0.186954494,0.108550413
-800,2750,-0.014993479,-0.185098632,0.155111673
-850,2800,0.003517916,-0.221082643,0.228118475
-900,2850,0.03095794,-0.222920935,0.284836815
-950,2900,0.036454803,-0.243910489,0.316820096
-1000,2950,0.046934822,-0.289178266,0.38304791
-1050,3000,0.07814235,-0.27894714,0.43523184
-1100,3050,0.153334836,-0.121323352,0.427993024
-1150,3100,0.267626928,0.106423821,0.428830034
-1200,3150,0.310199152,0.127826159,0.492572145
-1250,3200,0.339687587,0.145054623,0.534320551
-1300,3250,0.358755982,0.152422837,0.565089127
-1350,3300,0.348465634,0.142822481,0.554108787
-1400,3350,0.349699275,0.134097138,0.565301411
-1450,3400,0.378117236,0.163760503,0.592473969
-1500,3450,0.395322289,0.203250001,0.587394577
-1550,3500,0.395944336,0.202215185,0.589673487
-1600,3550,0.387119925,0.213618867,0.560620983
-1650,3600,0.391088194,0.196726329,0.58545006
-1700,3650,0.36322632,0.196770767,0.529681873
-1750,3700,0.328676017,0.185537565,0.471814469
-1800,3750,0.293516681,0.083769914,0.503263447
-1850,3800,0.256339081,-0.020640912,0.533319074
-1900,3850,0.262500365,-0.017796959,0.542797688
-1950,3900,0.280451889,0.02239366,0.538510119
-2000,3950,0.300851704,0.066187835,0.535515573
-2050,4000,0.356112414,0.216580809,0.495644019
-2100,4050,0.398861489,0.332872119,0.464850859
-2150,4100,0.430319982,0.367903482,0.492736483
