depth (cm),age (yr 14C yr BP),temperatureWarmest (deg C),temperatureColdest (degC),temperatureAnnual (degC),precipitation (mm)
0,-40,25.9,7.014285714,16.14285714,399
10,-26.1,25.5,8,16.40834286,380.7142857
20,-12.3,23.05714286,5.8,13.8881,403.4285714
30,1.6,25.18571429,7.842857143,16.17501429,379
40,3,24,8.171428571,15.49644286,411
50,21.5,22.98571429,10.17142857,16.03928571,418
60,57.5,23.58571429,4.828571429,13.81787143,364.8571429
80,129.6,23.37142857,2.885714286,12.85834286,344.5714286
100,143.4,25.4,5.957142857,15.37501429,358.1428571
120,336.6,24.22857143,6.414285714,14.92382857,403.5714286
140,547.6,24.61428571,6.642857143,15.21668571,409
170,1105.6,23.72857143,7.014285714,14.92025714,406.1428571
183,1347.4,24.04285714,7.614285714,15.35597143,378.8571429
200,1663.6,25.28571429,7.371428571,15.9655,389.4285714
218,1965.2,23.8,4.085714286,13.57738571,353.7142857
240,2325.7,25.68571429,6.271428571,15.51668571,323.8571429
260,2653.4,24.22857143,6.414285714,14.92382857,403.5714286
280,2972.5,23.07142857,6.328571429,14.18691429,402.5714286
300,3283.1,22.7,8.657142857,15.11311429,385.1428571
320,3593.6,23.08571429,8.885714286,15.40597143,390.5714286
340,3780.9,25.28571429,7.371428571,15.9655,389.4285714
360,3901.8,25.28571429,7.371428571,15.9655,389.4285714
380,4022.8,25.05714286,5.228571429,14.83691429,393
401,4149.7,25.57142857,8.042857143,16.45955714,369.8571429
420,4327.3,25.28571429,6.885714286,15.84287143,336.4285714
440,4517.9,25.02857143,6.685714286,15.60001429,350.2857143
460,4708.5,25.92857143,6.928571429,15.959542860000001,318
480,4924.8,25.01428571,8.542857143,16.3631,350.8571429
501,5341,25.92857143,7.442857143,16.43215714,330.8571429
513,5578.8,24.68571429,8.171428571,15.94525714,373.2857143
530,5915.7,25.42857143,5.428571429,15.09644286,395.2857143
540,6113.9,24.71428571,3.957142857,13.99525714,383
