year (AD),age (yr BP),depth (cm),d13C (permil),d18O (permil)
-622.42,2572.42,2.493,-5.189,-8.718
-625.24,2575.24,2.496,-5.208,-8.691
-628.06,2578.06,2.499,-5.201,-8.75
-633.6,2583.6,2.505,-4.975,-8.599
-636.36,2586.36,2.508,-5.383,-8.611
-639.12,2589.12,2.511,-5.207,-8.652
-641.88,2591.88,2.514,-5.125,-8.765
-644.64,2594.64,2.517,-5.338,-8.737
-647.4,2597.4,2.52,-5.281,-8.881
-650.16,2600.16,2.523,-5.309,-8.702
-652.92,2602.92,2.526,-5.221,-8.694
-655.68,2605.68,2.529,-5.186,-8.724
-658.44,2608.44,2.532,-5.2,-8.731
-661.2,2611.2,2.535,-5.196,-8.733
-663.96,2613.96,2.538,-5.299,-8.737
-666.72,2616.72,2.541,-5.381,-8.801
-669.48,2619.48,2.544,-5.423,-8.794
-672.24,2622.24,2.547,-5.531,-8.777
-675,2625,2.55,-5.244,-8.732
-677.82,2627.82,2.553,-5.472,-8.814
-680.64,2630.64,2.556,-5.742,-8.874
-683.46,2633.46,2.559,-5.625,-8.77
-686.28,2636.28,2.562,-5.604,-8.682
-691.92,2641.92,2.568,-5.574,-8.694
-694.74,2644.74,2.571,-5.637,-8.773
-697.56,2647.56,2.574,-5.609,-8.789
-700.38,2650.38,2.577,-5.625,-8.817
-703.2,2653.2,2.58,-5.516,-8.728
-706.02,2656.02,2.583,-5.464,-8.754
-708.84,2658.84,2.586,-5.561,-8.795
-711.66,2661.66,2.589,-5.491,-8.822
-714.48,2664.48,2.592,-5.486,-8.761
-717.3,2667.3,2.595,-5.589,-8.804
-720.12,2670.12,2.598,-5.436,-8.787
-722.94,2672.94,2.601,-5.405,-8.818
-725.76,2675.76,2.604,-5.393,-8.79
-728.58,2678.58,2.607,-5.393,-8.814
-731.4,2681.4,2.61,-5.326,-8.893
-734.22,2684.22,2.613,-5.26,-8.744
-737.04,2687.04,2.616,-5.154,-8.768
-739.86,2689.86,2.619,-5.274,-8.786
-742.68,2692.68,2.622,-5.381,-8.803
-745.5,2695.5,2.625,-5.251,-8.704
-748.32,2698.32,2.628,-5.205,-8.714
-751.14,2701.14,2.631,-5.136,-8.86
-753.96,2703.96,2.634,-5.186,-8.776
-756.78,2706.78,2.637,-5.141,-8.727
-759.6,2709.6,2.64,-4.956,-8.655
-762.42,2712.42,2.643,-5.039,-8.723
-765.24,2715.24,2.646,-4.934,-8.622
-768.06,2718.06,2.649,-4.993,-8.584
-770.88,2720.88,2.652,-5.029,-8.722
-776.52,2726.52,2.658,-4.897,-8.712
-779.34,2729.34,2.661,-4.91,-8.659
-782.16,2732.16,2.664,-4.823,-8.616
-784.98,2734.98,2.667,-4.605,-8.551
-787.8,2737.8,2.67,-4.749,-8.696
-790.62,2740.62,2.673,-4.725,-8.633
-793.44,2743.44,2.676,-4.721,-8.613
-796.26,2746.26,2.679,-4.809,-8.702
-799.08,2749.08,2.682,-4.694,-8.645
-801.9,2751.9,2.685,-4.598,-8.645
-804.72,2754.72,2.688,-4.874,-8.688
-807.54,2757.54,2.691,-4.786,-8.656
-810.36,2760.36,2.694,-4.881,-8.71
-813.18,2763.18,2.697,-4.624,-8.635
-816,2766,2.7,-4.717,-8.746
-818.76,2768.76,2.703,-4.716,-8.614
-821.52,2771.52,2.706,-4.718,-8.566
-824.28,2774.28,2.709,-4.571,-8.649
-827.04,2777.04,2.712,-4.501,-8.58
-829.8,2779.8,2.715,-4.606,-8.564
-832.56,2782.56,2.718,-4.723,-8.572
-835.32,2785.32,2.721,-4.891,-8.655
-838.08,2788.08,2.724,-4.597,-8.643
-840.84,2790.84,2.727,-4.66,-8.62
-843.6,2793.6,2.73,-4.673,-8.601
-846.36,2796.36,2.733,-4.629,-8.595
-849.12,2799.12,2.736,-4.641,-8.57
-851.88,2801.88,2.739,-4.598,-8.533
-854.64,2804.64,2.742,-4.692,-8.564
-857.4,2807.4,2.745,-4.641,-8.711
-860.16,2810.16,2.748,-4.567,-8.547
-862.94,2812.94,2.751,-4.452,-8.65
-865.76,2815.76,2.754,-4.332,-8.656
-868.58,2818.58,2.757,-4.343,-8.685
-874.22,2824.22,2.763,-4.318,-8.525
-877.04,2827.04,2.766,-4.193,-8.51
-879.86,2829.86,2.769,-4.375,-8.661
-882.68,2832.68,2.772,-4.428,-8.597
-885.5,2835.5,2.775,-4.501,-8.7
-888.32,2838.32,2.778,-4.495,-8.657
-891.14,2841.14,2.781,-4.706,-8.643
-893.96,2843.96,2.784,-4.651,-8.602
-896.78,2846.78,2.787,-4.667,-8.653
-899.6,2849.6,2.79,-4.773,-8.778
-902.42,2852.42,2.793,-4.604,-8.667
-905.24,2855.24,2.796,-4.868,-8.625
-908.06,2858.06,2.799,-4.848,-8.683
-910.88,2860.88,2.802,-4.82,-8.686
-913.7,2863.7,2.805,-4.842,-8.67
-916.52,2866.52,2.808,-4.838,-8.65
-919.34,2869.34,2.811,-4.823,-8.619
-922.16,2872.16,2.814,-4.842,-8.604
-924.98,2874.98,2.817,-4.786,-8.774
-927.8,2877.8,2.82,-4.586,-8.693
-930.62,2880.62,2.823,-4.613,-8.862
-933.44,2883.44,2.826,-4.71,-8.856
-936.26,2886.26,2.829,-4.464,-8.892
-939.08,2889.08,2.832,-4.51,-8.861
-944.72,2894.72,2.838,-4.624,-8.913
-947.54,2897.54,2.841,-4.991,-8.984
-950.36,2900.36,2.844,-4.998,-9.129
-953.18,2903.18,2.847,-5.227,-9.096
-956,2906,2.85,-5.012,-9.041
-958.82,2908.82,2.853,-5.048,-9.017
-961.64,2911.64,2.856,-4.965,-9.125
-964.46,2914.46,2.859,-5.424,-9.08
-967.28,2917.28,2.862,-5.31,-9.125
-970.1,2920.1,2.865,-5.117,-9.011
-972.92,2922.92,2.868,-5.481,-9.001
-975.74,2925.74,2.871,-5.16,-8.926
-978.56,2928.56,2.874,-5.562,-8.816
-981.38,2931.38,2.877,-5.453,-8.752
-984.2,2934.2,2.88,-5.337,-8.919
-987.02,2937.02,2.883,-5.247,-8.677
-989.84,2939.84,2.886,-5.363,-8.746
-992.66,2942.66,2.889,-5.379,-8.843
-995.48,2945.48,2.892,-5.383,-8.79
-998.3,2948.3,2.895,-5.297,-8.846
-1001.12,2951.12,2.898,-5.478,-8.965
-1003.94,2953.94,2.901,-5.507,-8.876
-1006.76,2956.76,2.904,-5.694,-9.032
-1009.58,2959.58,2.907,-5.635,-9.033
-1012.4,2962.4,2.91,-5.647,-9.066
-1015.22,2965.22,2.913,-5.784,-9.09
-1018.04,2968.04,2.916,-5.958,-9.109
-1020.86,2970.86,2.919,-6.171,-9.205
-1023.68,2973.68,2.922,-6.36,-9.1
-1029.32,2979.32,2.928,-6.538,-9.126
-1032.14,2982.14,2.931,-6.583,-8.965
-1034.96,2984.96,2.934,-6.609,-9.098
-1040.6,2990.6,2.94,-6.659,-9.007
-1043.42,2993.42,2.943,-6.811,-8.984
-1046.24,2996.24,2.946,-6.566,-8.885
-1049.06,2999.06,2.949,-6.576,-8.809
-1051.92,3001.92,2.952,-6.66,-8.854
-1054.8,3004.8,2.955,-6.724,-8.756
-1057.68,3007.68,2.958,-6.86,-8.836
-1060.56,3010.56,2.961,-6.944,-8.771
-1063.44,3013.44,2.964,-6.842,-8.832
-1066.32,3016.32,2.967,-6.952,-8.994
-1069.2,3019.2,2.97,-6.949,-9.234
-1072.08,3022.08,2.973,-6.986,-9.052
-1074.96,3024.96,2.976,-7.063,-9.016
-1077.84,3027.84,2.979,-7.175,-9.041
-1080.72,3030.72,2.982,-6.974,-9.11
-1083.6,3033.6,2.985,-6.942,-9.086
-1086.48,3036.48,2.988,-6.912,-8.965
-1089.36,3039.36,2.991,-7.058,-9.047
-1095.12,3045.12,2.997,-7.254,-8.985
-1098,3048,3,-7.424,-8.943
-1100.82,3050.82,3.003,-7.439,-8.929
-1103.64,3053.64,3.006,-7.569,-8.901
-1106.46,3056.46,3.009,-7.66,-8.935
-1109.28,3059.28,3.012,-7.738,-8.867
-1114.92,3064.92,3.018,-7.889,-8.929
-1117.74,3067.74,3.021,-7.905,-8.813
-1120.56,3070.56,3.024,-7.893,-8.842
-1123.38,3073.38,3.027,-7.913,-8.913
-1126.2,3076.2,3.03,-7.709,-8.91
-1129.02,3079.02,3.033,-7.638,-8.937
-1131.84,3081.84,3.036,-7.511,-9.004
-1134.66,3084.66,3.039,-7.173,-8.985
-1137.48,3087.48,3.042,-6.883,-9.168
-1140.3,3090.3,3.045,-6.63,-9.136
-1143.12,3093.12,3.048,-6.441,-9.092
-1145.94,3095.94,3.051,-6.251,-8.997
-1148.76,3098.76,3.054,-6.19,-9.055
-1151.58,3101.58,3.057,-6.252,-9.109
-1154.4,3104.4,3.06,-6.411,-9.299
-1157.22,3107.22,3.063,-6.77,-9.209
-1160.04,3110.04,3.066,-6.605,-9.255
-1162.86,3112.86,3.069,-6.709,-9.004
-1165.68,3115.68,3.072,-6.628,-8.977
-1168.5,3118.5,3.075,-6.671,-8.959
-1171.32,3121.32,3.078,-6.696,-8.85
-1174.14,3124.14,3.081,-6.616,-8.884
-1176.96,3126.96,3.084,-6.61,-8.772
-1179.78,3129.78,3.087,-6.637,-8.907
-1182.6,3132.6,3.09,-6.702,-8.931
-1185.42,3135.42,3.093,-6.647,-9.043
-1188.24,3138.24,3.096,-6.466,-9.03
-1191.06,3141.06,3.099,-6.467,-9.166
-1193.88,3143.88,3.102,-6.321,-9.086
-1196.7,3146.7,3.105,-6.321,-9.359
-1199.52,3149.52,3.108,-6.286,-9.107
-1202.34,3152.34,3.111,-6.289,-8.953
-1205.16,3155.16,3.114,-6.38,-9.083
-1207.98,3157.98,3.117,-6.392,-8.962
-1210.8,3160.8,3.12,-6.418,-9.037
-1213.62,3163.62,3.123,-6.446,-9.075
-1216.44,3166.44,3.126,-6.355,-8.895
-1219.26,3169.26,3.129,-6.353,-9.055
-1222.08,3172.08,3.132,-6.215,-8.98
-1227.72,3177.72,3.138,-6.171,-9.175
-1230.54,3180.54,3.141,-6.085,-9.11
-1233.36,3183.36,3.144,-6.017,-9.185
-1236.18,3186.18,3.147,-5.952,-9.179
-1239,3189,3.15,-5.78,-9.352
-1241.88,3191.88,3.153,-5.743,-9.037
-1244.76,3194.76,3.156,-5.669,-9.053
-1247.64,3197.64,3.159,-5.61,-9.03
-1250.52,3200.52,3.162,-5.712,-8.82
-1253.4,3203.4,3.165,-5.69,-8.987
-1256.28,3206.28,3.168,-5.628,-8.86
-1259.16,3209.16,3.171,-5.566,-8.863
-1262.04,3212.04,3.174,-5.449,-8.982
-1264.92,3214.92,3.177,-5.424,-8.906
-1267.8,3217.8,3.18,-5.283,-8.874
-1270.68,3220.68,3.183,-5.207,-8.797
-1273.56,3223.56,3.186,-5.115,-8.717
-1276.44,3226.44,3.189,-4.968,-8.688
-1279.32,3229.32,3.192,-4.94,-8.65
-1285.08,3235.08,3.198,-4.858,-8.643
-1287.94,3237.94,3.201,-4.84,-8.623
-1290.76,3240.76,3.204,-4.845,-8.543
-1293.58,3243.58,3.207,-4.927,-8.545
-1296.4,3246.4,3.21,-5.014,-8.631
-1299.22,3249.22,3.213,-5.057,-8.74
-1302.04,3252.04,3.216,-5.086,-8.953
-1304.86,3254.86,3.219,-5.097,-8.657
-1307.68,3257.68,3.222,-5.13,-8.787
-1310.5,3260.5,3.225,-5.146,-8.599
-1313.32,3263.32,3.228,-5.044,-8.661
-1316.14,3266.14,3.231,-5.072,-8.654
-1321.78,3271.78,3.237,-5.043,-8.688
-1324.6,3274.6,3.24,-4.971,-8.919
-1327.42,3277.42,3.243,-4.907,-8.773
-1330.24,3280.24,3.246,-4.881,-8.76
-1333.06,3283.06,3.249,-4.763,-8.801
-1336.12,3286.12,3.252,-4.701,-8.873
-1339.3,3289.3,3.255,-4.729,-8.826
-1342.48,3292.48,3.258,-4.61,-8.877
-1345.66,3295.66,3.261,-4.57,-8.882
-1348.84,3298.84,3.264,-4.564,-8.868
-1352.02,3302.02,3.267,-4.515,-8.992
-1358.38,3308.38,3.273,-4.484,-8.972
-1361.56,3311.56,3.276,-4.415,-8.995
-1364.74,3314.74,3.279,-4.474,-8.99
-1367.92,3317.92,3.282,-4.511,-8.997
-1371.1,3321.1,3.285,-4.471,-8.902
-1374.28,3324.28,3.288,-4.48,-8.866
-1377.46,3327.46,3.291,-4.464,-8.79
-1380.64,3330.64,3.294,-4.515,-8.858
-1383.82,3333.82,3.297,-4.559,-8.886
-1387,3337,3.3,-4.645,-8.823
-1390.12,3340.12,3.303,-4.748,-8.773
-1393.24,3343.24,3.306,-4.822,-8.806
-1396.36,3346.36,3.309,-5.081,-8.851
-1399.48,3349.48,3.312,-4.929,-8.871
-1402.6,3352.6,3.315,-4.995,-8.807
-1405.72,3355.72,3.318,-5.042,-8.758
-1408.84,3358.84,3.321,-5.078,-8.813
-1411.96,3361.96,3.324,-5.112,-8.825
-1415.08,3365.08,3.327,-5.156,-8.842
-1418.2,3368.2,3.33,-5.173,-8.876
-1421.32,3371.32,3.333,-5.249,-8.862
-1424.44,3374.44,3.336,-5.244,-8.778
-1427.56,3377.56,3.339,-5.121,-8.818
-1430.68,3380.68,3.342,-5.109,-8.987
-1433.8,3383.8,3.345,-4.963,-8.876
-1436.92,3386.92,3.348,-4.94,-8.997
-1440.06,3390.06,3.351,-4.87,-8.734
-1443.24,3393.24,3.354,-4.975,-8.82
-1446.42,3396.42,3.357,-5.003,-9.052
-1449.6,3399.6,3.36,-5.05,-8.847
-1452.78,3402.78,3.363,-5.202,-8.885
-1455.96,3405.96,3.366,-5.248,-8.753
-1459.14,3409.14,3.369,-5.336,-8.657
-1462.32,3412.32,3.372,-5.209,-8.661
-1468.68,3418.68,3.378,-5.616,-8.599
-1475.04,3425.04,3.384,-5.551,-8.598
-1478.22,3428.22,3.387,-5.471,-8.518
-1481.4,3431.4,3.39,-5.303,-8.437
-1484.58,3434.58,3.393,-5.311,-8.599
-1487.76,3437.76,3.396,-5.116,-8.522
-1490.94,3440.94,3.399,-5.251,-8.493
-1494.08,3444.08,3.402,-5.362,-8.359
-1497.2,3447.2,3.405,-5.421,-8.56
-1500.32,3450.32,3.408,-5.504,-8.551
-1503.44,3453.44,3.411,-5.462,-8.746
-1506.56,3456.56,3.414,-5.478,-8.671
-1509.68,3459.68,3.417,-5.571,-8.704
-1512.8,3462.8,3.42,-5.567,-8.877
-1515.92,3465.92,3.423,-5.636,-8.505
-1519.04,3469.04,3.426,-5.593,-8.693
-1522.16,3472.16,3.429,-5.514,-8.688
-1525.28,3475.28,3.432,-5.469,-8.705
-1528.4,3478.4,3.435,-5.313,-8.68
-1531.52,3481.52,3.438,-5.147,-8.646
-1534.64,3484.64,3.441,-5.042,-8.463
-1537.76,3487.76,3.444,-4.852,-8.601
-1540.88,3490.88,3.447,-5.272,-8.797
-1544,3494,3.45,-4.793,-8.567
-1547.18,3497.18,3.453,-4.566,-8.468
-1550.36,3500.36,3.456,-4.47,-8.625
-1553.54,3503.54,3.459,-4.61,-8.611
-1556.72,3506.72,3.462,-4.393,-8.655
-1559.9,3509.9,3.465,-4.257,-8.58
-1563.08,3513.08,3.468,-4.273,-8.638
-1566.26,3516.26,3.471,-4.216,-8.605
-1569.44,3519.44,3.474,-4.317,-8.593
-1572.62,3522.62,3.477,-4.478,-8.56
-1575.8,3525.8,3.48,-4.405,-8.493
-1578.98,3528.98,3.483,-4.273,-8.534
-1582.16,3532.16,3.486,-4.201,-8.508
-1585.34,3535.34,3.489,-4.239,-8.614
-1588.52,3538.52,3.492,-4.379,-8.625
-1591.7,3541.7,3.495,-4.442,-8.708
-1594.88,3544.88,3.498,-4.431,-8.625
-1598.04,3548.04,3.501,-4.543,-8.723
-1601.16,3551.16,3.504,-4.514,-8.654
-1604.28,3554.28,3.507,-4.504,-8.64
-1607.4,3557.4,3.51,-4.511,-8.9
-1610.52,3560.52,3.513,-4.536,-8.686
-1613.64,3563.64,3.516,-4.457,-8.844
-1616.76,3566.76,3.519,-4.415,-8.745
-1619.88,3569.88,3.522,-4.413,-8.773
-1623,3573,3.525,-4.287,-8.792
-1626.12,3576.12,3.528,-4.325,-8.778
-1629.24,3579.24,3.531,-4.314,-8.794
-1632.36,3582.36,3.534,-4.363,-8.865
-1635.48,3585.48,3.537,-4.227,-8.864
-1638.6,3588.6,3.54,-4.34,-9.009
-1641.72,3591.72,3.543,-4.277,-9.006
-1644.84,3594.84,3.546,-4.454,-8.999
-1647.96,3597.96,3.549,-4.288,-9.054
-1651.12,3601.12,3.552,-4.249,-9.245
-1657.48,3607.48,3.558,-4.278,-9.034
-1660.66,3610.66,3.561,-4.339,-9.124
-1663.84,3613.84,3.564,-4.374,-8.924
-1667.02,3617.02,3.567,-4.39,-9.018
-1670.2,3620.2,3.57,-4.469,-8.911
-1673.38,3623.38,3.573,-4.57,-8.818
-1676.56,3626.56,3.576,-4.667,-8.865
-1679.74,3629.74,3.579,-4.576,-8.614
-1682.92,3632.92,3.582,-4.54,-8.621
-1686.1,3636.1,3.585,-4.518,-8.665
-1689.28,3639.28,3.588,-4.552,-8.675
-1692.46,3642.46,3.591,-4.586,-8.715
-1695.64,3645.64,3.594,-4.621,-8.678
-1698.82,3648.82,3.597,-4.61,-8.689
-1702,3652,3.6,-4.536,-8.807
-1705.12,3655.12,3.603,-4.604,-8.748
-1708.24,3658.24,3.606,-4.54,-8.761
-1711.36,3661.36,3.609,-4.572,-8.683
-1714.48,3664.48,3.612,-4.569,-8.744
-1717.6,3667.6,3.615,-4.671,-8.741
-1720.72,3670.72,3.618,-4.728,-8.628
-1723.84,3673.84,3.621,-4.734,-8.699
-1726.96,3676.96,3.624,-4.635,-8.675
-1730.08,3680.08,3.627,-4.595,-8.648
-1733.2,3683.2,3.63,-4.561,-8.655
-1736.32,3686.32,3.633,-4.577,-8.639
-1739.44,3689.44,3.636,-4.567,-8.63
-1742.56,3692.56,3.639,-4.646,-8.673
-1745.68,3695.68,3.642,-4.732,-8.805
-1748.8,3698.8,3.645,-4.669,-8.81
-1751.92,3701.92,3.648,-4.693,-8.484
-1755.06,3705.06,3.651,-4.86,-8.654
-1758.24,3708.24,3.654,-4.95,-8.502
-1761.42,3711.42,3.657,-5.091,-8.642
-1764.6,3714.6,3.66,-5.091,-8.606
-1767.78,3717.78,3.663,-5.071,-8.499
-1770.96,3720.96,3.666,-5.03,-8.374
-1774.14,3724.14,3.669,-5,-8.555
-1777.32,3727.32,3.672,-5.029,-8.594
-1780.5,3730.5,3.675,-5.046,-8.616
-1783.68,3733.68,3.678,-5.017,-8.365
-1786.86,3736.86,3.681,-4.984,-8.456
-1790.04,3740.04,3.684,-4.855,-8.476
-1793.22,3743.22,3.687,-4.699,-8.481
-1796.4,3746.4,3.69,-4.657,-8.745
-1799.58,3749.58,3.693,-4.586,-8.378
-1802.76,3752.76,3.696,-4.417,-8.503
-1805.94,3755.94,3.699,-4.385,-8.46
-1809.12,3759.12,3.702,-4.385,-8.384
-1812.3,3762.3,3.705,-4.27,-8.509
-1815.48,3765.48,3.708,-4.133,-8.593
-1818.66,3768.66,3.711,-4.037,-8.758
-1821.84,3771.84,3.714,-3.975,-8.893
-1825.02,3775.02,3.717,-3.911,-9.03
-1828.2,3778.2,3.72,-3.929,-9.009
-1831.38,3781.38,3.723,-3.518,-8.89
-1834.56,3784.56,3.726,-3.72,-8.746
-1837.74,3787.74,3.729,-3.865,-8.772
-1840.92,3790.92,3.732,-3.865,-8.652
-1844.1,3794.1,3.735,-3.977,-8.962
-1847.28,3797.28,3.738,-3.845,-8.731
-1850.46,3800.46,3.741,-3.849,-8.801
-1853.64,3803.64,3.744,-3.867,-8.844
-1856.82,3806.82,3.747,-3.92,-8.826
-1860,3810,3.75,-3.989,-8.886
-1863.12,3813.12,3.753,-4.074,-8.831
-1866.24,3816.24,3.756,-4.098,-8.95
-1869.36,3819.36,3.759,-4.319,-8.925
-1872.48,3822.48,3.762,-4.29,-9.024
-1875.6,3825.6,3.765,-4.452,-8.823
-1878.72,3828.72,3.768,-4.473,-8.795
-1881.84,3831.84,3.771,-4.5,-8.772
-1884.96,3834.96,3.774,-4.639,-8.634
-1888.08,3838.08,3.777,-4.636,-8.814
-1891.2,3841.2,3.78,-4.666,-8.784
-1894.32,3844.32,3.783,-4.534,-8.739
-1897.44,3847.44,3.786,-4.756,-8.734
-1900.56,3850.56,3.789,-4.787,-8.844
-1903.68,3853.68,3.792,-4.752,-8.816
-1906.8,3856.8,3.795,-4.797,-8.877
-1909.92,3859.92,3.798,-4.711,-8.823
-1912.68,3862.68,3.801,-4.176,-8.8
-1914.72,3864.72,3.804,-4.58,-8.725
-1916.76,3866.76,3.807,-4.565,-8.826
-1918.8,3868.8,3.81,-4.523,-8.735
-1920.84,3870.84,3.813,-4.494,-8.769
-1922.88,3872.88,3.816,-4.492,-8.763
-1924.92,3874.92,3.819,-4.491,-8.973
-1926.96,3876.96,3.822,-4.406,-8.817
-1929,3879,3.825,-4.438,-9.09
-1931.04,3881.04,3.828,-4.471,-8.92
-1933.08,3883.08,3.831,-4.541,-8.713
-1935.12,3885.12,3.834,-4.458,-8.734
-1937.16,3887.16,3.837,-4.514,-8.759
-1939.2,3889.2,3.84,-4.501,-8.852
-1941.24,3891.24,3.843,-4.573,-8.623
-1943.28,3893.28,3.846,-4.561,-8.691
-1945.32,3895.32,3.849,-4.563,-8.683
-1947.32,3897.32,3.852,-4.645,-8.811
-1949.3,3899.3,3.855,-4.673,-8.866
-1951.28,3901.28,3.858,-4.681,-8.864
-1953.26,3903.26,3.861,-4.603,-8.963
-1955.24,3905.24,3.864,-4.567,-8.871
-1957.22,3907.22,3.867,-4.537,-8.863
-1959.2,3909.2,3.87,-4.479,-8.854
-1961.18,3911.18,3.873,-4.52,-8.931
-1963.16,3913.16,3.876,-4.463,-9.076
-1965.14,3915.14,3.879,-4.511,-9.113
-1967.12,3917.12,3.882,-4.387,-8.898
-1969.1,3919.1,3.885,-4.387,-8.942
-1971.08,3921.08,3.888,-4.476,-8.934
-1973.06,3923.06,3.891,-4.427,-8.966
-1975.04,3925.04,3.894,-4.542,-8.987
-1977.02,3927.02,3.897,-4.587,-9.016
-1979,3929,3.9,-4.643,-8.994
-1980.98,3930.98,3.903,-4.594,-8.911
-1982.96,3932.96,3.906,-4.644,-8.854
-1984.94,3934.94,3.909,-4.748,-9.011
-1986.92,3936.92,3.912,-4.699,-8.913
-1988.9,3938.9,3.915,-4.646,-9.119
-1990.88,3940.88,3.918,-4.691,-9.036
-1992.86,3942.86,3.921,-4.685,-8.985
-1994.84,3944.84,3.924,-4.702,-9.075
-1996.82,3946.82,3.927,-4.635,-8.769
-1998.8,3948.8,3.93,-4.742,-9.095
-2000.78,3950.78,3.933,-4.812,-8.944
-2002.76,3952.76,3.936,-4.847,-8.965
-2004.74,3954.74,3.939,-4.91,-8.87
-2006.72,3956.72,3.942,-5.02,-8.823
-2008.7,3958.7,3.945,-5.058,-8.837
-2010.68,3960.68,3.948,-5.133,-8.711
-2012.66,3962.66,3.951,-5.171,-8.752
-2014.64,3964.64,3.954,-5.277,-8.895
-2016.62,3966.62,3.957,-5.342,-8.856
-2018.6,3968.6,3.96,-5.422,-8.763
-2020.58,3970.58,3.963,-5.498,-8.748
-2022.56,3972.56,3.966,-5.536,-8.664
-2024.54,3974.54,3.969,-5.595,-8.794
-2026.52,3976.52,3.972,-5.573,-8.719
-2028.5,3978.5,3.975,-5.651,-8.771
-2030.48,3980.48,3.978,-5.58,-8.686
-2032.46,3982.46,3.981,-5.58,-8.795
-2034.44,3984.44,3.984,-5.608,-8.78
-2036.42,3986.42,3.987,-5.47,-8.841
-2038.4,3988.4,3.99,-5.544,-8.727
-2040.38,3990.38,3.993,-5.426,-8.807
-2042.36,3992.36,3.996,-5.408,-8.696
-2044.34,3994.34,3.999,-5.278,-8.774
-2046.32,3996.32,4.002,-5.295,-8.739
-2048.3,3998.3,4.005,-5.26,-8.989
-2050.28,4000.28,4.008,-5.342,-8.777
-2052.26,4002.26,4.011,-5.292,-8.713
-2054.24,4004.24,4.014,-5.33,-8.728
-2056.22,4006.22,4.017,-5.337,-8.7
-2058.2,4008.2,4.02,-5.376,-9.011
-2060.18,4010.18,4.023,-5.367,-8.759
-2062.16,4012.16,4.026,-5.234,-8.672
-2064.14,4014.14,4.029,-5.233,-8.76
-2066.12,4016.12,4.032,-5.229,-8.73
-2068.1,4018.1,4.035,-5.086,-8.711
-2070.08,4020.08,4.038,-5.183,-8.799
-2072.06,4022.06,4.041,-4.968,-8.727
-2074.04,4024.04,4.044,-5.108,-8.648
-2076.02,4026.02,4.047,-5.21,-8.724
-2080.04,4030.04,4.053,-4.991,-8.756
-2082.08,4032.08,4.056,-5.01,-8.741
-2084.12,4034.12,4.059,-4.929,-8.759
-2086.16,4036.16,4.062,-4.952,-8.749
-2088.2,4038.2,4.065,-4.92,-8.715
-2090.24,4040.24,4.068,-4.937,-8.671
-2092.28,4042.28,4.071,-5.111,-8.592
-2094.32,4044.32,4.074,-5.119,-8.663
-2096.36,4046.36,4.077,-5.079,-8.662
-2098.4,4048.4,4.08,-5.091,-8.612
-2100.44,4050.44,4.083,-5.079,-8.706
-2102.48,4052.48,4.086,-4.977,-8.567
-2104.52,4054.52,4.089,-5.038,-8.799
-2106.56,4056.56,4.092,-5.095,-8.746
-2108.6,4058.6,4.095,-4.827,-8.841
-2110.64,4060.64,4.098,-5.087,-8.804
-2112.66,4062.66,4.101,-4.856,-8.68
-2114.64,4064.64,4.104,-4.835,-8.696
-2116.62,4066.62,4.107,-4.895,-8.69
-2118.6,4068.6,4.11,-4.87,-8.963
-2120.58,4070.58,4.113,-4.616,-8.759
-2122.56,4072.56,4.116,-4.806,-8.781
-2124.54,4074.54,4.119,-4.837,-8.708
-2126.52,4076.52,4.122,-4.691,-8.766
-2128.5,4078.5,4.125,-4.56,-8.813
-2130.48,4080.48,4.128,-4.586,-8.878
-2132.46,4082.46,4.131,-4.57,-8.861
-2134.44,4084.44,4.134,-4.573,-8.831
-2136.42,4086.42,4.137,-4.503,-8.807
-2138.4,4088.4,4.14,-4.625,-8.868
-2140.38,4090.38,4.143,-4.47,-8.875
-2142.36,4092.36,4.146,-4.575,-8.939
-2144.34,4094.34,4.149,-4.671,-8.898
-2146.32,4096.32,4.152,-4.615,-8.808
-2148.3,4098.3,4.155,-4.689,-8.851
-2150.28,4100.28,4.158,-4.655,-8.791
-2152.26,4102.26,4.161,-4.549,-8.792
-2154.24,4104.24,4.164,-4.581,-8.845
-2156.22,4106.22,4.167,-4.449,-8.73
-2158.2,4108.2,4.17,-4.466,-8.882
-2160.18,4110.18,4.173,-4.485,-8.804
-2162.16,4112.16,4.176,-4.483,-8.86
-2164.14,4114.14,4.179,-4.515,-8.806
-2166.12,4116.12,4.182,-4.371,-8.761
-2168.1,4118.1,4.185,-4.453,-8.994
-2170.08,4120.08,4.188,-4.521,-8.824
-2172.06,4122.06,4.191,-4.545,-8.893
-2174.04,4124.04,4.194,-4.58,-8.867
-2176.02,4126.02,4.197,-4.512,-8.849
-2178,4128,4.2,-4.7,-9.044
-2180.04,4130.04,4.203,-4.799,-8.725
-2182.08,4132.08,4.206,-4.676,-8.956
-2184.12,4134.12,4.209,-4.654,-8.815
-2186.16,4136.16,4.212,-4.642,-8.768
-2188.2,4138.2,4.215,-4.567,-8.693
-2190.24,4140.24,4.218,-4.502,-8.764
-2192.28,4142.28,4.221,-4.682,-8.726
-2194.32,4144.32,4.224,-4.547,-8.857
-2196.36,4146.36,4.227,-4.563,-8.804
-2198.4,4148.4,4.23,-4.548,-8.881
-2200.44,4150.44,4.233,-4.625,-8.851
-2202.48,4152.48,4.236,-4.657,-8.792
-2204.52,4154.52,4.239,-4.655,-8.644
