year (AD) [1-1],age (yr BP) [1-1],hole (unitless) [1-1],section (unitless) [1-1],interval (unitless) [1-1],varveCountedAgeKa (unitless) [1-1],varveCountedAgeAD0x2FBC (yr AD) [1-1],radiocarbonDatesAD0x2FBC (unitless) [1-1],d18OPachySLCorr (unitless) [1-1],d18O0x28pachy0x29 (unitless) [1-1],d18OBullSLCorr (unitless) [1-1],d18O0x28bull0x29 (unitless) [1-1],year (AD) [2-1],age (yr BP) [2-1],bulloidesTemp (degC) [2-1]
1949.99,0.00999999999999091,893A,01H,002_004,69,1881,NA,NA,NA,-0.041,-0.041,1941.030303,8.969697,13.02
1949.94,0.0599999999999454,NA,01H,014_016,102,1848,NA,0.335,0.335,-0.301,-0.301,1887.212121,62.787879,14.18
1949.93,0.0699999999999363,NA,01H,016_018,107,1843,NA,0.459,0.459,-0.066,-0.066,1878.242424,71.757576,13.13
1949.91,0.0899999999999181,NA,01H,020_022,116,1834,NA,0.195,0.195,-0.33,-0.33,1860.30303,89.69697,14.31
1949.89,0.1099999999999,NA,01H,025_027,129,1821,NA,0.223,0.223,-0.26,-0.26,1837.878788,112.121212,14
1949.87,0.130000000000109,NA,01H,029_031,140,1810,NA,0.279,0.279,-0.455,-0.455,1819.939394,130.060606,14.87
NA,NA,NA,NA,33,NA,1800,148,NA,NA,NA,NA,1786.412371,163.587629,13.63
1949.84,0.160000000000082,NA,01H,036_038,158,1792,NA,0.139,0.139,-0.177,-0.177,1765.628866,184.371134,14.68
1949.82,0.180000000000064,NA,01H,039_041,164,1786,NA,0.258,0.258,-0.411,-0.411,1713.670103,236.329897,14.02
1949.76,0.240000000000009,NA,01H,049_051,185,1765,NA,0.307,0.307,-0.264,-0.264,1698.082474,251.917526,15.04
NA,NA,NA,NA,55,NA,1760,310,NA,NA,NA,NA,1630.536082,319.463918,13.19
1949.75,0.25,NA,01H,052_054,191,1759,NA,0.245,0.245,-0.493,-0.493,1609.752577,340.247423,13.29
1949.68,0.319999999999936,NA,01H,065_067,214,1736,NA,0.213,0.213,-0.08,-0.08,1542.206186,407.793814,13.26
1949.66,0.339999999999918,NA,01H,069_071,221,1729,NA,-0.073,-0.073,-0.101,-0.101,1531.814433,418.185567,13.19
1949.59,0.410000000000082,NA,01H,082_084,244,1706,NA,0.078,0.078,-0.095,-0.095,1490.247423,459.752577,14.11
1949.58,0.420000000000073,NA,01H,084_086,247,1703,NA,0.079,0.079,-0.079,-0.079,1469.463917,480.536083,11.73
1949.54,0.460000000000036,NA,01H,092_094,261,1689,NA,0.2,0.2,-0.284,-0.284,1438.28866,511.71134,13.99
1949.52,0.480000000000018,NA,01H,096_098,268,1682,NA,0.217,0.217,0.247,0.247,1417.505155,532.494845,14.53
1949.49,0.509999999999991,NA,01H,102_105,278,1672,NA,-0.149,-0.149,-0.258,-0.258,1381.134021,568.865979,11.38
1949.47,0.529999999999973,NA,01H,106_108,285,1665,432,-0.098,-0.098,-0.379,-0.379,1370.742268,579.257732,10.55
1949.43,0.569999999999936,NA,01H,112_114,314,1636,NA,0.463,0.463,0.324,0.324,1360.350515,589.649485,NA
1949.42,0.579999999999927,NA,01H,114_116,324,1626,NA,0.821,0.821,0.511,0.511,1339.56701,610.43299,14.09
1949.41,0.589999999999918,NA,01H,116_118,334,1616,NA,-0.087,-0.087,NA,NA,1280.24,669.76,13.67
1949.39,0.6099999999999,NA,01H,120_122,354,1596,NA,0.5,0.5,-0.28,-0.28,1262.48,687.52,11.61
NA,NA,NA,NA,128,NA,1550,652,NA,NA,NA,NA,1244.72,705.28,11.58
1949.33,0.670000000000073,NA,01H,131_133,410,1540,NA,0.183,0.183,-0.186,-0.186,1215.12,734.88,13.51
1949.31,0.690000000000055,NA,01H,134_136,429,1521,NA,0.268,0.268,0.274,0.274,1191.44,758.56,NA
1949.29,0.710000000000036,NA,01H,137_139,447,1503,NA,0.304,0.304,0.28,0.28,1167.76,782.24,11.13
1949.27,0.730000000000018,NA,01H,142_144,478,1472,NA,0.288,0.288,-0.15,-0.15,1138.16,811.84,12.76
