year (AD) [1-1],age (BP) [1-1],depth (cm) [1-1],Actinocyclus_curvatulus (unitless) [1-1],Roperia_tesselata (unitless) [1-1],CAL (unitless) [1-1],Actinocyclus_octonarius (unitless) [1-1],Actinoptychus_spp. (unitless) [1-1],Azpeitia_nodulifer (unitless) [1-1],Coscinodiscus_spp. (unitless) [1-1],Cyclotella_spp. (unitless) [1-1],Stephanopyxis_spp. (unitless) [1-1],Number_counted (unitless) [1-1],year (AD) [2-1],age (BP) [2-1],depth (cm) [2-1],CAL (unitless) [2-1],Dictyocha_acueata (unitless) [2-1],D_aff_D_aculeata (unitless) [2-1],D_aspinosa (unitless) [2-1],D_calida (unitless) [2-1],D_calida_ampliata (unitless) [2-1],D_perlaevis (unitless) [2-1],D_stapedia (unitless) [2-1],Ds_speculum (unitless) [2-1],Octactis_pulchra_(lrg) (unitless) [2-1],O_pulchra_(med) (unitless) [2-1],O_pulchra_(small) (unitless) [2-1],O_pulchra_(thick) (unitless) [2-1],Numbe_counted (unitless) [2-1],year (AD) [3-1],age (BP) [3-1],depth (cm) [3-1],BSI (%) [3-1],CAL (unitless) [3-1],%Al (%) [3-1],%Si (%) [3-1],%Fe (%) [3-1],%Ti (%) [3-1],%Mg (%) [3-1],%K (%) [3-1],%P (%) [3-1],Ba (ppm) (unitless) [3-1],Sr (ppm) (unitless) [3-1],% Total C (%) [3-1],%TIC (%) [3-1],%TOC (%) [3-1],%CaCO3 (%) [3-1]
620,1330,0.5,5.5,1,CAL,2,32.3,13.9,21.4,22.4,1.5,201,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,615.6,1334.4,0,26.76,CAL,4.1,25.8,2.1,0.21,1.32,1.93,0.1,940,153,4.64,0,4.64,0
576.14,1373.86,5.5,7.5,6.5,CAL,2,31,16,19.5,15.5,2,200,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,527.9,1422.1,10,53.69,CAL,1.04,28,1.89,0.2,1.33,1.75,0.09,533,151,3.93,0,3.93,0
532.28,1417.72,10.5,7.5,1,CAL,5.5,32.5,18,28.5,6.5,0.5,200,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,440.2,1509.8,20,28.42,CAL,3.87,25.8,1.85,0.2,1.44,1.69,0.1,575,158,3.69,0,3.69,0
488.42,1461.58,15.5,10.5,24.5,CAL,1,21,1,11.5,27.5,3,200,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,352.5,1597.5,30,26.96,CAL,3.83,25,1.85,0.2,1.39,1.62,0.09,531,154,3.92,0,3.92,0
444.56,1505.44,20.5,11.3,3,CAL,1.3,38.3,3,18.3,24.3,0.3,300,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,264.7,1685.3,40,31.09,CAL,3.47,25.7,1.61,0.18,1.34,1.69,0.12,545,149,4.03,0,4.03,0
400.7,1549.3,25.5,4.4,16.3,CAL,9.4,29.6,10.3,15.8,13.8,0.5,203,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,177,1773,50,41.54,CAL,2.66,27.8,1.29,0.14,1.23,1.18,0.07,442,128,3.28,0,3.28,0
356.84,1593.16,30.5,5,39.5,CAL,3,21,3.5,12,16,0,200,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,89.3,1860.7,60,30.95,CAL,3.46,25.6,1.63,0.17,1.36,1.42,0.12,539,146,3.85,0,3.85,0
312.98,1637.02,35.5,6.5,2.5,CAL,4,35.5,18.5,19,13,1,200,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,1.59999999999991,1948.4,70,34.58,CAL,3.32,26.8,1.61,0.18,1.27,1.43,0.1,397,138,3.31,0,3.31,0
269.12,1680.88,40.5,13.5,2.5,CAL,6.5,39.5,3.5,23.5,10.5,0.5,200,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,-86.0999999999999,2036.1,80,28.85,CAL,3.75,25.6,1.69,0.19,1.38,1.78,0.1,508,161,3.37,0,3.37,0
225.26,1724.74,45.5,5.5,2.5,CAL,3,37,6,26,19.5,0.5,200,576.1,1373.9,5,CAL,0,6,0,3,2,6,8,NA,5,20,45,0,300,-173.9,2123.9,90,33.49,CAL,3.32,26.3,1.53,0.17,1.31,1.43,0.08,472,146,3.45,0.01,3.44,0.08
