depth (cm) [1-1],age (yr BP) [1-1],MJAT (degC) [1-1],depth (cm) [1-2],age (yr BP) [1-2],MJAT (degC) [1-2],Year (year ce) [1-2],SSE (unitless) [1-2],DeviationOf2K (degC) [1-2]
0,0,10.66,0,-57.1,11.805,2007.1,1.1065,0.838
5.6,112.6,10.98,1.9,-44.9,12.23,1994.9,1.0866,1.263
9.3,186.9,11.02,3.7,-33.3,12.158,1983.3,1.0896,1.191
14.9,299.5,10.89,5.6,-19.9,12.294,1969.9,1.1477,1.327
18.6,373.9,10.7,7.5,-3.8,12.001,1953.8,1.1349,1.034
24.2,486.4,10.77,9.3,11.5,11.62,1938.5,1.0695,0.653
27.9,560.8,10.31,11.2,25.5,12.242,1924.5,1.1323,1.275
33.1,665.3,10.37,13,37.6,12.375,1912.4,1.1185,1.408
37.7,757.8,10.4,14,44.3,11.721,1905.7,1.0974,0.755
42.4,852.2,10.52,14.9,50.4,12.071,1899.6,1.0694,1.104
47.5,954.7,10.6,15.8,59.2,11.634,1890.8,1.072,0.668
57.25,1150.7,9.37,16.8,69.4,11.961,1880.6,1.0763,0.994
62.25,1251.2,10.33,17.7,78.6,11.583,1871.4,1.0862,0.616
67.25,1351.7,10.95,18.6,87.8,12.18,1862.2,1.0966,1.213
72.25,1452.2,10.5,19.6,98,11.926,1852,1.0767,0.959
77.25,1552.7,9.68,20.5,104.2,11.807,1845.8,1.0561,0.84
82.25,1653.2,9.1,21.4,108.1,11.624,1841.9,1.0881,0.657
87.25,1753.7,9.05,22.4,112.5,11.527,1837.5,1.1041,0.56
92.25,1854.2,9.8,23.5,117.3,12.212,1832.7,1.1191,1.245
97.25,1954.7,9.41,24.2,120.3,11.898,1829.7,1.0944,0.931
102.25,2055.2,9.74,26.1,131.1,10.871,1818.9,1.0872,-0.096
107.25,2155.7,9.53,27.9,143,11.451,1807,1.084,0.484
112.25,2256.2,9.72,29.4,152.9,12.15,1797.1,1.1177,1.184
117.25,2356.7,9.79,31.2,163.4,11.897,1786.6,1.0896,0.93
122.25,2457.2,9.69,33.1,173.6,12.178,1776.4,1.2182,1.211
127.25,2557.7,9.37,34.5,181.1,11.868,1768.9,1.2132,0.901
132.25,2658.2,9.88,36.4,198.1,12.433,1751.9,1.1701,1.466
137.25,2758.7,9.47,37.7,211.4,11.925,1738.6,1.1423,0.958
142.25,2859.2,9.31,39.1,225.6,11.856,1724.4,1.1239,0.889
147.25,2959.7,9.62,41,242.1,10.996,1707.9,1.1553,0.029
152.25,3060.2,9.8,42.4,252.3,11.977,1697.7,1.0757,1.01
167.25,3361.7,9.87,44.3,266.1,11.349,1683.9,1.103,0.383
172.25,3462.2,9.75,46.1,281,11.151,1669,1.078,0.184
177.25,3562.7,9.73,47.5,293.5,11.404,1656.5,1.0861,0.437
182.25,3663.1,9.74,49,306.8,10.627,1643.2,1.1538,-0.339
187.25,3763.6,9.66,49.5,311.2,10.662,1638.8,1.2788,-0.305
192.25,3864.1,10.26,50.5,322,10.731,1628,1.3284,-0.236
197.25,3964.6,10.13,51.5,334.6,9.918,1615.4,1.7069,-1.049
202.25,4065.1,10.04,57.5,431.8,9.803,1518.2,1.0858,-1.164
207.25,4165.6,10.3,58.5,452.9,10.055,1497.1,1.5291,-0.912
212.25,4266.1,10.25,59.5,474.1,10.072,1475.9,1.6028,-0.895
217.25,4366.6,10.42,60.5,489.9,9.444,1460.1,1.6237,-1.522
222.25,4467.1,10.48,60.75,492,9.88,1458,1.8155,-1.087
227.25,4567.6,10.61,62,505.5,10.051,1444.5,1.6422,-0.916
232.25,4668.1,10.51,63.25,518,10.352,1432,1.4846,-0.615
237.25,4768.6,10.24,64.5,531.5,10.614,1418.5,1.2685,-0.353
243.25,4889.2,10.39,65.75,604.1,10.541,1345.9,1.145,-0.426
245.25,4929.4,10.54,67.25,748.5,11.178,1201.5,1.2295,0.211
247.25,4969.6,10.46,68.25,844.8,11.007,1105.2,1.067,0.04
249.25,5009.8,10.27,69.5,970,11.39,980,1.0987,0.423
251.25,5050,10.44,70.75,1040.3,11.296,909.7,1.0684,0.329
253.25,5090.2,10.51,72.25,1088,11.315,862,1.0666,0.348
255.25,5130.4,10.79,73.25,1119.8,11.439,830.2,1.0696,0.472
257.25,5170.6,10.81,74.5,1161.1,11.255,788.9,1.0877,0.288
259.25,5210.8,10.46,75.75,1210.3,10.695,739.7,1.068,-0.271
261.25,5251,10.52,77,1272.2,11.27,677.8,1.2045,0.303
263.25,5291.2,10.66,78.25,1329.3,9.866,620.7,1.1705,-1.1
265.25,5331.4,10.89,79.5,1391.2,10.362,558.8,1.623,-0.605
267.25,5371.6,10.59,80.75,1423.1,10.395,526.9,1.5499,-0.572
269.25,5411.8,10.88,82,1438.1,10.279,511.9,1.5966,-0.688
271.25,5452,10.9,83.25,1452,10.092,498,1.5538,-0.875
277.25,5572.6,10.32,84.5,1467,9.805,483,1.7507,-1.161
282.25,5673.1,10.5,85.75,1481.8,9.793,468.2,1.701,-1.174
287.25,5773.6,10.13,87,1498.7,10.036,451.3,1.6577,-0.931
292.25,5874.1,10.46,88.25,1514.3,10.071,435.7,1.4864,-0.895
297.25,5974.6,10.3,89.5,1531.2,10.735,418.8,1.4956,-0.232
298.25,5994.7,10.24,90.75,1550.4,9.204,399.6,1.4961,-1.763
299.25,6014.8,10.73,92,1574,9.783,376,1.6618,-1.184
300.25,6034.9,10.18,93.25,1595.8,10.174,354.2,1.4625,-0.793
301.25,6055,10.52,94.5,1619.5,9.456,330.5,1.4971,-1.511
302.25,6075.1,10.48,95.75,1644.8,10.095,305.2,1.6594,-0.872
303.25,6095.2,10.45,97,1675.1,10.081,274.9,1.6197,-0.885
304.25,6115.3,9.82,98.25,1703,10.226,247,1.4854,-0.74
305.25,6135.4,10.09,99.5,1733.2,9.495,216.8,1.7196,-1.472
306.25,6155.5,10.09,100.75,1756.8,9.89,193.2,1.6387,-1.077
307.25,6175.6,10.2,101.75,1773.9,9.756,176.1,1.5505,-1.211
308.25,6195.7,9.7,103.25,1799.6,10.044,150.4,1.787,-0.923
309.25,6215.8,10.21,104.5,1821.8,9.808,128.2,1.5689,-1.159
310.25,6235.9,9.26,105.75,1846.3,9.856,103.7,1.5898,-1.111
311.25,6256,10.87,110.75,1953.5,9.592,-3.5,1.6684,-1.374
312.25,6276.1,10.08,NA,NA,NA,NA,NA,NA
313.25,6296.2,10.72,NA,NA,NA,NA,NA,NA
314.25,6316.3,10.13,NA,NA,NA,NA,NA,NA
315.25,6336.4,10.2,NA,NA,NA,NA,NA,NA
316.25,6356.5,10.36,NA,NA,NA,NA,NA,NA
317.25,6376.6,10.53,NA,NA,NA,NA,NA,NA
318.25,6396.7,10.21,NA,NA,NA,NA,NA,NA
319.25,6416.8,10.16,NA,NA,NA,NA,NA,NA
320.25,6436.9,10.34,NA,NA,NA,NA,NA,NA
321.25,6457,10.63,NA,NA,NA,NA,NA,NA
322.25,6477.1,10.56,NA,NA,NA,NA,NA,NA
323.25,6497.2,10.49,NA,NA,NA,NA,NA,NA
324.25,6517.3,9.82,NA,NA,NA,NA,NA,NA
325.25,6537.4,10.17,NA,NA,NA,NA,NA,NA
326.25,6557.5,9.92,NA,NA,NA,NA,NA,NA
327.25,6577.6,10.31,NA,NA,NA,NA,NA,NA
328.25,6597.7,9.53,NA,NA,NA,NA,NA,NA
329.25,6617.8,9.94,NA,NA,NA,NA,NA,NA
330.25,6637.9,9.55,NA,NA,NA,NA,NA,NA
331.25,6658,10.09,NA,NA,NA,NA,NA,NA
332.25,6678.1,10.25,NA,NA,NA,NA,NA,NA
