depth (cm),age (yr BP),temperatureWarmest (degC),temperatureColdest (degC),temperatureAnnual (degC),precipitation (mm/yr)
2,227,13.34285714,-10.48571429,0.728571429,493.4285714
4,422,14.04285714,-10.08571429,1.335714286,468.2857143
6,557,13.15714286,-10.85714286,0.516671429,524.5714286
8,674,14.04285714,-10.08571429,1.335714286,468.2857143
10,818,13.34285714,-10.48571429,0.728571429,493.4285714
12,998,13.57142857,-10.4,0.958342857,486.1428571
14,1197,13.34285714,-10.48571429,0.728571429,493.4285714
18,1518,13.75714286,-10.17142857,1.109542857,485.2857143
20,1739,13.27142857,-10.44285714,0.720242857,515.1428571
22,1941,12.8,-10.7,0.333342857,511.1428571
24,2168,13.27142857,-10.44285714,0.720242857,515.1428571
26,2367,14.18571429,-10,1.448814286,488.7142857
28,2708,13.48571429,-10.4,0.884528571,503.2857143
29,2799,13.42857143,-10.5,0.820242857,508.7142857
30,2888,13.48571429,-10.45714286,0.895242857,511.7142857
32,3210,13.68571429,-10.37142857,1.032157143,497.4285714
34,3447,13.54285714,-10.58571429,0.880957143,511.1428571
36,3702,13.64285714,-10.42857143,1.007142857,506.2857143
38,3984,14.2,-9.557142857,1.682157143,555.7142857
40,4311,13.48571429,-10.45714286,0.895242857,511.7142857
42,4594,13.98571429,-9.671428571,1.497628571,565.7142857
44,4888,13.68571429,-10.37142857,1.032157143,497.4285714
46,5233,13.55714286,-9.685714286,1.2131,567.2857143
