depth (cm) [1-1],age (yr BP) [1-1],Tanom (degC) [1-1],Panom (cm) [1-1],T-SD (degC) [1-1],T+SD (degC) [1-1],p-SD (cm) [1-1],p+SD (cm) [1-1],CoreSite (unitless) [1-1],depth (cm) [2-1],age (yr BP) [2-1],Tanom (degC) [2-1],Panom (cm) [2-1],T-SD (degC) [2-1],T+SD (degC) [2-1],p-SD (cm) [2-1],p+SD (cm) [2-1],CoreSite (unitless) [2-1],depth (cm) [3-1],age (yr BP) [3-1],Tanon (degC) [3-1],Panom (cm) [3-1],core (unitless) [3-1],T-SD (degC) [3-1],T+SD (degC) [3-1],P-SD (cm) [3-1],P+SD (cm) [3-1]
200,10469,-1.313981,-10.0939,-1.673797,-0.9361187,-14.46299,-6.402663,HCCM,10,408,0.1186137,11.26855,-0.2761932,0.4939111,7.080403,16.64462,TM,10,408,0.1186137,11.26855,TM,-0.2761932,0.4939111,7.080403,16.64462
206,10583,-1.617579,-7.901346,-1.997256,-1.227139,-12.14244,-4.119747,HCCM,30,1225,0.5111893,8.42289,-0.02678973,1.016273,3.753853,14.10239,TM,30,1225,0.5111893,8.42289,TM,-0.02678973,1.016273,3.753853,14.10239
220,10842,-2.854613,1.097494,-3.269501,-2.448125,-2.813282,5.485855,HCCM,40,1633,0.9939757,4.91465,0.5053962,1.459241,0.5707409,9.936102,TM,40,1633,0.9939757,4.91465,TM,0.5053962,1.459241,0.5707409,9.936102
240,11194,-1.773931,-6.779186,-2.182533,-1.353493,-11.02519,-2.860746,HCCM,50,2037,0.209416,10.61665,-0.3554631,0.7271184,5.816883,16.80134,TM,50,2037,0.209416,10.61665,TM,-0.3554631,0.7271184,5.816883,16.80134
250,11363,-4.866167,15.78132,-5.405954,-4.375617,10.65974,22.67712,HCCM,60,2417,-1.1894,20.80774,-1.824006,-0.6204841,14.98195,28.87771,TM,60,2417,-1.1894,20.80774,TM,-1.824006,-0.6204841,14.98195,28.87771
255,11446,-5.685666,21.70087,-6.219672,-5.206346,16.09547,29.63723,HCCM,75,3126,0.8929425,5.678006,0.4348779,1.327387,1.486417,10.57489,TM,75,3126,0.8929425,5.678006,TM,0.4348779,1.327387,1.486417,10.57489
NA,NA,NA,NA,NA,NA,NA,NA,NA,80,3662,0.267454,10.20678,-0.193119,0.702218,5.833565,15.72916,TM,80,3662,0.267454,10.20678,TM,-0.193119,0.702218,5.833565,15.72916
NA,NA,NA,NA,NA,NA,NA,NA,NA,85,4198,-0.1854882,13.5577,-0.68177,0.2662914,8.79892,19.70358,TM,85,4198,-0.1854882,13.5577,TM,-0.68177,0.2662914,8.79892,19.70358
NA,NA,NA,NA,NA,NA,NA,NA,NA,90,4735,0.2573003,10.27954,-0.217511,0.7061561,5.837013,15.88849,TM,90,4735,0.2573003,10.27954,TM,-0.217511,0.7061561,5.837013,15.88849
NA,NA,NA,NA,NA,NA,NA,NA,NA,120,5317,1.337141,2.391441,0.8823013,1.779661,-1.725678,7.007777,TM,120,5317,1.337141,2.391441,TM,0.8823013,1.779661,-1.725678,7.007777
