year (AD),age (yr BP),lakeLevel (cm),lakeLevelHi (cm),lakeLevelLo (cm)
1700,250,0.862006672,-45.02024869,46.74426203
1650,300,2.417480383,-44.16490834,48.99986911
1600,350,7.882345758,-35.12555215,50.89024366
1550,400,-8.735901022,-67.62346032,50.15165827
1500,450,-26.4624618,-101.2193501,48.29442648
1450,500,-39.97365323,-127.2347653,47.28745881
1400,550,-36.89605421,-121.0851142,47.2930058
1350,600,-20.40944068,-89.7638383,48.94495694
1300,650,-3.61555578,-57.83566404,50.60455248
1250,700,14.10252266,-24.59229885,52.79734417
1200,750,15.76976769,-23.09886494,54.63840031
1150,800,9.112831896,-37.91734839,56.14301218
1100,850,-1.78764405,-61.12174296,57.54645486
1050,900,-0.41799272,-60.1177326,59.28174716
1000,950,5.140187732,-50.92897237,61.20934784
950,1000,10.65693656,-41.80453623,63.11840935
900,1050,16.10340336,-32.73648657,64.94329328
850,1100,21.30810003,-23.97952597,66.59572603
800,1150,26.32142356,-15.38376175,68.02660886
750,1200,31.21992807,-6.844128191,69.28398433
700,1250,36.0867308,1.700345547,70.47311605
650,1300,40.94968612,10.24965946,71.64971278
600,1350,41.53076902,10.36582372,72.69571433
550,1400,42.26504337,10.48198797,74.04809876
500,1450,49.38461942,21.24099577,77.52824306
450,1500,50.94552562,21.35220196,80.53884928
400,1550,57.15769743,29.9315117,84.38388315
350,1600,58.36645688,29.57983867,87.15307508
300,1650,69.12046038,45.73791344,92.50300733
250,1700,73.86564027,51.67948026,96.05180028
200,1750,78.60609805,58.01038407,99.20181203
150,1800,78.09986198,56.62077327,99.57895068
100,1850,75.40615367,50.92173579,99.89057155
50,1900,71.34249344,43.12328138,99.5617055
0,1950,68.55116797,37.18517618,99.91715975
-50,2000,69.1556711,37.30668287,101.0046593
-100,2050,69.76012539,37.42818955,102.0920612
-150,2100,70.36309766,37.54969623,103.1764991
-200,2150,70.97105925,37.67120292,104.2709156
-250,2200,71.59230047,37.7927096,105.3918913
-300,2250,72.23873047,37.91417591,106.563285
-350,2300,72.92635581,38.03550489,107.8172067
-400,2350,73.6860036,38.15669654,109.2153107
-450,2400,69.77177523,29.7304895,109.813061
-500,2450,65.9450109,21.29979747,110.5902243
-550,2500,62.16235336,12.86462046,111.4600863
-600,2550,63.16288617,12.97226019,113.3535122
-650,2600,64.16827758,13.07989992,115.2566552
-700,2650,65.12801414,13.1875409,117.0684874
-750,2700,66.03880424,13.29521668,118.7823918
-800,2750,62.3052868,4.824221734,119.7863519
-850,2800,58.55899358,-3.651229005,120.7692162
-900,2850,50.382385,-20.71885327,121.4836233
-950,2900,46.59325719,-29.2167507,122.4032651
-1000,2950,38.17892086,-46.31580032,122.673642
-1050,3000,33.64638533,-54.83614444,122.1289151
-1100,3050,25.1743688,-71.96661943,122.315357
-1150,3100,21.32146456,-80.50839027,123.1513194
-1200,3150,18.23659295,-89.05335277,125.5265387
-1250,3200,19.53245049,-88.9958654,128.0607664
-1300,3250,25.75262387,-80.3132732,131.8185209
-1350,3300,31.87716302,-71.62586724,135.3801933
-1400,3350,33.54779458,-71.56810217,138.6636913
-1450,3400,30.4096977,-80.13516423,140.9545596
-1500,3450,27.26361722,-88.7021434,143.2293778
-1550,3500,28.49991031,-88.58625718,145.5860778
-1600,3550,37.59170954,-76.79517462,151.9785937
-1650,3600,46.02245147,-63.89404738,155.9389503
-1700,3650,47.48437865,-63.58691074,158.5556681
-1750,3700,41.13319927,-74.85947454,157.1258731
-1800,3750,40.0987924,-78.35418335,158.5517682
-1850,3800,65.68520616,-35.43632396,166.8067363
-1900,3850,100.2463162,25.89283024,174.5998022
-1950,3900,130.1304286,78.63344462,181.6274125
-2000,3950,140.2862573,97.80228669,182.7702279
-2050,4000,143.9777798,103.2565489,184.6990108
-2100,4050,137.0709543,90.54890271,183.5930059
-2150,4100,127.8181565,72.9607801,182.6755329
-2200,4150,115.8668259,50.56119163,181.1724602
-2250,4200,114.2587289,46,182.5174578
-2300,4250,114.7124346,46,183.4248692
-2350,4300,115.0222315,46,184.044463
-2400,4350,115.2992976,46,184.5985953
-2450,4400,115.5763433,46,185.1526865
-2500,4450,115.8534121,46,185.7068243
-2550,4500,116.13056949999999,46,186.26113899999999
-2600,4550,116.4077185,46,186.8154371
-2650,4600,119.0656139,50.83181956,187.2994082
-2700,4650,119.3426542,50.83181956,187.8534889
-2750,4700,119.619746,50.83181956,188.4076724
-2800,4750,117.5161649,46,189.0323298
-2850,4800,117.7940933,46,189.5881865
-2900,4850,118.0950721,46,190.1901442
-2950,4900,118.5910374,46,191.1820748
-3000,4950,119.2815027,46,192.5630054
-3050,5000,120.1436529,46,194.2873058
-3100,5050,121.0060016,46,196.0120033
-3150,5100,124.4849697,50.95801796,198.0119214
-3200,5150,130.930295,60.89928348,200.9613065
-3250,5200,134.4821319,65.88253224,203.0817316
-3300,5250,132.7273148,60.92451427,204.5301153
-3350,5300,127.970417,50.98324876,204.9575852
-3400,5350,128.7072636,51.02111717,206.39341
-3450,5400,129.1924867,51.02111717,207.3638563
-3500,5450,129.5431532,51.02111717,208.0651892
-3550,5500,127.1273913,46,208.2547825
-3600,5550,127.4992065,46,208.998413
-3650,5600,127.9618258,46,209.9236516
-3700,5650,128.6823436,46,211.3646871
-3750,5700,143.1454534,67.38198554,218.9089212
-3800,5750,157.9364308,89.21813957,226.654722
-3850,5800,159.0938841,89.21813957,228.9696286
-3900,5850,177.62374,118.0028207,237.2446594
-3950,5900,195.8706168,146.3333333,245.4079002
-4000,5950,227.6304738,196.5,258.7609477
-4050,6000,228.4011387,196.5,260.3022774
-4100,6050,229.1780538,196.5,261.8561077
-4150,6100,229.9554865,196.5,263.4109731
-4200,6150,230.7324113,196.5,264.9648227
-4250,6200,231.509844,196.5,266.5196881
-4300,6250,232.2868253,196.5,268.0736505
-4350,6300,233.0642483,196.5,269.6284966
-4400,6350,233.841286,196.5,271.1825719
-4450,6400,234.6186526,196.5,272.7373051
-4500,6450,235.3957467,196.5,274.2914933
-4550,6500,236.1730568,196.5,275.8461137
-4600,6550,236.9502074,196.5,277.4004147
