year (AD),age (yr BP),Temp (degC),precip (mm),age14C (yr BP)
1933,17,0,139.333333333333,17
1682,268,4.23333333333333,89.3333333333333,211
1535,415,6.53333333333333,-28,354
1372,578,8.83333333333333,42.6666666666667,574
1276,674,5.7,163.333333333333,723
1123,827,6.13333333333333,137.666666666667,913
929,1021,4.53333333333333,-72.3333333333333,1107
715,1235,3.56666666666667,-143,1305
551,1399,4.4,-121.666666666667,1506
330,1620,5.56666666666667,97.3333333333333,1711
82,1868,4.1,146.333333333333,1920
-164,2114,2.53333333333333,-157.333333333333,2133
-416,2366,7.96666666666667,290.333333333333,2349
-759,2709,4.6,59.6666666666667,2569
-944,2894,5.03333333333333,96.3333333333333,2793
-1338,3288,7.8,168,3067
-1526,3476,3.23333333333333,-137,3252
-1812,3762,4.63333333333333,81.6666666666667,3488
-2124,4074,4.26666666666667,65.6666666666667,3726
-2481,4431,5.7,35.3333333333333,3969
-2844,4794,3.53333333333333,159.333333333333,4216
-3035,4985,6.4,26.3333333333333,4415
-3396,5346,7.76666666666667,-8.66666666666667,4618
-3617,5567,3.23333333333333,-48.3333333333333,4822
-3711,5661,4.63333333333333,-74.6666666666667,4925
-3818,5768,8.2,-32.3333333333333,5029
-3937,5887,6.4,-37.6666666666667,5134
-4051,6001,5.26666666666667,-22.6666666666667,5239
-4116,6066,9.16666666666667,24.6666666666667,5291
-4191,6141,5.9,-19,5344
-4400,6350,6,-22.3333333333333,5557
-4446,6396,5.86666666666667,-53.3333333333333,5611
-4497,6447,7.8,4,5665
-4556,6506,8.6,141,5719
-4623,6573,5.66666666666667,15,5773
-4689,6639,6.8,-48,5827
-4752,6702,2.96666666666667,-4.66666666666667,5881
-4813,6763,8.26666666666667,40.3333333333333,5936
-4875,6825,5.63333333333333,2.33333333333333,5990
-5017,6967,4.3,-54.3333333333333,6100
-5101,7051,5.1,101.333333333333,6155
-5360,7310,5.33333333333333,-87.3333333333333,6377
-5410,7360,4.5,-56.3333333333333,6433
-5434,7384,4.56666666666667,-63,6461
-5457,7407,4.86666666666667,55,6489
-5503,7453,5.63333333333333,-38.3333333333333,6545
-5588,7538,5.53333333333333,105.333333333333,6658
-5630,7580,4.93333333333333,-17.6666666666667,6715
-5651,7601,4.86666666666667,-14,6743
-5912,7862,5,308.333333333333,7029
-6181,8131,4.46666666666667,144,7319
-6466,8416,5.76666666666667,213.666666666667,7612
-6753,8703,5.33333333333333,164.333333333333,7909
-7172,9122,6.43333333333333,327,8179
-7493,9443,4.46666666666667,144,8422
-7577,9527,6.7,231.333333333333,8545
-7619,9569,4.53333333333333,96,8606
-7670,9620,6.86666666666667,169.666666666667,8668
-7738,9688,4.46666666666667,144,8730
-7837,9787,5.76666666666667,213.666666666667,8791
-7990,9940,4.46666666666667,144,8853
-8145,10095,4.46666666666667,144,8916
-8214,10164,8.23333333333333,131.333333333333,8978
-8266,10216,10.8,324.333333333333,9040
-8315,10265,16.4,583,9103
-8370,10320,25.1,1041.33333333333,9166
-8440,10390,17.8333333333333,822,9229
-8630,10580,17.8333333333333,822,9355
-8698,10648,17.8333333333333,822,9418
-8763,10713,17.8333333333333,822,9482
-8845,10795,17.6,934.333333333333,9546
