year (AD),age (yr BP),Temp (degC),Salinity (psu),Sea_Ice_months (months/year),Sea_Ice_conc (0-10),productivity (gcm2),P1 (unitless)
1824.39,125.61,0.33000021852097,26.3700000038328,11.1599998288432,9.02999985719165,35.3100051282783,P
1804.59,145.41,3.83326396348999,26.9168593345629,8.77005202516215,7.06886590070505,92.1260163953438,P
1784.66,165.34,4.29259202126544,26.9680411309185,8.55203677958169,6.88120236291955,106.449633565033,P
1764.58,185.42,6.83342786828964,27.4680007649304,7.152791775177,5.72586467294368,142.31036377619,P
1744.33,205.67,4.1900424164562,27.67708048911,8.76396119576787,7.0705772891705,87.692428179676,P
1723.92,226.08,4.23484452480747,26.5774965268709,8.48223730666884,6.84277246460618,101.730302142269,P
1703.35,246.65,5.14620587901302,27.6589806121218,7.81477035380276,6.27406082740164,129.248942023758,P
1682.62,267.38,4.66615562168572,27.0699090758316,8.33005337144397,6.69745835107001,111.461805566786,P
1661.73,288.27,6.42787419008711,27.5395882071075,7.43043257874424,5.95029797397696,147.715560498461,P
1640.68,309.32,3.85943819331701,27.1196207967664,8.9889750537352,7.22049681746878,94.941777728835,P
1619.47,330.53,5.84486702017151,26.9754889153641,6.51384908436962,5.23112753691908,135.700920493383,P
1598.09,351.91,4.33466438147975,28.6390822786395,8.71794107622994,7.03894351348423,91.1876266100005,P
1576.56,373.44,4.96620869210814,25.5244610592809,8.26548148875677,6.68325608234397,145.889912207983,P
1554.86,395.14,5.19219522409075,27.8079880556695,8.17128529970675,6.59298166336534,100.091313081386,P
1533,417,4.28837065825253,28.6487287520414,8.52168579458015,6.90232084447015,84.1730733350708,P
1510.98,439.02,4.36440767182331,28.319748538141,8.34953143101878,6.7687045615,122.756019510589,P
1488.8,461.2,4.38170977843918,28.2230458293036,8.38157883029259,6.79666657489598,126.090527879517,P
1466.46,483.54,5.37071281997932,26.537532787124,8.01774178484342,6.4642260302338,128.440503953436,P
1443.95,506.05,4.71976459844868,27.6621750094418,7.96887675761358,6.42376887038829,105.094684690256,P
