year (AD),age (yr BP),Temp (degC)
2002.9094,-52.9094,0.27089
2000.0804,-50.0804000000001,0.15615
1997.2515,-47.2515000000001,0.047979
1994.4225,-44.4224999999999,-0.043694
1991.5936,-41.5935999999999,-0.10699
1988.7646,-38.7646,-0.12988
1985.9356,-35.9356,-0.10284
1983.1067,-33.1067,-0.021613
1980.2777,-30.2777000000001,0.11102
1977.4488,-27.4487999999999,0.28511
1974.6198,-24.6197999999999,0.48487
1971.7909,-21.7909,0.6909
1968.9619,-18.9619,0.88252
1966.133,-16.133,1.0401
1963.304,-13.3040000000001,1.1476
1960.475,-10.4749999999999,1.1945
1957.6461,-7.64609999999993,1.178
1954.8171,-4.81709999999998,1.1032
1951.9882,-1.98820000000001,0.98211
1949.15921,0.84078999999997,0.83083
1946.3303,3.66969999999992,0.66583
1943.5013,6.4987000000001,0.50035
1940.6723,9.32770000000005,0.34194
1937.8434,12.1566,0.19185
1935.0144,14.9856,0.04613
1932.1855,17.8145,-0.10197
1929.3565,20.6434999999999,-0.2594
1926.5276,23.4724000000001,-0.43116
1923.6986,26.3014000000001,-0.61921
1920.8696,29.1304,-0.82224
1918.0407,31.9593,-1.0362
1915.2117,34.7882999999999,-1.2549
1912.3828,37.6171999999999,-1.471
1909.5538,40.4462000000001,-1.6769
1906.7249,43.2751000000001,-1.865
1903.8959,46.1041,-2.0292
1901.067,48.933,-2.1648
1898.238,51.7619999999999,-2.2696
1895.409,54.5909999999999,-2.3434
1892.5801,57.4199000000001,-2.3883
1889.7511,60.2489,-2.4077
1886.9222,63.0778,-2.4063
1884.0932,65.9068,-2.3893
1881.2643,68.7357,-2.362
1878.4353,71.5646999999999,-2.3296
1875.6063,74.3937000000001,-2.2968
1872.7774,77.2226000000001,-2.2674
1869.9484,80.0516,-2.2446
1867.1195,82.8805,-2.2302
1864.2905,85.7094999999999,-2.2245
1861.4616,88.5383999999999,-2.2269
1858.6326,91.3674000000001,-2.2351
1855.8036,94.1964,-2.2462
1852.9747,97.0253,-2.2569
1850.1457,99.8543,-2.2641
1847.3168,102.6832,-2.2652
1844.4878,105.51220000000001,-2.259
1841.6589,108.3411,-2.2448
1838.8299,111.1701,-2.2235
1836.001,113.999,-2.196
1833.172,116.828,-2.1637
1830.343,119.657,-2.1279
1827.5141,122.4859,-2.0895
1824.6851,125.3149,-2.0489
1821.8562,128.1438,-2.0061
1819.0272,130.9728,-1.9604
1816.1983,133.8017,-1.9109
1813.3693,136.6307,-1.8565
1810.5403,139.4597,-1.7959
1807.7114,142.2886,-1.7285
1804.8824,145.1176,-1.6538
1802.0535,147.9465,-1.5718
1799.2245,150.7755,-1.4826
1796.3956,153.6044,-1.387
1793.5666,156.4334,-1.2855
1790.7376,159.2624,-1.179
1787.9087,162.0913,-1.0684
1785.0797,164.9203,-0.95499
1782.2508,167.7492,-0.84041
1779.4218,170.5782,-0.7268
1776.5929,173.4071,-0.6169
1773.7639,176.2361,-0.51393
1770.9349,179.0651,-0.42133
1768.106,181.894,-0.34233
1765.277,184.723,-0.27954
1762.4481,187.5519,-0.2346
1759.6191,190.3809,-0.20804
1756.7902,193.2098,-0.19929
1753.9612,196.0388,-0.20683000000000001
1751.1323,198.8677,-0.22839
1748.3033,201.6967,-0.26114
1745.4743,204.5257,-0.30192
1742.6454,207.3546,-0.34744
1739.8164,210.1836,-0.39447
1736.9875,213.0125,-0.44011
1734.1585,215.8415,-0.48194
1731.3296,218.6704,-0.51816
1728.5006,221.4994,-0.54763
1725.6716,224.3284,-0.5699
1722.8427,227.1573,-0.58513
1720.0137,229.9863,-0.59397
1717.1848,232.8152,-0.59736
1714.3558,235.6442,-0.59628
1711.5269,238.4731,-0.59151
1708.6979,241.3021,-0.58332
1705.8689,244.1311,-0.57136
1703.04,246.96,-0.55454
1700.211,249.789,-0.53122
1697.3821,252.6179,-0.49929
1694.5531,255.4469,-0.45656
1691.7242,258.2758,-0.40101
1688.8952,261.1048,-0.3312
1686.0663,263.9337,-0.24663
1683.2373,266.7627,-0.14811
1680.4083,269.5917,-0.038052
1677.5794,272.4206,0.079472
1674.7504,275.2496,0.1989
1671.9215,278.0785,0.31368
1669.0925,280.9075,0.41713
1666.2636,283.7364,0.50333
1663.4346,286.5654,0.56813
1660.6056,289.3944,0.60975
1657.7767,292.2233,0.62908
1654.9477,295.0523,0.62944
1652.1188,297.8812,0.6159
1649.2898,300.7102,0.59439
1646.4609,303.5391,0.57079
1643.6319,306.3681,0.55005
1640.8029,309.1971,0.53571
1637.974,312.026,0.52957
1635.145,314.855,0.53177
1632.3161,317.6839,0.54098
1629.4871,320.5129,0.55484
1626.6582,323.3418,0.57049
1623.8292,326.1708,0.58525
1621.0002,328.9998,0.59727
1618.1713,331.8287,0.60609
1615.3423,334.6577,0.61298
1612.5134,337.4866,0.62086
1609.6844,340.3156,0.63375
1606.8555,343.1445,0.656
1604.0265,345.9735,0.69124
1601.1976,348.8024,0.74154
1598.3686,351.6314,0.80681
1595.5396,354.4604,0.88469
1592.7107,357.2893,0.97066
1589.8817,360.1183,1.0586
1587.0528,362.9472,1.1413
1584.2238,365.7762,1.2115
1581.3949,368.6051,1.2626
1578.5659,371.4341,1.2894
1575.7369,374.2631,1.2891
1572.908,377.092,1.2618
1570.079,379.921,1.2109
1567.2501,382.7499,1.1423
1564.4211,385.5789,1.0642
1561.5922,388.4078,0.98589
1558.7632,391.2368,0.91639
1555.9342,394.0658,0.86331
1553.1053,396.8947,0.83202
1550.2763,399.7237,0.82518
1547.4474,402.5526,0.8429
1544.6184,405.3816,0.88326
1541.7895,408.2105,0.94291
1538.9605,411.0395,1.0177
1536.1316,413.8684,1.1033
1533.3026,416.6974,1.1952
1530.4736,419.5264,1.2896
1527.6447,422.3553,1.3833
1524.8157,425.1843,1.4746
1521.9868,428.0132,1.5629
1519.1578,430.8422,1.6482
1516.3289,433.6711,1.7293
1513.4999,436.5001,1.8032
1510.6709,439.3291,1.8637
1507.842,442.158,1.9024
1505.013,444.987,1.9107
1502.1841,447.8159,1.8821
1499.3551,450.6449,1.8152
1496.5262,453.4738,1.7144
1493.6972,456.3028,1.5897
1490.8682,459.1318,1.4539
1488.0393,461.9607,1.3206
1485.2103,464.7897,1.2005
1482.3814,467.6186,1.1009
1479.5524,470.4476,1.0253
1476.7235,473.2765,0.97419
1473.8945,476.1055,0.94717
1471.0656,478.9344,0.94367
1468.2366,481.7634,0.96359
1465.4076,484.5924,1.007
1462.5787,487.4213,1.0729
1459.7497,490.2503,1.1588
1456.9208,493.0792,1.2593
1454.0918,495.9082,1.367
1451.2629,498.7371,1.4721
1448.4339,501.5661,1.5644
1445.6049,504.3951,1.6338
1442.776,507.224,1.6717
1439.947,510.053,1.6719
1437.1181,512.8819,1.6314
1434.2891,515.7109,1.5513
1431.4602,518.5398,1.4372
1428.6312,521.3688,1.299
1425.8022,524.1978,1.1505
1422.9733,527.0267,1.0072
1420.1443,529.8557,0.88404
1417.3154,532.6846,0.79262
1414.4864,535.5136,0.73931
1411.6575,538.3425,0.72418
1408.8285,541.1715,0.74133
1405.9995,544.0005,0.78043
1403.1706,546.8294,0.82883
1400.3416,549.6584,0.8737
1397.5127,552.4873,0.90384
1394.6837,555.3163,0.91069
1391.8548,558.1452,0.88886
1389.0258,560.9742,0.83605
1386.1969,563.8031,0.75292
1383.3679,566.6321,0.64283
1380.5389,569.4611,0.5116
1377.71,572.29,0.36723
1374.881,575.119,0.21944
1372.0521,577.9479,0.07901
1369.2231,580.7769,-0.043236
1366.3942,583.6058,-0.13758
1363.5652,586.4348,-0.19662
1360.7362,589.2638,-0.21627
1357.9073,592.0927,-0.19638
1355.0783,594.9217,-0.14073
1352.2494,597.7506,-0.056447
1349.4204,600.5796,0.047153
1346.5915,603.4085,0.15994
1343.7625,606.2375,0.27236
1340.9335,609.0665,0.37654
1338.1046,611.8954,0.46684
1335.2756,614.7244,0.53999
1332.4467,617.5533,0.59463
1329.6177,620.3823,0.63075
1326.7888,623.2112,0.64884
1323.9598,626.0402,0.64919
1321.1309,628.8691,0.63139
1318.3019,631.6981,0.59413
1315.4729,634.5271,0.53545
1312.644,637.356,0.45344
1309.815,640.185,0.34713
1306.9861,643.0139,0.21739
1304.1571,645.8429,0.067477
1301.3282,648.6718,-0.097027
1298.4992,651.5008,-0.26885
1295.6702,654.3298,-0.44014
1292.8413,657.1587,-0.60366
1290.0123,659.9877,-0.75388
1287.1834,662.8166,-0.88763
1284.3544,665.6456,-1.0042
1281.5255,668.4745,-1.1051
1278.6965,671.3035,-1.193
1275.8675,674.1325,-1.2708
1273.0386,676.9614,-1.3406
1270.2096,679.7904,-1.4025
1267.3807,682.6193,-1.4549
1264.5517,685.4483,-1.4944
1261.7228,688.2772,-1.5165
1258.8938,691.1062,-1.5174
1256.0648,693.9352,-1.4945
1253.2359,696.7641,-1.4477
1250.4069,699.5931,-1.3786
1247.578,702.422,-1.2908
1244.749,705.251,-1.1884
1241.9201,708.0799,-1.0754
1239.0911,710.9089,-0.95532
1236.2622,713.7378,-0.83082
1233.4332,716.5668,-0.70443
1230.6042,719.3958,-0.57903
1227.7753,722.2247,-0.45823
1224.9463,725.0537,-0.34653
1222.1174,727.8826,-0.24894
1219.2884,730.7116,-0.17036
1216.4595,733.5405,-0.11491
1213.6305,736.3695,-0.085322
1210.8015,739.1985,-0.082797
1207.9726,742.0274,-0.10713
1205.1436,744.8564,-0.15725
1202.3147,747.6853,-0.23186
1199.4857,750.5143,-0.33
1196.6568,753.3432,-0.45134
1193.8278,756.1722,-0.59598
1190.9988,759.0012,-0.76381
1188.1699,761.8301,-0.95354
1185.3409,764.6591,-1.1617
1182.512,767.488,-1.3821
1179.683,770.317,-1.6058
1176.8541,773.1459,-1.8219
1174.0251,775.9749,-2.0192
1171.1962,778.8038,-2.1874
1168.3672,781.6328,-2.3185
1165.5382,784.4618,-2.408
1162.7093,787.2907,-2.4546
1159.8803,790.1197,-2.4605
1157.0514,792.9486,-2.43
1154.2224,795.7776,-2.3689
1151.3935,798.6065,-2.2831
1148.5645,801.4355,-2.1778
1145.7355,804.2645,-2.0562
1142.9066,807.0934,-1.9198
1140.0776,809.9224,-1.7675
1137.2487,812.7513,-1.5967
1134.4197,815.5803,-1.4038
1131.5908,818.4092,-1.1859
1128.7618,821.2382,-0.94227
1125.9328,824.0672,-0.67481
1123.1039,826.8961,-0.38922
1120.2749,829.7251,-0.094519
1117.446,832.554,0.19783
1114.617,835.383,0.47546
