depth (cm),age (yr BP),LOI (percent),calibrated (unitless),carbonate (percent),Avg_MS (MS),AVG_MS_DRS1_2A_3_2B_4 (MS)
0.5,-57.92502216,54.2373,CAL,10.1695,NA,NA
1.5,-56.90345762,51.8717,CAL,12.2995,NA,NA
2.5,-55.61361005,44.6746,CAL,9.76331,NA,NA
3.5,-53.64527889,44,CAL,16,NA,NA
4.5,-50.8574868,50.8685,CAL,9.92556,NA,NA
4.5,-50.8574868,49.7872,CAL,12.766,NA,NA
5.5,-46.95643662,40.9091,CAL,18.007,NA,NA
6.5,-43.41676088,38.2952,CAL,14.1221,NA,NA
7.5,-38.51957411,36.214,CAL,19.7531,NA,NA
8.5,-34.11988329,36.4066,CAL,17.4941,NA,NA
9.5,-29.47720304,41.2821,CAL,12.9487,NA,NA
10.5,-23.89250701,34.4828,CAL,15.4534,NA,NA
11.5,-18.087043,35.4801,CAL,16.9789,NA,NA
12.5,-13.06732124,42.2723,CAL,10.9519,NA,NA
13.5,-7.308758157,43.9732,CAL,8.92857,NA,NA
14.5,13.78786624,47.3827,CAL,7.12996,NA,NA
14.5,13.78786624,40.8827,CAL,9.05923,NA,NA
15.5,27.80558769,41.7655,CAL,9.74967,NA,NA
16.5,43.08261469,47.1289,CAL,5.41712,NA,NA
17.5,59.59316836,47.5596,CAL,5.90238,NA,NA
18.5,77.31169614,45.6876,CAL,4.54545,NA,NA
19.5,96.21287179,49.3729,CAL,4.90308,NA,NA
20.5,116.2715954,50.0539,CAL,4.31499,NA,NA
21.5,137.4629933,51.7689,CAL,5.3066,NA,NA
22.5,159.7624184,49.5695,CAL,3.69004,NA,NA
23.5,183.1454495,50.6098,CAL,5.97561,NA,NA
24.5,207.5878921,51.348,CAL,5.51471,NA,NA
24.5,207.5878921,52.9475,CAL,4.71597,NA,NA
25.5,233.0657778,48.2843,CAL,4.90196,1.0175,-0.505
26.5,259.5553647,47.0588,CAL,2.94118,1.4625,-0.71
27.5,287.0331371,48.5755,CAL,7.26496,1.4825,-0.76
28.5,315.4758056,51.3138,CAL,6.02782,1.225,-0.765
29.5,344.8603071,52.7121,CAL,4.72879,0.945,-0.77
30.5,375.163805,49.118,CAL,3.6635,0.5875,-0.725
31.5,406.3636889,48.0272,CAL,5.98639,0.18,-0.68
32.5,438.4375746,48.7778,CAL,4.44444,-0.0725,-0.68
33.5,471.3633044,46.5324,CAL,4.69799,-0.23,-0.635
34.5,505.1189469,43.0968,CAL,3.74194,-0.3125,-0.54
34.5,505.1189469,48.1557,CAL,3.89344,-0.3125,-0.54
35.5,539.682797,44.2642,CAL,5.09849,-0.3425,-0.495
