year (AD),age (yr BP),logBSi (unitless),BSi (mgg-1)
2005.10313435,-55.1031343499999,2.744350856,15.55451354
2003.30479736,-53.3047973600001,2.743096275,15.53501138
2001.5003375,-51.5003375000001,2.602805502,13.50156361
1999.68977636,-49.68977636,2.317148391,10.1466986
1997.8731355,-47.8731355,2.141885907,8.515481905
1996.05043645,-46.05043645,2.12605427,8.381729438
1994.22170068,-44.2217006799999,2.159399903,8.6659357
1992.38694965,-42.3869496499999,2.163768289,8.703874653
1990.54620477,-40.54620477,2.153404726,8.614137304
1988.69948741,-38.6994874100001,2.109849572,8.247000611
1986.84681891,-36.8468189099999,2.156250719,8.638687993
1984.98822056,-34.9882205599999,2.048548252,7.756632252
1983.12371363,-33.1237136300001,2.001575473,7.40070653
1981.25331934,-31.25331934,2.063579609,7.874105643
1979.37705887,-29.3770588699999,1.905682607,6.723995906
1977.49495338,-27.49495338,1.986174699,7.2876031
1975.60702397,-25.60702397,1.828141049,6.222308936
1973.71329172,-23.7132917199999,1.870170878,6.489405199
1971.81377766,-21.8137776599999,1.92863297,6.880098506
1969.9085028,-19.9085028,2.03199856,7.629318787
1967.99748808,-17.99748808,2.212734365,9.140676195
1966.08075445,-16.0807544500001,2.416425508,11.20573284
1964.15832278,-14.1583227799999,2.038976073,7.682738607
1962.23021392,-12.2302139200001,1.908730909,6.74452395
1960.29644868,-10.2964486799999,2.034407197,7.64771719
1958.357047844,-8.35704784399991,1.877313227,6.535920713
1956.41203214,-6.41203214000006,1.94450018,6.99013717
1954.461422269,-4.46142226899997,1.978764331,7.233798882
1952.505238891,-2.50523889100009,1.856770457,6.403024499
1950.543502632,-0.5435026319999,1.872633174,6.505403727
1949.560558607,0.439441392999925,1.876271061,6.52911275
1948.576234078,1.42376592200003,2.21664053,9.176451014
1946.603453779,3.39654622100011,1.852712835,6.37709609
1944.625182244,5.37481775600008,1.973169322,7.193438724
1942.64143995,7.35856005000005,1.787295986,5.973278778
1941.647523656,8.35247634400002,1.697376846,5.4596072
1940.652247333,9.3477526669999,1.945048405,6.993970388
1938.65762479,11.34237521,1.952564764,7.04673764
1936.65759269,13.34240731,1.90097341,6.692405724
1933.64744605,16.3525539499999,1.954682338,7.061675438
1925.56162657,24.43837343,1.768939131,5.864628456
1917.39135637,32.60864363,1.825484932,6.205803684
1894.49809304,55.50190696,1.635576139,5.13241413
1886.02246854,63.9775314599999,1.377960799,3.966804262
1877.46839546,72.53160454,1.856439801,6.400907652
1868.83710987,81.1628901300001,1.564946902,4.78242099
1860.12983821,89.8701617900001,1.928839997,6.881523022
1851.34779736,98.65220264,1.756238354,5.790614136
1833.5642276,116.4357724,1.889501113,6.61606719
1824.5650845,125.4349155,1.779650388,5.927783631
1815.4959438,134.5040562,1.751198266,5.761502354
1806.3579744,143.6420256,1.810526219,6.113663714
1797.1523357,152.8476643,1.792658633,6.005397407
1787.8801774,162.1198226,1.752612102,5.769653932
1778.5426397,171.4573603,1.844469963,6.324746552
1769.1408531,180.8591469,1.580728706,4.858494938
1750.1490078,199.8509922,1.802720561,6.06612831
1740.5611623,209.4388377,1.894451064,6.648897585
1730.9134944,219.0865056,1.877127112,6.534704397
1721.2070867,228.7929133,1.839712103,6.294725769
1711.4430123,238.5569877,1.845533803,6.331478649
1701.6223346,248.3776654,1.917407208,6.803296048
1691.7461075,258.2538925,1.943305543,6.981791483
1681.8153753,268.1846247,2.161258988,8.68206139
1671.8311727,278.1688273,1.936896339,6.937186849
