year (AD),age (yr BP),Temp (degC),depth_bot (mm)
2004,-54,13.0099,5
1965.99214542815,-15.9921454281493,13.2054,205
1948.71322344307,1.28677655693059,13.3796,305
1929.35896398351,20.6410360164878,13.5446,415
1646.3632092566,303.6367907434,13.5039,605
1514.53906143098,435.460938569016,13.1275,665
1201.94119022974,748.058809770258,13.1904,805
995.551122658061,954.448877341939,13.125,895
759.43199207848,1190.56800792152,13.0526,995
489.4381917762,1460.5618082238,13.4822,1105
258.97937206702,1691.02062793298,13.2019,1195
-63.9879171504199,2013.98791715042,13.3143,1315
-290.24738634534,2240.24738634534,13.2621,1395
-555.62334569739,2505.62334569739,13.152,1485
-708.11269090613,2658.11269090613,13.6007,1535
-864.27768949684,2814.27768949684,13.5538,1585
-1187.84349682143,3137.84349682143,13.3972,1685
-1355.62129455557,3305.62129455557,12.8394,1735
-1705.78347239251,3655.78347239251,13.3126,1835
-1815.15761442996,3765.15761442996,13.2571,1865
-2189.9559528639,4139.9559528639,13.664,1965
-2534.448906268,4484.448906268,13.46,2055
-2939.92496193648,4889.92496193648,13.6835,2155
-3377.57259902958,5327.57259902958,14.0759,2255
-3841.63577966629,5791.63577966629,14.2293,2355
-4227.49827554613,6177.49827554613,13.7185,2435
-4772.64176142248,6722.64176142248,13.3999,2545
-5074.32228132263,7024.32228132263,13.3698,2605
-5581.27320472485,7531.27320472485,13.1729,2705
-6098.96041759882,8048.96041759882,13.2821,2805
-6639.17097915869,8589.17097915869,12.8515,2905
-7226.72685346992,9176.72685346992,13.3274,3005
-7613.42032329228,9563.42032329228,12.8369,3065
-7887.68103235583,9837.68103235583,13.4768,3105
-8247.5716610589,10197.5716610589,13.5062,3155
-8471.8358067962,10421.8358067962,12.4886,3185
-8701.816922571,10651.816922571,13.2524,3215
-9016.6014758956,10966.6014758956,13.1128,3255
-9339.7494102192,11289.7494102192,12.5734,3295
-9586.9378527436,11536.9378527436,12.8934,3325
-10006.4127564305,11956.4127564305,13.167,3375
-10261.6252038784,12211.6252038784,12.7592,3405
-10690.9856029165,12640.9856029165,12.788,3455
-11123.1380276115,13073.1380276115,13.1155,3505
-11296.2122067215,13246.2122067215,13.5805,3525
-11555.5442728208,13505.5442728208,13.2365,3555
