year (AD),age (yr BP),d18O (permil)
1925,25,-4.19
1887,63,-3.79
1849,101,-4.49
1813,137,-4.4
1777,173,-4.45
1743,207,-4.21
1709,241,-4.17
1676,274,-3.96
1644,306,-4.53
1613,337,-4.46
1582,368,-4.59
1553,397,-4.42
1524,426,-4.56
1496,454,-4.17
1468,482,-4.17
1442,508,-3.88
1415,535,-4.18
1390,560,-3.84
1365,585,-4.2
1341,609,-4.23
1317,633,-4.34
1294,656,-4.24
1271,679,-4.56
1249,701,-4.31
1227,723,-4.48
1206,744,-4.42
1185,765,-4.25
1164,786,-3.8
1144,806,-3.9
1125,825,-3.85
1106,844,-4.02
1087,863,-3.97
1068,882,-3.93
1050,900,-3.69
1032,918,-4.11
1014,936,-4.17
997,953,-4.25
980,970,-3.76
963,987,-3.81
946,1004,-3.94
930,1020,-4.24
914,1036,-4.19
898,1052,-4.38
882,1068,-4.25
866,1084,-4.28
851,1099,-3.85
835,1115,-3.94
820,1130,-3.97
805,1145,-4.55
790,1160,-4.39
775,1175,-4.58
760,1190,-4.4
745,1205,-4.32
731,1219,-3.77
716,1234,-4.3
701,1249,-4.01
687,1263,-4.5
672,1278,-4.23
658,1292,-4.3
643,1307,-3.69
629,1321,-4.19
614,1336,-4.24
600,1350,-4.33
585,1365,-4.19
570,1380,-4.63
556,1394,-4.8
541,1409,-4.54
526,1424,-4.18
497,1453,-4.39
482,1468,-4.24
467,1483,-3.73
452,1498,-3.91
437,1513,-3.63
422,1528,-3.95
406,1544,-4.13
391,1559,-3.81
376,1574,-3.82
360,1590,-4.21
344,1606,-4.06
329,1621,-3.95
313,1637,-3.93
297,1653,-3.91
280,1670,-3.87
264,1686,-4.18
248,1702,-4.27
231,1719,-4.56
215,1735,-4.22
198,1752,-4.36
181,1769,-4.65
164,1786,-4.9
147,1803,-4.63
129,1821,-4.47
112,1838,-4.32
94,1856,-4.48
77,1873,-4.22
59,1891,-4.38
41,1909,-4.27
22,1928,-4.19
4,1946,-4.7
-14,1964,-3.81
-33,1983,-3.55
-52,2002,-3.63
-71,2021,-3.95
-90,2040,-3.68
-109,2059,-3.56
-128,2078,-3.81
-148,2098,-3.76
-167,2117,-4.03
-187,2137,-3.91
-207,2157,-3.55
-227,2177,-3.65
-247,2197,-3.82
-268,2218,-3.82
-288,2238,-3.48
-309,2259,-3
-330,2280,-3.44
-351,2301,-3.84
-372,2322,-4.1
-393,2343,-4.23
-414,2364,-4.38
-457,2407,-4.34
-479,2429,-4.29
-501,2451,-4.52
-523,2473,-4.58
-545,2495,-4.69
-567,2517,-4.46
-611,2561,-4.61
-634,2584,-4.72
-657,2607,-4.6
-679,2629,-4.93
-702,2652,-5.06
-725,2675,-5.16
-748,2698,-4.96
-771,2721,-4.41
-794,2744,-4.12
-818,2768,-4.08
-841,2791,-3.87
-912,2862,-3.57
-935,2885,-3.4
-959,2909,-3.39
-983,2933,-3.5
-1007,2957,-3.33
-1031,2981,-3.49
-1055,3005,-3.71
-1079,3029,-4.15
-1103,3053,-3.93
-1127,3077,-3.9
-1151,3101,-4.01
-1175,3125,-4.3
-1200,3150,-4.57
-1224,3174,-4.7
-1248,3198,-4.78
-1273,3223,-4.84
-1297,3247,-4.6
-1322,3272,-4.35
-1346,3296,-4.07
-1371,3321,-3.64
-1420,3370,-3.52
-1469,3419,-4.17
-1518,3468,-3.7
-1567,3517,-4.22
-1616,3566,-3.95
-1640,3590,-3.52
-1665,3615,-3.47
-1689,3639,-3.73
-1713,3663,-3.98
-1738,3688,-4.37
-1762,3712,-4.53
-1786,3736,-4.17
-1811,3761,-4.22
-1835,3785,-3.76
-1859,3809,-3.89
-1883,3833,-3.64
-1907,3857,-3.56
-1931,3881,-3.59
-1955,3905,-3.5
-1979,3929,-3.68
-2003,3953,-3.45
-2026,3976,-3.52
-2050,4000,-3.92
-2074,4024,-4.16
-2097,4047,-3.98
-2121,4071,-3.81
-2144,4094,-3.76
-2167,4117,-3.36
-2191,4141,-3.46
-2214,4164,-3.76
-2237,4187,-3.62
-2260,4210,-3.54
-2282,4232,-3.4
-2305,4255,-3.68
-2328,4278,-3.66
-2350,4300,-3.96
-2373,4323,-3.51
-2395,4345,-3.79
-2417,4367,-4.19
-2439,4389,-4.21
-2461,4411,-3.87
-2483,4433,-3.85
-2505,4455,-4.15
-2548,4498,-3.87
-2570,4520,-3.83
-2591,4541,-3.38
-2612,4562,-3.4
-2633,4583,-3.71
-2654,4604,-5.19
-2695,4645,-4.26
-2716,4666,-4.2
-2736,4686,-4.21
-2756,4706,-4.02
-2776,4726,-3.91
-2816,4766,-4.04
-2836,4786,-4.32
-2855,4805,-4.21
-2875,4825,-4.22
-2894,4844,-4.14
-2913,4863,-4.12
-2932,4882,-3.97
-2951,4901,-3.9
-2969,4919,-4.28
-2988,4938,-4.19
-3006,4956,-4.14
-3024,4974,-4.36
-3042,4992,-4.47
-3060,5010,-4.35
-3078,5028,-4.52
-3095,5045,-3.88
-3113,5063,-3.9
-3130,5080,-3.91
-3147,5097,-4.06
-3164,5114,-3.96
-3181,5131,-3.71
-3198,5148,-3.71
-3214,5164,-4.01
-3230,5180,-4.01
-3246,5196,-3.88
-3262,5212,-3.8
-3278,5228,-3.86
-3294,5244,-4.1
-3310,5260,-4.2
-3325,5275,-4.18
-3340,5290,-3.95
-3355,5305,-4.35
-3370,5320,-4.4
-3385,5335,-4.17
-3399,5349,-3.92
-3414,5364,-3.8
-3428,5378,-4.09
-3442,5392,-4.01
-3456,5406,-4.09
-3470,5420,-4.28
-3484,5434,-4.34
-3497,5447,-4.33
-3511,5461,-4.87
-3524,5474,-4.36
-3537,5487,-4.32
-3550,5500,-4.33
-3563,5513,-4.38
-3576,5526,-4.46
-3588,5538,-4.66
-3600,5550,-4.93
-3613,5563,-4.59
-3625,5575,-3.89
-3637,5587,-3.75
-3649,5599,-3.69
-3660,5610,-4.53
-3672,5622,-4.95
-3683,5633,-4.89
-3695,5645,-4.6
-3706,5656,-4.66
-3717,5667,-4.33
-3728,5678,-4.46
-3738,5688,-4.82
-3749,5699,-4.8
-3760,5710,-4.79
-3770,5720,-4.65
-3780,5730,-4.36
-3791,5741,-4.12
-3801,5751,-4.02
-3811,5761,-4.1
-3821,5771,-3.99
-3830,5780,-4.05
-3840,5790,-3.61
-3850,5800,-4
-3859,5809,-4.07
-3868,5818,-4.08
-3878,5828,-3.48
-3887,5837,-3.89
-3896,5846,-3.99
-3905,5855,-3.75
-3914,5864,-3.93
-3923,5873,-4.2
-3931,5881,-3.89
-3940,5890,-4.05
-3949,5899,-4.19
-3957,5907,-3.99
-3965,5915,-3.99
-3974,5924,-4.08
-3982,5932,-4.21
-3990,5940,-4.64
-3998,5948,-4.25
-4006,5956,-4.03
-4014,5964,-4.19
-4022,5972,-3.83
-4030,5980,-4.46
-4038,5988,-3.93
-4046,5996,-4.12
-4054,6004,-3.3
-4062,6012,-4.64
-4069,6019,-4.24
-4077,6027,-3.87
-4084,6034,-4.51
-4092,6042,-3.64
-4100,6050,-5.43
-4107,6057,-4.1
-4115,6065,-3.98
-4122,6072,-4.49
-4129,6079,-4.62
