year (AD),age (yr BP),d13C (permil),d180 (permil)
1942.714292,7.28570799999989,-5.14436567924081,-14.3377034178599
1935.3799872,14.6200128,-5.47538833973116,-14.5455666848735
1928.0000856,21.9999144000001,-5.40105598136242,-14.5874252292365
1920.5775488,29.4224512000001,-5.44201435225711,-14.3778121821601
1913.1153,36.8847000000001,-5.48386864205164,-14.7137724127424
1905.616224,44.3837759999999,-5.92574579589999,-14.9100864337337
1898.0831672,51.9168328000001,-6.0488606252036,-15.0488605544647
1890.5189376,59.4810623999999,-6.19768140499444,-15.0535230596188
1882.9263048,67.0736952,-6.22514595150392,-15.3325092909364
1875.308,74.692,-6.14798415202156,-15.0546171609778
1867.666716,82.333284,-6.01686129691714,-15.243559931796
1860.0051072,89.9948927999999,-5.86655772935729,-15.1584648250015
1852.3257896,97.6742104,-5.57589862875207,-15.2851709249092
1844.6313408,105.3686592,-5.76735873517231,-15.2788234086128
1836.9243,113.0757,-5.91299745859519,-15.0670114367401
1829.207168,120.792832,-5.50612950888096,-15.4720027192982
1821.4824072,128.5175928,-5.03535253290766,-15.2415837014068
1813.7524416,136.2475584,-4.64499383701955,-15.3794157247323
1806.0196568,143.9803432,-4.47840872910077,-15.228221641058
1798.2864,151.7136,-4.47072587373709,-15.2844391487778
1790.55498,159.44502,-4.6427998131835,-15.3198383481374
1782.8276672,167.1723328,-4.69882257396481,-15.4120762837283
1775.1066936,174.8933064,-4.58736583218877,-15.4722855996217
1767.3942528,182.6057472,-4.39193385272085,-15.5189545302741
1759.6925,190.3075,-4.48550931013603,-15.5634506383606
1752.003552,197.996448,-4.69692328195048,-15.6226026325784
1744.3294872,205.6705128,-4.67238860471353,-15.0099525857931
1736.6723456,213.3276544,-4.83002132277266,-15.2970187282061
1729.0341288,220.9658712,-5.03732383568345,-15.4147678531255
1713.822284,236.177716,-5.19563492995212,-15.3270591699051
1706.2524672,243.7475328,-5.05903171762256,-15.5527550312824
1698.7091976,251.2908024,-5.07313931650599,-15.6967158448767
1691.1942848,258.8057152,-5.25152560945796,-15.7638792626448
1683.7095,266.2905,-5.43172872148645,-15.7158473755219
1676.256576,273.743424,-5.21708966276968,-15.7202559073505
1668.8372072,281.1627928,-4.99094560981583,-15.3448116091713
1661.4530496,288.5469504,-5.04775823772197,-15.2900804712951
1654.1057208,295.8942792,-5.03870780282456,-15.3695397690123
1646.7968,303.2032,-5.33660221813226,-15.2170032808896
1639.527828,310.472172,-5.46842184859631,-15.2697694888402
1632.3003072,317.6996928,-5.7364175489506,-14.3516811400925
1625.1157016,324.8842984,-5.28108458115628,-15.154961127762
1617.9754368,332.0245632,-5.30907293641436,-15.4806119980702
1610.8809,339.1191,-5.39789197285889,-15.4168786467012
1603.83344,346.16656,-4.69351336162138,-15.4669685491026
1596.8343672,353.1656328,-5.14331800523271,-15.2287241645926
1589.8849536,360.1150464,-5.28339447982429,-15.1182149995517
