year (AD),age (yr BP),depth (cm),logSalinity (logSalinity)
1873.71574277,76.2842572300001,12,3.08143
1851.98972371,98.0102762900001,14,3.76964
1830.302881,119.697119,16,4.3621
1808.6546856,141.3453144,18,3.82178
1787.0446084,162.9553916,20,4.42178
1765.4721203,184.5278797,22,4.42082
1743.9366922,206.0633078,24,4.44669
1700.9748997,249.0251003,28,3.85362
1679.5474771,270.4525229,30,4.43817
1658.1549982,291.8450018,32,4.3265
1636.7969338,313.2030662,34,4.45122
1615.4727549,334.5272451,36,4.27278
1594.1819324,355.8180676,38,2.89533
1572.9239372,377.0760628,40,3.3577
1551.6982402,398.3017598,42,2.9959
1530.5043123,419.4956877,44,3.54675
1509.3416245,440.6583755,46,4.17081
1488.2096476,461.7903524,48,3.35887
1467.1078525,482.8921475,50,3.24107
1446.0357102,503.9642898,52,4.3773
1424.9926916,525.0073084,54,3.87531
1403.9782675,546.0217325,56,4.39541
1382.991909,567.008091,58,3.97024
1362.0330868,587.9669132,60,2.49416
1341.101272,608.898728,62,4.17827
1320.1959353,629.8040647,64,4.05254
1299.3165478,650.6834522,66,4.11781
1278.4625804,671.5374196,68,3.4149
1257.6335039,692.3664961,70,4.08117
1236.8287893,713.1712107,72,4.02702
1216.0479074,733.9520926,74,4.09642
1195.2903292,754.7096708,76,4.147
1174.5555257,775.4444743,78,4.05332
1153.8429676,796.1570324,80,4.2574
1133.1521259,816.8478741,82,4.08923
1112.4824716,837.5175284,84,4.39605
1091.8334755,858.1665245,86,3.53075
1071.2046086,878.7953914,88,3.8015
1050.5953417,899.4046583,90,4.39168
1030.0051458,919.9948542,92,4.31871
1009.4334917,940.5665083,94,4.42124
988.8798505,961.1201495,96,4.10624
958.0820052,991.9179948,100,4.23852
947.82449,1002.17551,102,4.10028
927.321713,1022.678287,104,4.20565
906.834832,1043.165168,106,2.71988
886.363318,1063.636682,108,3.73782
865.906643,1084.093357,110,4.07265
845.464276,1104.535724,112,4.15105
825.03569,1124.96431,114,3.6837
804.620355,1145.379645,116,3.77555
784.217742,1165.782258,118,4.10782
763.827321,1186.172679,120,4.10438
743.448564,1206.551436,122,3.67519
723.080942,1226.919058,124,4.29021
702.723926,1247.276074,126,4.39604
682.376985,1267.623015,128,4.51714
662.039593,1287.960407,130,3.44764
641.711218,1308.288782,132,4.42059
621.391333,1328.608667,134,3.85617
601.079407,1348.920593,136,3.88793
580.774913,1369.225087,138,3.80045
560.477321,1389.522679,140,4.26253
540.186101,1409.813899,142,4.40802
519.900725,1430.099275,144,3.22273
499.620664,1450.379336,146,3.08809
479.345389,1470.654611,148,3.97021
459.074369,1490.925631,150,3.79422
438.807077,1511.192923,152,4.51475
418.542984,1531.457016,154,4.53564
398.28156,1551.71844,156,4.44754
378.022275,1571.977725,158,4.12034
357.764602,1592.235398,160,4.1127
337.508011,1612.491989,162,4.42783
317.251972,1632.748028,164,4.46018
296.995958,1653.004042,166,4.45075
276.739437,1673.260563,168,4.09793
256.481883,1693.518117,170,4.02777
236.222765,1713.777235,172,4.41268
215.961554,1734.038446,174,4.12227
195.697722,1754.302278,176,4.47012
175.430739,1774.569261,178,4.55241
155.160076,1794.839924,180,4.47525
134.885204,1815.114796,182,4.32626
114.605594,1835.394406,184,4.49175
94.3207159999999,1855.679284,186,3.94239
74.030043,1875.969957,188,4.22238
53.7330440000001,1896.266956,190,3.21464
33.4291909999999,1916.570809,192,4.33851
13.1179540000001,1936.882046,194,4.64184
-7.2011950000001,1957.201195,196,4.53478
-27.5287860000001,1977.528786,198,4.57591
-47.865348,1997.865348,200,4.44251
-68.2114099999999,2018.21141,202,4.37558
-88.567501,2038.567501,204,4.52269
-108.934149,2058.934149,206,4.47834
-129.311885,2079.311885,208,4.43899
-149.701237,2099.701237,210,4.40124
-170.102735,2120.102735,212,4.45525
-190.516907,2140.516907,214,4.21141
-210.944282,2160.944282,216,4.5408
-231.38539,2181.38539,218,4.43025
-251.840759,2201.840759,220,4.57599
-272.31092,2222.31092,222,4.33799
-292.7964,2242.7964,224,4.39397
-313.297729,2263.297729,226,4.5445
-333.815436,2283.815436,228,4.55449
-354.35005,2304.35005,230,4.55855
-374.902101,2324.902101,232,4.63668
-395.472117,2345.472117,234,4.48465
-416.060627,2366.060627,236,4.60419
-436.668161,2386.668161,238,4.40491
-457.295247,2407.295247,240,4.56538
-477.942415,2427.942415,242,4.57105
-498.610193,2448.610193,244,4.44339
-519.299112,2469.299112,246,4.53655
-540.009699,2490.009699,248,4.32865
-560.742485,2510.742485,250,4.52593
-581.497998,2531.497998,252,4.49364
-602.276766,2552.276766,254,4.54996
-623.07932,2573.07932,256,4.45617
-643.906189,2593.906189,258,4.42799
-664.757901,2614.757901,260,4.36152
-685.634985,2635.634985,262,4.38121
-706.537971,2656.537971,264,4.51547
-727.467388,2677.467388,266,4.49471
-748.423765,2698.423765,268,4.56284
-769.40763,2719.40763,270,4.4602
-790.419514,2740.419514,272,4.49809
-811.459945,2761.459945,274,4.5202
-832.529452,2782.529452,276,4.41835
-853.628564,2803.628564,278,4.30754
-874.75781,2824.75781,280,4.39005
-895.91772,2845.91772,282,4.53155
-917.108823,2867.108823,284,4.36949
-938.331647,2888.331647,286,4.34185
-959.586722,2909.586722,288,4.35151
-980.874577,2930.874577,290,4.58033
-1002.19574,2952.19574,292,4.44843
-1023.550742,2973.550742,294,4.36695
-1044.940111,2994.940111,296,4.49661
-1066.364375,3016.364375,298,4.18502
-1087.824066,3037.824066,300,4.56418
-1109.31971,3059.31971,301,4.39988
-1120.08118,3070.08118,303,4.5266
-1130.851838,3080.851838,305,4.40687
-1152.420978,3102.420978,307,4.32721
-1174.02766,3124.02766,309,4.58955
-1195.672413,3145.672413,311,4.44963
-1217.355766,3167.355766,313,4.25145
-1239.078247,3189.078247,315,4.32148
-1260.840387,3210.840387,317,4.35668
-1282.642713,3232.642713,319,4.20931
-1304.485756,3254.485756,321,4.39764
-1326.370044,3276.370044,323,4.54041
-1348.296106,3298.296106,325,4.57627
-1370.264471,3320.264471,327,4.62738
-1392.27567,3342.27567,329,4.38442
-1414.330229,3364.330229,331,4.56287
-1436.42868,3386.42868,333,4.62281
-1458.57155,3408.57155,335,4.49549
-1480.759369,3430.759369,337,4.45072
-1502.992666,3452.992666,339,4.47339
-1525.271971,3475.271971,341,4.50896
-1547.597811,3497.597811,343,4.50105
-1569.970716,3519.970716,345,4.5147
-1592.391216,3542.391216,347,4.51921
-1614.859839,3564.859839,349,4.27314
-1637.377115,3587.377115,351,4.43054
-1659.943573,3609.943573,353,4.25669
-1682.559741,3632.559741,355,3.93365
-1705.226148,3655.226148,357,4.18748
-1727.943325,3677.943325,359,4.28604
-1750.7118,3700.7118,361,4.39135
-1773.532101,3723.532101,363,4.34608
-1796.404759,3746.404759,365,4.10706
-1819.330302,3769.330302,367,3.84281
-1842.309259,3792.309259,369,3.44656
-1865.34216,3815.34216,371,4.23083
-1888.429533,3838.429533,373,4.35041
-1911.571908,3861.571908,375,4.52223
-1934.769813,3884.769813,377,4.59175
-1958.023778,3908.023778,379,4.2554
-1981.334332,3931.334332,381,4.5022
-2004.702004,3954.702004,383,4.50197
-2028.127323,3978.127323,385,4.48254
-2051.610818,4001.610818,387,4.52934
-2075.153019,4025.153019,389,4.1326599999999996
-2098.754453,4048.754453,391,4.39221
-2122.415651,4072.415651,393,4.22112
-2146.137142,4096.137142,395,4.43946
-2169.919454,4119.919454,397,4.16485
-2193.763116,4143.763116,400,4.13066
-2217.668659,4167.668659,402,4.60949
-2241.63661,4191.63661,404,4.50887
-2265.667499,4215.667499,406,4.60876
