year (AD),age (BP),temperature (degC),Chironomid_C (degC),Marine09Age (yr BP),x1_u03c3 (yr)
1950,0,10.97,10.97,83.175283031793,105.721498796611
1640.5,309.5,10.8,10.8,245.058961895469,168.290503061239
1485.3,464.7,10.73,10.73,405.884081312396,196.544925186821
1330.7,619.3,10.43,10.43,566.104308248571,205.213973470781
1176.8,773.2,11.01,11.01,725.799152323969,196.916412856978
1023.7,926.3,10.73,10.73,884.889193985584,169.190167077102
871.2,1078.8,11.53,11.53,1042.92118925954,108.028000584956
719.4,1230.6,11.49,11.49,1196.55453811945,107.29620459272
568.3,1381.7,11.66,11.66,1346.20626281374,179.976451187324
268.2,1681.8,11.44,11.44,1643.61947822158,265.916967327125
45,1905,11.28,11.28,1866.06050269171,310.545608418232
-102.9,2052.9,11.42,11.42,2014.18684934375,334.895370681432
-250.2,2200.2,11.18,11.18,2162.2121428081,355.982714433707
-360.2,2310.2,11.16,11.16,2273.17303646367,369.921379770429
-433.3,2383.3,11.53,11.53,2347.12513853229,378.508009632739
-506.2,2456.2,11.3,11.3,2421.05987817811,386.532999724192
-579,2529,11.33,11.33,2494.97832419781,394.0307738292
-651.5,2601.5,10.79,10.79,2568.88139717004,401.030995577452
-724,2674,10.86,10.86,2642.76989493304,407.55938401458
-796.2,2746.2,10.86,10.86,2716.64451251692,413.638352173491
-868.2,2818.2,9.98,9.98,2790.50585792975,419.287513173111
-940.1,2890.1,10.28,10.28,2864.35446479541,424.524085640685
-1011.8,2961.8,10.26,10.26,2938.19080256687,429.36322154648
-1083.4,3033.4,10.58,10.58,3012.01528484832,433.818273470457
-1154.7,3104.7,10.12,10.12,3085.82827622406,437.901014016753
-1225.9,3175.9,10.16,10.16,3159.63009789492,441.621816991567
-1296.9,3246.9,10.45,10.45,3233.42103235193,444.989807694108
-1367.8,3317.8,10.19,10.19,3307.20132726458,448.012987991403
-1438.4,3388.4,10.34,10.34,3380.97119872109,450.698340587862
-1508.9,3458.9,10.46,10.46,3454.7308339287,453.051915943053
-1579.2,3529.2,10.5,10.5,3528.4803934587,455.078904554717
-1649.4,3599.4,10.31,10.31,3602.2200131029,456.783696750371
-1719.4,3669.4,10.83,10.83,3675.94980539442,458.169931677993
-1789.2,3739.2,10.95,10.95,3749.66986083394,459.240536823688
-1858.8,3808.8,10.7,10.7,3823.38024885383,459.997759088832
-1928.2,3878.2,10.72,10.72,3897.08101854446,460.443188213951
-1997.5,3947.5,11.09,11.09,3970.77219916074,460.577773128061
-2066.6,4016.6,11.58,11.58,4044.45380042134,460.401831619831
-2135.5,4085.5,11.76,11.76,4118.1258126076,459.915053562069
-2204.3,4154.3,11.71,11.71,4191.78820646458,459.116497766237
-2272.8,4222.8,11.69,11.69,4265.44093290193,458.004582392203
-2341.2,4291.2,11.11,11.11,4339.0839224873,456.577068683697
-2409.5,4359.5,11.5,11.5,4412.71708471997,454.831037635291
-2477.5,4427.5,11.58,11.58,4486.34030706685,452.76285901459
-2545.4,4495.4,11.18,11.18,4559.95345373612,450.368151955224
-2613.1,4563.1,11.67,11.67,4633.5563641565,447.641736091486
-2680.6,4630.6,11.32,11.32,4707.14885112073,444.577571910851
-2882.2,4832.2,10.61,10.61,4927.86144924776,433.283687784227
-3082.1,5032.1,11.25,11.25,5148.47036795983,418.631806669444
-3280.5,5230.5,11.36,11.36,5368.96425283076,400.255972866109
-3477.4,5427.4,11.05,11.05,5589.32633982365,377.61637124806
-3672.6,5622.6,11.69,11.69,5809.53106711675,349.89101003941
-3866.4,5816.4,11.47,11.47,6029.53698035589,315.749606676977
-4058.5,6008.5,11.2,11.2,6249.2693607522,272.802599632202
-4249.1,6199.1,11.74,11.74,6468.56473854785,215.856782290735
-4438.1,6388.1,10.92,10.92,6686.84126527039,126.841867443974
-4625.5,6575.5,11.33,11.33,6870.59501318632,102.330502253694
-4811.3,6761.3,11.45,11.45,7020.50676372378,165.709678587325
-4995.6,6945.6,11.96,11.96,7169.42075954008,198.667338697977
-5178.4,7128.4,11.58,11.58,7317.82695470084,215.77587870191
-5359.5,7309.5,11.95,11.95,7465.845632223,220.732716364655
-5509.3,7459.3,11,11,7588.92452693141,216.396403655612
-5687.6,7637.6,11.09,11.09,7736.25686106085,199.868869607322
-5981.2,7931.2,11.3,11.3,7980.51001528752,132.351994730842
-6270.5,8220.5,11.42,11.42,8208.5942253101,120.883449376645
-6555.5,8505.5,11.11,11.11,8420.53493607775,172.550287331862
-6836.1,8786.1,11.13,11.13,8630.62369219511,170.4200657804
-7112.3,9062.3,10.73,10.73,8838.57747110083,110.338569807692
-7384.2,9334.2,11.63,11.63,9052.8149145269,160.414360289519
-7651.7,9601.7,11.65,11.65,9268.98099046026,233.233962967687
-7914.9,9864.9,11.63,11.63,9484.36786095827,283.284342536076
-8173.7,10123.7,11.78,11.78,9699.36723704605,321.455786557509
-8428.2,10378.2,11.77,11.77,9914.1114822709,351.662134173486
-8678.3,10628.3,11.37,11.37,10128.6645074039,375.840757545519
-8924,10874,11.18,11.18,10343.062601268,395.107065765726
-9165.4,11115.4,11.48,11.48,10557.328264964,410.158856136042
-9402.5,11352.5,12.17,12.17,10771.4760950056,421.451656485029
-9635.1,11585.1,11.33,11.33,10985.515647892,429.285219606199
-9863.5,11813.5,10.69,10.69,11199.4529489531,433.849513998518
-10087.4,12037.4,12.27,12.27,11413.2913046989,435.249679433218
-10307.1,12257.1,11.8,11.8,11627.0317050272,433.51850415087
-10522.3,12472.3,10.62,10.62,11840.6729377859,428.620127515696
-10733.2,12683.2,9.92,9.92,12054.2114481212,420.445989874734
-10939.8,12889.8,11.8,11.8,12267.6409026403,408.801911095988
-11142,13092,10.1,10.1,12480.9513241243,393.382444987789
-11339.8,13289.8,9.59,9.59,12694.1274861031,373.723650694938
-11533.3,13483.3,10.01,10.01,12907.1458479711,349.114084096009
-11722.4,13672.4,10.5,10.5,13119.9681925706,318.413605470865
-12087.6,14037.6,11.07,11.07,13544.6760844643,228.717667479775
-12263.7,14213.7,10.31,10.31,13755.9623794091,154.155375636463
-12435.4,14385.4,11.65,11.65,14003.1226924772,144.070701000571
-12602.8,14552.8,11.62,11.62,14303.6283482738,219.111250677515
-12765.8,14715.8,11.43,11.43,14602.158358113,243.391448398395
-12924.4,14874.4,10.18,10.18,14899.1377760614,233.416617327204
-13078.7,15028.7,-2.1,-2.1,15177.4852059284,193.532310959889
-13228.6,15178.6,-2.1,-2.1,15319.1663034633,214.174273573861
-13374.2,15324.2,-2.1,-2.1,15458.7366131166,234.888155444598
-13515.4,15465.4,2.59,2.59,15597.2889093522,254.801769975054
-13652.3,15602.3,2.53,2.53,15734.5475373969,273.581551558115
