depth (cm) [1-1],age (yr BP) [1-1],BSI (percent) [1-1],depth (cm) [1-2],age (yr BP) [1-2],LOI (percent) [1-2],depth (cm) [1-3],age (yr BP) [1-3],quartz (percent) [1-3],feldspar (percent) [1-3],pyrite (percent) [1-3]
2,-48.9,15.6,15.5,103.2,59.5,46,429.4,29.91,57.28,12.81
6,-34.8,16.8,35.5,334.5,66,65,610.2,42.79,57.21,0
10,3.1,15.2,46.5,433.8,71.4,85,881,50.26,49.74,0
14,81.1,12.6,54.5,505.4,62.6,105,1233.4,51.11,12.76,36.13
18,138.2,15.2,65.5,615.7,72.2,125,1635.8,24.44,9.82,65.74
22,189.9,18.3,70.5,674.1,66.1,145,2108.8,9.69,18.3,72.01
26,236.9,18.2,75.5,739.7,65,165,2593.2,19.29,38.45,42.27
30,280,17.7,82.5,841.9,69.7,185,3133.6,32.96,29.1,37.94
34,320.1,18.8,90.5,971.4,60.5,215,4065.5,17.15,10.13,72.71
38,357.8,18.8,96.5,1076.1,58.6,225,4434.3,15.02,16.09,68.9
42,394,17,105.5,1242.9,62.5,235,4777.3,11.83,15.33,72.83
46,429.4,16.1,114.5,1418.2,63.2,245,5116.8,17.49,14.93,67.58
48,447,17.1,120.5,1539.5,64.8,255,5473.6,11.37,18.77,69.86
49,455.8,16.5,125.5,1646.8,60.9,265,5904.5,13.98,39.13,46.88
50,464.7,20.5,134.5,1852.8,64.3,275,6408.3,16.67,9.95,73.37
51,473.6,19,140.5,1997.4,53.3,285,6883.2,16.04,20.21,63.75
52,482.6,19.4,145.5,2121.2,56,295,7226.6,32.04,33.06,34.89
53,491.7,22.1,150.5,2247.2,54,305,7367.5,25.5,32.14,42.36
55,510,17.5,155.5,2374.5,20.5,315,7438.4,16.1,31.04,52.86
56,519.4,24.3,160.5,2476.9,60.6,325,7487.5,14.47,41.94,43.59
57,528.8,25.8,165.5,2606.2,40.7,345,7608.2,26.12,73.88,0
58,538.4,20.1,170.5,2737.5,59.2,365,7770.9,10.91,13.42,75.66
59,548.1,18.9,175.5,2871.2,64.4,385,8210.6,17.01,28.01,54.98
60,558,19,180.5,3007.8,63.7,405,8596.7,12.71,19.54,67.75
61,568.1,19.9,185.5,3147.8,61.5,425,8905.6,18.79,22.54,58.68
62,578.3,18.1,195.5,3439.9,48.3,445,9178.1,15.9,16.34,67.76
63,588.7,18.4,200.5,3593,38.3,465,9375,17.44,13.43,69.13
64,599.3,16.5,201.5,3624.3,31.2,485,9487.7,25.82,40.55,33.64
66,621.2,18.9,212.5,3971.7,59.2,505,9566,26.53,33.13,40.34
67,632.5,17.5,215.5,4084.4,61.3,525,9645.3,31.19,32.89,35.92
68,644.1,18.2,219.5,4234.8,65.6,545,9759.7,27.32,41.13,31.55
69,655.9,18.6,223.5,4381.2,62.5,565,9916.8,23.4,24.94,51.66
70,668,19.1,225.5,4451.9,65.7,585,10093.1,32.27,22.99,44.74
71,680.3,18.5,230.5,4624.7,62.8,605,10265.2,20.71,39.97,39.32
72,693,19.3,235.5,4794.2,60,625,10437.1,27.24,40.82,31.95
73,706,17.8,240.5,4963.1,62.5,635,10524.3,32.72,41.03,26.25
74,719.3,18.2,245.5,5134,59.4,NA,NA,NA,NA,NA
75,732.8,21.4,250.5,5309.5,56.3,NA,NA,NA,NA,NA
76,746.6,18,255.5,5492.2,55.9,NA,NA,NA,NA,NA
77,760.6,15.7,260.5,5695.6,53.6,NA,NA,NA,NA,NA
78,774.9,17.1,265.5,5928.8,39.2,NA,NA,NA,NA,NA
79,789.4,14.1,270.5,6179,52.9,NA,NA,NA,NA,NA
80,804.1,13.4,275.5,6433.6,50,NA,NA,NA,NA,NA
81,819,13.1,280.5,6679.7,47.8,NA,NA,NA,NA,NA
82,834.2,10.3,285.5,6904.4,44.6,NA,NA,NA,NA,NA
83,849.6,12.1,290.5,7094.9,51.7,NA,NA,NA,NA,NA
84,865.2,16.4,295.5,7238.5,40,NA,NA,NA,NA,NA
86,897,19.9,300.5,7322.6,32.7,NA,NA,NA,NA,NA
87,913.2,20.1,305.5,7371.9,23.2,NA,NA,NA,NA,NA
88,929.6,20.9,309.5,7403.5,22.1,NA,NA,NA,NA,NA
89,946.2,22.4,315.5,7441.2,27.8,NA,NA,NA,NA,NA
90,963,22.9,320.5,7466.7,18.2,NA,NA,NA,NA,NA
91,979.9,20.9,325.5,7489.8,6.8,NA,NA,NA,NA,NA
92,997.1,22.7,330.5,7513.2,8,NA,NA,NA,NA,NA
93,1014.4,22.1,335.5,7539.7,4.7,NA,NA,NA,NA,NA
94,1031.8,22.5,365.5,7780.1,36.1,NA,NA,NA,NA,NA
95,1049.4,26.9,384.5,8199,33,NA,NA,NA,NA,NA
96,1067.2,23.2,405.5,8604.1,47,NA,NA,NA,NA,NA
97,1085.1,20,415.5,8756.8,47.2,NA,NA,NA,NA,NA
98,1103.2,20.8,425.5,8903.3,47.7,NA,NA,NA,NA,NA
99,1121.4,21.4,435.5,9041,47.1,NA,NA,NA,NA,NA
100,1139.8,20.9,445.5,9167.5,40.7,NA,NA,NA,NA,NA
101,1158.2,19.9,455.5,9280,43,NA,NA,NA,NA,NA
102,1176.8,21,465.5,9376.2,36.4,NA,NA,NA,NA,NA
103,1195.6,21.4,484.5,9524.7,34.4,NA,NA,NA,NA,NA
104,1214.4,21.8,505.5,9662.8,39.3,NA,NA,NA,NA,NA
105,1233.4,23.4,515.5,9721.8,37.1,NA,NA,NA,NA,NA
106,1252.5,22.6,525.5,9778,40,NA,NA,NA,NA,NA
107,1271.6,18,535.5,9832.6,41.1,NA,NA,NA,NA,NA
108,1290.9,21.8,545.5,9886.6,40.5,NA,NA,NA,NA,NA
109,1310.3,21.3,555.5,9941.2,37.3,NA,NA,NA,NA,NA
110,1329.7,20.9,565.5,9997.5,31.2,NA,NA,NA,NA,NA
111,1349.3,20,575.5,10056.7,35.3,NA,NA,NA,NA,NA
112,1368.9,21.2,585.5,10119.8,28.8,NA,NA,NA,NA,NA
113,1388.6,11.9,595.5,10188,29.6,NA,NA,NA,NA,NA
115,1428.2,23.6,605.5,10262.1,26.2,NA,NA,NA,NA,NA
116,1448.1,18.1,615.5,10341.5,23.5,NA,NA,NA,NA,NA
117,1468,17.6,625.5,10425.4,22.9,NA,NA,NA,NA,NA
118,1488.1,18.9,630.5,10468.7,20.1,NA,NA,NA,NA,NA
119,1508.5,18.5,635.5,10512.9,20.6,NA,NA,NA,NA,NA
120,1529.1,21.2,640.5,10557.8,16.9,NA,NA,NA,NA,NA
121,1550,18.9,645.5,10603.3,7.7,NA,NA,NA,NA,NA
122,1571.1,19.7,650.5,10649.4,30.9,NA,NA,NA,NA,NA
123,1592.4,21.7,660.5,10742.7,2.9,NA,NA,NA,NA,NA
124,1614,21.2,670.5,10836.8,21.6,NA,NA,NA,NA,NA
125,1635.8,23.6,NA,NA,NA,NA,NA,NA,NA,NA
126,1657.8,24.4,NA,NA,NA,NA,NA,NA,NA,NA
127,1680.1,23.1,NA,NA,NA,NA,NA,NA,NA,NA
128,1702.5,22.6,NA,NA,NA,NA,NA,NA,NA,NA
129,1725.1,23.6,NA,NA,NA,NA,NA,NA,NA,NA
130,1747.9,24.4,NA,NA,NA,NA,NA,NA,NA,NA
131,1770.9,22.4,NA,NA,NA,NA,NA,NA,NA,NA
132,1794.1,21.7,NA,NA,NA,NA,NA,NA,NA,NA
133,1817.5,18.4,NA,NA,NA,NA,NA,NA,NA,NA
134,1841,20.3,NA,NA,NA,NA,NA,NA,NA,NA
135,1864.7,25.6,NA,NA,NA,NA,NA,NA,NA,NA
136,1888.5,23.3,NA,NA,NA,NA,NA,NA,NA,NA
137,1912.5,21.8,NA,NA,NA,NA,NA,NA,NA,NA
138,1936.6,22.3,NA,NA,NA,NA,NA,NA,NA,NA
139,1960.8,22.1,NA,NA,NA,NA,NA,NA,NA,NA
140,1985.2,21.4,NA,NA,NA,NA,NA,NA,NA,NA
141,2009.7,24.5,NA,NA,NA,NA,NA,NA,NA,NA
142,2034.3,25.7,NA,NA,NA,NA,NA,NA,NA,NA
143,2059,18.6,NA,NA,NA,NA,NA,NA,NA,NA
144,2083.8,18.4,NA,NA,NA,NA,NA,NA,NA,NA
146,2133.8,19.4,NA,NA,NA,NA,NA,NA,NA,NA
147,2158.8,18,NA,NA,NA,NA,NA,NA,NA,NA
148,2184,22.7,NA,NA,NA,NA,NA,NA,NA,NA
149,2209.2,21.3,NA,NA,NA,NA,NA,NA,NA,NA
150,2234.5,21.6,NA,NA,NA,NA,NA,NA,NA,NA
151,2259.9,18,NA,NA,NA,NA,NA,NA,NA,NA
152,2285.3,23.4,NA,NA,NA,NA,NA,NA,NA,NA
153,2310.7,19.6,NA,NA,NA,NA,NA,NA,NA,NA
154,2336.2,16.6,NA,NA,NA,NA,NA,NA,NA,NA
155,2361.7,15.9,NA,NA,NA,NA,NA,NA,NA,NA
156,2387.2,11.6,NA,NA,NA,NA,NA,NA,NA,NA
158,2412.8,17.9,NA,NA,NA,NA,NA,NA,NA,NA
159,2438.4,16.7,NA,NA,NA,NA,NA,NA,NA,NA
160,2464,17.8,NA,NA,NA,NA,NA,NA,NA,NA
161,2489.7,17.7,NA,NA,NA,NA,NA,NA,NA,NA
162,2515.5,21.1,NA,NA,NA,NA,NA,NA,NA,NA
163,2541.3,23.6,NA,NA,NA,NA,NA,NA,NA,NA
164,2567.2,31.7,NA,NA,NA,NA,NA,NA,NA,NA
166,2619.3,24.8,NA,NA,NA,NA,NA,NA,NA,NA
167,2645.4,17.9,NA,NA,NA,NA,NA,NA,NA,NA
168,2671.6,19.5,NA,NA,NA,NA,NA,NA,NA,NA
169,2697.9,19.3,NA,NA,NA,NA,NA,NA,NA,NA
170,2724.3,20.8,NA,NA,NA,NA,NA,NA,NA,NA
171,2750.7,21.9,NA,NA,NA,NA,NA,NA,NA,NA
172,2777.3,19.8,NA,NA,NA,NA,NA,NA,NA,NA
173,2804,13.6,NA,NA,NA,NA,NA,NA,NA,NA
174,2830.8,17.4,NA,NA,NA,NA,NA,NA,NA,NA
176,2884.7,14.2,NA,NA,NA,NA,NA,NA,NA,NA
177,2911.8,7.8,NA,NA,NA,NA,NA,NA,NA,NA
178,2939.1,16.9,NA,NA,NA,NA,NA,NA,NA,NA
179,2966.5,9.2,NA,NA,NA,NA,NA,NA,NA,NA
180,2994,13.3,NA,NA,NA,NA,NA,NA,NA,NA
181,3021.6,7.1,NA,NA,NA,NA,NA,NA,NA,NA
182,3049.4,16,NA,NA,NA,NA,NA,NA,NA,NA
183,3077.3,9.6,NA,NA,NA,NA,NA,NA,NA,NA
184,3105.4,20.5,NA,NA,NA,NA,NA,NA,NA,NA
185,3133.6,16.3,NA,NA,NA,NA,NA,NA,NA,NA
186,3162,18.2,NA,NA,NA,NA,NA,NA,NA,NA
187,3190.5,12,NA,NA,NA,NA,NA,NA,NA,NA
188,3219.2,19,NA,NA,NA,NA,NA,NA,NA,NA
189,3248.1,12.2,NA,NA,NA,NA,NA,NA,NA,NA
190,3277.1,22.6,NA,NA,NA,NA,NA,NA,NA,NA
191,3306.3,11.9,NA,NA,NA,NA,NA,NA,NA,NA
192,3335.7,23.8,NA,NA,NA,NA,NA,NA,NA,NA
193,3365.2,17.2,NA,NA,NA,NA,NA,NA,NA,NA
194,3395,22.1,NA,NA,NA,NA,NA,NA,NA,NA
195,3424.9,19.1,NA,NA,NA,NA,NA,NA,NA,NA
196,3455,22.2,NA,NA,NA,NA,NA,NA,NA,NA
197,3485.3,16,NA,NA,NA,NA,NA,NA,NA,NA
198,3515.8,15.3,NA,NA,NA,NA,NA,NA,NA,NA
199,3546.6,20.5,NA,NA,NA,NA,NA,NA,NA,NA
200,3577.5,25.3,NA,NA,NA,NA,NA,NA,NA,NA
201,3608.6,19.2,NA,NA,NA,NA,NA,NA,NA,NA
202,3624.3,15.1,NA,NA,NA,NA,NA,NA,NA,NA
203,3640,12.9,NA,NA,NA,NA,NA,NA,NA,NA
204,3671.9,18.9,NA,NA,NA,NA,NA,NA,NA,NA
205,3704.8,15.8,NA,NA,NA,NA,NA,NA,NA,NA
206,3738.4,15.5,NA,NA,NA,NA,NA,NA,NA,NA
207,3772.8,15.9,NA,NA,NA,NA,NA,NA,NA,NA
208,3807.8,14.2,NA,NA,NA,NA,NA,NA,NA,NA
209,3843.4,12.8,NA,NA,NA,NA,NA,NA,NA,NA
210,3879.6,19,NA,NA,NA,NA,NA,NA,NA,NA
211,3916.2,9.9,NA,NA,NA,NA,NA,NA,NA,NA
212,3953.1,13.3,NA,NA,NA,NA,NA,NA,NA,NA
213,3990.4,13,NA,NA,NA,NA,NA,NA,NA,NA
214,4027.9,12.4,NA,NA,NA,NA,NA,NA,NA,NA
215,4065.5,12.7,NA,NA,NA,NA,NA,NA,NA,NA
216,4103.2,16.8,NA,NA,NA,NA,NA,NA,NA,NA
217,4140.9,14.9,NA,NA,NA,NA,NA,NA,NA,NA
218,4178.6,10.6,NA,NA,NA,NA,NA,NA,NA,NA
219,4216.1,12.7,NA,NA,NA,NA,NA,NA,NA,NA
220,4253.4,12.9,NA,NA,NA,NA,NA,NA,NA,NA
221,4290.4,14.4,NA,NA,NA,NA,NA,NA,NA,NA
222,4327.1,12.6,NA,NA,NA,NA,NA,NA,NA,NA
223,4363.3,13.8,NA,NA,NA,NA,NA,NA,NA,NA
224,4399,12.1,NA,NA,NA,NA,NA,NA,NA,NA
226,4469.4,13.2,NA,NA,NA,NA,NA,NA,NA,NA
227,4504.2,19.5,NA,NA,NA,NA,NA,NA,NA,NA
228,4538.8,15.8,NA,NA,NA,NA,NA,NA,NA,NA
229,4573.3,12.8,NA,NA,NA,NA,NA,NA,NA,NA
230,4607.6,15.4,NA,NA,NA,NA,NA,NA,NA,NA
231,4641.7,11.7,NA,NA,NA,NA,NA,NA,NA,NA
232,4675.7,14,NA,NA,NA,NA,NA,NA,NA,NA
233,4709.7,24.2,NA,NA,NA,NA,NA,NA,NA,NA
234,4743.5,16.1,NA,NA,NA,NA,NA,NA,NA,NA
236,4811.1,12.8,NA,NA,NA,NA,NA,NA,NA,NA
237,4844.8,21.1,NA,NA,NA,NA,NA,NA,NA,NA
238,4878.6,13.3,NA,NA,NA,NA,NA,NA,NA,NA
239,4912.4,20.1,NA,NA,NA,NA,NA,NA,NA,NA
240,4946.2,17.8,NA,NA,NA,NA,NA,NA,NA,NA
241,4980.1,18.4,NA,NA,NA,NA,NA,NA,NA,NA
