depth (cm),age (yr BP),MJAT_Fortin (degC),MJAT_FortinSE (degC),MJAT_FortinLOWESS (degC),MJAT_Fortin_Anom (degC),MJAT_Fortin_anom_LOWESS (degC),MJAT_Barley (degC),MJAT_Barley_SE (degC),MJAT_Barley_LOWESS (degC),MJAT_Barley_Anom (degC),MJAT_Barley_Anom_LOWESS (degC)
0.5,-57,14.45,0.498,14.26,0,-0.19,14.99,0.395,14.93,0,-0.06
6.5,21,13.75,0.493,14.49,-0.69,0.04,14.85,0.384,14.74,-0.13,-0.25
12.5,100,16.15,0.477,14.72,1.7,0.28,14.57,0.382,14.57,-0.41,-0.42
18.5,181,14.73,0.367,14.98,0.28,0.53,14.05,0.256,14.43,-0.94,-0.56
24.5,263,13.61,0.331,15.25,-0.84,0.81,13.95,0.296,14.34,-1.04,-0.65
30.5,347,16.91,0.63,15.26,2.47,0.81,15.28,0.422,14.28,0.3,-0.71
36.5,433,16.05,0.515,15.27,1.61,0.82,15.22,0.38,14.26,0.24,-0.72
42.5,521,14.75,0.413,15.43,0.3,0.98,14.21,0.268,14.3,-0.78,-0.68
48.5,603,14.45,0.399,15.41,0,0.96,14.09,0.341,14.26,-0.9,-0.72
54.5,702,16.74,0.489,15.21,2.29,0.77,15.28,0.397,14.14,0.29,-0.85
60.5,795,15.43,0.421,15.15,0.98,0.7,14.27,0.279,14.11,-0.71,-0.88
66.5,891,14.63,0.394,15.21,0.18,0.77,13.61,0.308,14.15,-1.37,-0.83
73.5,1005,14.4,0.367,15.36,-0.04,0.91,14.13,0.237,14.33,-0.86,-0.65
78.5,1091,15.51,0.455,15.47,1.06,1.02,14.52,0.327,14.49,-0.47,-0.5
83.5,1181,16.76,0.485,15.64,2.31,1.2,15.1,0.376,14.63,0.12,-0.36
88.5,1273,16.24,0.494,15.82,1.8,1.37,15.03,0.33,14.7,0.04,-0.29
93.5,1369,14.79,0.426,15.9,0.34,1.46,14.55,0.34,14.74,-0.43,-0.25
98.5,1468,16.32,0.488,15.95,1.87,1.5,14.54,0.36,14.75,-0.45,-0.23
103.5,1570,15.54,0.432,16.1,1.09,1.65,14.62,0.338,14.78,-0.36,-0.21
108.5,1675,16.37,0.475,16.31,1.92,1.86,15.15,0.378,14.85,0.17,-0.14
113.5,1783,16.96,0.555,16.47,2.51,2.02,14.81,0.41,14.93,-0.18,-0.06
118.5,1893,17,0.512,16.62,2.56,2.17,15.29,0.395,14.99,0.3,0.01
123.5,2006,15.74,0.445,16.59,1.3,2.14,14.63,0.31,14.98,-0.36,0
128.5,2122,18.64,0.573,16.44,4.19,1.99,15.57,0.501,14.92,0.59,-0.07
133.5,2240,16.3,0.444,16.37,1.85,1.92,14.83,0.328,14.87,-0.15,-0.12
138.5,2361,15.37,0.454,16.29,0.92,1.84,14.55,0.391,14.8,-0.44,-0.18
143.5,2483,16.94,0.502,16.03,2.5,1.58,14.8,0.39,14.71,-0.19,-0.28
148.5,2609,16.32,0.533,15.82,1.87,1.38,14.81,0.374,14.66,-0.17,-0.32
153.5,2736,13.85,0.439,15.68,-0.6,1.24,14.26,0.292,14.65,-0.73,-0.33
158.5,2867,15.41,0.53,15.53,0.96,1.08,14.61,0.432,14.62,-0.38,-0.37
163.5,3000,15.73,0.537,15.37,1.28,0.92,14.86,0.46,14.51,-0.12,-0.47
171.5,3291,15.14,0.468,14.94,0.69,0.5,14.34,0.345,14.24,-0.65,-0.75
176.5,3482,14.86,0.525,14.79,0.42,0.34,13.95,0.49,14.12,-1.04,-0.86
181.5,3684,13.58,0.387,14.69,-0.87,0.24,13.57,0.327,14.02,-1.42,-0.97
186.5,3894,14.65,0.455,14.77,0.2,0.32,14.02,0.377,14.01,-0.97,-0.97
191.5,4108,14.91,0.427,14.9,0.46,0.45,14.1,0.395,14.06,-0.89,-0.93
196.5,4325,15.53,0.461,15.03,1.08,0.58,14.19,0.381,14.14,-0.8,-0.84
201.5,4540,15.64,0.499,15.13,1.19,0.69,14.31,0.454,14.21,-0.67,-0.77
206.5,4751,13.86,0.382,15.29,-0.58,0.84,14.07,0.314,14.3,-0.91,-0.68
211.5,4954,15.17,0.457,15.29,0.72,0.85,14.34,0.374,14.38,-0.65,-0.6
216.5,5145,15.92,0.517,15.25,1.47,0.8,14.49,0.39,14.44,-0.5,-0.55
221.5,5323,17.41,0.963,15.28,2.97,0.83,15.11,0.567,14.49,0.12,-0.5
226.5,5482,14.6,0.361,15.16,0.15,0.71,14.44,0.28,14.49,-0.54,-0.49
231.5,5619,14.31,0.43,14.88,-0.13,0.43,14.05,0.383,14.42,-0.93,-0.57
236.5,5740,14.24,0.58,14.79,-0.2,0.35,14.44,0.538,14.3,-0.54,-0.69
