year (AD),age (yr BP),d18O_VPBD (permil)
-517.54796,2467.54796,-15.5714620998521
-546.94389,2496.94389,-15.6226302943904
-576.45304,2526.45304,-16.249086625056
-606.07541,2556.07541,-15.7816091821013
-635.811,2585.811,-16.0438256259145
-665.65981,2615.65981,-15.6193743946517
-695.62184,2645.62184,-15.5675065839101
-725.69709,2675.69709,-15.6064133086341
-755.88556,2705.88556,-15.3161013929917
-786.18725,2736.18725,-15.8429757852867
-816.60216,2766.60216,-16.0111837817367
-847.13029,2797.13029,-15.9781314040948
-877.77164,2827.77164,-16.2690578875832
-908.52621,2858.52621,-16.5566755346574
-939.394,2889.394,-15.6756942039835
-970.37501,2920.37501,-15.8812073843323
-1001.46924,2951.46924,-15.8716304269003
-1032.67669,2982.67669,-15.5983342210042
-1063.99736,3013.99736,-15.55341066281
-1095.43125,3045.43125,-15.5370338298475
-1126.97836,3076.97836,-15.1426045690164
-1158.63869,3108.63869,-15.4826167249931
-1190.41224,3140.41224,-15.8451268548563
-1222.29901,3172.29901,-16.3346199240284
-1254.299,3204.299,-16.3338649899804
-1286.41221,3236.41221,-16.6043406623053
-1318.63864,3268.63864,-16.8657976060825
-1350.97829,3300.97829,-15.9355504091888
-1383.43116,3333.43116,-15.7834031513595
-1415.99725,3365.99725,-15.4587146538597
-1448.67656,3398.67656,-15.5997603137994
-1481.46909,3431.46909,-15.425652652665
-1514.37484,3464.37484,-15.1513575710257
-1547.39381,3497.39381,-15.294753145327
-1580.526,3530.526,-15.5543523637576
-1613.77141,3563.77141,-15.4678231918002
-1647.13004,3597.13004,-15.4123910439814
-1680.60189,3630.60189,-15.5008275990147
-1714.18696,3664.18696,-15.6345273364264
-1747.88525,3697.88525,-15.402040158138
-1781.69676,3731.69676,-15.150689858036
-1815.62149,3765.62149,-15.1142655295169
-1849.65944,3799.65944,-14.9812148825351
-1883.81061,3833.81061,-14.8624045709513
-1918.075,3868.075,-15.3862793970671
-1952.45261,3902.45261,-15.5157162469045
-1986.94344,3936.94344,-15.1591161477859
-2021.54749,3971.54749,-15.2666400264336
-2056.26476,4006.26476,-15.4531178645174
-2126.03896,4076.03896,-15.2044047741517
-2196.26604,4146.26604,-15.8027642650835
-2266.946,4216.946,-14.9574742560769
-2338.07884,4288.07884,-14.9845309033841
-2409.66456,4359.66456,-15.1750901572669
-2481.70316,4431.70316,-15.3060585029369
-2554.19464,4504.19464,-15.2992200130199
-2627.139,4577.139,-15.4302262546968
-2700.53624,4650.53624,-15.3455844630938
-2774.38636,4724.38636,-14.8782632641648
-2848.68936,4798.68936,-14.9092496570234
-2923.44524,4873.44524,-15.1545021261873
-2998.654,4948.654,-15.1956788544711
-3074.31564,5024.31564,-15.4056887044531
-3150.43016,5100.43016,-15.044114613296
-3226.99756,5176.99756,-14.8127621368738
-3304.01784,5254.01784,-15.0190509242008
-3381.491,5331.491,-15.0228039669268
-3459.41704,5409.41704,-15.084863673775
-3537.79596,5487.79596,-14.6891099738544
-3616.62776,5566.62776,-15.5043850951893
-3695.91244,5645.91244,-14.7093204514485
-3775.65,5725.65,-14.7129056765093
-3855.84044,5805.84044,-15.0962980507883
-3936.48376,5886.48376,-14.9944865798933
-4017.57996,5967.57996,-15.3561601070471
-4099.12904,6049.12904,-15.0400893770554
-4181.131,6131.131,-14.9532619394096
-4263.58584,6213.58584,-14.5822007959348
-4346.49356,6296.49356,-14.5392156385968
-4429.85416,6379.85416,-14.3704785092746
-4513.66764,6463.66764,-15.075373312321
-4597.934,6547.934,-15.0662989722745
-4682.65324,6632.65324,-14.649733319792
-4767.82536,6717.82536,-15.1709035925466
-4853.45036,6803.45036,-14.4960419690532
-4939.52824,6889.52824,-14.7931224154579
-5026.059,6976.059,-14.7072033549609
-5113.04264,7063.04264,-14.7219723464732
-5200.47916,7150.47916,-14.3342990751236
-5288.36856,7238.36856,-14.5238906030577
-5376.71084,7326.71084,-14.7310967247336
-5465.506,7415.506,-14.4152702166895
-5554.75404,7504.75404,-14.6024686954277
-5644.45496,7594.45496,-15.0575825387348
-5734.60876,7684.60876,-15.1491889162574
-5825.21544,7775.21544,-14.6186433563828
-5916.275,7866.275,-14.8983448858261
-6007.78744,7957.78744,-14.9858213292244
-6099.75276,8049.75276,-14.6711764238331
-6192.17096,8142.17096,-14.4569522576929
-6285.04204,8235.04204,-15.0732097172804
-6378.366,8328.366,-14.9928075773716
-6378.366,8328.366,-15.0718490722561
-6472.14284,8422.14284,-14.7660550467841
-6566.37256,8516.37256,-14.7490783019066
-6661.05516,8611.05516,-15.0431973690987
-6756.19064,8706.19064,-13.8166871857812
-6851.779,8801.779,-14.2260152716637
-6947.82024,8897.82024,-13.9306828445788
-7044.31436,8994.31436,-14.5093149433732
-7141.26136,9091.26136,-14.5167537704753
-7238.66124,9188.66124,-14.5114371688366
-7336.514,9286.514,-14.7301218734959
-7434.81964,9384.81964,-14.546696451564
-7533.57816,9483.57816,-14.6397079832554
-7632.78956,9582.78956,-14.5508238205252
-7732.45384,9682.45384,-14.8439288468042
-7832.571,9782.571,-14.5512007084416
-7933.14104,9883.14104,-14.4491903112917
-8034.16396,9984.16396,-14.3207196772674
-8135.63976,10085.63976,-14.152181299667
-8237.56844,10187.56844,-14.4357644357135
-8339.95,10289.95,-14.5239561918602
