year (AD),age (yr BP),d18O_VPBD (permil)
2008,-58,-14.9746540269131
2002.27325581395,-52.2732558139535,-15.3055951383067
1996.54651162791,-46.546511627907,-15.9295094465768
1990.81976744186,-40.8197674418604,-15.9804559986519
1985.09302325581,-35.0930232558139,-15.4855807344069
1979.36627906977,-29.3662790697674,-16.0172750126999
1973.63953488372,-23.6395348837209,-15.6307989141901
1967.91279069767,-17.9127906976746,-15.8806062091274
1962.18604651163,-12.1860465116279,-15.7183566422792
1956.45930232558,-6.45930232558135,-16.1129739769345
1950.73255813953,-0.732558139534831,-16.6218292027136
1945.00581395349,4.99418604651169,-16.8964622691247
1939.27906976744,10.7209302325582,-16.6062657170481
1933.5523255814,16.4476744186045,-17.4153975324643
1927.82558139535,22.174418604651,-17.0122398842962
1922.0988372093,27.9011627906975,-17.3377041654509
1916.37209302326,33.627906976744,-17.3006583673583
1910.64534883721,39.3546511627908,-17.3420256382688
1904.91860465116,45.0813953488373,-17.5207559451286
1899.19186046512,50.8081395348836,-17.608885480563
1893.46511627907,56.5348837209301,-17.1326669161593
1870.55813953488,79.4418604651162,-17.4149792156119
1847.6511627907,102.348837209302,-16.8488942715092
1824.74418604651,125.255813953488,-17.3465764836705
1801.83720930233,148.162790697674,-16.9364735539505
1778.93023255814,171.06976744186,-16.774815535443
1767.47674418605,182.523255813953,-16.6249516705534
1758.78219,191.21781,-17.0094869493301
1749.4763275,200.5236725,-16.9940946421889
1740.14216,209.85784,-16.8198555828276
1730.7796875,219.2203125,-16.5789471403941
1721.38891,228.61109,-16.7521394949651
1711.9698275,238.0301725,-16.659977466545
1702.52244,247.47756,-15.9229428132184
1693.0467475,256.9532525,-16.8235327574983
1683.54275,266.45725,-16.9025552113608
1674.0104475,275.9895525,-17.0333598742503
1664.44984,285.55016,-17.556991756978
1654.8609275,295.1390725,-17.6641181528764
1645.24371,304.75629,-16.8267534511363
1635.5981875,314.4018125,-16.641363222271
1625.92436,324.07564,-17.0806861785779
1616.2222275,333.7777725,-17.690341669186
1606.49179,343.50821,-17.4235711710171
1596.7330475,353.2669525,-17.1948648763998
1586.946,363.054,-16.7981512577544
1577.1306475,372.8693525,-17.1286035079256
1567.28699,382.71301,-17.0527390744982
1557.4150275,392.5849725,-16.9984637807958
1547.51476,402.48524,-16.8869517664057
1537.5861875,412.4138125,-16.8004256611126
1527.62931,422.37069,-17.0512184452344
1517.6441275,432.3558725,-16.809539960688
1507.63064,442.36936,-16.6838999789742
1497.5888475,452.4111525,-16.5719952585428
1487.51875,462.48125,-16.7016495543178
1477.4203475,472.5796525,-17.086098754795
1467.29364,482.70636,-17.7507164927896
1457.1386275,492.8613725,-16.6888934987644
1446.95531,503.04469,-16.6866779086885
1436.7436875,513.2563125,-17.3706536781743
1426.50376,523.49624,-16.9716774836261
1416.2355275,533.7644725,-16.8630042867316
1405.93899,544.06101,-16.6344017920299
1395.6141475,554.3858525,-16.6119771035452
1385.261,564.739,-16.223195091721202
1374.8795475,575.1204525,-16.3698264826745
1364.46979,585.53021,-16.4792789076126
1354.0317275,595.9682725,-16.404868236469
1343.56536,606.43464,-16.6418532810211
1333.0706875,616.9293125,-16.3038573179192
1322.54771,627.45229,-15.9041517119201
1311.9964275,638.0035725,-16.0248102735554
1301.41684,648.58316,-16.2593680045962
1290.8089475,659.1910525,-16.7039127780008
1280.17275,669.82725,-16.4025912684697
1269.5082475,680.4917525,-15.806542396903
1258.81544,691.18456,-16.1576507637679
1248.0943275,701.9056725,-16.5019104522609
1237.34491,712.65509,-15.7671486532804
1226.5671875,723.4328125,-15.764284766674
1215.76116,734.23884,-15.8530737946758
1204.9268275,745.0731725,-15.9049143879168
1194.06419,755.93581,-15.9563731898836
1183.1732475,766.8267525,-15.9872666811627
1172.254,777.746,-16.3365176501853
1161.3064475,788.6935525,-16.8429675050627
1150.33059,799.66941,-17.1374247423216
1139.3264275,810.6735725,-17.7187718000752
1128.29396,821.70604,-17.4761950458348
1117.2331875,832.7668125,-16.6736366956603
1106.14411,843.85589,-16.2336511634753
1095.0267275,854.9732725,-16.1314459034747
1083.88104,866.11896,-15.8195298025964
1072.7070475,877.2929525,-15.9125267738378
1061.50475,888.49525,-16.043108034045
1050.2741475,899.7258525,-16.113415297097202
1039.01524,910.98476,-16.2456614262931
1027.7280275,922.2719725,-15.7889260933399
1016.41251,933.58749,-15.7507749214523
1005.0686875,944.9313125,-16.0021972503215
993.69656,956.30344,-16.4439579311609
982.2961275,967.7038725,-16.1974437299967
970.86739,979.13261,-16.523517683506
959.4103475,990.5896525,-16.726960876718
947.925,1002.075,-16.1167727587223
924.86939,1025.13061,-15.4515165004155
901.70056,1048.29944,-15.6306381608855
878.41851,1071.58149,-15.4779486453467
855.02324,1094.97676,-15.511411223531
831.51475,1118.48525,-15.5377385930181
807.89304,1142.10696,-15.9747350688019
784.15811,1165.84189,-15.5932977125971
760.30996,1189.69004,-16.03490782219
736.34859,1213.65141,-15.8584700636721
712.274,1237.726,-15.4070299926172
688.08619,1261.91381,-15.9614691000592
663.78516,1286.21484,-15.749713508142
639.37091,1310.62909,-16.112932610431
614.84344,1335.15656,-15.5402200208815
590.20275,1359.79725,-16.2312762693738
565.44884,1384.55116,-16.3238472482041
540.58171,1409.41829,-16.0256115388853
515.60136,1434.39864,-15.7377252315877
490.50779,1459.4922099999999,-15.9980971774428
465.301,1484.699,-15.7113294482087
439.98099,1510.01901,-15.5970454263822
414.54776,1535.45224,-16.1957412566238
389.00131,1560.99869,-15.6173509774624
363.34164,1586.65836,-16.4119424291401
337.56875,1612.43125,-16.7820868688987
311.68264,1638.31736,-16.3076148116846
285.68331,1664.31669,-15.6463612781977
259.57076,1690.42924,-16.2700479448236
233.34499,1716.65501,-16.8097307956841
207.006,1742.994,-16.568332838702
180.55379,1769.44621,-15.3533547431851
153.98836,1796.01164,-17.1527409986752
127.30971,1822.69029,-16.9720513870971
100.51784,1849.48216,-16.1399171395668
73.61275,1876.38725,-16.9821877230865
46.5944400000001,1903.40556,-16.9133229293223
19.46291,1930.53709,-16.1069779045762
-7.7818400000001,1957.78184,-15.7158762835761
-35.1398099999999,1985.13981,-15.4697486629733
-62.6110000000001,2012.611,-15.1194498723237
-90.19541,2040.19541,-15.3240895338063
-117.89304,2067.89304,-15.2039997171726
-145.70389,2095.70389,-15.387002001588
-173.62796,2123.62796,-16.5597984746298
-201.66525,2151.66525,-15.5983124409906
-229.81576,2179.81576,-16.5271394162006
-258.07949,2208.07949,-16.6908658443676
-286.45644,2236.45644,-16.9439167912232
-314.94661,2264.94661,-17.735386749029
-343.55,2293.55,-17.2236468413787
-372.26661,2322.26661,-16.365520992587
-401.09644,2351.09644,-16.1712147483292
-430.03949,2380.03949,-16.5748814008366
-459.09576,2409.09576,-16.0320601812569
-488.26525,2438.26525,-15.7541595416644
