year (AD) [1-1],age (yr BP) [1-1],Temp (degC) [1-1],Salinity (psu) [1-1],Sea_Ice_months (months/year) [1-1],Sea_Ice_conc (0-10) [1-1],Temp_winter (degC) [1-1],productivity (gcm2) [1-1],depth (cm) [1-2],age (yr BP) [1-2],BWT (degC) [1-2],d18O-Islandiella (permil) [1-2]
1534.57,415.43,7.18442736525472,31.2464540688467,4.27702523695842,3.38132532001416,-1.01,172.503588587213,3,52,0.23,4.211
1370.93,579.07,6.83097461455981,31.3819919592078,4.34278038547688,3.43259174374473,-1.2,167.451835698926,8,137,0.12,4.241
1207.29,742.71,6.41358298192306,28.0216512135715,4.83009895771239,3.87973688391968,-0.92,207.610375305044,12,206,0.17,4.228
1043.65,906.35,6.91027393623392,31.6105438802194,4.10989624992303,3.25251415012399,-1.38,196.592083624983,24,412,-0.2,4.332
880,1070,5.95735770861467,29.9419473038321,5.72227444560349,4.56948721250891,-1.61,179.104318078018,26,447,0.14,4.236
716.4,1233.6,7.38344016036091,31.7566394288134,3.08339229290541,2.41385481650238,-1.19,203.975544865555,28,481,-0.02,4.282
553,1397,8.66727726865619,31.9074333636883,2.94575124347827,2.32233270584877,-0.78,212.333892888694,31,533,0.34,4.179
391.2,1558.8,6.26583867616049,29.0060457700091,5.35203297243175,4.28818959834901,-1.29,158.842986762532,34,584,0.01,4.274
231.1,1718.9,7.25573978475289,30.103973883048,3.47277822511373,2.72382169601634,-0.79,211.462548033878,36,618,0.07,4.257
72.5,1877.5,7.30848227033158,31.7731405158796,3.29881507266236,2.6015388734515,-0.99,193.171428694364,41,704,-0.3,4.36
-84.4000000000001,2034.4,3.39730144983413,29.6377679793475,8.31436412345256,6.56776816170697,-1.59,126.132578863335,46,790,-0.16,4.321
-239.6,2189.6,6.23999602354759,31.4814897321989,4.85100120946243,3.8748662980323,-1.45,191.459153976425,51,876,-0.3,4.362
-393.3,2343.3,6.60334120606543,29.5816289847602,4.58230466952186,3.66006969287128,-1.38,184.522595168006,58,996,0.06,4.258
-545.3,2495.3,6.78755448459921,31.5595003551643,4.32696928469387,3.44373545395134,-1.16,193.522321131453,61,1048,-0.1,4.304
-695.6,2645.6,5.43040499732909,29.0972238607383,6.17480552065605,4.91292198345237,-1.46,179.939575312191,66,1134,-0.05,4.289
-844.3,2794.3,3.90892713724098,24.9364931665893,9.18594966510699,7.41518534367682,-1.72,128.657764678167,71,1220,-0.31,4.365
-991.4,2941.4,4.68762787796727,26.501394353866,7.94441082835498,6.36634010185033,-1.7,145.462844886305,76,1306,-0.15,4.318
-1136.9,3086.9,6.67645814420133,30.8321838630334,5.6661242437694,4.46491857303253,-1.6,185.068806331102,81,1392,0.13,4.239
-1280.7,3230.7,1.27373230707141,31.7982081503792,8.93438045274193,7.192811612875,-1.62,91.401536390361,86,1477,-0.34,4.372
-1422.9,3372.9,6.10211855975486,31.4158574379967,5.10530261169755,4.08546199783972,-1.48,188.4561597969,91,1563,1.2,3.938
-1563.4,3513.4,9.17897371036623,30.8596298157479,1.07379769629371,0.850694814249663,1.42,291.809595734008,98,1684,0.59,4.11
-1681.6,3631.6,6.04423719142769,31.3982547444128,5.19565025141871,4.15939903259141,-1.5,188.749855322852,101,1735,0.05,4.263
-1839.6,3789.6,8.03438750517259,29.1636835799575,4.26425934277105,3.4273927332862,0.36,274.234734527212,104,1787,0.17,4.228
-1975.2,3925.2,6.08097192843428,31.3352768547465,5.19417724135791,4.15472429702188,-1.47,185.809240930039,106,1821,0.45,4.148
-2109.2,4059.2,6.57327901612577,31.0977538452606,4.47964103586046,3.55662895317186,-1.12,189.605664629932,108.5,1864,0.05,4.263
