depth (cm) [1-1],age (yr BP) [1-1],TAUG (degC) [1-1],IMON1953 (months/yr) [1-1],depth-range (cm) [1-1],TFEV_i (unitless) [1-1],TFEV (unitless) [1-1],TFEV_s (unitless) [1-1],TFEV/3 (unitless) [1-1],SFEV_i (unitless) [1-1],SFEV (unitless) [1-1],SFEV_s (unitless) [1-1],SFEV/3 (unitless) [1-1],THIV_i (unitless) [1-1],THIV (unitless) [1-1],THIV_s (unitless) [1-1],THIV/3 (unitless) [1-1],SHIV_i (unitless) [1-1],SHIV (unitless) [1-1],SHIV_s (unitless) [1-1],SHIV/3 (unitless) [1-1],TAUG_i (unitless) [1-1],TAUG_s (unitless) [1-1],TAUG/3 (unitless) [1-1],SAUG_i (unitless) [1-1],SAUG (unitless) [1-1],SAUG_s (unitless) [1-1],SAUG/3 (unitless) [1-1],TETE_i (unitless) [1-1],TETE (unitless) [1-1],TETE_s (unitless) [1-1],TETE/3 (unitless) [1-1],SETE_i (unitless) [1-1],SETE (unitless) [1-1],SETE_s (unitless) [1-1],SETE/3 (unitless) [1-1],IMON1953_i (unitless) [1-1],IMON1953_s (unitless) [1-1],IMON1953/3 (unitless) [1-1],depth (cm) [1-2],year (year ce) [1-2],age (yr BP) [1-2],TAUG (degC) [1-2],depth-range (cm) [1-2],TFEV_i (unitless) [1-2],TFEV (unitless) [1-2],TFEV_s (unitless) [1-2],TFEV/3 (unitless) [1-2],SFEV_i (unitless) [1-2],SFEV (unitless) [1-2],SFEV_s (unitless) [1-2],SFEV/3 (unitless) [1-2],THIV_i (unitless) [1-2],THIV (unitless) [1-2],THIV_s (unitless) [1-2],THIV/3 (unitless) [1-2],SHIV_i (unitless) [1-2],SHIV (unitless) [1-2],SHIV_s (unitless) [1-2],SHIV/3 (unitless) [1-2],TAUG_i (unitless) [1-2],TAUG_s (unitless) [1-2],TAUG/3 (degC) [1-2],SAUG_i (unitless) [1-2],SAUG (unitless) [1-2],SAUG_s (unitless) [1-2],SAUG/3 (unitless) [1-2],TETE_i (unitless) [1-2],TETE (unitless) [1-2],TETE_s (unitless) [1-2],TETE/3 (unitless) [1-2],SETE_i (unitless) [1-2],SETE (unitless) [1-2],SETE_s (unitless) [1-2],SETE/3 (unitless) [1-2],IMON1953_i (unitless) [1-2],IMON1953 (unitless) [1-2],IMON1953_s (unitless) [1-2],IMON1953/3 (unitless) [1-2],depth (cm) [1-3],year (year ce) [1-3],age (yr BP) [1-3],TAUG (degC) [1-3],depth-range (cm) [1-3],TFEV_i (unitless) [1-3],TFEV (unitless) [1-3],TFEV_s (unitless) [1-3],TFEV/3 (unitless) [1-3],SFEV_i (unitless) [1-3],SFEV (unitless) [1-3],SFEV_s (unitless) [1-3],SFEV/3 (unitless) [1-3],THIV_i (unitless) [1-3],THIV (unitless) [1-3],THIV_s (unitless) [1-3],THIV/3 (unitless) [1-3],SHIV_i (unitless) [1-3],SHIV (unitless) [1-3],SHIV_s (unitless) [1-3],SHIV/3 (unitless) [1-3],TAUG_i (unitless) [1-3],TAUG_s (unitless) [1-3],TAUG/3 (unitless) [1-3],SAUG_i (unitless) [1-3],SAUG (unitless) [1-3],SAUG_s (unitless) [1-3],SAUG/3 (unitless) [1-3],TETE_i (unitless) [1-3],TETE (unitless) [1-3],TETE_s (unitless) [1-3],TETE/3 (unitless) [1-3],SETE_i (unitless) [1-3],SETE (unitless) [1-3],SETE_s (unitless) [1-3],SETE/3 (unitless) [1-3],IMON1953_i (unitless) [1-3],IMON1953 (unitless) [1-3],IMON1953_s (unitless) [1-3],IMON1953/3 (unitless) [1-3]
96.5,935.05,5.4,8.48,96-97 cm,-1.99,-1.53,-1.4,-1.45,30.61,31.55,34.26,31.47,-2,-1.59,-1.46,-1.51,29.89,31.27,34.26,31.06,3.06,7.25,5.05,19.8,26.14,29.63,25.75,0.62,3.94,6.12,3.83,20.88,26.55,29.7,26.36,7.06,10.88,8.73,11.5,1928.5,21.5,4.38,11-12 cm,-1.55,-1.43,-1.4,-1.31,30.61,32.65,34.26,31.73,-1.59,-1.51,-1.46,-1.39,30.15,32.41,34.26,31.23,2.66,7.25,5.08,19.23,27.3,29.63,24.14,2.15,3.3,6.12,4.37,21.44,28.08,29.7,25.39,7.06,8.12,9.96,8.75,100.5,1283.56,666.44,4.56,100-101 cm,-1.99,-1.58,-1.4,-1.43,30.61,31.42,34.26,31.48,-2,-1.64,-1.5,-1.5,29.89,31.08,34.26,31.12,2.66,7.25,5.22,19.23,26.15,29.63,26.25,0.62,3.33,6.12,4.06,21.44,26.83,29.7,26.96,7.06,8.9,10.88,8.49
106.5,1005.7,5.4,8.29,106-107 cm,-1.55,-1.2,-0.13,-1.42,30.61,31.71,34.26,31.58,-1.59,-1.29,-0.23,-1.49,29.89,31.28,34.26,31.23,2.66,7.25,5.39,19.23,25.47,29.63,26.05,2.15,4.18,6.12,4.11,20.88,26.21,29.7,26.64,7.06,9.96,8.4,12.5,1921.4,28.6,5.39,12-13 cm,-1.55,-1.25,-0.39,-1.3,30.44,31.62,34.26,32.23,-1.59,-1.33,-0.48,-1.38,29.62,31.16,34.26,31.87,2.66,7.25,4.99,18.24,24.49,29.63,26.54,2.15,4.73,6.17,4.01,20.43,25.82,29.7,27.37,7.06,8.6,9.96,8.26,105.5,1248.22,701.78,5.1,105-106 cm,-1.99,-1.52,-1.4,NA,30.61,31.37,34.26,NA,-2,-1.59,-1.5,NA,29.89,31.11,34.26,NA,2.66,7.25,NA,19.23,26.38,29.63,NA,0.62,3.96,6.12,NA,21.44,27.22,29.7,NA,7.06,8.48,10.88,NA
116.5,1076.4,5.38,8.43,116-117 cm,-1.99,-1.52,-1.4,-1.42,30.61,31.48,34.26,31.53,-2,-1.59,-1.5,-1.5,29.89,31.14,34.26,31.14,3.06,7.25,5.34,21.41,26.54,29.63,26.08,0.62,4.2,6.12,4.14,22.69,27.17,29.7,26.73,7.06,10.88,8.46,13.5,1914.2,35.8,5.2,13-14 cm,-1.45,-1.22,-0.13,-1.35,30.61,32.42,34.26,31.93,-1.51,-1.3,-0.23,-1.42,29.89,32.04,34.26,31.55,3.03,7.25,4.94,21.41,27.82,29.63,26.47,2.43,4,6.12,3.95,22.69,28.2,29.7,27.22,7.06,8.06,9.82,8.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126.5,1147.1,5.24,8.65,126-127 cm,-1.99,-1.55,-1.4,-1.54,30.61,31.4,34.26,31.42,-2,-1.61,-1.5,-1.61,29.89,31.01,34.26,31.08,3.06,7.25,5.12,21.41,26.23,29.63,26.38,0.62,4.04,6.12,3.92,22.69,26.81,29.7,27.02,7.06,10.88,8.62,14.5,1907,43,4.24,14-15 cm,-1.99,-1.57,-1.4,-1.34,30.61,31.76,34.26,31.99,-2,-1.63,-1.5,-1.42,30.15,31.45,34.26,31.64,2.66,7.25,5.13,19.23,27.1,29.63,27.25,0.62,3.12,6.12,3.98,21.44,27.63,29.7,27.76,7.06,8.91,10.88,8.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
136.5,1217.8,4.74,8.77,136-137 cm,-1.99,-1.57,-1.4,-1.57,30.61,31.38,34.26,31.52,-2,-1.63,-1.5,-1.63,29.89,31.09,34.26,31.18,2.66,7.25,4.7,19.23,26.37,29.63,26.6,0.62,3.51,6.12,3.5,21.44,27.09,29.7,27.18,7.06,10.88,8.81,15.5,1899.8,50.2,5.96,15-16 cm,-1.45,-1.24,-0.13,-1.35,30.61,31.77,34.26,31.77,-1.51,-1.33,-0.23,-1.43,29.89,31.42,34.26,31.41,3.96,7.25,5.38,21.41,26.82,29.63,26.55,2.68,4.83,6.12,4.36,22.69,27.46,29.7,27.29,7.06,7.88,8.86,8.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
146.5,1288.5,4.12,9.03,146-147 cm,-1.99,-1.59,-1.4,-1.49,30.61,31.77,34.26,31.23,-2,-1.65,-1.5,-1.54,30.15,31.44,34.26,30.76,2.66,7.25,4.89,19.23,27.2,29.63,24.75,0.62,2.95,6.12,3.76,21.44,27.65,29.7,25.39,7.06,10.88,8.9,16.5,1892.6,57.4,5.93,16-17 cm,-1.45,-1.23,-0.39,-1.3,30.44,31.79,34.26,32.05,-1.51,-1.32,-0.48,-1.39,29.62,31.37,34.26,31.71,3.96,7.25,5.45,18.24,25.73,29.63,26.6,2.68,5.15,6.17,4.45,20.43,26.76,29.7,27.43,7.06,8.19,9.96,8.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
156.5,1359.2,5.8,8.9,156-157 cm,-1.45,-1.31,-0.68,-1.45,30,30.54,30.72,31.18,-1.51,-1.35,-0.74,-1.51,29.05,29.77,30.27,30.69,4.9,6.33,5.18,15.15,20.67,26.07,24.29,4.08,4.82,5.54,4.18,18.01,21.43,23.8,25.09,8.86,9.02,8.71,17.5,1885.4,64.6,4.45,17-18 cm,-1.55,-1.43,-1.4,-1.28,30.61,32.58,34.26,32.02,-1.59,-1.51,-1.46,-1.36,30.15,32.35,34.26,31.63,2.66,7.25,5.49,19.23,27.25,29.63,26.01,2.15,3.37,6.12,4.62,21.44,28.06,29.7,26.98,7.06,8.09,9.96,8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
166.5,1429.9,5.62,8.21,166-167 cm,-1.55,-1.44,-1.4,-1.41,30.61,31.22,34.26,30.95,-1.59,-1.52,-1.5,-1.47,29.89,30.88,34.26,30.39,2.66,7.25,5.47,19.23,24.99,29.63,23.12,2.15,4.76,6.12,4.65,21.44,26.19,29.7,24.16,7.06,9.96,8.69,18.5,1878.2,71.8,6.09,18-19 cm,-1.45,-1.18,-0.39,-1.29,30.44,31.68,34.26,31.72,-1.51,-1.26,-0.48,-1.37,29.62,31.17,34.26,31.27,3.96,7.25,5.41,18.24,25.05,29.63,24.92,2.68,5.33,6.17,4.65,20.43,26.11,29.7,26.07,7.06,8.33,9.96,8.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
176.5,1500.6,5,8.98,176-177 cm,-1.55,-1.48,-1.4,-1.48,30.61,31.1,32.66,31.22,-1.6,-1.54,-1.5,-1.55,29.89,30.52,31.86,30.79,2.66,7.25,5.36,19.23,23.71,28.73,25,2.15,4.37,6.12,4.47,20.88,24.85,29.66,26.01,7.36,9.96,8.56,19.5,1871,79,5.69,19-20 cm,-1.55,-1.26,-0.39,-1.05,30.44,30.9,32.46,31.65,-1.59,-1.33,-0.48,-1.13,29.62,30.28,31.5,31.09,2.66,7.25,5.96,18.24,22.45,28.51,25.35,2.15,5.25,6.17,5.11,20.43,24.05,29.66,26.3,7.36,9.17,9.96,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
186.5,1571.3,5.45,8.49,186-187 cm,-1.99,-1.52,-1.4,-1.49,30.61,31.35,34.26,31.06,-2,-1.59,-1.5,-1.57,29.89,30.99,34.26,30.54,3.06,7.25,5.16,21.41,26.31,29.63,23.56,0.62,4.29,6.12,4.29,22.69,26.98,29.7,24.67,7.06,10.88,8.88,20.5,1863.9,86.1,6.09,20-21 cm,-1.4,-0.71,-0.13,-1,30.61,32.37,34.26,31.73,-1.5,-0.81,-0.23,-1.09,30.69,31.81,34.26,31.19,3.96,7.25,5.99,27.78,28.55,29.63,26.05,2.68,4.75,6.12,5.01,27.47,28.74,29.7,26.83,7.06,8.01,8.6,8.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
