depth (cm) [1-1],age (yr BP) [1-1],TAUG (degC) [1-1],IMON1953 (months/yr) [1-1],depth-range (cm) [1-1],TFEV_i (unitless) [1-1],TFEV (unitless) [1-1],TFEV_s (unitless) [1-1],TFEV/3 (unitless) [1-1],SFEV_i (unitless) [1-1],SFEV (unitless) [1-1],SFEV_s (unitless) [1-1],SFEV/3 (unitless) [1-1],THIV_i (unitless) [1-1],THIV (unitless) [1-1],THIV_s (unitless) [1-1],THIV/3 (unitless) [1-1],SHIV_i (unitless) [1-1],SHIV (unitless) [1-1],SHIV_s (unitless) [1-1],SHIV/3 (unitless) [1-1],TAUG_i (unitless) [1-1],TAUG_s (unitless) [1-1],TAUG/3 (unitless) [1-1],SAUG_i (unitless) [1-1],SAUG (unitless) [1-1],SAUG_s (unitless) [1-1],SAUG/3 (unitless) [1-1],TETE_i (unitless) [1-1],TETE (unitless) [1-1],TETE_s (unitless) [1-1],TETE/3 (unitless) [1-1],SETE_i (unitless) [1-1],SETE (unitless) [1-1],SETE_s (unitless) [1-1],SETE/3 (unitless) [1-1],IMON1953_i (unitless) [1-1],IMON1953_s (unitless) [1-1],IMON1953/3 (unitless) [1-1],depth (cm) [1-2],year (year ce) [1-2],age (yr BP) [1-2],TAUG (degC) [1-2],depth-range (cm) [1-2],TFEV_i (unitless) [1-2],TFEV (unitless) [1-2],TFEV_s (unitless) [1-2],TFEV/3 (unitless) [1-2],SFEV_i (unitless) [1-2],SFEV (unitless) [1-2],SFEV_s (unitless) [1-2],SFEV/3 (unitless) [1-2],THIV_i (unitless) [1-2],THIV (unitless) [1-2],THIV_s (unitless) [1-2],THIV/3 (unitless) [1-2],SHIV_i (unitless) [1-2],SHIV (unitless) [1-2],SHIV_s (unitless) [1-2],SHIV/3 (unitless) [1-2],TAUG_i (unitless) [1-2],TAUG_s (unitless) [1-2],TAUG/3 (degC) [1-2],SAUG_i (unitless) [1-2],SAUG (unitless) [1-2],SAUG_s (unitless) [1-2],SAUG/3 (unitless) [1-2],TETE_i (unitless) [1-2],TETE (unitless) [1-2],TETE_s (unitless) [1-2],TETE/3 (unitless) [1-2],SETE_i (unitless) [1-2],SETE (unitless) [1-2],SETE_s (unitless) [1-2],SETE/3 (unitless) [1-2],IMON1953_i (unitless) [1-2],IMON1953 (unitless) [1-2],IMON1953_s (unitless) [1-2],IMON1953/3 (unitless) [1-2],depth (cm) [1-3],year (year ce) [1-3],age (yr BP) [1-3],TAUG (degC) [1-3],depth-range (cm) [1-3],TFEV_i (unitless) [1-3],TFEV (unitless) [1-3],TFEV_s (unitless) [1-3],TFEV/3 (unitless) [1-3],SFEV_i (unitless) [1-3],SFEV (unitless) [1-3],SFEV_s (unitless) [1-3],SFEV/3 (unitless) [1-3],THIV_i (unitless) [1-3],THIV (unitless) [1-3],THIV_s (unitless) [1-3],THIV/3 (unitless) [1-3],SHIV_i (unitless) [1-3],SHIV (unitless) [1-3],SHIV_s (unitless) [1-3],SHIV/3 (unitless) [1-3],TAUG_i (unitless) [1-3],TAUG_s (unitless) [1-3],TAUG/3 (unitless) [1-3],SAUG_i (unitless) [1-3],SAUG (unitless) [1-3],SAUG_s (unitless) [1-3],SAUG/3 (unitless) [1-3],TETE_i (unitless) [1-3],TETE (unitless) [1-3],TETE_s (unitless) [1-3],TETE/3 (unitless) [1-3],SETE_i (unitless) [1-3],SETE (unitless) [1-3],SETE_s (unitless) [1-3],SETE/3 (unitless) [1-3],IMON1953_i (unitless) [1-3],IMON1953 (unitless) [1-3],IMON1953_s (unitless) [1-3],IMON1953/3 (unitless) [1-3]
196.5,1641.9,5.04,9.18,196-197 cm,-1.55,-1.48,-1.45,-1.4,30.72,30.74,30.79,31.26,-1.7,-1.57,-1.51,-1.48,29.89,30.12,30.64,30.77,2.66,6.33,5.47,19.23,20.66,21.9,24.31,2.15,4.22,5.54,4.44,20.88,22.19,23.21,25.24,8.86,9.96,8.6,21.5,1856.7,93.3,6.18,21-22 cm,-1.45,-1.03,-0.13,-0.99,30.61,31.91,34.26,31.99,-1.51,-1.12,-0.23,-1.08,29.89,31.47,34.26,31.52,3.96,7.25,5.89,19.8,27.15,29.63,27.02,2.68,5.04,6.12,4.66,20.88,27.69,29.7,27.52,7.06,7.97,8.86,8.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
206.5,1712.6,5.91,8.13,206-207 cm,-1.45,-1.19,-0.13,-1.37,30.61,31.7,34.26,31.26,-1.51,-1.27,-0.23,-1.45,29.89,31.2,34.26,30.76,3.96,7.25,5.45,21.41,25.96,29.63,23.75,2.68,4.81,6.12,4.53,22.69,26.56,29.7,24.86,7.06,8.86,8.54,22.5,1849.5,100.5,5.39,22-23 cm,-1.55,-1.23,-0.13,-1.15,30.61,31.69,34.26,31.86,-1.59,-1.31,-0.23,-1.24,29.89,31.27,34.26,31.41,2.66,7.25,5.87,19.23,25.35,29.63,26.46,2.15,4.19,6.12,4.64,20.88,26.12,29.7,27.01,7.06,8.28,9.96,8.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
216.5,1783.3,5.39,8.29,216-217 cm,-1.55,-1.44,-1.4,-1.38,30.61,31.34,34.26,31.51,-1.59,-1.52,-1.5,-1.46,29.89,30.95,34.26,31.11,2.66,7.25,5.56,19.23,24.64,29.63,25.72,2.15,4.56,6.12,4.52,21.44,25.84,29.7,26.53,7.06,9.96,8.28,23.5,1842.3,107.7,6.05,23-24 cm,-1.45,-1.19,-0.13,-1.32,30.61,31.97,34.26,31.68,-1.51,-1.28,-0.23,-1.4,29.89,31.5,34.26,31.26,3.96,7.25,5.61,19.8,26.88,29.63,26.14,2.68,4.69,6.12,4.37,20.88,27.22,29.7,26.73,7.06,7.99,8.86,8.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
226.5,1854,5.37,8.41,226-227 cm,-1.99,-1.52,-1.4,-1.31,30.61,31.5,34.26,31.42,-2,-1.59,-1.5,-1.38,29.89,31.17,34.26,30.89,3.06,7.25,5.41,21.41,26.57,29.63,24.99,0.62,4.19,6.12,4.37,22.69,27.2,29.7,25.84,7.06,10.88,8.56,24.5,1835.1,114.9,5.38,24-25 cm,-1.99,-1.53,-1.4,-1.31,30.61,31.39,34.26,31.7,-2,-1.59,-1.5,-1.39,29.89,31.01,34.26,31.29,3.06,7.25,5.83,21.41,26.18,29.63,26.46,0.62,4.23,6.12,4.57,22.69,26.84,29.7,26.99,7.06,8.53,10.88,8.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
236.5,1924.7,5.46,8.96,236-237 cm,-1.55,-0.97,-0.13,-1.34,30.72,31.41,32.51,31.5,-1.59,-1.04,-0.23,-1.41,29.89,30.55,31.5,31.01,2.66,6.33,5.35,19.23,23.76,28.52,25.8,2.15,4.35,5.54,4.16,21.44,24.48,28.05,26.42,8.56,9.96,8.6,25.5,1827.9,122.1,6.04,25-26 cm,-1.45,-1.22,-0.13,-1.31,30.61,31.75,34.26,31.6,-1.51,-1.31,-0.23,-1.39,29.89,31.36,34.26,31.19,3.96,7.25,5.8,19.8,26.32,29.63,26.24,2.68,4.79,6.12,4.63,20.88,26.9,29.7,26.86,7.06,7.95,8.86,8.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
246.5,1995.4,5.22,8.44,246-247 cm,-1.99,-1.54,-1.4,-1.17,30.61,31.6,34.26,31.69,-2,-1.61,-1.5,-1.24,29.89,31.31,34.26,31.15,3.06,7.25,5.33,21.41,27.07,29.63,25.87,0.62,3.95,6.12,4.08,22.69,27.59,29.7,26.45,7.06,10.88,8.56,26.5,1820.7,129.3,5.98,26-27 cm,-1.45,-1.2,-0.13,-1.3,30.61,31.67,34.26,31.49,-1.51,-1.28,-0.23,-1.37,29.89,31.21,34.26,31.02,3.96,7.25,5.8,21.41,26.22,29.63,25.54,2.68,4.86,6.12,4.79,22.69,26.84,29.7,26.33,7.06,8.07,8.86,8.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
256.5,2066.1,5.3,8.27,256-257 cm,-1.55,-0.99,-0.13,-1.32,30.61,32.05,34.26,31.68,-1.59,-1.07,-0.23,-1.41,30.15,31.58,34.26,31.33,2.66,7.25,5.23,19.23,26.78,29.63,25.99,2.15,3.93,6.12,4,21.44,27.28,29.7,26.74,7.06,9.96,8.38,27.5,1813.6,136.4,5.37,27-28 cm,-1.55,-1.47,-1.4,-1.37,30.61,31.05,32.66,31.37,-1.6,-1.54,-1.5,-1.45,29.89,30.48,31.86,30.91,2.66,7.25,5.59,19.23,24.08,28.51,25.07,2.15,4.71,6.12,4.71,21.44,25.27,29.66,26.07,7.36,8.7,9.96,8.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
266.5,2136.8,5.17,8.42,266-267 cm,-1.55,-1.45,-1.4,-1.33,30.61,31.39,34.26,31.62,-1.7,-1.56,-1.5,-1.42,29.89,31.1,34.26,31.26,2.66,7.25,5.05,19.23,24.13,29.63,25.42,2.15,4.13,6.12,3.86,21.44,25.35,29.7,26.28,7.06,9.96,8.58,28.5,1806.4,143.6,5.42,28-29 cm,-1.55,-1.44,-1.4,-1.48,30.61,31.39,34.26,31.28,-1.59,-1.52,-1.5,-1.55,29.89,31.03,34.26,30.86,2.66,7.25,5.38,19.23,24.93,29.63,25.16,2.15,4.56,6.12,4.47,21.44,26.09,29.7,26.15,7.06,8.23,9.96,8.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
276.5,2207.4,4.68,9.03,276-277 cm,-1.99,-1.56,-1.4,-1.52,30.44,31.44,34.26,31.42,-2,-1.62,-1.47,-1.61,29.62,31.1,34.26,31.13,2.66,7.25,4.99,18.24,25.35,29.63,25.34,0.62,3.52,6.17,3.8,20.43,26.22,29.7,26.21,7.06,10.88,8.71,29.5,1799.2,150.8,5.35,29-30 cm,-1.99,-1.53,-1.4,-1.42,30.61,31.42,34.26,31.29,-2,-1.6,-1.5,-1.48,29.89,31.07,34.26,30.78,3.06,7.25,5.38,21.41,26.47,29.63,24.44,0.62,4.15,6.12,4.5,22.69,27.08,29.7,25.49,7.06,8.52,10.88,8.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
286.5,2278.1,5.14,8.68,286-287 cm,-1.99,-1.56,-1.4,-1.45,30.61,31.44,34.26,31.47,-2,-1.66,-1.5,-1.55,29.89,31.21,34.26,31.04,3.06,7.25,5.15,21.86,26.53,29.63,25.29,0.62,3.74,6.12,3.9,23.21,27.07,29.7,25.85,7.06,10.88,8.84,30.5,1792,158,5.36,30-31 cm,-1.55,-1.27,-0.39,-1.45,30.72,31.06,32.46,31.27,-1.59,-1.33,-0.48,-1.52,29.89,30.25,31.5,30.77,2.66,6.33,5.16,19.23,21.93,27.78,24.59,2.15,4.8,6.02,4.19,20.88,23.31,28.63,25.55,8.56,9.04,9.96,8.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
296.5,2348.8,5.63,8.81,296-297 cm,-1.59,-1.24,-0.13,-1.27,30.72,31.53,32.51,31.5,-1.71,-1.38,-0.23,-1.37,29.89,30.83,31.5,30.9,3.99,6.33,5.37,20.84,23.97,28.43,24.75,3.29,4.46,5.25,4.35,22.69,24.27,28.05,25.39,8.56,8.9,8.91,31.5,1784.8,165.2,4.78,31-32 cm,-1.99,-1.56,-1.4,-1.46,30.44,31.34,34.26,31.3,-2,-1.62,-1.47,-1.52,29.62,31.01,34.26,30.82,2.66,7.25,4.98,18.24,25.36,29.63,24.53,0.62,3.63,6.17,3.99,20.43,26.27,29.7,25.53,7.06,9.01,10.88,8.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
306.5,2419.5,5.34,9.23,306-307 cm,-1.55,-1.01,-0.13,-1.23,30.44,31.51,32.51,31.21,-1.59,-1.08,-0.23,-1.32,29.62,30.66,31.5,30.49,2.66,6.34,5.51,18.24,23.76,28.43,22.93,2.15,4.85,6.17,4.79,20.43,24.83,28.63,23.96,8.56,9.96,9.11,32.5,1777.6,172.4,4.8,32-33 cm,-1.99,-1.55,-1.4,-1.5,30.61,31.49,34.26,31.78,-2,-1.61,-1.5,-1.58,29.89,31.2,34.26,31.5,2.66,7.25,4.91,19.23,26.28,29.63,26.39,0.62,3.55,6.12,3.72,21.44,27.02,29.7,27.14,7.06,8.64,10.88,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
316.5,2490.2,5.56,9.3,316-317 cm,-1.55,-1.45,-1.4,-1.14,30.44,30.6,30.79,31.4,-1.59,-1.51,-1.47,-1.23,29.62,29.98,30.69,30.8,2.66,7.25,5.62,18.24,21.05,28.51,24.12,2.15,5.05,6.17,4.76,20.43,22.77,29.66,25.15,7.36,9.96,8.84,33.5,1770.4,179.6,5.16,33-34 cm,-1.45,-1.41,-1.4,-1.39,30.61,32.52,34.26,31.92,-1.51,-1.5,-1.46,-1.47,29.89,32.29,34.26,31.61,3.03,7.25,5.33,19.8,27.52,29.63,26.67,2.43,3.99,6.12,4.1,20.88,28.14,29.7,27.31,7.06,7.85,9.82,8.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
326.5,2560.9,5.95,7.99,326-327 cm,-1.45,-0.96,-0.13,-1.16,30.61,32.1,34.26,31.55,-1.7,-1.09,-0.23,-1.25,30.64,31.76,34.26,31.1,3.96,7.25,5.69,21.9,27.57,29.63,25.27,2.68,4.39,6.12,4.55,23.21,27.85,29.7,26.13,7.06,8.86,8.45,34.5,1763.2,186.8,6.03,34-35 cm,-1.45,-1.2,-0.13,NA,30.61,31.76,34.26,NA,-1.51,-1.29,-0.23,NA,29.89,31.35,34.26,NA,3.96,7.25,NA,19.8,26.21,29.63,NA,2.68,4.77,6.12,NA,20.88,26.77,29.7,NA,7.06,7.98,8.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
336.5,2631.6,5.55,8.08,336-337 cm,-1.55,-1.06,-0.13,-1.15,30.61,31.95,34.26,31.99,-1.59,-1.15,-0.23,-1.24,30.15,31.58,34.26,31.62,2.66,7.25,5.76,19.23,27.21,29.63,26.74,2.15,4.21,6.12,4.37,21.44,27.77,29.7,27.2,7.06,9.96,8.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
346.5,2702.3,5.79,8.06,346-347 cm,-1.45,-1.42,-1.4,-1.15,30.61,31.92,34.26,31.75,-1.51,-1.49,-1.46,-1.23,29.89,31.52,34.26,31.27,3.96,7.25,5.66,19.8,25.45,29.63,25.76,2.68,4.53,6.12,4.34,20.88,25.98,29.7,26.35,7.06,8.86,8.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
356.5,2773,5.63,8.73,356-357 cm,-1.55,-0.96,-0.13,-1.23,30.61,31.4,32.51,31.4,-1.59,-1.04,-0.23,-1.3,29.89,30.72,31.5,30.91,2.66,7.25,5.77,19.23,24.61,28.52,24.18,2.15,4.29,6.12,4.45,20.88,25.29,29.66,24.88,7.36,9.96,8.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
366.5,2843.6,5.88,8.46,366-367 cm,-1.45,-1.31,-0.68,-1.07,30,30.89,31.74,31.48,-1.51,-1.37,-0.74,-1.15,29.05,30.49,31.99,30.79,4.9,6.33,5.88,15.15,22.48,30.39,24.39,3.88,4.53,5.27,4.48,18.01,23.36,30.37,24.7,7.36,9.02,8.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
376.5,2914.3,6.13,8.7,376-377 cm,-1.59,-0.93,-0.13,-1.16,30.72,32.14,32.51,31.45,-1.71,-1.03,-0.23,-1.23,29.89,31.17,31.5,30.8,5.8,6.33,6.07,19.8,26.06,28.52,24.81,4.17,4.62,5.27,4.77,20.88,25.44,28.05,25.08,8.56,8.9,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
386.5,2985,6.21,8.34,386-387 cm,-1.55,-1.22,-0.13,-1.15,30.61,31.31,32.66,31.58,-1.6,-1.3,-0.23,-1.23,29.89,30.75,31.86,30.86,4.31,7.25,5.84,19.8,25.87,28.52,25.33,3.85,5.17,6.12,4.85,20.88,26.46,29.66,25.75,7.36,8.9,8.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
396.5,3055.7,5.19,9.17,396-397 cm,-1.55,-1.29,-0.39,-1.37,30.44,31.3,32.66,31.28,-1.6,-1.35,-0.48,-1.44,29.62,30.67,31.86,30.77,2.66,7.25,5.2,18.24,24.04,28.73,25.58,2.15,4.76,6.17,4.44,20.43,25.36,29.66,26.4,7.36,9.96,8.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
406.5,3126.4,4.18,9.1,406-407 cm,-1.99,-1.6,-1.4,-1.45,30.61,31.24,32.66,31.08,-2,-1.65,-1.5,-1.51,30.15,30.88,31.86,30.55,2.66,7.25,4.99,19.23,26.84,29.81,24.33,0.62,3.4,6.12,4.34,21.44,27.4,30.22,25.43,6.78,10.88,9.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
416.5,3197.1,5.59,8.8,416-417 cm,-1.55,-1.46,-1.4,-1.55,30.61,30.71,30.79,30.91,-1.59,-1.52,-1.5,-1.6,29.89,30.09,30.69,30.42,2.66,7.25,4.91,19.23,22.11,28.51,24.46,2.15,4.86,6.12,4.04,20.88,23.53,29.66,25.42,7.36,9.96,9.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
426.5,3267.8,4.94,9.23,426-427 cm,-1.99,-1.58,-1.4,-1.53,30.61,30.79,31.04,31.03,-2,-1.64,-1.5,-1.6,29.89,30.27,30.69,30.59,2.66,7.25,5.04,19.23,24.42,29.43,24.24,0.62,3.85,6.12,3.97,21.44,25.35,29.66,25.26,7.36,10.88,8.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
436.5,3338.5,4.6,8.71,436-437 cm,-1.99,-1.55,-1.4,-1.52,30.61,31.6,34.26,31.56,-2,-1.65,-1.5,-1.59,30.15,31.41,34.26,31.25,2.66,7.25,5.04,19.23,26.2,29.63,25.46,0.62,3.21,6.12,3.76,21.44,26.9,29.7,26.2,7.06,10.88,8.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
446.5,3409.1,5.58,7.81,446-447 cm,-1.45,-1.42,-1.4,-1.31,30.61,32.28,34.26,32.05,-1.51,-1.49,-1.46,-1.4,29.89,32.06,34.26,31.75,3.96,7.25,5.42,19.8,25.74,29.63,26.79,2.68,4.22,6.12,3.99,20.88,26.35,29.7,27.25,7.06,8.86,8.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
456.5,3479.8,6.07,7.93,456-457 cm,-1.4,-0.96,-0.13,-1.3,30.61,32.27,34.26,32.05,-1.5,-1.06,-0.23,-1.38,30.69,31.77,34.26,31.72,3.96,7.25,5.69,26.82,28.43,29.63,26.8,2.68,4.54,6.12,4.24,26.74,28.51,29.7,27.17,7.06,8.6,8.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
466.5,3550.5,5.41,8.4,466-467 cm,-1.99,-1.52,-1.4,-1.22,30.61,31.61,34.26,31.96,-2,-1.58,-1.46,-1.3,29.89,31.34,34.26,31.54,3.06,7.25,5.84,19.8,26.22,29.63,27.18,0.62,3.97,6.12,4.39,20.88,26.65,29.7,27.46,7.06,10.88,8.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
