depth (cm),age (yr BP),MAP_update (mm/yr),DWHI (unitless),MAP (mm/yr)
5,-45,995,0.18,1085
15,68,901,0.12,1040
25,146,971,0.17,1074
35,226,1033,0.21,1104
45,309,1014,0.2,1095
55,393,1180,0.29,1177
65,481,1026,0.2,1100
75,571,956,0.16,1067
85,668,1069,0.23,1122
95,768,1125,0.26,1150
105,875,1086,0.24,1130
115,990,1134,0.26,1154
125,1112,1168,0.28,1171
135,1241,972,0.17,1074
145,1380,1032,0.21,1104
155,1522,970,0.17,1073
165,1676,982,0.18,1079
175,1842,1079,0.23,1127
185,2017,937,0.15,1057
195,2196,965,0.17,1071
205,2378,983,0.18,1080
215,2557,850,0.09,1015
225,2733,1352,0.37,1264
235,2902,999,0.19,1088
245,3065,1036,0.21,1105
255,3222,1104,0.25,1139
265,3374,1047,0.22,1111
275,3522,983,0.18,1080
285,3665,894,0.12,1036
295,3805,1044,0.21,1110
305,3942,1086,0.24,1130
315,4077,1124,0.26,1149
325,4209,1165,0.28,1170
335,4340,1083,0.24,1129
345,4469,1109,0.25,1142
355,4596,1138,0.27,1156
365,4723,1118,0.26,1146
375,4849,1279,0.34,1227
385,4974,1134,0.26,1154
395,5100,1256,0.33,1215
405,5227,1055,0.22,1115
415,5355,1139,0.27,1157
425,5485,1160,0.28,1167
435,5620,1051,0.22,1113
445,5760,1282,0.34,1229
455,5909,1015,0.2,1095
465,6068,1059,0.22,1117
475,6234,1345,0.37,1260
485,6406,1036,0.21,1105
495,6583,1012,0.19,1094
505,6764,884,0.11,1031
515,6948,872,0.1,1025
525,7133,1028,0.2,1102
535,7320,955,0.16,1066
545,7506,1084,0.24,1129
555,7691,906,0.13,1042
565,7874,1039,0.21,1107
575,8057,956,0.16,1066
585,8239,851,0.09,1015
595,8421,884,0.11,1031
605,8603,1022,0.2,1099
615,8786,791,0.04,987
625,8971,805,0.05,993
635,9159,775,0.03,979
645,9352,909,0.13,1043
655,9551,832,0.07,1006
665,9762,802,0.05,992
675,9989,1051,0.22,1113
685,10227,770,0.03,976
695,10473,2872,0.83,2079
