year (AD),age (yr BP),depth (cm),lake_depth (m),Salinity (g/L),Mean_boot_salinity (unitless),sambleID (NA),numInZone (NA)
1991.58,-41.5799999999999,0.5,4.51855944374922,0.142912651,2.575,0-1c0,1
1991.3,-41.3,2.5,4.42588372362627,0.096912651,2.529,2-3c0,2
1989.35,-39.3499999999999,4.5,4.23642966049541,0.111912651,2.544,4-5c0,3
1985.2525,-35.2525000000001,6.5,4.51855944374922,0.078912651,2.511,6-7c0,4
1980.3975,-30.3975,8.5,4.54988060150049,0.076912651,2.509,8-9c0,5
1974.35,-24.3499999999999,10.5,6.15176872709868,0.061912651,2.494,10-11c0,6
1965.37,-15.3699999999999,12.5,10,-0.122087349,2.31,12-13c0,7
1955.205,-5.20499999999993,14.5,11.4815362149688,-0.244087349,2.188,14-15c0,8
1946.435,3.56500000000005,16.5,10.3038612044162,-0.118087349,2.314,16-17c0,9
1939.3,10.7,18.5,9.057326008982,-0.034087349,2.398,18-19c0,10
1932.21,17.79,20.5,10.6414301822432,-0.031087349,2.401,20-21c0,11
1925.12,24.8800000000001,22.5,8.1846478813479,-0.203087349,2.229,22-23c0,12
1914.19,35.8099999999999,24.5,1.79060585403529,0.665912651,3.098,24-25c0,13
1901.89,48.1099999999999,26.5,2.91071711806661,0.425912651,2.858,26-27c0,14
1887.05,62.95,28.5,4.47713304176363,0.149912651,2.582,28-29c0,15
1864.51,85.49,30.5,5.75439937337157,0.061912651,2.494,30-31c0,16
1841.97,108.03,32.5,4.78630092322638,0.201912651,2.634,32-33c0,17
1806.85,143.15,34.5,5.19995996533516,0.151912651,2.584,34-35c0,18
1771.73,178.27,36.5,7.16143410212902,0.038912651,2.471,36-37c0,19
1736.61,213.39,38.5,9.33254300796991,-0.028087349,2.404,38-39c0,20
1701.49,248.51,40.5,4.94310686986835,0.213912651,2.646,40-41c0,21
1666.37,283.63,42.5,4.94310686986835,0.308912651,2.741,42-43c0,22
1631.25,318.75,44.5,4.16869383470335,0.222912651,2.655,44-45c0,23
1499.16666666667,450.833333333333,45.5,5.35796657513342,0.161912651,2.594,0-1c1,24
1482.47222222222,467.527777777778,46.5,4.52897579903621,0.278912651,2.711,1-2c1,25
1465.77777777778,484.222222222222,47.5,3.53997341083435,0.293912651,2.726,2-3c1,26
1449.08333333333,500.916666666667,48.5,3.29609712177458,0.279912651,2.712,3-4c1,27
1432.38888888889,517.611111111111,49.5,3.70680721782576,0.235912651,2.668,4-5c1,28
1415.69444444444,534.305555555556,50.5,4.13047501990161,0.123912651,2.556,5-6c1,29
1399,551,51.5,4.93173803954936,0.110912651,2.543,6-7c1,30
1382.30555555556,567.694444444444,52.5,4.47713304176363,0.121912651,2.554,7-8c1,31
1365.61111111111,584.388888888889,53.5,5.2239618899912,0.069912651,2.502,8-9c1,32
1348.91666666667,601.083333333333,54.5,8.1846478813479,-0.181087349,2.251,9-10c1,33
1332.22222222222,617.777777777778,55.5,6.45654229034656,0.085912651,2.518,10-11c1,34
1315.52777777778,634.472222222222,56.5,8.95364765549594,0.017912651,2.45,11-12c1,35
1298.83333333333,651.166666666667,57.5,5.79428696426881,0.026912651,2.459,12-13c1,36
1282.13888888889,667.861111111111,58.5,4.72063041263591,0.117912651,2.55,13-14c1,37
1265.44444444444,684.555555555556,59.5,4.73151258961481,0.158912651,2.591,14-15c1,38
1248.75,701.25,60.5,4.77529273657691,0.136912651,2.569,15-16c1,39
1232.05555555555,717.944444444445,61.5,4.73151258961481,0.156912651,2.589,16-17c1,40
1215.36111111111,734.638888888889,62.5,4.64515275222749,0.166912651,2.599,17-18c1,41
1198.66666666667,751.333333333333,63.5,5.87489352529777,0.066912651,2.499,18-19c1,42
1181.97222222222,768.027777777778,64.5,5.42000890401624,0.116912651,2.549,19-20c1,43
1165.27777777778,784.722222222222,65.5,7.90678627999825,0.038912651,2.471,20-21c1,44
1148.58333333333,801.416666666667,66.5,5.2844525177518,0.132912651,2.565,21-22c1,45
1131.88888888889,818.111111111111,67.5,3.35737614242955,0.298912651,2.731,22-23c1,46
1115.19444444444,834.805555555556,68.5,5.53350109215737,0.140912651,2.573,23-24c1,47
1098.5,851.5,69.5,4.04575891697443,0.243912651,2.676,24-25c1,48
1081.80555555555,868.194444444445,70.5,5.11681835540308,0.192912651,2.625,25-26c1,49
1065.11111111111,884.888888888889,71.5,4.43608643931433,0.210912651,2.643,26-27c1,50
1048.41666666667,901.583333333334,72.5,5.2844525177518,0.176912651,2.609,27-28c1,51
1031.72222222222,918.277777777778,73.5,5.26017266390706,0.108912651,2.541,28-29c1,52
1015.02777777778,934.972222222223,74.5,5.17606831950568,0.087912651,2.52,29-30c1,53
998.333333333333,951.666666666667,75.5,5.2360043658575,0.070912651,2.503,30-31c1,54
981.638888888889,968.361111111111,76.5,4.94310686986835,0.167912651,2.6,31-32c1,55
964.944444444444,985.055555555556,77.5,4.59198012836869,0.083912651,2.516,32-33c1,56
948.25,1001.75,78.5,4.80839348449729,0.072912651,2.505,33-34c1,57
931.55555555556,1018.44444444444,79.5,4.90907876152603,0.116912651,2.549,34-35c1,58
914.86111111111,1035.13888888889,80.5,5.0815944256056,0.134912651,2.567,35-36c1,59
898.16666666667,1051.83333333333,81.5,4.49779854893288,0.185912651,2.618,36-37c1,60
881.47222222222,1068.52777777778,82.5,4.49779854893288,0.145912651,2.578,37-38c1,61
