year (AD),age (BP),SST (degC)
1950,0,16.09
1816.27,133.73,15.59
1548.8,401.2,14.62
1419.68,530.32,14.65
1152.22,797.78,15.74
889.36,1060.64,15.88
359.04,1590.96,15.56
91.5799999999999,1858.42,16.24
-701.59,2651.59,16.09
-969.06,2919.06,16.03
-1231.91,3181.91,15.88
-1762.23,3712.23,15.5
-2025.08,3975.08,14.5
-2292.55,4242.55,15.06
-2555.4,4505.4,15.06
-2822.87,4772.87,15.5
-3353.18,5303.18,15.06
-3883.5,5833.5,15.44
-4413.82,6363.82,14.79
-4944.14,6894.14,15.5
-5474.46,7424.46,16.44
-6004.78,7954.78,16.62
-6267.63,8217.63,16.82
-6797.95,8747.95,14.59
-7060.8,9010.8,15.44
-7328.27,9278.27,14.21
-7809.25,9759.25,14
-8273.58,10223.58,13.24
