year (AD),age (yr BP),Temp (degC),precip (mm)
1950,0,0,0
1655,295,0.5,-5
1444,506,4.4,148.333333333333
1290,660,0.3,-60.6666666666667
1101,849,0.5,-5
858,1092,0.366666666666667,-60.3333333333333
633,1317,3.36666666666667,-6.66666666666667
136,1814,0.5,-5
-408,2358,4.4,148.333333333333
-715,2665,0.5,-5
-880,2830,4.4,148.333333333333
-1097,3047,2.06666666666667,55.6666666666667
-1255,3205,2.46666666666667,-44.6666666666667
-1372,3322,6.26666666666667,83.6666666666667
-1467,3417,4.3,123.333333333333
-1561,3511,5.2,75.6666666666667
-1672,3622,4.4,148.333333333333
-1795,3745,6.26666666666667,83.6666666666667
-1917,3867,0.4,-154.666666666667
-2041,3991,3.06666666666667,-102.333333333333
-2171,4121,5.9,130.666666666667
-2323,4273,3.1,-155
-2568,4518,0.366666666666667,-128.666666666667
-2861,4811,3.7,-178.666666666667
-3044,4994,5.9,86.6666666666667
-3388,5338,4.1,-151
-3596,5546,3.1,-155
-3800,5750,3.1,-151.666666666667
-4036,5986,2.36666666666667,-120
-4300,6250,4.4,65.6666666666667
-4483,6433,7.23333333333333,-92.6666666666667
-4733,6683,7.23333333333333,-92.6666666666667
-4984,6934,5.1,-110.333333333333
-5276,7226,5.56666666666667,-97.6666666666667
-5394,7344,3.86666666666667,17
-5500,7450,5.53333333333333,194.333333333333
-5594,7544,5.9,85.3333333333333
-5688,7638,6.13333333333333,98.3333333333333
-5798,7748,5.6,191
-5925,7875,3.16666666666667,69.6666666666667
-6036,7986,2.33333333333333,-119.666666666667
-6153,8103,5.86666666666667,95
-6294,8244,5.06666666666667,26.6666666666667
-6411,8361,5.86666666666667,95
-6513,8463,5.66666666666667,194
-6618,8568,5.1,-25.6666666666667
-6775,8725,5.66666666666667,194.333333333333
-7083,9033,0.9,-138.333333333333
-7372,9322,3.9,69.6666666666667
-7579,9529,7.33333333333333,43.3333333333333
-7853,9803,1.36666666666667,-210.666666666667
-8273,10223,16.9333333333333,734
-8555,10505,9.36666666666667,255.666666666667
-8854,10804,9.23333333333333,236.333333333333
-9274,11224,16.8,714.666666666667
-10143,12093,17.0333333333333,727.666666666667
-11242,13192,1.43333333333333,-234
