year (AD),age (yr BP),Temp (degC),depth_top (mm),depth_bot (mm),thickness (mm)
1970.03483,-20.0348300000001,13.77,30,35,5
1951.810425,-1.8104249999999,13.43,50,55,5
1941.569718,8.43028200000003,13.63,60,65,5
1926.29213,23.70787,13.79,70,75,5
1908.94137,41.05863,13.52,80,85,5
1863.87807,86.12193,13.46,100,110,10
1822.3463,127.6537,13.51,120,130,10
1801.5768,148.4232,13.76,130,140,10
1780.8391,169.1609,13.63,140,150,10
1739.5618,210.4382,13.04,160,170,10
1719.0736,230.9264,13.44,170,180,10
1698.7199,251.2801,13.51,180,190,10
1678.5263,271.4737,12.82,190,200,10
1658.5187,291.4813,13.35,200,210,10
1638.7226,311.2774,13.31,210,220,10
1619.1637,330.8363,13.76,220,230,10
1599.8678,350.1322,13.55,230,240,10
1580.8604,369.1396,13.52,240,250,10
1561.9345,388.0655,13.6,250,260,10
1542.1827,407.8173,14.29,260,270,10
1522.5824,427.4176,13.91,270,280,10
1504.3949,445.6051,13.45,280,290,10
1488.2692,461.7308,14.05,290,300,10
1471.2235,478.7765,13.67,300,310,10
1452.4572,497.5428,13.27,310,320,10
1431.7198,518.2802,13.74,320,330,10
1408.7604,541.2396,13.57,330,340,10
1369.6065,580.3935,13.34,340,360,20
1324.0429,625.9571,13.18,360,370,10
1289.6882,660.3118,13.7,370,380,10
1251.8579,698.1421,13.68,380,390,10
1210.3011,739.6989,13.77,390,400,10
1165.1347,784.8653,14.13,400,410,10
1118.412,831.588,13.99,410,420,10
1070.5025,879.4975,13.93,420,430,10
1021.4193,928.5807,13.96,430,440,10
971.1756,978.8244,14.23,440,450,10
919.784,1030.216,13.73,450,460,10
867.259,1082.741,13.82,460,470,10
813.612,1136.388,14.03,470,480,10
731.068,1218.932,13.72,480,500,20
646.075,1303.925,13.92,500,510,10
588.123,1361.877,13.43,510,520,10
529.435,1420.565,13.36,520,530,10
470.027,1479.973,13.46,530,540,10
409.864,1540.136,13.27,540,550,10
348.766,1601.234,13.81,550,560,10
285.949,1664.051,13.7,560,570,10
221.501,1728.499,13.55,570,580,10
155.664,1794.336,13.32,580,590,10
88.681,1861.319,13.81,590,600,10
20.7929999999999,1929.207,14.08,600,610,10
-47.7570000000001,1997.757,13.99,610,620,10
-116.728,2066.728,13.8,620,630,10
-185.876,2135.876,13.79,630,640,10
-254.96,2204.96,14.18,640,650,10
-323.737,2273.737,13.81,650,660,10
-391.966,2341.966,14.14,660,670,10
-459.404,2409.404,13.57,670,680,10
-525.808,2475.808,13.98,680,690,10
-590.938,2540.938,13.68,690,700,10
-716.403,2666.403,13.92,710,720,10
-833.86,2783.86,13.65,730,740,10
-1079.885,3029.885,14.18,780,790,10
-1157.951,3107.951,13.62,800,810,10
-1210.552,3160.552,14.29,810,830,20
-1258.619,3208.619,13.97,830,840,10
-1288.396,3238.396,13.58,840,850,10
-1316.534,3266.534,13.96,850,860,10
-1343.182,3293.182,13.42,860,870,10
-1368.493,3318.493,13.96,870,880,10
-1392.616,3342.616,13.72,880,890,10
-1415.701,3365.701,14.06,890,900,10
-1437.899,3387.899,14.5,900,910,10
-1459.361,3409.361,13.63,910,920,10
-1480.236,3430.236,14.36,920,930,10
-1500.676,3450.676,14.3,930,940,10
-1520.831,3470.831,14.38,940,950,10
-1540.85,3490.85,14.18,950,960,10
-1560.885,3510.885,14.24,960,970,10
-1581.086,3531.086,13.88,970,980,10
-1601.604,3551.604,14.1,980,990,10
-1622.588,3572.588,14.03,990,1000,10
-1644.189,3594.189,13.88,1000,1010,10
-1666.558,3616.558,14.18,1010,1020,10
-1689.846,3639.846,13.9,1020,1030,10
-1714.201,3664.201,13.92,1030,1040,10
-1739.776,3689.776,14.41,1040,1050,10
-1766.719,3716.719,13.79,1050,1060,10
-1841.057,3791.057,14,1060,1100,40
-1926.922,3876.922,13.97,1100,1110,10
-1962.633,3912.633,14.32,1110,1120,10
-1998.059,3948.059,13.81,1120,1130,10
-2033.244,3983.244,13.94,1130,1140,10
-2068.232,4018.232,13.02,1140,1150,10
-2103.07,4053.07,14.26,1150,1160,10
-2172.474,4122.474,14.4,1170,1180,10
-2241.815,4191.815,14.31,1190,1200,10
-2276.574,4226.574,14.65,1200,1210,10
-2311.453,4261.453,14.83,1210,1220,10
-2346.497,4296.497,14.48,1220,1230,10
-2399.468,4349.468,14.27,1230,1250,20
-2453.063,4403.063,14.74,1250,1260,10
-2489.214,4439.214,14.39,1260,1270,10
-2525.755,4475.755,14.37,1270,1280,10
-2562.73,4512.73,13.78,1280,1290,10
-2787.485,4737.485,14.84,1340,1350,10
-2825.013,4775.013,14.67,1350,1360,10
-2862.57,4812.57,14.04,1360,1370,10
-2900.164,4850.164,14.09,1370,1380,10
-2937.797,4887.797,14.15,1380,1390,10
-2994.335,4944.335,14.56,1390,1410,20
-3050.992,5000.992,14.91,1410,1420,10
-3088.838,5038.838,14.19,1420,1430,10
-3126.75,5076.75,14.12,1430,1440,10
-3183.752,5133.752,13.95,1440,1460,20
-3510.612,5460.612,13.74,1530,1540,10
-3549.585,5499.585,14.32,1540,1550,10
-3588.684,5538.684,14.92,1550,1560,10
-3627.916,5577.916,14.25,1560,1570,10
-3786.264,5736.264,13.19,1600,1610,10
-3826.232,5776.232,13.4,1610,1620,10
-3866.363,5816.363,14.27,1620,1630,10
-3906.661,5856.661,14.06,1630,1640,10
-3947.133,5897.133,13.71,1640,1650,10
-3987.782,5937.782,13.79,1650,1660,10
-4028.614,5978.614,13.68,1660,1670,10
-4057.664,6007.664,14.28,1670,1680,10
