year (AD) [1-1],age (yr BP) [1-1],average_RGB (grayscale) [1-1],depth (unitless) [1-2],age (yr BP) [1-2],grayscale_detrended (grayscale) [1-2],grayscale20lp_detrended (grayscale) [1-2],depth (unitless) [1-3],age (yr BP) [1-3],d18O_raw (permil) [1-3],d13C_raw (permil) [1-3],depth (unitless) [1-4],age (yr BP) [1-4],d18O_detrended (permil) [1-4],d13C_detrended (permil) [1-4]
1850.027,99.973024,189.68,17.52174456,101,27.2886,24.9133,0.77,-48,-5.48,-0.4,0.77,-48,-0.62,-1.42
1849.8308,100.16922,189.4967,17.60610427,102,22.0689,24.7249,1.52,-42.7961,-5.42,-0.19,1.49061339,-43,-0.58,-1.23
1849.6346,100.36541,190.5433,17.69046398,103,23.6465,23.9822,1.99,-39.5437,-5.22,-0.03,2.21149289,-38,-0.41,-1.11
1849.4384,100.56161,190.71,17.77482369,104,26.8065,22.6688,2.41,-36.6165,-5.23,-0.1,2.93252974,-33,-0.72,-1.42
1849.2422,100.7578,193.9467,17.8591834,105,27.9982,20.7957,2.88,-33.3641,-5.47,-0.31,3.65511166,-28,-1.06,-1.86
1849.046,100.954,195.5233,17.94368587,106,26.6697,18.4057,3.49,-29.136,-6.09,-1,4.37707269,-23,-0.62,-1.19
1848.8498,101.15019,194.5167,18.03144464,107,25.2033,15.5743,4.01,-25.5583,-5.3,-0.35,5.09988727,-18,0.06,-0.55
1848.6536,101.34639,194.3467,18.11920342,108,22.2707,12.408,4.57,-21.6554,-5.42,0.03,5.8233024,-13,-0.94,-1.35
1848.4574,101.54258,192.6733,18.2069622,109,10.5648,9.0362,5.04,-18.403,-4.78,0.58,7.38740459,-8,-1.77,-2.03
1848.2612,101.73878,190.8433,18.29472097,110,-5.3083,5.555,5.33,-16.4515,-4.33,0.48,8.57831278,-3,-0.73,0.04
1848.065,101.93497,189.17,18.37036644,111,-13.1389,2.3584,5.56,-14.8253,-5.48,0.02,9.0411939,2,-1.28,-0.14
1847.8677,102.13234,187.6233,18.43786885,112,-19.05,-0.2061,5.86,-12.7456,-5.69,-0.26,9.46977481,7,-0.74,0.21
1847.6715,102.32853,188.71,18.50537126,113,-7.1093,-2.5538,5.99,-11.8475,-6.06,-0.77,9.89976592,12,1.05,0.72
1847.4753,102.52473,190.68,18.57287367,114,-5.4144,-4.7302,6.21,-11.2059,-5.91,-1.1,10.32502248,17,1.13,0.76
1847.2791,102.72092,190.9267,18.64037608,115,-9.0433,-6.7322,6.5,-10.4361,-6.73,-1.37,10.7532159,22,1.41,0.72
1847.0829,102.91712,190.0767,18.7078785,116,-12.2211,-8.5423,6.78,-9.66634,-6.06,-0.78,11.1829648,27,0.89,0.48
1846.8867,103.11331,191.1167,18.77538091,117,-13.4356,-10.1103,7.11,-8.76824,-6.7,-1.29,11.6141347,32,0.56,0.34
1846.6905,103.30951,190.83,18.84288332,118,-8.3778,-11.5375,7.5,-7.68818,-6.38,-0.72,12.04116827,37,0.28,0.2
1846.4943,103.5057,191.2033,18.91038573,119,-5.0889,-12.8392,7.96,-6.4145,-5.64,0.59,12.46823578,42,0.35,0.21
1846.2981,103.7019,194.04,18.97788814,120,-19.4444,-14.0209,8.39,-4.77127,-5.45,1.08,12.89437795,47,0.15,0.2
1846.1019,103.89809,196.0467,19.04539154,121,-14.2667,-15.1089,8.74,-1.47917,-5.39,1.31,13.32183832,52,0,0.16
1845.9057,104.09429,196.8767,19.11289829,122,-13.0174,-16.1568,9.12,2.91031,-6.1,0.97,13.75258623,57,0.14,0.01
1845.7095,104.29048,194.16,19.18040504,123,-14.5048,-17.1771,9.4,6.20241,-4.9,1.68,14.17983649,62,0.2,0.07
1845.5133,104.48668,191.9233,19.24791179,124,-6.9789,-18.1836,9.64,8.94583,-6.6,0.74,14.60888935,67,0.09,0.02
1845.3171,104.68287,189.9,19.31541854,125,-7.4304,-19.1903,9.92,12.2379,-3.35,2.03,15.03621231,72,0.06,-0.04
1845.1209,104.87907,190.12,19.38292529,126,-13.5267,-20.1951,10.34,17.1761,-3.5,1.98,15.46291866,77,-0.07,-0.01
1844.9247,105.07526,191.8,19.45043204,127,-23.6033,-21.1943,10.81,22.6629,-3.16,1.95,15.89006804,82,-0.28,-0.04
1844.7285,105.27146,192.7367,19.51793879,128,-32.2256,-22.1716,11.14,26.5037,-3.68,1.74,16.32057121,87,-0.18,-0.09
1844.5323,105.46765,196.1767,19.58544554,129,-24.0715,-23.1016,11.52,30.8932,-3.95,1.62,16.74996535,92,-0.25,-0.13
1844.3362,105.66385,197.9267,19.65295082,130,-23.9667,-23.977,11.94,35.8314,-4.27,1.48,17.17912141,97,-0.36,-0.18
1844.14,105.86004,198.4433,19.72045323,131,-36.4022,-24.7868,12.32,40.2208,-4.36,1.39,17.60610427,102,-0.42,-0.27
1843.9426,106.05741,196.4,19.78795564,132,-27.0244,-25.4804,12.64,44.0616,-4.04,1.57,18.03144464,107,-0.58,-0.41
1843.7464,106.2536,192.1867,19.85545805,133,-30.6522,-26.0564,13.02,48.4511,-4.59,1.41,18.43786885,112,-0.52,-0.21
1843.5502,106.4498,191.5733,19.92296046,134,-31.6819,-26.5223,13.44,53.3893,-4.54,1.44,18.77538091,117,-0.31,0.2
1843.354,106.64599,194.7167,19.99213466,135,-22.3967,-26.872,13.82,57.7787,-4.37,1.25,19.11289829,122,-0.3,0.16
1843.1578,106.84219,197.5067,20.07042276,136,-14.73,-27.0369,14.1,61.0708,-4.3,1.36,19.45043204,127,-0.2,0.12
1842.9616,107.03838,200.55,20.14871086,137,-22.6707,-27.0541,14.43,64.9116,-4.46,1.33,19.78795564,132,-0.06,0.14
1842.7654,107.23458,197.21,20.22699896,138,-32.6726,-26.9279,14.9,70.3985,-4.42,1.26,20.14871086,137,-0.08,0.19
1842.5692,107.43077,191.5167,20.30528706,139,-34.08,-26.6528,15.32,75.3366,-4.56,1.23,20.57287165,142,-0.16,0.14
1842.373,107.62697,188.19,20.38357516,140,-14.8937,-25.8247,15.65,79.1774,-4.63,1.36,21.08055838,147,-0.27,0.02
1842.1768,107.82316,186.4533,20.47132819,141,-16.3637,-24.5329,15.93,82.4695,-4.83,1.24,21.58822613,152,-0.23,-0.18
1841.9806,108.01936,185.69,20.57287165,142,-27.2873,-22.7709,16.55,89.6613,-4.61,1.2,22.09598294,157,0.22,-0.14
1841.7436,108.25643,185.23,20.67441511,143,-33.4762,-20.5158,16.93,94.1056,-4.9,1.16,22.60368005,162,0.75,0.13
1841.5077000000001,108.49233,185.0233,20.77595857,144,-28.3319,-17.7728,17.44,100.031,-4.84,1.12,23.11137693,167,0.8,0.13
1841.2706,108.7294,185.17,20.87750203,145,-10.8676,-14.626,17.94,105.958,-5.06,0.94,23.60855086,172,0.75,0.07
1841.0335,108.96646,179.7467,20.97903553,146,-9.36,-11.1969,18.33,110.402,-5.09,0.96,24.05041852,177,0.66,0.01
1840.7976,109.20237,172.4767,21.08055838,147,-4.0171,-7.612,18.68,115.587,-4.77,1.59,24.4399653,182,0.54,-0.08
1840.5606,109.43943,166.9567,21.18208122,148,-10.7573,-3.9927,19.03,120.772,-4.75,1.56,24.99825254,187,0.5,-0.15
1840.3254,109.67465,162.2267,21.28360406,149,7.7421,-0.5855,19.33,125.216,-4.72,1.55,26.16219412,192,-0.02,-0.32
1840.0972,109.9028,159.1533,21.3851269,150,4.1596,2.5124,19.63,129.66,-4.48,1.5,26.9947402,197,0.26,-0.09
1839.8679,110.13207,158.7167,21.48666892,151,2.9917,5.2002,19.98,134.845,-4.46,1.62,27.74446281,202,-0.32,-0.23
1839.6398,110.36022,157.14,21.58822613,152,2.364,7.3921,20.43,140.593,-4.52,1.6,28.42964857,207,-0.38,-0.4
1839.4105,110.5895,154.92,21.68978334,153,18.184,9.0287,20.93,145.517,-4.62,1.51,29.11320968,212,-0.44,-0.47
1839.1288,110.87121,151.49,21.79134056,154,20.0684,10.1235,21.43,150.442,-4.71,1.33,29.79655603,217,-0.08,0.1
1838.8298,111.17024,150.06,21.89289602,155,7.6597,10.7234,21.88,154.873,-4.4,1.15,30.47120024,222,0.32,0.36
1838.5292,111.47075,148.1467,21.99443948,156,20.2194,10.9024,22.38,159.797,-3.79,1.51,31.09117338,227,0.58,0.36
1838.2287,111.77126,146.8333,22.09598294,157,3.1183,10.7751,22.83,164.229,-3.39,1.67,31.70398162,232,0.46,0.36
1837.9297,112.07029,145.4667,22.1975264,158,2.7144,10.4831,23.33,169.153,-3.65,1.53,32.31669629,237,0.01,0.6
1837.6292,112.3708,146.6367,22.29906986,159,4.1498,10.151,23.86,174.57,-3.51,1.55,32.92936275,242,0.59,0.59
1837.3287,112.67131,149.28,22.40061146,160,11.464,9.8706,24.3,180.185,-3.85,1.42,33.54214023,247,0.49,0.28
1837.0297,112.97034,154.7467,22.50214576,161,11.4018,9.6937,24.7,185.372,-3.63,1.38,34.09727248,252,-0.16,0.17
