depth (cm),age (yr BP),temperatureWarmest (degC),temperatureColdest (degC),temperatureAnnual (degC),precipitation (mm/yr)
0,0,7.871428571,-13.18571429,-3.379771429,828.7142857
3,166.7,8.357142857,-16.11428571,-4.952371429,666.2857143
6,333.4,8.1,-17.82857143,-5.9607,519.2857143
9,500.1,9.2,-19.75714286,-6.475,529.5714286
12,666.8,8.314285714,-16.12857143,-4.904757143,683.2857143
15,833.5,8.314285714,-16.12857143,-4.904757143,683.2857143
18,1000.2,7.757142857,-13.71428571,-3.7369,748
21,1167,7.885714286,-18.11428571,-6.154742857,506.4285714
24,1333.7,8.1,-17.82857143,-5.9607,519.2857143
27,1487.2,8.142857143,-16.4,-5.146414286,653.4285714
33,1767.8,8.314285714,-16.94285714,-5.340471429,542
39,2048.5,8.057142857,-16.3,-4.984528571,734.7142857
48,2469.4,7.657142857,-14.07142857,-4,806
60,3030.7,8.085714286,-15.65714286,-4.519057143,741.8571429
66,3311.3,7.871428571,-13.18571429,-3.379771429,828.7142857
72,3592,8,-12.07142857,-2.721442857,1020.571429
84,4153.3,8.428571429,-15.44285714,-4.359542857,758.4285714
96,4714.5,8.042857143,-13.71428571,-3.733328571,848
102,4995.2,8.4,-13.64285714,-3.535714286,737.2857143
108,5275.8,8.328571429,-16.68571429,-4.989271429,567.2857143
120,5837.1,7.542857143,-10.52857143,-2.089285714,944.4285714
126,6117.8,8.471428571,-9.371428571,-1.236914286,1080.142857
129,6258.1,7.742857143,-9.571428571,-1.471428571,1071
132,6398.4,8.314285714,-10.3,-1.816671429,947.8571429
138,6679,7.6,-8,-0.792857143,1021.571429
