year (AD),age (BP),d18OG_bul (permil),d18ON_pac (permil),cor_depth_cm (cm),x14Cage (yr BP)
1043,907,-0.339,0.402,0,1660
909,1041,0.049,0.802,1,1780
775,1175,-0.36,0.787,2,1900
641,1309,0.003,0.627,3,2020
507,1443,0.109,0.586,4,2140
373,1577,0.125,0.602,5,2260
240,1710,-0.231,0.45,6,2380
106,1844,-0.041,0.314,7,2500
-28,1978,-0.505,0.681,8,2620
-162,2112,-0.087,0.597,9,2740
-296,2246,0.145,0.504,10,2860
-349,2299,0.202,0.609,11,2904
-403,2353,-0.269,0.421,12,2947
-456,2406,-0.316,0.384,13,2991
-509,2459,-0.051,0.444,14,3034
-562,2512,0.228,0.501,15,3078
-616,2566,-0.242,0.189,16,3121
-669,2619,-0.383,0.472,17,3165
-722,2672,-0.287,0.296,18,3208
-775,2725,-0.222,0.373,19,3252
-829,2779,-0.136,0.199,20,3295
-882,2832,-0.648,0.105,21,3339
-935,2885,-0.289,-0.109,22,3382
-988,2938,-1.029,0.257,23,3426
-1042,2992,-0.062,0.328,24,3469
-1095,3045,0.051,0.388,25,3513
-1148,3098,-0.156,0.398,26,3556
-1201,3151,0,0.416,27,3600
-1255,3205,-0.194,0.385,28,3643
-1308,3258,-0.113,0.411,29,3687
-1361,3311,-0.06,0.178,30,3730
-1393,3343,-0.196,0.196,31,3758
-1426,3376,-0.251,0.234,32,3785
-1458,3408,-0.364,0.125,33,3813
-1491,3441,0.044,0.244,34,3840
-1523,3473,-0.015,0.48,35,3868
-1556,3506,-0.094,0.681,36,3895
-1588,3538,-0.061,0.372,37,3923
-1621,3571,-0.256,0.393,38,3950
-1653,3603,-0.008,0.511,39,3978
-1686,3636,-0.364,0.504,40,4005
-1718,3668,-0.288,0.528,41,4033
-1750,3700,-0.38,0.593,42,4060
-1783,3733,0.048,0.606,43,4088
-1815,3765,-0.478,0.566,44,4115
-1848,3798,-0.464,0.568,45,4143
-1880,3830,-0.639,0.648,46,4170
-1913,3863,0.002,0.632,47,4198
-1945,3895,-0.242,0.749,48,4225
-1978,3928,-0.239,0.653,49,4253
-2010,3960,-0.361,0.789,50,4280
-2028,3978,-0.342,0.675,51,4294
-2046,3996,-0.098,0.72,52,4308
-2064,4014,-0.258,0.45,53,4322
-2082,4032,-0.111,0.778,54,4336
-2100,4050,-0.295,0.709,55,4350
-2118,4068,0.155,-9999,56,4364
-2136,4086,-9999,0.693,57,4378
-2154,4104,-9999,0.646,58,4392
-2171,4121,-9999,0.736,59,4406
-2207,4157,0.001,0.592,61,4434
-2225,4175,0.044,0.767,62,4448
-2243,4193,-0.521,0.655,63,4462
-2261,4211,-0.526,0.635,64,4476
-2279,4229,-0.744,0.558,65,4490
