age (yr BP),JAN (mm/month),FEB (mm/month),MAR (mm/month),APR (mm/month),MAY (mm/month),JUN (mm/month),JUL (mm/month),AUG (mm/month),SEP (mm/month),OCT (mm/month),NOV (mm/month),DEC (mm/month),ANN (mm/year)
0,295.08,226.65,151.08,78.727,40.469,20.654,10.648,7.3439,9.9252,68.969,217.01,276.23,1402.7861
250,275.78,211.34,138.56,72.701,36.633,19.374,10.023,7.0521,8.4949,59.335,195.34,256.26,1290.893
500,258.27,198.67,126.22,67.063,33.348,16.877,8.2068,5.1085,5.9626,50.581,177.91,238.09,1186.3069
750,235.95,181.36,116.84,63.4,32.179,16.327,8.1318,5.1419,5.7229,45.101,160.45,216.23,1086.8336
1000,225.74,173.24,110.01,59.871,29.801,15.479,7.5502,4.4979,4.555,40.274,150.53,205.81,1027.3581
1250,219.73,169.32,106.04,57.81,28.639,14.795,7.0901,3.9706,3.9947,38.184,145.08,199.68,994.3334
1500,212.9,163.96,104.48,57.231,28.681,14.198,6.6791,3.5555,3.3448,35.149,138.24,192.61,961.0284
1750,207.71,160.28,100.06,54.918,27.175,13.551,6.2358,3.1064,2.9402,33.504,133.75,187.42,930.6504
2000,198.14,152.62,95.154,53.06,26.439,13.294,6.1788,3.078,2.8125,31.283,126.32,178.12,886.4993
2250,195.31,150.46,92.866,51.795,25.507,13.165,6.0894,2.9426,2.6729,30.731,124.85,175.4,871.7889
2500,197.48,152.02,94.786,52.513,25.916,13.003,5.9296,2.8275,2.6676,31.438,127.26,177.58,883.4207
2750,200.58,154.93,96.318,53.451,26.648,12.964,5.9088,2.8696,2.8207,32.301,129.12,180.5,898.4111
3000,203.36,157.36,98.043,53.7,26.524,12.646,5.471,2.2402,2.315,31.854,130.2,182.76,906.4732
3250,204.87,158.53,98.378,54.031,26.75,13.099,5.8403,2.5926,2.6438,33.15,132.62,184.47,916.9747
3500,210.45,162.65,102.19,55.788,27.637,13.738,6.2053,2.832,2.8028,34.561,137.54,189.89,946.2841
3750,217.29,167.61,107.15,58.038,28.931,14.062,6.3928,3.0915,3.1397,36.908,144.5,196.87,983.983
4000,223.66,173.17,109.19,58.832,29.226,13.973,6.2389,2.9149,3.1442,38.256,148.52,202.86,1009.985
4250,229.24,177.01,113.63,60.772,30.325,14.638,6.624,3.1854,3.5626,41.186,155.97,208.65,1044.793
4500,235.36,182.26,118.25,62.981,31.78,14.491,6.3605,2.8248,3.1216,40.614,157.22,213.92,1069.1829
4750,227.66,175.53,116.46,62.358,31.735,15.027,6.8649,3.3072,3.5491,40.949,155.62,207.12,1046.1802
5000,226.78,175.09,111.75,59.785,29.631,14.371,6.3613,2.8317,3.1854,39.96,153.55,206.05,1029.3454
5250,229.6,177.57,112.37,60.057,29.738,14.534,6.4122,2.7819,3.323,41.357,156.54,208.8,1043.0831
5500,224.74,173.24,111.34,59.473,29.489,14.351,6.2995,2.6767,3.1266,40.015,153.37,204.14,1022.2608
5750,223.93,173.09,110.06,59.021,29.215,13.832,5.9628,2.4427,3.0283,39.674,152.19,203.27,1015.7158
6000,222.97,172.09,109.64,58.826,29.029,13.72,5.8056,2.2136,2.8753,39.348,151.81,202.39,1010.7175
6250,219.26,169.14,109.56,59.023,29.553,13.933,6.0103,2.3767,2.9613,38.997,149.85,198.79,999.4543
6500,218.1,167.36,107.79,57.673,28.162,12.939,5.1393,1.5884,2.6063,38.458,149.89,197.78,987.486
6750,207.65,161.07,100.8,54.647,26.905,12.152,4.7691,1.3557,2.2179,33.672,135.48,186.48,927.1987
7000,188.12,145.32,90.229,49.826,24.249,10.548,3.7868,0.78529,1.9586,30.055,122.91,167.99,835.77769
7250,174.55,134.53,82.768,46.367,22.515,9.828,3.4027,0.60089,1.8762,27.838,114.09,155.28,773.64579
7500,167.66,129.02,79.437,44.873,21.736,9.1035,2.964,0.43913,1.686,25.861,108.23,148.58,739.58963
7750,159.2,122.14,73.587,42.159,20.124,8.1199,2.3611,0.26107,1.5393,23.877,101.5,140.5,695.36837
8000,145.49,112.06,66.992,39.227,18.917,7.6432,2.1945,0.2299,1.2764,20.127,89.044,127.06,630.261
8250,131.88,100.81,59.995,36.243,17.503,6.981,1.8998,0.18076,1.1556,17.848,80.42,114.53,569.44616
8500,122.68,94.252,53.838,32.662,15.41,6.0876,1.4491,0.12207,1.0564,15.945,72.842,105.8,522.14417
8750,115.27,88.03,51.194,30.943,14.439,5.5905,1.1367,0.097894,0.95031,14.588,68.007,98.931,489.177404
9000,107.22,81.285,48.062,28.891,13.275,4.8821,0.80089,0.077894,0.84549,13.166,62.839,91.621,452.965374
9250,103.02,78.745,45.393,27.204,12.399,4.4735,0.66868,0.069793,0.71809,11.559,57.151,87.215,428.616063
9500,92.652,69.701,41.37,24.599,10.972,3.9431,0.47592,0.063731,0.70872,10.739,52.808,78.298,386.330471
9750,84.395,63.373,37.75,22.333,9.808,3.3041,0.31949,0.053028,0.56991,8.9105,46.03,70.632,347.478028
10000,77.627,57.989,35.256,20.923,9.2228,2.783,0.19132,0.044694,0.54411,8.1817,42.365,64.733,319.860624
