year (AD),age (yr BP),MAR (g/cm2/yr)
1926.2058999999,23.7941000000999,0.00427750330260725
1905.8079999999,44.1920000001001,0.00966670978789788
1885.9340999999,64.0659000001001,0.0120065607261575
1864.5615999999,85.4384000001,0.0115705035728733
1839.6678999999,110.3321000001,0.0130574136198492
1809.2303999999,140.7696000001,0.0123611353244348
1771.2264999999,178.7735000001,0.00834294086907007
1723.6335999999,226.3664000001,0.00605579635976578
1664.4290999999,285.5709000001,0.00861882374539177
1591.5903999999,358.4096000001,0.00327931248678226
1503.0948999999,446.9051000001,0.00294010771252696
1396.9199999999,553.0800000001,0.00194228360282425
1360.77915,589.22085,0.0057742926535976
1321.6314,628.3686,0.00369256369928985
1279.43915,670.56085,0.00591582563003522
1270.0866,679.9134,0.0177448193412514
1258.5669,691.4331,0.0149985414339529
1245.0434,704.9566,0.0154697447394251
1229.5161,720.4839,0.0151990332915385
1211.985,738.015,0.0114171089375472
1192.4501,757.5499,0.00941737097057071
1170.9114,779.0886,0.00871229353613119
1147.3689,802.6311,0.0146311979212337
1121.8226,828.1774,0.0171068188519338
1094.2725,855.7275,0.0125683036444149
1064.7186,885.2814,0.00977140918561815
1033.1609,916.8391,0.00859819996323523
999.5994,950.4006,0.00850682314506481
964.0341,985.9659,0.0140730492508111
926.465,1023.535,0.0176591106208037
904.16945,1045.83055,0.0229421417106519
880.7718,1069.2282,0.0213506907887521
840.585,1109.415,0.00820252111207814
830.555,1119.445,0.0324245095636343
820.525,1129.475,0.0242836803964925
810.495,1139.505,0.0281163077921461
800.465,1149.535,0.0626644783207828
790.435,1159.565,0.0547845628707673
780.405,1169.595,0.0576243833949198
770.375,1179.625,0.0371942834539323
760.345,1189.655,0.0327542411833258
755.672,1194.328,0.125945476504407
751.0055,1198.9945,0.0565083955934413
749.5,1200.5,0.11216486835598
748,1202,0.0884524861034995
746.5,1203.5,0.133781916942198
745,1205,0.128246963663269
743.5,1206.5,0.158920437023276
742,1208,0.131489514759682
740.5,1209.5,0.120436280081857
739,1211,0.209244744963723
737.5,1212.5,0.142302178510655
723.5,1226.5,0.017782722606584
699.5,1250.5,0.0152270948505115
675.5,1274.5,0.0232873679475218
651.5,1298.5,0.0291559421262406
627.5,1322.5,0.0249637129550969
603.5,1346.5,0.0212729476016305
