depth (cm),age (yr BP),temperatureWarmest (degC),temperatureColdest (degC),temperatureAnnual (degC),precipitation (mm/yr)
2.5,58,15.15714286,-1.314285714,6.584542857,1887
7.5,214,15.2,-1.6,6.473814286,1959.714286
12.5,353,14.78571429,-1.857142857,6.0643,1954.142857
17.5,458,14.91428571,-1.2,6.4881,2103.428571
22.5,542,15.02857143,-1.028571429,6.621428571,1995.142857
27.5,586,15.12857143,-1.057142857,6.697614286,2046.857143
32.5,629,14.91428571,-0.9,6.592857143,1918.428571
37.5,673,14.91428571,-0.9,6.592857143,1918.428571
42.5,721,15.02857143,-1.028571429,6.621428571,1995.142857
47.5,775,14.91428571,-0.9,6.592857143,1918.428571
52.5,827,15.02857143,-1.028571429,6.621428571,1995.142857
57.5,873,15.41428571,0.042857143,7.342857143,1873.285714
62.5,920,15.62857143,-0.114285714,7.447614286,2001.714286
67.5,967,15.22857143,-0.571428571,6.996428571,1976
72.5,1016,15.27142857,-0.542857143,6.990471429,1931.285714
77.5,1068,15.27142857,-0.471428571,7.05,1988.857143
82.5,1123,15.27142857,-0.471428571,7.05,1988.857143
87.5,1175,15.61428571,-0.514285714,7.201185714,1735.714286
92.5,1222,15.61428571,-0.514285714,7.201185714,1735.714286
97.5,1263,15.27142857,-0.471428571,7.05,1988.857143
105,1321,14.7,-1.042857143,6.383342857,1975
115,1397,15.41428571,0.042857143,7.342857143,1873.285714
125,1486,15.02857143,-1.028571429,6.621428571,1995.142857
135,1596,14.54285714,-2.028571429,5.784528571,1767
145,1712,15.17142857,-0.442857143,6.973814286,1937.142857
155,1824,14.91428571,-0.9,6.592857143,1918.428571
165,1926,15.17142857,-0.442857143,6.973814286,1937.142857
175,2029,15.02857143,-1.028571429,6.621428571,1995.142857
185,2173,14.9,-1.6,6.241671429,1837.428571
195,2318,15.27142857,-0.471428571,7.05,1988.857143
205,2450,14.74285714,-1.671428571,6.120257143,1880
215,2691,14.81428571,-1.171428571,6.411914286,2051.714286
225,2798,14.9,-1.6,6.241671429,1837.428571
235,2904,14.74285714,-1.671428571,6.120257143,1880
245,3087,14.6,-1.985714286,5.860728571,1908.571429
255,3275,14.6,-1.985714286,5.860728571,1908.571429
265,3407,14.8,-1.571428571,6.165485714,1785.714286
275,3536,14.6,-1.985714286,5.860728571,1908.571429
285,3692,14.74285714,-1.671428571,6.120257143,1880
295,3856,14.74285714,-1.671428571,6.120257143,1880
305,4022,15.11428571,-1.242857143,6.569057143,1843.285714
315,4207,15.11428571,-1.242857143,6.569057143,1843.285714
325,4397,14.8,-1.528571429,6.235728571,1889.428571
335,4529,15.11428571,-1.2,6.586914286,1835.857143
