year (AD),age (yr BP),Temp (degC),precip (mm/yr)
1982,-32,-0.599999999999998,-16.3333333333333
1682,268,-0.199999999999999,-18
1453,497,-0.133333333333329,-19.3333333333333
1293,657,-0.399999999999999,-21
1096,854,0.06666666666667,-39.6666666666667
841,1109,3.53333333333333,331.333333333333
613,1337,1.83333333333334,150.666666666667
378,1572,-0.599999999999998,-16.3333333333333
87,1863,-0.399999999999999,-21
-203,2153,-0.599999999999998,-16.3333333333333
-375,2325,2.53333333333333,196.333333333333
-494,2444,-0.699999999999999,-9
-721,2671,-0.599999999999998,-16.3333333333333
-826,2776,5.06666666666667,371
-916,2866,-0.43333333333333,-7.33333333333331
-1044,2994,2.56666666666667,274
-1238,3188,3.43333333333333,180
-1379,3329,4.26666666666667,356.666666666667
-1493,3443,-0.699999999999999,-9
-1612,3562,1.13333333333333,101.666666666667
-1789,3739,-0.199999999999999,-22.6666666666667
-1979,3929,0.900000000000002,112.333333333333
-2180,4130,1.76666666666667,-74.6666666666667
-2410,4360,2.73333333333334,75.6666666666667
-2588,4538,2.3,-15
-2833,4783,0.833333333333332,113.666666666667
-2971,4921,3.4,-10.6666666666667
-3277,5227,-0.199999999999999,-22.6666666666667
-3509,5459,-0.133333333333333,-19.3333333333333
-3689,5639,-0.133333333333333,-19.3333333333333
-3885,5835,0.866666666666667,-36.3333333333333
-4092,6042,-0.199999999999999,-18
-4318,6268,1.36666666666667,103.333333333333
-4477,6427,3.83333333333334,309
-4694,6644,5.53333333333333,320.333333333333
-5139,7089,0.899999999999999,68.3333333333333
-5901,7851,5.8,321.333333333333
-6682,8632,4.8,140
-7697,9647,4.8,140
-8640,10590,3.63333333333333,147.333333333333
-9213,11163,-1.06666666666667,-99.3333333333333
-9690,11640,7.43333333333333,346.666666666667
-10361,12311,16.1333333333333,805
-10841,12791,8.43333333333333,307.333333333333
-11080,13030,9.13333333333334,247.333333333333
-11369,13319,11.3,108.333333333333
-11749,13699,3.8,-49.3333333333333
