year (AD),age (yr BP),d13C (permil),depth_alt (mm),DUNE_A (unitless)
1992.503,-42.5029999999999,-29.04,70,D
1969.41507091268,-19.4150709126816,-28.42,92.5,D
1956.22289435041,-6.22289435040625,-27.83,105,D
1945.48537861541,4.51462138459374,-28.03,115,D
1934.58719717291,15.4128028270939,-27.92,125,D
1917.9440703065,32.0559296935,-28.05,140,D
1906.654988224,43.3450117760001,-28.3,150,D
1895.2138139465,54.7861860534999,-28.34,160,D
1883.622965,66.377035,-28.4,170,D
1871.8848446665,78.1151553335001,-28.48,180,D
1860.001841984,89.9981580159999,-28.22,190,D
1847.9763317465,102.0236682535,-28.25,200,D
1835.810674504,114.189325496,-28.17,210,D
1823.5072165625,126.4927834375,-28.26,220,D
1811.068289984,138.931710016,-28.25,230,D
1798.4962125865,151.5037874135,-28.31,240,D
1785.793287944,164.206712056,-28.09,250,D
1772.9618053865,177.0381946135,-27.87,260,D
1760.00404,189.99596,NA,270,D
1746.9222526265,203.0777473735,NA,280,D
1733.718689864,216.281310136,-27.22,290,D
1720.3955840665,229.6044159335,-27.23,300,D
1706.955153344,243.044846656,-27.03,310,D
1693.3996015625,256.6003984375,-26.66,320,D
1679.731118344,270.268881656,-26.21,330,D
1665.9518790665,284.0481209335,-26.53,340,D
1652.064044864,297.935955136,-26.32,350,D
1638.0697626265,311.9302373735,-25.3,360,D
1623.971165,326.028835,-26.17,370,D
1609.7703703865,340.2296296135,-25.86,380,D
1595.469482944,354.530517056,-25.72,390,D
1581.0705925865,368.9294074135,-25.8,400,D
1566.575774984,383.424225016,-26.61,410,D
1551.9870915625,398.0129084375,-26.18,420,D
1537.306589504,412.693410496,-27.14,430,D
1522.5363017465,427.4636982535,-26.67,440,D
1507.678246984,442.321753016,-26.82,450,D
1492.7344296665,457.2655703335,-26.77,460,D
1477.70684,472.29316,-26.37,470,D
1462.5974539465,487.4025460535,-26.75,480,D
1447.408233224,502.591766776,-26.65,490,D
1432.1411253065,517.8588746935,-26.67,500,D
1416.798063424,533.201936576,-26.31,510,D
1401.3809665625,548.6190334375,-26.49,520,D
1385.891739464,564.108260536,-26.59,530,D
1370.3322726265,579.6677273735,-26.57,540,D
1354.704442304,595.295557696,-26.39,550,D
1339.0101105065,610.9898894935,-26.92,560,D
1323.251125,626.748875,-27.54,570,D
1307.4293193065,642.5706806935,-28.54,580,D
1291.546512704,658.453487296,-27.52,590,D
1275.6045102265,674.3954897735,-28.18,600,D
1259.605102664,690.394897336,-28.05,610,D
1243.5500665625,706.4499334375,-28.21,620,D
1227.441164224,722.558835776,-27.85,630,D
1211.2801437065,738.7198562935,-27.7,640,D
1195.068738824,754.931261176,-27.64,650,D
1178.8086691465,771.1913308535,-27.62,660,D
1162.50164,787.49836,-27.46,670,D
1146.1493424665,803.8506575335,-27.68,680,D
1129.753453384,820.246546616,-25.97,690,D
1113.3156353465,836.6843646535,-25.67,700,D
1096.837536704,853.162463296,-25.64,710,D
1080.3207915625,869.6792084375,-25.39,720,D
1063.767019784,886.232980216,-26.18,730,D
1047.1778269865,902.8221730135,-26.18,740,D
1030.554804544,919.445195456,-26.18,750,D
1013.8995295865,936.1004704135,-25.82,760,D
997.213565,952.786435,-26.71,770,D
980.4984594265,969.5015405735,-26.87,780,D
963.755747264,986.244252736,-27.23,790,D
946.9869486665,1003.0130513335,-27.7,800,D
930.193569544,1019.806430456,-29.21,810,D
913.3771015625,1036.6228984375,-28.07,820,D
896.539022144,1053.460977856,-27.75,830,D
879.6807944665,1070.3192055335,-28.14,840,D
862.803867464,1087.196132536,-27.49,850,D
845.9096758265,1104.0903241735,-28.57,860,D
812.0751661865,1137.9248338135,-27.69,880,D
795.137646344,1154.862353656,-27.66,890,D
778.1884581865,1171.8115418135,-28.25,900,D
761.228965184,1188.771034816,-27.58,910,D
744.2605165625,1205.7394834375,-27.36,920,D
727.284447304,1222.715552696,-27.15,930,D
710.3020781465,1239.6979218535,-27.28,940,D
693.314715584,1256.685284416,-25.95,950,D
676.3236518665,1273.6763481335,-25.77,960,D
659.330165,1290.669835,-25.48,970,D
642.3355187465,1307.6644812535,-26.12,980,D
625.340962624,1324.659037376,-27.35,990,D
608.3477319065,1341.6522680935,-27.04,1000,D
591.357047624,1358.642952376,-28.6,1010,D
574.3701165625,1375.6298834375,-30.16,1020,D
557.388131264,1392.611868736,-27.44,1030,D
540.4122700265,1409.5877299735,-26.52,1040,D
523.443696904,1426.556303096,-25.08,1050,D
506.4835617065,1443.5164382935,-24.81,1060,D
489.533,1460.467,-24.87,1070,D
472.5931331065,1477.4068668935,-24.18,1080,D
455.665068104,1494.334931896,-25.13,1090,D
438.7498978265,1511.2501021735,-26.5,1100,D
421.848700864,1528.151299136,-27.78,1110,D
404.9625415625,1545.0374584375,-28.18,1120,D
388.092470024,1561.907529976,-27.24,1130,D
371.2395221065,1578.7604778935,-28.49,1140,D
354.404719424,1595.595280576,-28.25,1150,D
337.5890693465,1612.4109306535,-27.77,1160,D
320.793565,1629.206435,-27.18,1170,D
304.0191852665,1645.9808147335,-28.08,1180,D
287.266894784,1662.733105216,-27.79,1190,D
270.5376439465,1679.4623560535,-26.87,1200,D
253.832368904,1696.167631096,-26.67,1210,D
237.1519915625,1712.8480084375,-26.87,1220,D
220.497419584,1729.502580416,-27.02,1230,D
203.8695463865,1746.1304536135,-27.09,1240,D
187.269251144,1762.730748856,-30.12,1250,D
170.6973987865,1779.3026012135,-29.24,1260,D
154.15484,1795.84516,-25.99,1270,D
137.6424112265,1812.3575887735,-25.57,1280,D
121.160934664,1828.839065336,-25.33,1290,D
104.7112182665,1845.2887817335,-25.52,1300,D
88.2940557439999,1861.705944256,-25.65,1310,D
71.9102265624999,1878.0897734375,-25.38,1320,D
55.560495944,1894.439504056,-25.67,1330,D
39.2456148665001,1910.7543851335,-26.96,1340,D
22.966320064,1927.033679936,-28.16,1350,D
6.72333402649997,1943.2766659735,-28.67,1360,D
-9.48263500000007,1959.482635,-26.52,1370,D
-25.6508930135001,1975.6508930135,-25.4,1380,D
-41.7807602559999,1991.780760256,-25.41,1390,D
-57.8715712134999,2007.8715712135,-25.65,1400,D
-73.922674616,2023.922674616,-25.26,1410,D
-89.9334334375001,2039.9334334375,-25.87,1420,D
-105.903224896,2055.903224896,-25.97,1430,D
-121.8314404535,2071.8314404535,-26.37,1440,D
-137.717485816,2087.717485816,-26.57,1450,D
-153.5607809335,2103.5607809335,-26.16,1460,D
-169.36076,2119.36076,-25.34,1470,D
-185.1168714535,2135.1168714535,-25.84,1480,D
-200.828577976,2150.828577976,-26.02,1490,D
-216.4953564935,2166.4953564935,-25.65,1500,D
-232.116698176,2182.1166981760002,-25.58,1510,D
-247.6921084375,2197.6921084375,-25.81,1520,D
-263.221106936,2213.221106936,-25.35,1530,D
-278.7032275735,2228.7032275735,-24.68,1540,D
-294.138018496,2244.138018496,-23.9,1550,D
-309.5250420935,2259.5250420935,-25.42,1560,D
-324.863875,2274.863875,-26,1570,D
-340.1541080935,2290.1541080935,-27.08,1580,D
-355.395346496,2305.395346496,-27.35,1590,D
