year (AD),age (yr BP),depth (cm),d180 (permil),age_95- (yr BP),age_95+ (yr BP),d13C (permil)
1999.2,-49.2,40,-6.35,-243.2,79.6,-2.24
1983.8,-33.8,50,-4.87,-235,107.6,-1.95
1968.7,-18.7,60,-4.92,-213.7,117,-1.43
1953.1,-3.09999999999991,70,-7.66,-187.4,129.2,-2.43
1937.4,12.5999999999999,80,-8.3,-170.9,145.8,-2.31
1922,28,90,-7.25,-154.7,168.1,-2.23
1909.6,40.4000000000001,98,-9.77,-145.2,188.6,-2.83
1901.9,48.0999999999999,103,-4.8,-133.5,195.7,-1.26
1894.5,55.5,108,-5.87,-123.3,198.4,-2.15
1888.5,61.5,112,-6.36,-112.6,201.6,-1.96
1882.5,67.5,116,-6.18,-103.1,204.7,-2.1
1875,75,121,-9.33,-93.8,209.5,-2.84
1869,81,125,-6.36,-85.6,212.9,-2.64
1861.5,88.5,130,-4.52,-76.6,216.4,-1.89
1854,96,135,-8.12,-69,222.8,-2.55
1846.5,103.5,140,-7.99,-60.4,228.3,-2.34
1840.5,109.5,144,-5.55,-54.9,234.4,-1.56
1834.5,115.5,148,-7.41,-49.1,242.9,-2.46
1828.5,121.5,152,-7.44,-40.7,248.4,-2.38
1822.4,127.6,156,-8.72,-28.4,250.1,-2.49
1814.8,135.2,161,-9.59,-13.4,252.6,-2.67
1808.6,141.4,165,-8.43,0.8,254.3,-2.56
1802.6,147.4,169,-8.22,11,256.8,-2.46
1796.3,153.7,173,-8.27,19.9,259.5,-2.46
1790.1,159.9,177,-8.28,27.6,262.6,-2.38
1785.5,164.5,180,-9.39,31.8,264.2,-2.77
1779.3,170.7,184,-8.11,39.8,266.6,-2.38
1773.3,176.7,188,-8.28,46.2,270.2,-2.61
1767.2,182.8,192,-7.02,50.4,273.7,-2.3
1761.1,188.9,196,-7.14,54.2,278.4,-2.26
1754.9,195.1,200,-8.02,58.2,284,-2.34
1748.6,201.4,204,-8.11,68.1,285,-2.27
1735.8,214.2,212,-8.25,88.1,289.5,-2.37
1729.5,220.5,216,-7.79,97.3,293.3,-2.52
1720,230,222,-7.57,108.8,300.8,-2.23
1713.8,236.2,226,-7.72,115.9,307,-2.31
1705.7,244.3,231,-5.08,125.1,314.6,-1.51
1699.4,250.6,235,-7.32,131.2,322.3,-1.88
1691.5,258.5,240,-6.43,139.8,336.7,-1.3
1683.6,266.4,245,-5.08,146.7,352.8,-1.19
1675.8,274.2,250,-7.19,152.7,367.4,-2.26
1665.1,284.9,255,-6.64,167.7,374.3,-2.3
1656.6,293.4,259,-5.9,177.7,377.2,-1.65
1645.9,304.1,264,-7.27,188.2,386,-2.16
1637.4,312.6,268,-8.39,197.2,398.9,-2.46
1628.9,321.1,272,-5.33,204.8,412.6,-1.04
1620.4,329.6,276,-5.95,212.9,428.2,-1.35
1611.8,338.2,280,-8.99,219.4,442.7,-2.75
1603.4,346.6,284,-4.67,225.8,459.1,-1.82
1594.7,355.3,288,-3.68,229.6,476.9,-1.15
1586.3,363.7,292,-6.97,235,492,-3.13
1577.6,372.4,296,-1.47,239.5,508.7,0.45
1569,381,300,-5.32,243.2,524.9,-1.58
1519.2,430.8,305,-3.5,313.6,552.4,-0.58
1469.1,480.9,310,-5.26,362.2,589.7,-1.95
1418.6,531.4,315,-8.66,391.8,657.7,-3.5
1398.5,551.5,317,-6.98,402.6,689,-3.41
1368.4,581.6,320,-7.01,419.2,736.6,-3.87
1348.1,601.9,322,-1.55,428.3,769.2,0.1
1257.5,692.5,331,-0.68,469.8,921.2,0.61
1217,733,335,-0.65,485,992.3,0.79
1177.3,772.7,339,-0.84,495,1063.9,0.65
1167.1,782.9,340,-0.76,497.5,1082.4,0.6
1126.9,823.1,344,-1.74,507.4,1152.3,0.13
1086.7,863.3,348,-0.69,516.7,1224.2,0.37
1049.6,900.4,352,0.25,552.7,1263.1,0.84
990,960,359,-1.14,664.9,1268.8,1.13
955.9,994.1,363,-0.61,728.4,1271,0.96
921.8,1028.2,367,-0.33,793.4,1275,1.09
879.1,1070.9,372,0.39,869.9,1278.4,1.68
836.5,1113.5,377,-0.62,944.9,1282.8,1.35
802.2,1147.8,381,0.6,1001.9,1287.3,1.02
767.8,1182.2,385,-0.04,1056.2,1293.1,0.77
742.1,1207.9,388,0.31,1096.4,1298.2,0.67
626.5,1323.5,402,-0.74,1256.2,1398.4,0.66
600.1,1349.9,406,-1.15,1295.5,1414.6,0.4
573.6,1376.4,410,-4.13,1329,1433.6,0.79
547.5,1402.5,414,-2.06,1355,1456.8,0.49
527.9,1422.1,417,-2.86,1370.8,1478.6,-0.22
508.5,1441.5,420,-1.03,1384.3,1502.2,0.81
