depth (cm),age (yrBP),temperatureWarmest (degC),temperatureColdest (degC),temperatureAnnual (degC),precipitation (mm)
0,0,26.88571429,5.742857143,16.98335714,1246.428571
2,26,26.5,5.571428571,16.68928571,1321.142857
4,52,27.14285714,6.185714286,17.34168571,1213.857143
6,78,27.2,4.957142857,16.76311429,1208.714286
8,104,26.85714286,3.457142857,15.91072857,1319.142857
10,130,26.68571429,3.328571429,15.7512,1301.142857
12,180,26.74285714,4.471428571,16.31668571,1294
14,228,27.38571429,6.914285714,17.8524,1230.428571
16,264,27.1,9.085714286,18.7119,1319.285714
18,295,27.54285714,7.228571429,18.05357143,1197
20,323,27.21428571,6.485714286,17.48928571,1166.428571
22,350,26.92857143,4.228571429,16.30715714,1305.857143
24,376,26.95714286,4.228571429,16.3143,1305
26,401,26.3,3.785714286,15.70714286,1297.714286
28,424,26.37142857,3.914285714,15.88334286,1363.714286
30,446,27.11428571,7.557142857,17.94642857,1193.285714
32,467,27.11428571,7.557142857,17.94642857,1193.285714
34,487,26.77142857,6.485714286,17.23571429,1259.714286
36,506,26.71428571,4.871428571,16.45834286,1284.714286
38,525,26.67142857,4.342857143,16.17977143,1280.142857
40,542,27.17142857,6.957142857,17.72738571,1208.142857
42,559,27.38571429,7.214285714,17.9762,1213.714286
44,607,27.25714286,6.685714286,17.69525714,1244.142857
46,666,26.82857143,5.6,16.91787143,1306.857143
48,732,26.84285714,6.242857143,17.1881,1289.571429
50,811,26.7,5.757142857,16.86785714,1296
52,899,26.84285714,6.242857143,17.1881,1289.571429
54,992,26.9,5.585714286,16.9643,1337.714286
56,1092,26.84285714,6.242857143,17.1881,1289.571429
58,1194,26.84285714,6.242857143,17.1881,1289.571429
60,1277,26.71428571,4.871428571,16.45834286,1284.714286
64,1426,26.84285714,6.242857143,17.1881,1289.571429
68,1626,26.71428571,4.185714286,16.20001429,1328.142857
72,1809,27.41428571,5.1,17.02144286,1235.714286
76,1973,26.91428571,4.385714286,16.45954286,1231
80,2171,26.95714286,4.971428571,16.73692857,1291
84,2341,27.2,4.842857143,16.71548571,1216.857143
88,2553,26.6,4.7,16.32024286,1275
92,2758,27.05714286,4.971428571,16.79048571,1273.857143
96,2828,26.92857143,3.585714286,15.98691429,1289.714286
100,2819,27.12857143,4.914285714,16.78215714,1267.285714
104,2811,26.64285714,3.857142857,16.0024,1246
108,2801,26.85714286,4.128571429,16.25358571,1266.714286
112,2793,26.88571429,5.4,16.80834286,1292.142857
116,2784,27.07142857,5.314285714,16.97264286,1264.857143
120,2775,25.3,1.314285714,14.05238571,1150.857143
124,2893,26.31428571,3.171428571,15.57264286,1181.714286
128,3422,25.78571429,2.385714286,14.80834286,1182
132,3907,25.3,1.314285714,14.05238571,1150.857143
136,4474,26.8,5.142857143,16.71191429,1194.571429
138,5265,25.42857143,-1.342857143,13.02618571,964.8571429
140,5339,27.27142857,5.442857143,17.07501429,1236.571429
142,5409,24.52857143,-4.385714286,11.14404286,932.2857143
144,5474,27.38571429,4.185714286,16.63214286,983.2857143
148,5981,27.32857143,4.714285714,16.78215714,1192.714286
152,6408,28.04285714,5.285714286,17.45001429,1117
156,6873,27.34285714,4.028571429,16.5,970.1428571
160,7362,26.62857143,1.228571429,14.78454286,1049.857143
