depth (cm),age (yr BP),temp_JulyB06 (degC),temp_JulyB06error (degC),temp_JulyP09 (degC),temp_Julyp09error (degC)
0,-53.9,12.49903,1.483073,12.528255,1.171948
0.5,-7.4,11.87324,1.474065,11.721362,1.13177
1,39.2,12.18103,1.462497,11.843436,1.103947
1.5,85.8,11.84268,1.464051,12.217679,1.187556
2,132.4,11.84392,1.486857,11.628491,1.148808
2.5,178.9,12.52368,1.474557,12.192037,1.163865
3,225.5,11.20374,1.465848,11.25261,1.115859
3.5,272.1,11.52282,1.538664,11.778846,1.119167
4,318.7,11.91378,1.485711,11.932939,1.148038
4.5,365.2,11.60368,1.510085,9.8141,1.125067
5,411.8,11.19271,1.541488,12.654785,1.203003
5.5,458.4,11.38051,1.517907,11.335963,1.144155
6,505,10.703430000000001,1.555799,9.703512,1.139629
6.5,551.5,10.47053,1.547496,12.119128,1.198247
7,598.1,11.06191,1.549936,11.374046,1.182298
7.5,644.7,11.13164,1.485639,11.745495,1.126257
8,691.2,11.66094,1.491643,12.181254,1.202304
8.5,737.8,11.90003,1.513513,13.1472,1.262776
9,784.4,11.41926,1.492402,10.968011,1.121167
9.5,831,11.1145,1.593933,9.275615,1.185162
10,877.5,11.23035,1.477631,10.676065,1.125599
11.5,1027.4,10.35468,1.50501,10.689212,1.137523
12.5,1127.4,11.00501,1.484351,10.605362,1.112019
14.5,1327.2,10.94193,1.461546,9.72426,1.103104
16,1477.1,10.23083,1.526798,8.985337,1.139947
17.5,1627,12.06695,1.496484,11.366807,1.09301
19,1776.9,11.02718,1.465322,11.072541,1.10165
20.5,1903.6,11.84534,1.46566,12.560517,1.158339
22,1983.6,11.52893,1.494843,11.184307,1.146082
25,2143.8,10.78438,1.50604,11.35274,1.156083
28,2303.9,11.67532,1.47932,11.510685,1.118527
31,2465.7,12.02729,1.463252,11.677113,1.120767
34,2630.7,11.10802,1.473572,10.813269,1.10111
37,2795.7,10.98103,1.490349,10.485751,1.132125
40,2960.6,11.5222,1.498984,11.528563,1.138007
43,3099.2,11.42021,1.49067,10.872396,1.110749
46.5,3260.8,11.86389,1.496412,12.171031,1.18682
48.5,3353.2,12.30004,1.477613,12.224314,1.146999
50,3422.5,11.55529,1.532266,11.875502,1.215292
55,3640.4,11.96315,1.524332,11.175181,1.211814
60,3858.3,12.2157,1.462804,12.201475,1.205768
62,3958.7,11.60503,1.503284,12.964513,1.159429
65,4109.4,11.93599,1.494699,11.89359,1.106712
67,4209.8,11.96749,1.451572,11.973318,1.169657
70,4360.5,12.43546,1.484731,12.453825,1.138991
72.5,4541.1,12.24365,1.478862,10.999494,1.183391
75,4721.7,12.24761,1.462676,10.937324,1.129563
80,5082.9,13.08027,1.476337,11.602363,1.191966
85,5523.6,11.99787,1.454597,11.705954,1.134999
90,5964.2,12.12661,1.46355,12.129142,1.166201
