depth (cm),age (yr BP),temperatureWarmest (degC),temperatureColdest (degC),temperatureAnnual (degC),precipitation (mm/yr)
2.5,61.7,12.92857143,-1.071428571,5.1774,2373.285714
15,370,12.92857143,-1.071428571,5.1774,2373.285714
25,616.7,12.92857143,-1.071428571,5.1774,2373.285714
35,863.3,13.08571429,-0.085714286,5.704771429,2604.428571
45,1110,13.08571429,-0.085714286,5.704771429,2604.428571
55,1356.7,12.92857143,-1.071428571,5.1774,2373.285714
65,1603.3,12.92857143,-1.071428571,5.1774,2373.285714
75,1850,12.92857143,-1.071428571,5.1774,2373.285714
85,2096.7,13.08571429,-0.085714286,5.704771429,2604.428571
95,2353.6,13.08571429,-0.085714286,5.704771429,2604.428571
105,2610.5,13.08571429,-0.085714286,5.704771429,2604.428571
115,2867.4,13.08571429,-0.085714286,5.704771429,2604.428571
125,3124.4,13.08571429,-0.085714286,5.704771429,2604.428571
135,3381.3,13.08571429,-0.085714286,5.704771429,2604.428571
145,3638.2,13.08571429,-0.085714286,5.704771429,2604.428571
157.5,3959.4,13.08571429,-0.085714286,5.704771429,2604.428571
167.5,4216.3,12.92857143,-1.071428571,5.1774,2373.285714
177.5,4473.2,13.08571429,-0.085714286,5.704771429,2604.428571
187.5,4678.6,13.02857143,-0.214285714,5.580957143,2470.857143
197.5,4884,12.92857143,-1.071428571,5.1774,2373.285714
207.5,5089.4,13.08571429,-0.085714286,5.704771429,2604.428571
217.5,5294.8,13.08571429,-0.085714286,5.704771429,2604.428571
227.5,5500.2,13.08571429,-0.085714286,5.704771429,2604.428571
237.5,5705.6,13.08571429,-0.085714286,5.704771429,2604.428571
247.5,5911,13.08571429,-0.085714286,5.704771429,2604.428571
257.5,6116.4,12.92857143,-1.071428571,5.1774,2373.285714
267.5,6321.9,12.92857143,-1.071428571,5.1774,2373.285714
277.5,6527.3,12.92857143,-1.071428571,5.1774,2373.285714
282.5,6630,12.92857143,-1.071428571,5.1774,2373.285714
287.5,6847,12.92857143,-1.071428571,5.1774,2373.285714
292.5,7064,12.92857143,-1.071428571,5.1774,2373.285714
297.5,7281.1,12.92857143,-1.071428571,5.1774,2373.285714
302.5,7498.1,12.92857143,-2.071428571,4.7274,2224.285714
307.5,7715.1,12.92857143,-2.071428571,4.7274,2224.285714
312.5,7932.1,12.92857143,-2.071428571,4.7274,2224.285714
317.5,8149.2,12.92857143,-2.071428571,4.7274,2224.285714
322.5,8366.2,12.92857143,-2.071428571,4.7274,2224.285714
327.5,8583.2,13.1,-1.771428571,4.9512,2314.714286
332.5,8800.3,13.1,-1.771428571,4.9512,2314.714286
337.5,9017.3,12.92857143,-2.071428571,4.7274,2224.285714
342.5,9234.3,13.05714286,-2.671428571,4.522628571,2072.285714
347.5,9451.4,13.14285714,-2.542857143,4.604771429,2105.285714
352.5,9668.4,12.92857143,-2.071428571,4.7274,2224.285714
357.5,9929.5,12.92857143,-2.071428571,4.7274,2224.285714
362.5,10190.6,12.92857143,-2.071428571,4.7274,2224.285714
367.5,10451.8,13.05714286,-2.671428571,4.522628571,2072.285714
372.5,10712.9,13.14285714,-2.542857143,4.604771429,2105.285714
377.5,10974,13.04285714,-3.457142857,4.135728571,1945.428571
387.5,11496.2,NA,NA,NA,NA
