year (AD) [1-1],age (yr BP) [1-1],CaCO3 (Percent) [1-1],C14age (C14yr BP) [1-1],year (AD) [2-1],age (yr BP) [2-1],S (Percent) [2-1],year (AD) [3-1],age (yr BP) [3-1],d18OPyrgophorusSp_ (permil) [3-1],d18OPhysocypriaSp_ (permil) [3-1],d13CPyrgophorusSp_ (permil) [3-1],d13CPhysocypriaSp_ (permil) [3-1],year (AD) [4-1],age (yr BP) [4-1],d18OCyprinotusSp_ (permil) [4-1],d13CCyprinotusSp_ (permil) [4-1],year (AD) [5-1],age (yr BP) [5-1],d18OAmmoniaBeccarii (permil) [5-1],d13CAmmoniaBeccarii (permil) [5-1],TotalAmmoniaBeccarii (unitless) [5-1],year (AD) [6-1],age (yr BP) [6-1],d18OTerrestrialGastropods (permil) [6-1],d13CTerrestrialGastropods (permil) [6-1]
1959.738,-9.73800000000006,10.75,-6.6,1793.428,156.572,1.83,1959.738,-9.73800000000006,1.57,2.5,-0.63,-2.13,1959.738,-9.73800000000006,2.2,1.18,-5705.12,7655.12,2.02,-6.39,2,-6667.436,8617.436,-1.97,-8.83
1943.107,6.89300000000003,35.42,11.6,1776.797,173.203,1.7,1943.107,6.89300000000003,2.37,2.2,-0.7,-2.23,1943.107,6.89300000000003,2.19,1.71,-5725.67,7675.67,2.24,-6.38,2,-6705.148,8655.148,-0.92,-9.65
1926.476,23.5239999999999,36.08,29.8,1760.166,189.834,2.43,1926.476,23.5239999999999,3.02,2.41,-0.77,-2.32,1926.476,23.5239999999999,2.76,1.67,-5746.22,7696.22,2.23,-6.62,2,-6742.86,8692.86,-3.47,-10.23
1909.845,40.155,23.25,48,1743.535,206.465,2.04,1909.845,40.155,1.22,2.1,-1.02,-2.36,1909.845,40.155,1.67,-0.26,-5766.77,7716.77,2.13,-6.43,3,-6780.572,8730.572,-0.02,-8.92
1893.214,56.7860000000001,26.58,66.2,1726.904,223.096,2.83,1893.214,56.7860000000001,2.76,1.99,-1.22,-2.25,1893.214,56.7860000000001,NA,NA,-5787.32,7737.32,2.15,-6.31,5,-6818.284,8768.284,0.08,-9.58
1876.583,73.4169999999999,27.58,84.4,1710.273,239.727,2.31,1876.583,73.4169999999999,2.67,2.33,-1.1,-1.38,1876.583,73.4169999999999,NA,NA,-5807.87,7757.87,2.33,-6.33,6,-6855.996,8805.996,-0.49,-9.72
1859.952,90.048,33.08,102.6,1693.642,256.358,2.52,1859.952,90.048,1.64,2.35,-1.15,-1.51,1859.952,90.048,2.42,2.2,-5828.42,7778.42,2.66,-6.98,7,-6893.708,8843.708,0.23,-8.91
1843.321,106.679,NA,120.8,1677.011,272.989,3.16,1843.321,106.679,0.8,2.2,-1.74,-2.35,1843.321,106.679,2.82,2.04,-5848.97,7798.97,1.66,-6.66,2,-6931.42,8881.42,0.5,-8.81
1826.69,123.31,NA,139,1660.38,289.62,3.1,1826.69,123.31,NA,NA,NA,NA,1826.69,123.31,NA,NA,-5869.52,7819.52,2.37,-6.11,5,-6969.132,8919.132,NA,NA
1810.059,139.941,22.33,157.2,1643.749,306.251,0.87,1810.059,139.941,2.4,2.73,0.07,-2.14,1810.059,139.941,3,0.99,-5890.07,7840.07,2.65,-6.19,4,-7006.844,8956.844,NA,NA
1793.428,156.572,42.75,175.4,1627.118,322.882,2.49,1793.428,156.572,2.64,1.76,-1.43,-2.35,1793.428,156.572,1.67,0.99,-5910.62,7860.62,2.77,-6.94,3,-7044.556,8994.556,NA,NA
1776.797,173.203,43.42,193.6,1610.487,339.513,2.3,1776.797,173.203,2.22,2.63,-0.68,-2.29,1776.797,173.203,2.6,3.03,-5931.17,7881.17,2.69,-6.62,7,-7082.268,9032.268,NA,NA
1760.166,189.834,39.5,211.8,1593.856,356.144,3.34,1760.166,189.834,2.57,NA,-0.46,NA,1760.166,189.834,NA,NA,-5951.72,7901.72,2.94,-7.13,10,-7119.98,9069.98,NA,NA
1743.535,206.465,43.58,230,1577.225,372.775,2.7,1743.535,206.465,1.63,2.19,-0.94,-2.42,1743.535,206.465,2.57,1.15,-5972.27,7922.27,2.48,-6.31,12,-7157.692,9107.692,NA,NA
1726.904,223.096,35.33,248.2,1560.594,389.406,3.47,1726.904,223.096,2.46,2.22,-0.77,-2.34,1726.904,223.096,3.05,2.04,-5992.82,7942.82,2.8,-7.13,12,-7195.404,9145.404,-1.14,-9.47
1710.273,239.727,47.25,266.4,1543.963,406.037,3.46,1710.273,239.727,2.38,2.28,-0.68,-2.3,1710.273,239.727,NA,NA,-6013.37,7963.37,2.51,-7,20,-7534.812,9484.812,1.51,-9.52
