depth (cm),age (yr BP),min_age_95 (yr BP),max_age_95 (yr BP),BSI (percent),BSI_regime (percent),TOC (percent),TN (percent),NC (unitless),d13C (permil),d15N (permil)
29.5,263.5,241.82,285.3,6,5.266,1.22,0.13,0.0913,-23.901,4.844
34.5,315.95,290.83,341.02,5.55,5.266,1.19,0.12,0.0864,-24.347,4.351
39.5,368.41,339.8,396.8,4.89,5.266,1.27,0.13,0.0877,-24.307,4.249
49.5,473.31,437.82,508.58,5.97,5.266,1.15,0.13,0.0969,-23.617,4.853
54.5,525.76,486.92,564.67,6.11,5.266,1.35,0.15,0.0952,-23.566,4.769
59.5,578.21,535.98,620.73,6.34,5.266,1.31,0.15,0.0981,-23.485,4.974
64.5,630.66,585.01,676.82,5.45,5.266,1.21,0.13,0.0921,-23.718,4.695
69.5,683.11,634.12,732.91,4.8,5.266,1.11,0.12,0.0927,-23.627,4.639
79.5,763.46,710.95,816.71,4.676,5.266,1.175,0.125,0.0912,-23.525,4.841
84.5,788.64,728.9,848.06,4.88,5.266,1.15,0.13,0.0969,-23.637,4.834
94.5,838.98,753.26,927.17,4.36,5.266,1.16,0.13,0.0961,-23.404,5.085
99.5,864.15,762.37,969.61,6.57,5.266,1.62,0.18,0.0952,-23.475,5.058
104.5,889.33,770.66,1012.98,5.8,5.266,1.35,0.14,0.0889,-23.617,4.834
109.25,913.24,777.71,1055.48,6.09,5.266,1.17,0.12,0.0879,-23.524,4.983
134.5,1122.25,927.68,1327.74,3.969,5.266,1.16,0.12,0.0887,-23.464,4.816
144.5,1309.07,1132.94,1492.25,4.52,5.266,1.17,0.12,0.0879,-23.292,4.76
149.5,1402.48,1236.28,1575.94,4.82,5.266,1.06,0.12,0.097,-23.444,4.797
154.5,1495.89,1338.42,1659.8,5.05,5.266,1.17,0.12,0.0879,-23.566,4.862
159.5,1589.3,1437.32,1747.09,5.27,5.266,1.15,0.12,0.0894,-23.566,4.769
164.5,1682.71,1533.71,1837.47,3.76,5.266,1.09,0.12,0.0944,-23.444,4.816
174.5,1869.53,1721.76,2020.61,5.11,5.266,1.14,0.12,0.0902,-23.525,4.704
179.5,1962.94,1810.68,2115.42,5.17,5.266,1.26,0.13,0.0884,-23.525,4.955
189.5,2149.76,1986.86,2314.49,5.48,5.266,1.4,0.14,0.0857,-23.728,4.537
194.5,2243.17,2071.36,2415.77,4.62,5.266,1.13,0.12,0.091,-23.525,4.751
199.5,2336.58,2155.38,2520.37,5.66,5.266,1.35,0.14,0.0889,-23.312,4.918
204.5,2430,2238.18,2624.78,5.5,5.266,1.16,0.12,0.0887,-23.505,4.862
209.5,2517.21,2312.23,2723.49,5.46,5.266,1.2,0.12,0.0857,-23.586,4.732
214.5,2548.66,2352.12,2748.28,7.174,5.266,1.285,0.13,0.0867,-23.606,4.945
219.5,2580.11,2388.88,2770.59,4.66,5.266,1.05,0.1,0.0816,-23.759,4.686
224.5,2611.56,2426.74,2795.04,4.8,5.266,1.28,0.14,0.0938,-24.013,4.788
229.5,2643.01,2465.23,2820.39,4.87,5.266,1.06,0.1,0.0809,-23.992,4.277
254.5,2800.26,2634.18,2961.93,5.4,5.266,1.22,0.12,0.0843,-23.779,4.807
259.5,2831.71,2664.31,2992.86,5.59,5.266,1.29,0.13,0.0864,-23.688,4.658
264.5,2863.16,2692.96,3025.08,5.461,5.266,1.185,0.115,0.0832,-23.837,4.515
269.5,2894.61,2720.03,3057.74,4.53,4.208,1.05,0.1,0.0816,-24.043,4.128
274.5,2926.06,2748.41,3092.84,3.42,4.208,0.95,0.09,0.0812,-24.256,4.146
279.5,2957.51,2774.11,3129.7,4.28,4.208,0.97,0.09,0.0795,-23.972,4.397
289.5,3020.41,2825.02,3206.96,4.99,4.208,1.11,0.11,0.0849,-24.033,4.472
294.5,3051.86,2848.22,3246.23,4.41,4.208,1,0.1,0.0857,-23.992,4.37
298.5,3077.02,2866.61,3276.6,3.493,4.208,-9999,-9999,-9999,-9999,-9999
299.5,3083.31,2870.69,3284.12,3.35,4.208,0.99,0.09,0.0779,-24.082,4.392
304.5,3114.76,2892.12,3323.17,3.387,4.208,1.015,0.095,0.0802,-24.038,4.336
309.5,3146.21,2912.93,3363.75,3.67,4.208,0.97,0.095,0.0839,-24.035,4.402
314,3174.52,2933.14,3399.94,3.633,4.208,-9999,-9999,-9999,-9999,-9999
314.5,3177.66,2935.02,3403.88,3.82,4.208,1.03,0.095,0.0791,-24.028,4.468
319,3205.97,2952.83,3440.76,4.189,4.208,-9999,-9999,-9999,-9999,-9999
319.5,3209.11,2955.05,3444.84,3.72,4.208,1.045,0.09,0.0738,-24.193,4.351
323.5,3234.27,2971.12,3477.94,4.747,4.208,1.12,0.1,0.0765,-23.757,5.077
333.5,3300.1,3054.17,3535.56,3.549,4.208,0.97,0.09,0.0795,-24.076,4.663
344,3372.31,3168.91,3577.05,4.64,4.208,0.99,0.09,0.0779,-24.163,4.597
354,3441.08,3250.51,3632.61,4.921,4.208,0.94,0.09,0.0821,-23.975,4.813
363.5,3506.41,3299.23,3714.15,4.167,4.208,1.02,0.09,0.0756,-24.115,4.639
373,3571.74,3338.73,3814.14,4.555,4.208,1.02,0.09,0.0756,-23.833,4.738
384,3890.89,3761.38,4022.33,4.696,4.208,0.99,0.1,0.0866,-23.792,4.633
394,4117.07,3972.72,4262.74,4.275,4.208,1.02,0.1,0.084,-24.088,4.946
403,4204.38,4065.17,4345.51,4.947,4.208,1.1,0.1,0.0779,-23.918,4.376
413.5,4306.24,4172.22,4440.93,4.808,4.208,0.98,0.09,0.0787,-23.939,4.567
424,4408.11,4276.66,4538.62,4.804,4.208,1.07,0.1,0.0801,-23.899,4.519
433,4495.42,4365.85,4623.61,3.967,4.208,0.96,0.1,0.0893,-23.858,5.012
444,4602.14,4474.7,4730.16,3.075,3.549,1.02,0.1,0.084,-23.915,4.656
453,4689.45,4561.69,4817.28,3.24,3.549,0.92,0.09,0.0839,-24.006,4.745
464,4796.16,4667.8,4923.57,3.464,3.549,0.88,0.08,0.0779,-24.212,4.52
474,4893.18,4762.66,5021.06,3.215,3.549,0.94,0.08,0.0729,-24.573,3.891
484,4990.19,4857.16,5120.68,3.294,3.549,0.89,0.08,0.077,-24.41,4.348
494,5087.2,4950.87,5220.07,3.945,3.549,0.86,0.08,0.0797,-24.215,4.374
504,5184.22,5043.79,5320.23,3.04,3.549,0.92,0.09,0.0839,-24.047,4.851
514,5281.23,5135.76,5422.11,3.209,3.549,0.94,0.09,0.0821,-24.194,4.657
524,5378.25,5226.6,5525.49,4.057,3.549,0.82,0.08,0.0836,-24.607,3.851
534,5475.26,5315.93,5629.39,4.145,3.549,0.97,0.09,0.0795,-24.475,3.736
544,5572.27,5406.25,5732.43,2.761,3.549,1.01,0.09,0.0764,-24.788,3.648
554,5669.29,5493.96,5836.29,4.195,3.549,0.95,0.09,0.0812,-24.134,4.075
563,5756.6,5574.19,5930.87,4.282,3.549,0.94,0.09,0.0821,-24.556,3.727
572,5843.91,5654.52,6026.09,3.687,3.549,0.97,0.1,0.0884,-24.209,4.413
582.5,5945.78,5746.38,6136.3,3.577,3.549,1.02,0.1,0.084,-24.398,3.953
