year (AD),age (yr BP),d18O (permil)
1952.0811,-2.08110000000011,0.44
1900.932,49.068,0.24
1885.588,64.412,0.74
1875.358,74.6420000000001,0.54
1865.128,84.8720000000001,0.63
1854.899,95.1010000000001,0.94
1844.67,105.33,0.15
1834.44,115.56,0.23
1824.21,125.79,0.46
1813.98,136.02,0.06
1803.75,146.25,0.82
1793.52,156.48,0.55
1783.29,166.71,0.58
1773.06,176.94,0.59
1747.49,202.51,0.78
1650.3,299.7,0.05
1578.7,371.3,0.25
1537.78,412.22,0.55
1507.09,442.91,0.28
1466.17,483.83,0.29
1415.02,534.98,0.26
1379.22,570.78,0.44
1358.76,591.24,0.59
1343.41,606.59,0.85
1338.3,611.7,0.62
1322.95,627.05,0.36
1312.72,637.28,0.51
1302.49,647.51,0.58
1287.15,662.85,0.87
1271.8,678.2,0.6
1261.57,688.43,0.69
1251.34,698.66,0.52
1241.11,708.89,0.79
1215.09,734.91,0.13
1159.33,790.67,0.33
1124.48,825.52,1.07
1096.61,853.39,0.31
1054.79,895.21,0.55
1019.94,930.06,0.52
985.09,964.91,0.47
929.3,1020.7,0.3
908.4,1041.6,0.31
894.5,1055.5,0.55
880.5,1069.5,0.43
866.6,1083.4,0.22
852.7,1097.3,0.27
838.7,1111.3,0.16
824.8,1125.2,-0.13
810.8,1139.2,0.16
796.9,1153.1,0.37
783,1167,0.35
745.7,1204.3,0.66
685,1265,0.19
624.3,1325.7,0.63
563.7,1386.3,0.3
503,1447,0.41
442.3,1507.7,-0.13
397.7,1552.3,0.02
369.1,1580.9,0.32
340.5,1609.5,0.12
311.9,1638.1,0.33
283.3,1666.7,-0.23
254.7,1695.3,0.05
226.2,1723.8,0.14
183.3,1766.7,0.76
140.4,1809.6,-0.03
111.8,1838.2,0.17
83.2,1866.8,0.62
54.5999999999999,1895.4,0.27
26,1924,1.03
-2.59999999999991,1952.6,0.72
-31.2,1981.2,0.62
-88.4000000000001,2038.4,0.1
-145.5,2095.5,0.08
-174.1,2124.1,0.44
-202.7,2152.7,0.41
-259.9,2209.9,0.04
-331.4,2281.4,0.3
-374.3,2324.3,0.33
-402.9,2352.9,0.13
-431.5,2381.5,0.1
-460,2410,0.57
-502.9,2452.9,0.36
-545.8,2495.8,0.31
-574.4,2524.4,-0.28
-603,2553,-0.18
-631.6,2581.6,0.45
-660.2,2610.2,0.48
-703.1,2653.1,0.58
-774.5,2724.5,0.5
-831.7,2781.7,0.45
-860.3,2810.3,0.04
-888.9,2838.9,-0.26
-917.5,2867.5,0.43
-946.1,2896.1,0.57
-974.7,2924.7,0.43
-1003.3,2953.3,0.41
-1031.9,2981.9,0.24
-1074.8,3024.8,0.22
-1117.6,3067.6,0.3
-1146.2,3096.2,-0.09
-1189.1,3139.1,0.27
-1232,3182,0.21
-1260.6,3210.6,-0.04
-1289.2,3239.2,0.22
-1317.8,3267.8,0.16
-1360.7,3310.7,0.63
-1403.6,3353.6,0.63
-1432.2,3382.2,-0.27
-1460.7,3410.7,0.54
-1503.6,3453.6,0.22
-1560.8,3510.8,-0.15
-1603.7,3553.7,0.64
-1632.3,3582.3,0.79
-1660.9,3610.9,0.21
-1703.8,3653.8,0.2
-1761,3711,0.45
-1803.8,3753.8,0.43
-1832.4,3782.4,0.62
-1861,3811,0.55
